Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Närdinghundra hÄrad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Almunge ;56,75 ;76 ;129 ;30,589 ;11 ;2,609 ;3,830 ;24,139 ;10 ;47 ;4 ;3 ;2 ;137 ;2 ;- ;812 ;473 ;110 ;202 ;39 ;13 ;- ;76 ;7 ;877 ;105 ;- ;579 ;- ;310 ;168 ;45 ;86 ;
Knutby ;49,50 ;69 ;86 ;26,025 ;9 ;2,402 ;3,390 ;20,224 ;11 ;25 ;6 ;1 ;17 ;94 ;1 ;- ;764 ;438 ;115 ;173 ;44 ;16 ;- ;68 ;- ;785 ;71 ;- ;563 ;- ;317 ;166 ;25 ;85 ;
Faringe ;31,88 ;61 ;32 ;12,553 ;1 ;1,268 ;1,885 ;9,399 ;- ;86 ;2 ;;25 ;30 ;- ;- ;412 ;218 ;63 ;96 ;21 ;9 ;1 ;20 ;- ;429 ;30 ;- ;313 ;- ;189 ;83 ;- ;50 ;
Bladâker ;21,25 ;52 ;69 ;18,024 ;11 ;1,054 ;3,346 ;13,613 ;- ;29 ;1 ;1 ;- ;22 ;- ;- ;357 ;172 ;26 ;94 ;11 ;9 ;- ;47 ;5 ;333 ;26 ;- ;265 ;- ;132 ;61 ;- ;24 ;
Ununge ;28,75 ;60 ;44 ;15,082 ;6 ;1,293 ;2,361 ;11,423 ;12 ;40 ;3 ;1 ;15 ;25 ;1 ;- ;417 ;214 ;49 ;108 ;15 ;11 ;29 ;34 ;- ;415 ;39 ;- ;295 ;- ;163 ;96 ;13 ;34 ;
Edebro ;28.08 ;94 ;78 ;19,901 ;4 ;1,379 ;2.919 ;15.599 ;57 ;79 ;- ;- ;13 ;23 ;- ;- ;453 ;219 ;50 ;168 ;23 ;6 ;- ;7 ;- ;453 ;27 ;- ;338 ;- ;206 ;71 ;- ;35 ;
Summa ;216,21 ;412 ;438 ;122,174 ;42 ;10,005 ;17,731 ;94,397 ;90 ;256 ;16 ;6 ;72 ;331 ;4 ;- ;3,215 ;1,734 ;413 ;841 ;153 ;64 ;30 ;252 ;12 ;3,292 ;298 ;- ;2,346 ;- ;1,317 ;645 ;83 ;314 ;
Lyhundra härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Söderby Carl ;61,25 ;102 ;58 ;14,799 ;12 ;2,676 ;2,012 ;10,031 ;10 ;73 ;15 ;1 ;49 ;30 ;1 ;- ;679 856 ;558 ;100 ;116 ;18 ;6 ;- ;373 ;- ;833 ;112 105 ;- ;501 587 ;- ;237 164 ;325 ;14 ;86 ;
Estuna ;79,88 ;100 ;70 ;11,214 ;5 ;2,569 ;1,856 ;6,784 ;- ;24 ;64 ;5 ;- ;23 ;61 ;5 ;;700 ;- ;106 ;- ;- ;- ;50 ;- ;857 ;;- ;369 ;- ;;360 ;68 ;84 ;
Lohärad ;36,68 ;66 ;14 ;8,523 ;2 ;1,348 ;1,613 ;5,560 ;- ;60 ;5 ;- ;- ;46 ;4 ;- ;347 ;309 ;50 ;47 ;3 ;7 ;- ;21 ;- ;564 ;64 ;- ;;- ;166 ;261 ;- ;57 ;
Malsta ;19,88 ;24 ;6 ;2,694 ;12 ;580 ;527 ;1,422 ;- ;1 ;1 ;- ;- ;11 ;- ;- ;200 405 ;150 ;20 ;25 ;- ;4 ;- ;28 ;- ;153 ;36 ;- ;125 ;- ;36 ;109 ;9 ;25 ;
Husby ;41,68 ;77 ;4 ;7,050 ;6 ;1,170 ;1,153 ;4,721 ;- ;70 ;2 ;- ;4 ;73 ;- ;- ;;157 ;64 ;60 ;- ;10 ;- ;3 ;- ;470 ;81 ;- ;324 ;- ;111 ;84 ;- ;58 ;
Summa ;238,77 ;369 ;152 ;44,290 ;37 ;8,343 ;7,161 ;28,518 ;10 ;228 ;87 ;6 ;53 ;183 ;66 ;5 ;2,487 ;1,874 ;234 ;354 ;16 ;27 ;- ;475 ;- ;2,877 ;398 ;- ;1,908 ;- ;714 ;1,139 ;91 ;305 ;





