Table: Table_1

15 ;S:t Pers ;11:626 ;10 ;1 ;5 ;2 ;1 ;;1 ;;- ;6 ;896 ;2 ;429 ;23 ;331 ;84 ;130 ;9 ;18 ;;;- ;112 ;- ;76 ;53 ;480 ;157 ;1,490 ;- ;- ;- ;- ;58 ;360 ;15 ;
;Erlinghundra härad ;284-875 ;311 ;6 ;80 ;50 ;12 ;6 ;55 ;82 ;11 ;294 ;25,663 ;71 ;10,528 ;872 ;9,233 ;2,057 ;2,522 ;296 ;289 ;9 ;2 ;57 ;3,252 ;- ;2.044 ;1,470 ;13,200 ;3.782 ;35,758 ;I ;7 ;- ;- ;1,967 ;12,779 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 ;Skepptuna socken ;46:375 ;60 ;- ;11 ;21 ;2 ;;7 ;17 ;1 ;47 ;3,816 ;6 ;1,939 ;87 ;1,395 ;347 ;500 ;64 ;47 ;;;- ;647 ;- ;333 ;228 ;2,070 ;735 ;6,900 ;- ;;- ;- ;316 ;2,050 ;16 ;
;Lunda ;21:500 ;25 ;;;12 ;2 ;;2 ;;;17 ;3,241 ;1 ;1,198 ;119 ;1,459 ;197 ;316 ;27 ;37 ;0-2 ;os ;- ;432 ;... - ;188 ;137 ;1.200 ;395 ;3,750 ;- ;- ;- ;- ;144 ;950 ;;
;Vidbo " ;24:000 ;33 ;- ;10 ;4 ;1 ;;9 ;7 ;1 ;64 ;2,495 ;6 ;1.062 ;28 ;1,067 ;179 ;278 ;45 ;30 ;;2 ;- ;354 ;----- ;174 ;123 ;1,100 ;418 ;8,970 ;- ;- ;;- ;142 ;920 ;18 ;
;Skânels , ;33-750 ;30 ;- ;;12 ;;;1 ;7 ;2 ;43 ;8,688 ;6 ;1,365 ;28 ;1,925 ;218 ;376 ;50 ;46 ;- ;;- ;459 ;- ;215 ;180 ;1,620 ;363 ;3.450 ;;- ;;;91 ;590 ;19 ;
;Markims , ;201126 ;28 ;- ;3 ;13 ;2 ;;1 ;8 ;;14 ;2,453 ;5 ;1.026 ;38 ;1.064 ;193 ;232 ;24 ;18 ;0:4 ;Ore ;- ;323 ;- ;285 ;135 ;1,210 ;375 ;3,500 ;;;;- ;73 ;475 ;20 ;
;Orkesta , Frösunda ' ;18:250 32:125 ;19 50 ;- - ;3 16 ;5 15 ;1 1 ;;1 7 ;9 ;1 1 ;24 49 ;2,107 4.013 ;6 8 ;829 1,492 ;14 46 ;1,036 1,945 ;139 230 ;191 375 ;28 56 ;17 45 ;1:4 ;06 ;- - ;312 562 ;- - ;140 232 ;124 167 ;1.190 1,500 ;231 448 ;2.185 4,300 ;- ;- ;-- --- ;- - ;59 177 ;370 1,150 ;21 22 ;
;Seminghundra härad ;1951155 ;245 ;- ;54 ;82 ;9 ;7 ;28 ;59 ;6 ;288 ;21,813 ;41 ;8,911 ;390 ;9,884 ;1,303 ;2,208 ;204 ;240 ;3 ;7 ;- ;3,080 ;- ;1,507 ;1,094 ;9,950 ;2,965 ;28,055 ;- ;- ;- ;- ;1,002 ;6,503 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 ;Fresta socken ;21:000 ;21 ;- ;8 ;4 ;2 2 ;;3 3 ;4 6 ;- ;15 22 ;2,066 2,088 ;7 ;891 ;25 5 ;550 820 ;136 ;222 ;28 ;36 ;;- ;5 ;332 ;- ;132 ;90 ;815 ;276 293 ;2,620 ;- ;- ;- ;- ;92 82 ;600 ;28 ;
24 ;Hammarby ;28:500 ;18 ;- ;;;;1 ;;;- ;;;11 ;1,017 ;;;141 ;257 ;24 ;43 ;OS ;;15 ;392 ;- ;144's ;89 ;800 ;;2,680 ;;- ;;;;520 ;24 ;
25 ;Vallentuna ;49:500 ;60 ;1 ;21 ;15 ;2 ;;8 ;12 ;1 ;73 ;6,019 ;12 ;2,206 ;96 ;2,375 ;354 ;560 ;69 ;64 ;0.9 ;0,5 ;24:s ;792 ;- ;342 ;239 ;2,150 ;682 ;6,100 ;- ;- ;- ;- ;114 ;720 ;25 ;
26 ;Vada ;17:500 ;18 ;- ;8 ;6 ;;- ;1 ;;2 ;32 ;1.834 ;3 ;611 ;31 ;706 ;97 ;147 ;17 ;16 ;;- ;2 ;238 ;- ;94 ;56 ;520 ;188 ;1.800 ;;- ;- ;- ;66 ;430 ;26 ;
27 ;Angarns " ;12:250 ;21 ;- ;8 ;11 ;;;;1 ;1 ;13 ;1,690 ;2 ;608 ;11 ;603 ;84 ;165 ;22 ;15 ;O's ;;0.2 ;241 ;;80? ;58 ;530 ;169 ;1,615 ;;;;;52 ;340 ;27 ;
$8 ;Osseby-Garns , ;46:750 ;54 ;- ;11 ;18 ;7 ;1 ;10 ;7 ;;86 ;10,955 ;12 ;2.241 ;228 ;6,196 ;308 ;690 ;67 ;68 ;;1:5 ;2 ;;- ;340 ;201 ;1.810 ;651 ;6,210 ;- ;- ;4 ;29 ;208 ;1.351 ;28 ;
;Vallentuna härad ;175:500 ;192 ;I ;58 ;58 ;13 ;2 ;25 ;31 ;4 ;241 ;24,652 ;47 ;7,574 ;306 ;11,250 ;1,120 ;2.041 ;227 ;242 ;2 ;2 ;48'5 ;2,758 5 ;- ;1,133 ;733 ;6.625 ;2.259 ;21,025 ;- ;- ;4 ;29 ;614 ;3,961 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29 ;Börstile socken ;100:958 ;456 ;38 ;234 ;3 ;- ;148 ;28 ;5 ;- ;28 ;20.887 ;11 ;2,760 ;3.011 ;11,580 ;615 ;749 ;44 ;125 ;- ;9 4 ;- ;531 ;- ;687 ;199 ;1,800 ;1.532 ;14,558 ;;- ;;;759 ;4.940 ;199 ;
sol ;Edebo ;65,975 ;160 ;51 ;95 ;;4 ;;7 ;3 1 ;- ;36 ;12,735 ;6 ;2,839 275 ;863 806 ;6,900 ;423 ;593 ;87 6 ;48 ;6 ;;- ;688 ;- ;490 ;176 9 ;1,584 ;1.043 125 ;9,600 1,187 ;- 2 ;17 ;- ;- ;361 79 ;2,346 500 ;so ;
31 ;Forsmarks ;11:417 ;11 ;;;1 ;1 ;3 ;4 ;;;6 ;7.269 ;5 ;;;4.644 ;48 ;76 ;;11 ;- ;;- ;80 ;- ;54 ;;80 385 ;266 ;2,527 ;;;- ;- ;80 ;520 ;81 ;
ss ;Gräsö ;18:500 ;117 ;28 ;83 ;- ;- ;;5 ;1 ;- ;5 ;11,994 ;;523 ;1,458 ;3,572 ;103 ;123 ;22 ;19 ;;2 ;;110 ;- ;144 ;43 ;;;;;;;;;;se ;
83 ;Hargs ;47:025 ;148 ;;48 ;;;42 ;56 ;;;56 ;18.187 ;6 ;1.205 ;2.550 ;11,048 ;223 ;342 ;31 ;56 ;20 ;;-- ;263 ;- ;267 ;61 ;550 ;572 ;5,435 ;- ;- ;- ;- ;514 ;3.341 ;SS ;
34 ;Hökhufvuds " ;60:042 ;110 ;1 ;51 ;1 ;1 ;26 ;29 ;1 ;- ;33 ;10,852 ;2 ;1.295 ;1.619 ;6.294 ;278 ;454 ;43 ;54 ;2 ;3 ;- ;172 ;- ;289 ;77 ;700 ;689 ;6.560 ;;;;;580 ;3.770 ;34 ;
35 ;Valö ;48:750 ;138 ;2 ;91 ;- ;- ;4 ;39 ;2 ;- ;65 ;17,252 ;4 ;1,393 ;2,558 ;8,999 ;330 ;440 ;26 ;54 ;;5 ;- ;185 ;- ;353 ;57 ;530 ;860 ;8,170 ;- ;- ;- ;- ;536 ;3.484 ;85 ;
;Frösakers härad ;352 667 ;1.140 ;120 ;603 ;5 ;7 ;223 ;168 ;14 ;- ;229 ;99,176 ;36 ;9,790 ;12,805 ;53.037 ;2,020 ;2.777 ;259 ;367 ;28 ;26 ;- ;2,029 ;- ;2.284 ;622 ;5,629 ;5,087 ;48,037 ;2 ;17 ;- ;- ;2,909 ;18.901 ;;
86 ;Almunge socken ;56 875 ;84 ;- ;40 ;16 ;- ;1 ;17 ;5 ;5 ;161 ;15,403 ;6 ;2,968 ;712 ;8,176 ;528 ;791 ;104 ;88 ;1 ;3 ;6 ;843 ;- ;609 ;267 ;2,400 ;1,221 ;11,590 ;- ;.--- ;-- ;- ;502 ;3.250 ;86 ;
31 ;Bladakers , ;21:250 ;42 ;- ;24 ;3 ;1 ;;13 ;1 ;;73 ;7,805 ;4 ;963 ;546 ;4.231 ;150 ;235 ;40 ;36 ;1 ;2 ;6 ;304 ;- ;189 ;55 ;495 ;366 ;3,480 ;;;- ;- ;154 ;1.000 ;37 ;
38 ;Edsbro ;28:088 ;103 ;1 ;75 ;8 ;;- ;19 ;- ;;42 ;9,375 ;1 ;1,229 ;989 ;4.925 ;220 ;318 ;46 ;55 ;- ;;6 ;340 ;- ;240 ;97 ;870 ;520 ;4,945 ;- ;- ;;- ;202 ;1,810 ;38 ;
39 ;Faringe ;31:875 ;57 ;;29 ;6 ;;- ;21 ;- ;1 ;49 ;6,310 ;2 ;1,204 ;574 ;2,922 ;231 ;302 ;41 ;34 ;- ;;8 ;276 ;- ;311 ;121 ;1.090 ;510 ;4,860 ;;- ;--- ;- ;208 ;1.350 ;89 ;
40 ;Knutby " ;52:167 ;79 ;1 ;29 ;10 ;3 ;;25 ;11 ;;94 ;14,564 ;;2,876 ;788 ;7.971 ;419 ;620 ;81 ;87 ;;;18 ;660 ;- ;487 ;180 ;1.630 ;967 ;9.186 ;;;;- ;382 ;9,480 ;40 ;
41 ;Ununge > ;28:375 ;54 ;;34 ;5 ;1 ;1 ;12 ;1 ;;51 ;7,988 ;3 ;917 ;634 ;4,145 ;154 ;237 ;35 ;39 ;- ;3 ;;278 ;- ;171 ;54 ;485 ;864 ;8,470 ;;;;-- ;117 ;715 ;41 ;
;Närdinghundra härad ;218.625 ;419 ;2 ;231 ;48 ;5 ;2 ;107 ;18 ;6 ;470 ;01,445 ;23 ;9,657 ;4,243 ;32,370 ;1.702 ;2,503 ;347 ;334 ;2 ;17 ;44 ;2,701 ;- ;2.007 ;774 ;6,970 ;3,948 ;37,531 ;- ;- ;- ;-- ;1,565 ;10,105 ;;
42 ;Vaddo socken ;87:875 ;371 ;52 ;314 ;;- ;- ;3 ;2 ;- ;2 ;13,885 ;9 ;1.856 ;2.359 ;5.020 ;391 ;446 ;65 ;65 ;- ;7 ;;414 ;;468 ;94 ;850 ;669 ;6,365 ;- ;- ;--- ;- ;193 287 ;1.300 ;42 ;
43 ;Häfverö ;63:750 ;243 ;33 ;205 ;1 ;;- ;2 ;2 ;- ;8 ;13,854 ;5 ;1,394 ;1,508 ;7.750 ;275 ;341 ;41 ;58 ;- ;;- ;341 ;- ;330 ;159 ;1,440 ;1,230 ;11,685 ;- ;;;;;1,750 ;43 ;
44 ;Singö ;13:500 ;65 ;8 ;55 ;- ;- ;- ;2 ;;- ;- ;3,356 ;1 ;272 ;343 ;1,826 ;60 ;70 ;5 ;10 ;- ;;- ;47 ;- ;79 ;17 ;155 ;111 ;1,060 ;- ;- ;- ;- ;27 ;180 ;44 ;
;Väddö och Häfverö skeppslag ;163/123 ;679 ;93 ;574 ;I ;- ;- ;7 ;4 ;- ;10 ;30,595 ;15 ;3,522 ;4.210 ;14,596 ;726 ;857 ;III ;133 ;;16 ;- ;802 ;- ;877 ;270 ;2,445 ;2.010 ;19,110 ;- ;- ;---- ;--- ;507 ;3.230 ;;
45 ;Söderby-Karls socken. ;71:300 ;142 ;7 ;99 ;12 ;2 ;- ;19 ;3 ;;33 ;10,314 ;10 ;2.384 ;736 ;5.372 ;464 ;615 ;100 ;90 ;2 ;6 ;-- ;650 ;- ;457 ;192 ;1,720 ;1,067 ;10,160 ;- ;-- ;--- ;- ;259 ;1.690 ;45 ;
;Estuna , ;78.875 ;113 ;3 ;69 ;12 ;;- ;16 ;11 ;1 ;49 ;6.074 ;10 ;2.079 ;557 657 ;2.347 3.481 ;429 ;547 ;82 ;75 ;2 ;3 ;- ;510 235 ;- - ;432 254 ;193 100 ;1.730 910 ;974 612 ;9,255 5,900 ;- ;;;- - ;203 167 ;1.320 1.085 ;46 17 ;
;Lohärads , , ;36:825 19.875 ;63 24 ;- ;46 17 ;2 ;;- - ;15 5 ;1 ;- - ;23 12 ;6.122 1,421 ;3 2 ;1,138 428 ;228 ;622 ;262 110 ;293 123 ;49 20 ;42 18 ;- ;;- - ;48 ;- ;108 ;58 ;520 ;256 ;2,432 ;- ;- ;- ;;57 ;360 ;;
48. 49 ;Malsta Husby-Lyhundra , ;47:750 ;102 ;17 ;69 ;3 ;;1 ;8 ;4 ;- ;39 ;4.424 ;3 ;1.003 ;479 ;2,122 ;227 ;307 ;64 ;51 ;- ;4 ;- ;131 ;- ;219 ;149 ;1,850 ;514 ;4,878 ;- ;- ;........ ;- ;176 ;1,180 ;;
;Lyhundra härad ;2541196 ;444 ;27 ;300 ;29 ;4 ;1 ;63 ;19 ;I ;156 ;28,355 ;28 ;7,032 ;2.657 ;13,944 ;1,402 ;1,885 ;315 ;276 ;4 ;16 ;- ;1,574 ;- ;1.470 ;692 ;6.230 ;3,423 ;32,625 ;- ;- ;- ;- ;802 ;5,635 ;;





