Table: Table_1

Häfverö ;10 ;- ;1,154 ;26 ;- ;- ;- ;348 ;- ;2,928 ;- ;2,263 ;371 ;32 ;530 ;85 ;- ;8,424 ;;733 ;58 ;96. 50 ;- ;32,000 ;- ;- ;- ;424 ;62 ;24 ;15 ;776 ;372 ;1,421 ;- ;145 ;;
Singö ;1 ;- ;176 ;4 ;- ;- ;- ;16 ;- ;316 ;- ;352 ;56 ;;396 ;6 ;- ;739 ;;4 ;- ;15. ;- ;1.816 ;- ;- ;- ;104 ;- ;- ;5 ;147 ;30 ;112 ;- ;55 ;- ;
Summa ;19 ;2 ;4,319 ;63 ;- ;- ;- ;918 ;- ;6,872 ;- ;5,560 ;1,386 ;176 ;2,076 ;125 ;- ;29,997 ;;737 ;58 ;196. 50 ;- ;79,992 ;- ;- ;- ;1,082 ;112 ;30 ;92 ;1,888 ;892 ;2,843 ;- ;460 ;- ;
Ákers skeppslag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Öster-Áker ;4 ;48 ;755 ;- ;- ;- ;- ;982 ;- ;3,288 ;- ;568 ;4,775 ;94 ;503 ;47 ;204 ;5,588 ;;2,250 ;1 ;2. ;1,264 ;44,112 ;- ;- ;- ;310 ;18 ;139 ;34 ;784 ;197 ;584 ;- ;199 ;- ;
Riala ;3 ;- ;296 ;5 ;- ;- ;- ;212 ;- ;1,329 ;- ;540 ;588 ;2 ;174 ;19 ;- ;1,764 ;;- ;12 ;17. 25 ;- ;16,816 ;- ;- ;- ;218 ;8 ;20 ;11 ;427 ;50 ;435 ;- ;71 ;;
Kulla ;;26 ;158 ;- ;- ;- ;- ;205 ;1 ;1,189 ;- ;229 ;1,129 ;- ;152 ;;143 ;986 ;;278 ;- ;- ;- ;5,704 ;- ;- ;- ;123 ;5 ;47 ;9 ;278 ;41 ;201 ;- ;68 ;- ;
Norr Ljusterö ;1 ;- ;135 ;1 ;- ;- ;- ;100 ;- ;447 ;- ;163 ;346 ;- ;73 ;3 ;- ;884 ;;- ;- ;4 40 ;- ;5.648 ;- ;- ;- ;65 ;3 ;10 ;14 ;167 ;71 ;185 ;- ;55 ;- ;
Summa ;8 ;74 ;1.344 ;6 ;- ;- ;- ;1,499 ;1 ;6.253 ;- ;1,500 ;6,838 ;96 ;902 ;69 ;347 ;9,222 ;;2,528 ;13 ;23. 65 ;1,264 ;72,280 ;- ;- ;- ;716 ;34 ;216 ;68 ;1,656 ;359 ;1,405 ;- ;393 ;;
Frötuna skeppslag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frötuna ;10 ;2 ;1,042 ;14 ;- ;- ;- ;524 ;-- ;2,832 ;- ;1,388 ;2,184 ;92 ;612 ;73 ;24 ;6.884 ;27 ;- ;32 ;97. 80 ;- ;13,767 ;- ;- ;- ;266 ;11 ;116 ;18 ;768 ;195 ;903 ;- ;313 ;;
Râdmansö ;6 ;2 ;859 ;7 ;- ;3 ;- ;171 ;2 ;1,737 ;- ;825 ;776 ;43 ;282 ;47 ;14 ;6,732 ;80 ;40 ;14 ;45. 20 ;- ;7,980 ;- ;- ;- ;252 ;17 ;86 ;7 ;758 ;224 ;760 ;4 ;221 ;- ;
Länna ;4 ;31 ;899 ;10 ;- ;- ;- ;530 ;2 ;3.099 ;- ;1,234 ;998 ;32 ;462 ;14 ;133 ;6,590 ;10 ;- ;11 ;24. 55 ;960 ;25,064 ;- ;- ;- ;338 ;19 ;48 ;50 ;762 ;215 ;837 ;- ;210 ;- ;
Blidö ;1 ;;427 ;- ;;- ;- ;84 ;- ;823 ;- ;277 ;112 ;;187 ;4 ;- ;2,824 ;16 ;80 ;2 ;4. 10 ;- ;356 ;- ;- ;- ;132 ;6 ;6 ;31 ;415 ;148 ;667 ;10 ;114 ;- ;
Summa ;21 ;35 ;3.227 ;31 ;-- ;3 ;- ;1,309 ;4 ;8.491 ;- ;3,724 ;4,070 ;167 ;1,543 ;138 ;171 ;23.030 ;83 203 ;120 ;59 ;171. 65 ;960 ;47,167 ;- ;- ;- ;988 ;53 ;206 ;106 ;2,703 ;782 ;3.167 ;14 ;858 ;- ;
Wermdö skeppslag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wermdö ;1 ;41 ;1.308 ;2 ;- ;- ;- ;1,503 ;4 ;3.560 ;- ;2.906 ;5,453 ;388 ;973 ;2 ;200 ;6,640 ;1,435 ;- ;- ;70 ;936 ;64.832 ;- ;- ;- ;400 ;33 ;316 ;68 ;1,081 ;250 ;743 ;- ;1,046 ;;
Ingarö ;- ;13 ;545 ;- ;- ;- ;- ;283 ;- ;1,126 ;- ;383 ;1,259 ;162 ;220 ;- ;- ;3.028 ;- ;- ;- ;- ;800 ;14,104 ;- ;- ;- ;100 ;3 ;65 ;28 ;371 ;97 ;432 ;- ;123 ;;
Djurö ;- ;- ;367 ;1 ;- ;- ;- ;186 ;- ;488 ;- ;513 ;120 ;- ;106 ;- ;- ;1,920 ;- ;- ;2 ;5. 60 ;- ;4.168 ;- ;- ;- ;62 ;3 ;- ;9 ;218 ;51 ;261 ;- ;58 ;- ;
Bo ;- ;- ;156 ;- ;- ;. ;- ;41 ;- ;507 ;- ;76 ;845 ;204 ;77 ;- ;- ;723 ;70 ;- ;- ;- ;120 ;12.848 ;- ;- ;- ;46 ;- ;54 ;6 ;190 ;17 ;74 ;- ;15 ;- ;
Möja ;- ;- ;251 ;- ;- ;- ;- ;31 ;- ;181 ;- ;164 ;24 ;- ;61 ;- ;- ;1.570 ;- ;- ;- ;- ;- ;3,352 ;- ;- ;- ;52 ;4 ;- ;10 ;180 ;41 ;279 ;99 ;29 ;- ;
Söder-Ljusterö ;1 ;10 ;278 ;2 ;- ;- ;- ;276 ;- ;866 ;- ;325 ;465 ;- ;108 ;2 ;26 ;1.807 ;- ;45 ;1 ;8. 10 ;- ;9,640 ;- ;- ;- ;69 ;11 ;22 ;11 ;217 ;65 ;357 ;- ;71 ;- ;
Summa ;2 ;64 ;2,906 ;5 ;- ;- ;- ;2.320 ;4 ;6,728 ;- ;4,367 ;8.166 ;754 ;1,545 ;4 ;226 ;15,688 ;1.505 ;45 ;3 ;14. 40 ;1,856 ;108,944 ;- ;- ;- ;729 ;54 ;457 ;132 ;2,257 ;521 ;2.146 ;99 ;1.342 ;- ;





