Table: Table_1

11 ;Lofö socken ;;89 ;605 ;74 ;445 ;3 ;;14 ;2 ;14 ;705 ;2,200 ;- ;-- ;- ;- ;85 ;16 ;12,500 ;- ;- ;- ;50 ;- ;- ;;;90 ;85 ;1 ;72 ;11 ;806 ;36 ;51 ;- ;65 ;10 ;700 (11 ;;
19 ;Ekerö ;;178 ;1,335 ;71 ;425 ;11 ;;56 ;46 ;850 ;1,345 ;4,155 ;1,570 ;- ;;- ;71 ;29 ;28,000 ;-- ;- ;-- ;60 ;- ;- ;4 ;- ;80 ;122 ;8 ;125 ;21 ;567 ;128 ;176 ;==== ;161 ;26 ;1,300 ;18 ;
18 ;Munsö , ;;113 ;850 ;54 ;320 ;7 ;;80 ;20 ;150 ;1,425 ;4,200 ;500 ;--- ;- ;- ;50 ;21 ;21,000 ;= ;- ;- ;20 ;- ;- ;;- ;20 ;103 ;8 ;94 ;13 ;314 ;136 ;144 ;- ;131 ;18 ;1,100 ;18 ;
14) ;Adelsö ;;62 ;555 ;43 ;250 ;6 ;;31 ;;;1,102 ;3,410 ;;;- ;;15 ;5 ;8,000 ;;;;40 ;- ;;;- ;40 ;79 ;11 ;84 ;17 ;275 ;66 ;218 ;-- ;111 ;13 ;600 14 ;;
16 ;Färentuna ;;104 ;780 ;157 ;940 ;;;19 ;16 ;125 ;1,787 ;5,290 ;268 ;1 ;2 ;1 ;10 ;2 ;8,050 ;;- ;- ;30 ;- ;;- ;- ;30 ;118) ;10 ;88 ;14 ;307 ;96 ;147 ;- ;168 ;15 ;1,000 ;15 ;
16 ;Hilleshög ;;46 ;315 ;105 ;635 ;3 ;;15 ;20 ;145 ;919 ;2,800 ;180 ;2 ;2 ;3 ;5 ;1 ;5,000 ;--- ;- ;- ;20 ;- ;- ;- ;- ;40 ;58 ;7 ;50 ;14 ;189 ;57 ;66 ;- ;107 ;20 ;300 ;16 ;
17 ;Sânga . ;;26 ;195 ;323 ;1,940 ;10 ;;40 ;49 ;370 ;1,850 ;5,500 ;;- ;- ;- ;15 ;3 ;10,000 ;--- ;- ;- ;30 ;- ;- ;- ;- ;40 ;135 ;8 ;88 ;22 ;872 ;80 ;188 ;- ;150 ;12 ;1,050 ;17 ;
18 ;Skä " ;;88 ;600 ;61 ;370 ;5 ;;25 ;24 ;166 ;1,292 ;3,950 ;- ;- ;- ;- ;23 ;6 ;12,500 ;- ;2 ;- - ;20 ;;-- ;- ;- ;20 ;192 ;5 ;96 ;17 ;808. ;75 ;174 ;- ;115 ;25 ;850 ;18 ;
;;Färentuna härad ;706 ;5,235 ;888 ;5,325 ;49 ;;230 ;177 ;1,320 ;10,375 ;31,505 ;2,512 ;3 ;4 ;4 ;224 ;83 ;105,050 ;- ;2 ;- ;270 ;- ;- ;4 ;- ;360 ;817 ;53 ;697 ;129 ;2,665 ;674 ;1,164 ;- ;1.003 ;139 ;6,900 ;;
19 ;Spânga ;socken ;698 ;4,944 ;315 ;2,062 ;- ;;--- ;138 ;1,060 ;2,079 ;6,804 ;1,600 ;- ;- ;- ;76 ;86 ;26,492 ;16 ;- ;- ;62 ;- ;- ;7 ;;60 ;271 ;10 ;150 ;17 ;1,068 ;116 ;158 ;- ;332 ;11 ;1,350 1 ;;
sol ;Jerfälla ;;478 ;3,787 ;131 ;778 ;;;;130 ;1,050 ;1,080 ;3,213 ;1,650 ;- ;;- ;55 ;49 ;22,447 ;- ;- ;- ;30 ;- ;- ;4 ;1 ;;169 ;2 ;86 ;18 ;671 ;179 ;2371 ;- ;186 ;14 ;;650 20 ;
21 ;Eds ;;310 ;2,412 ;70 ;352 ;2 ;;9 ;60 ;372 ;895 ;3.508 ;1,000 ;- ;- ;- ;43 ;40 ;13,594 ;- ;- ;- ;;- ;- ;2 ;- ;120 ;100 ;7 ;77 ;10 ;446 ;112 ;62 ;- ;193 ;12 ;;;
;Sollentuna ;;870 ;5,979 ;82 ;588 ;5 ;;26 ;129 ;907 ;1,111 ;4,108 ;- ;- ;- ;- ;57 ;57 ;19,515 ;- ;- ;- ;10 ;;- ;;- ;140 ;146 ;3 ;110 ;16 ;845 ;48 ;105) ;- ;307 ;21 ;;755 128 ;
28 ;Bromma ;;558 ;3,819 ;164 ;1,135 ;;;;54 ;417 ;621 ;2,035 ;- ;- ;- ;- ;39 ;37 ;14,581 ;;- ;- ;20 ;;- ;3 ;- ;130 ;116 ;2 ;58 ;12 ;471 ;24 ;45 ;- ;414 ;21 ;;;
24 ;Sundbybergs ;köping ;5 ;38 ;7 ;30 ;05 ;;2 ;6 ;46 ;115 ;360 ;- ;- ;- ;- ;2 ;- ;1,150 ;;- ;- ;- ;- ;- ;;-- ;40 ;15 ;;6 ;;20 ;;;- ;10 ;10 ;;200/24 ;
;;Sollentuna härad ;2,919 ;20,979 ;760 ;4,895 ;7:5 ;;37 ;517 ;3.852 ;5,851 ;20,023 ;4,250 ;- ;- ;- ;272 ;269 ;97,779 ;16 ;- ;- ;122 ;- ;-- ;24 ;I ;490 ;817 ;24 ;487 ;73 ;3,321 ;470 ;607 ;- ;1,372 ;89 ;4,015 ;;
25 ;Öetra Ryds ;socken ;508 ;2,720 ;88 ;563 ;5 ;;20 ;116 ;599 ;1,391 ;5,216 ;580 ;- ;- ;-- ;. 78 ;32 ;25,260 ;- ;2 ;;- ;- ;- ;12 ;12 ;350 ;250 ;39 ;60 ;40 ;754 ;187 ;478 ;;242 ;97 ;1,430 ;;
se ;Täby ;;376 ;2,316 ;111 ;404 ;3 ;;10 ;108 ;676 ;1,581 ;4,574 ;520 ;;;- ;83 ;34 ;28,975 ;- ;47 ;75 ;30 ;- ;- ;;- ;100 ;238 ;6 ;111 ;25 ;779 ;182 ;3081 ;- ;279 ;88 ;1,245 ;26 ;
27 ;Danderyds ;;115 287 ;886 1.906 ;47 62 ;263 395 ;2 2 ;;8 12 ;39 66 ;273 480 ;541 713 ;1,799 2,929 ;216 ;- - ;- - ;- -- ;23 24 ;13 14 ;15,417 13,260 ;21 ;- ;- ;- - ;- ;- - ;1 ;- -- ;500 100 ;119 111 ;- - ;48 34 ;6 6 ;433, 358 ;14 13 ;22 3 ;- - ;191 74 ;11 6 ;;600/27 ;
98 29 ;Lidingö Solna ;" ;95 ;661 ;34 ;194 ;1 ;;4 ;31 ;205 ;740 ;2,499 ;2,990 ;- ;- ;- ;14 ;13 ;9,525 ;607 ;;- ;- ;- ;- ;1 ;- ;520 ;218 ;2 ;22 ;2 ;380 ;-- ;5 ;- ;556 ;8 ;;235 199 ;
;Danderyds ;skeppalag ;1,381 ;8,439 ;342 ;1,819 ;13 ;;54 ;300 ;2,233 ;4,906 ;17,017 ;4,256 ;- ;- ;--- ;222 ;106 ;92,437 ;628 ;49 ;75 ;30 ;- ;- ;14 ;12 ;1,570 ;936 ;47 ;275 ;79 ;2,699 ;346 ;sil ;- ;1,272 ;160 ;4,380 ;;
sol ;Öster&kers ;socken ;258 ;1,935 ;145 ;860 ;16 ;;75 ;9 ;70 ;1,483 ;4,550 ;740 ;5 ;7 ;6 ;49 ;38 ;85,000 ;- ;5 ;- ;5 ;- ;- ;5 ;- ;100 ;822 ;41 ;131 ;46 ;1,001 ;280 ;601 ;- ;212 ;50 ;2,800 ;so ;
si| ;Roslags-Knlla ;;25 ;190 ;68 ;400 ;4 ;;18 ;19 ;150 ;394 ;1,200 ;;;;3 ;7 ;8 ;11,000 ;- ;;- ;;;- ;;;50 ;103 ;24 ;32. ;10 ;265 ;77 ;154 ;- ;74 ;10 ;1,000 ;81 ;
38 ;Riala ;, ;44 ;330 ;115 ;700 ;16 ;;72 ;11 ;80 ;1,045 ;3,800 ;;;6 ;8 ;6 ;4 ;12,050 ;- ;10 ;- ;15 ;- ;- ;10 ;2 ;85 ;222 ;24 ;26 ;20 ;597 ;125 ;549 ;;13: ;;1,900 ;82 ;
38 ;Ljusterö ;;12 ;90 ;84 ;500 ;8 ;;40 ;- ;;894 ;2,650 ;- ;3 ;5 ;4 ;6 ;10 ;17,800 ;- ;5 ;- ;5 ;- ;- ;;;10 ;194 ;20 ;50 ;28 ;532 ;152 ;574 ;- ;111 ;20 ;1,500 ;83 ;
;;Äkers skeppslag ;339 ;2,545 ;412 ;2.460 ;44 ;;205 ;39 ;300 ;3,816 ;11,700 ;740 ;17 ;23 ;21 ;68 ;55 ;75,350 ;- ;20 ;- ;25 ;- ;- ;15 ;2 ;245 ;841 ;109 ;239 ;104 ;2,395 ;634 ;1,881 ;- ;528 ;80 ;7,200 ;;
;Vermdö socken ;;256 ;1,627 ;308 ;1,122 ;5:5 ;;25 ;114 ;598 ;3,288 ;9,073 ;1,050 ;;- ;- ;129 ;82 ;48,743 ;- ;31 ;76 ;13 ;0:5 ;2 ;1 ;3 ;355 ;4981 ;20 ;224 ;66 ;1,502, ;416 ;1,041 ;;487 ;50 ;2,645 ;;
84 35 ;Ingarö ;| ;- ;- ;56 ;150 ;os ;;2 ;11 ;69 ;800 ;2,592 ;;- ;- ;- ;25 ;7 ;9,688 ;- ;2 ;- ;5 ;;;- ;- ;150 ;106 ;4 ;56 ;11 ;445 ;90 ;279 ;- ;142 ;44 ;;;
36 ;Djurö ;;;;25 ;120 ;1:5 ;;6 ;;;938 ;2,069 ;;--- ;- ;- ;8 ;1 ;3,420 ;- ;5 ;- ;;- ;- ;- ;- ;70 ;71. ;2 ;12 ;;319 ;62 ;180 ;- ;69 ;;600 88 ;;
37 ;, Bo , ;;28 ;148 ;26 ;130 ;05 ;;1 ;43 ;293 ;506 ;1,909 ;670 ;;- ;- ;22 ;14 ;9,181 ;- ;10 ;- ;2 ;- ;- ;- ;- ;210 ;70 ;;24 ;4 ;802 ;31 ;40 ;;80 ;;815,87 ;;
88 ;Möja , ;;- ;- ;16 ;66 ;;;;;;761 ;2,227 ;;;- ;- ;1 ;;320 ;- ;2 ;- ;;- ;- ;;- ;;47 ;3 ;;7 ;197 ;63 ;194 ;5 ;25 ;20 ;190 88 ;;
;;Vermdö skeppslag ;284 ;1,775 ;431 ;1,588 ;8 ;;34 ;108 ;960 ;6,293 ;17,870 ;1,720 ;- ;- ;- ;179 ;104 ;71,352 ;- ;50 ;76 ;20 ;0:5 ;2 ;I ;3 ;785 ;792 ;29 ;316 ;96 ;2,765 ;662 ;1,734 ;5 ;803 ;114 ;4,885 ;;
189 ;Österhaninge ;socken ;144 ;1,080 ;133 ;800 ;- ;;- ;66 ;490 ;2,207 ;6,700 ;4,000 ;4 ;5 ;3 ;99 ;100 ;40,000 ;--- ;5 ;- ;- ;- ;- ;2 ;- ;20 ;407 ;19 ;209 ;19 ;1,481 ;860 ;664 ;;317 ;8 ;1.745 ;89 ;
40 ;Ornö Nämdö ;" ;20 ;145 ;24 9 ;135 52 ;- - ;;- - ;6 ;44 ;334 362 ;1,050 1,100 ;- ;- - ;- -- ;-- - ;8 1 ;6 1 ;2,750 550 ;- - ;- - ;- ;5 ;- - ;- ;;- ;50 ;31 11 ;- - ;50 20 ;3 4 ;203 110 ;73 14 ;210 147 ;- - ;73 35 ;;270 40 125 4 ;;
;Uto ;;44 ;330 ;14 ;85 ;;;- ;11 ;79 ;490 ;1,450 ;;- ;;- ;10 ;8 ;3,500 ;- ;;- ;;- ;- ;;;;24 ;;56 ;B ;140 ;48 ;260 ;;82 ;;;;
;Tyresö ;;171 ;1,280 ;95 ;590 ;- ;;- ;31 ;240 ;675 ;2,110 ;800 ;- ;- ;- ;83 ;30 ;12,150 ;- ;10 ;- ;5 ;- ;-- ;;- ;;110 ;8 ;53 ;6 ;414 ;107 ;52 ;4 ;107 ;8 ;357 48 ;;
;Dalarö ;;12 ;80 ;11 ;65 ;- ;;- ;8 ;22 ;200 ;615 ;;- ;- ;- ;;;1,400 ;- ;- ;- ;;-- ;- ;;;;18 ;;16 ;4 ;88 ;16 ;34 ;;11 ;;;;
;Vesterhaninge ;, ;53 ;370 ;210 ;1,250 ;- ;;- ;84 ;610 ;3,503 ;12,150 ;350 ;- ;- 8 ;4 ;106 ;120 ;40,150 ;;- ;- ;;- ;;;1 ;50 ;346 51 ;42 ;212 74 ;24 12 ;1,224 347 ;427 125 ;412 475 ;;491 174 ;8 10 ;1,625 1,060| ;44 ;
;Muskö ;I ;4 ;29 ;32 ;185 ;;;-- ;18 ;140 ;720 ;2,200 ;;6 ;;;19 ;17 ;6,050 ;- ;;- ;10 ;- ;- - ;;;;;;;;;;;;;;;;
;;;178 ;1,810 ;164 ;960 ;- ;;- ;130 ;970 ;2,935 ;10,710 ;275 ;14 ;18 ;15 ;120 ;100 ;41,250 ;- ;25 ;20 ;5 ;;- ;1 ;;100 ;345 ;27 ;310 ;36 ;1,545 ;537 ;1,056 ;- ;462 ;;2,655 4 ;;
;Osmo ;, ;;;;;;;;236 ;1,700 ;4,239 ;13,550 ;6,200 ;9 ;16 ;13 ;157 ;150 ;59,450 ;- ;5 ;;;- ;- ;;;;489 ;9 ;517 ;60 ;2.076 ;798 ;1,854 ;;667 ;5 ;2,430 14 ;;
;Sorunda ;" ;117 ;875 ;237 ;1,420 ;;;;;;;;;;;;;;;;;;- ;;;;;;;;;;;;;;;;;;
;Torö ;. ;- ;- ;19 ;110 ;- ;;- ;10 ;74 ;354 ;1,020 ;- ;3 ;3 ;2 ;9 ;10 ;2,800 ;- ;;- ;- ;- ;- ;1 ;1 ;- ;29 ;2 ;38 ;2 ;202 ;86 ;204 ;;75 ;;280 49 ;;
;;Sotholms hard ;743 ;5,499 ;948 ;5,652 ;- ;;- ;595 ;4,369 ;16,019 ;52,655 ;11,625 ;36 ;30 ;37 ;566 ;546 ;210,050 ;- ;43 ;20 ;25 ;- ;- ;4 ;2 ;220 ;1,861 ;103 ;1,555 ;173 ;7,830 ;2,591 ;4,968 ;4 ;2,444 ;46 ;10,907 ;;





