Table: Table_1

;;;;;;;U ;t s ;ä ;d e ;o c ;h ;8 k ;ö ;r d. ;;;;;Vidd ;af under ;&ret ;verkstälda ;;jordförbättringar ;;;Antal ;;Antal ;vid ;&rets ;slut ;;underh&llna ;;kreatur ;in ;m. ;;
;;Vârsäd: ;Sträsäd. ;;V à ;à ;Balj ;växter ;;;Botfrukter. ;;Lin ;och ;hampa. ;Gräs o. ;andra ;foderväxter. ;Andra växtslag ;Nv- ;Vatten- ;Under- dikn. ;Angs ;;;Skogs- ;;under &ret ;Hastar. ;;;;;Unghöt ;;Get ;;;;;
;Omrâde. ;;Blandsäd. ;;Arter. ;;Bönor. ;;Vicker. ;;Potatis ;Rofvor, rötter d. ;;Frö. ;Spanads- ämne. ;Frö timotej- ;(klöfver- o. d.) ;Hö (frân odlad jord) ;Tobak ;od- ling ;aftapp- ning. ;(tück- dik- ;vath- ning. ;Merg- ling ;Skogs- sûdd. ;plun- tering ;;plai- terade ;Öfver ;Under ar ;Oxar. ;Tjurar ;Kor. ;(under 2 Nr) och ;och ;1er och kil- ;Svin och ;Bi- sam- hil- ;bjäder- fä. ;;
;(Socknar och härad samt stader.) ;Uteade. ;Skörd. ;Utwäde. ;Skörd. ;Utsade. ;Skörd ;Utsäde ;Skörd. ;Utende. ;Skörd. ;Skörd ;Utsüde. ;Skörd ;Skörd. ;Utsäde. ;Skörd. ;Skörd. ;Skörd. ;;;ning) ;;;;;;frukt- träd. ;B &r. ;och ;;;;kalf- ;lam. ;lin ;grisa ;len ;;;
;;;;;H ;e k ;t ;o ;1 i ;t e ;r. ;;;;I Deciton. ;D ;;o n. ;Deciton ;;;H e ;k t ;a r. ;;;;;;föl. ;;;;var. ;;gar ;;;;;
;1| Grödinge socken ;71 ;520 ;145 ;840 ;- ;- ;32 ;240 ;2,167 ;6,570 ;100 ;- ;- ;- ;96 ;100 ;87,500 ;- ;- ;- ;;- ;6 ;1 ;-- ;;200 ;212 ;15 ;391 ;25 ;1,170 ;376 ;401 ;3 ;892 ;x ;1,728) ;;
;2 Botkyrka ;380 ;2,810 ;194 ;1,150 ;- ;- ;91 ;620 ;1,133 ;3,500 ;1,500 ;====== ;- ;- ;82 ;70 ;35,150 ;- ;5 ;- ;10 ;- ;- ;2 ;- ;;50 ;168 ;;251 ;23 ;960 ;168 ;261 ;6 ;296 ;26 ;1,420| ;2 ;
;s Salems ;113 ;850 ;121 ;690 ;;;50 ;870 ;662 ;1,895 ;;- ;- ;- ;46 ;43 ;21,450 ;-- ;;;;;;2 ;;;50 ;102 ;;177 ;18 ;611 ;155 ;247 ;;166 ;28 ;875 ;;
;4| Huddinge ;445 ;3,840 ;83 ;500 ;- ;- ;69 ;500 ;879 ;2,850 ;600 ;- ;- ;- ;91 ;85 ;41,050 ;;;- ;10 ;- ;;8 ;;;100 ;282 ;61 ;205 ;22 ;1,180 ;116 ;170 ;2 ;291 ;29 ;1,272) ;;
;5| Brännkyrka ;488 ;3,510 ;81 ;490 ;- ;--- ;78 ;565 ;1,294 ;4,150 ;810 ;-- ;: ;.... ;68 ;70 ;83,100 ;375 ;5 ;- ;10 ;- ;;10 ;;1 ;100 ;352 ;7/ ;228 ;21 ;1,874 ;118 ;;30 ;423 ;13 ;1,985 ;;
;6| Nacka ;50 ;365 ;56 ;340 ;- ;- ;8 ;60 ;584 ;1,910 ;- ;- ;- ;- ;23 ;13 ;13,450 ;- ;;- ;;- ;;;;;DO ;142) ;10 ;46 ;9 ;416 ;61 ;105 ;4 ;132 ;15 ;470 ;6 ;
;Svartlösn härad ;1,547 ;11,395 ;680 ;4,010 ;- ;- ;328 ;2,355 ;6,719 ;20,875 ;3.010 ;- ;- ;- ;406 ;381 ;181,700 ;375 ;10 ;- ;30 ;- ;6 ;23 ;;I ;350 ;1,258 ;48 ;1,298 ;118 ;5,711 ;994 ;1,214 ;15 ;1,700 ;119 ;7,750 ;;
;7 Östertelge socken ;60 ;450 ;34 ;205 ;4 ;19 ;20 ;150 ;210 ;620 ;- ;- ;- ;- ;26 ;26 ;10,000 ;- ;8 ;- ;15 ;- ;- ;5 ;;5 ;40 ;41 ;19 ;82 ;8 ;256 ;76 ;;59 - ;76 ;;500 ;;
;Vestertelge ;100 ;745 ;32 ;190 ;2 ;10 ;6 ;40 ;202 ;610 ;;- ;;- ;26 ;26 ;11,000 ;-- ;8 ;- ;15 ;- ;;10 ;10 ;;40 ;88 ;31 ;59 ;11 ;297 ;70 ;;96 - ;69 ;5 ;500 ;;
;Tveta ;93 ;700 ;51 ;305 ;3 ;16 ;59 ;450 ;464 ;1,405 ;700 ;1 ;1 ;1 ;88 ;87 ;17,000 ;- ;4 ;- ;20 ;;;;;;55 ;66 ;6 ;81 ;14 ;232 ;108 ;118 ;-- ;114 ;11 ;800 ;;
10 ;Öfver-Jerna ;254 ;1,905 ;62 ;370 ;14 ;65 ;67 ;502 ;493 ;1.490 ;200 ;- ;- ;- ;62 ;60 ;23,500 ;- ;;- ;;- ;- ;;- ;;;58 ;5 ;243 ;35 ;632 ;267 ;283 ;;162 ;85 ;1,000(10 ;;
11 ;Ytter-Jerna ;167 ;1,252 ;44 ;265 ;5 ;25 ;34 ;255 ;465 ;1,405 ;;- ;- ;- ;57 ;64 ;20.050 ;- ;18 ;- ;88 ;- ;;5 ;;5 ;30 ;70 ;b. ;172 ;26 ;481 ;140 ;194 ;-- ;122 ;18 ;1,500,11 ;;
12 ;Vardinge ;245 ;1,840 ;68 ;400 ;5 ;20 ;351 ;2,500 ;628 ;1,890 ;200 ;;;- ;111 ;76 ;28,000 ;-- ;;;28 ;;;;;;150 ;100 ;19 ;248 ;41 ;1,282 ;246 ;240 ;- ;235 ;17 ;1,400(12 ;;
18 ;Turinge ;224 ;1,690 ;100 ;595 ;13 ;65 ;74 ;560 ;782 ;2,360 ;- ;X 6 ;9 ;4 ;83 ;89 ;32,000 ;- ;8 ;3 ;23 ;- ;- ;D ;;8 ;115 ;170 ;8 ;207 ;41 ;761 ;350 ;287 ;- ;157 ;35 ;1,600,18 ;;
;Öknebo härad ;1,143 ;8,582 ;391 ;2,330 ;46 ;220 ;611 ;4,457 ;3,244 ;9,780 ;1,100 ;7 ;10 ;5 ;453 ;428 ;141,550 ;- ;46 ;3 ;139 ;- ;- ;27 ;29 ;;430 ;593 ;51 ;1,092 ;176 ;3,801 ;1,257 ;1,220 ;- ;935 ;129 ;7,300 ;;
;Summa för landsbygden ;19,819 ;144,543 ;10,436 ;61,219 ;849 : ;4,141 ;3,769 ;27,088 ;112,086 ;348,735 ;53,553 ;401 ;631 ;442 ;3,950 ;3,283 ;1,853,879 ;1.019 ;569 ;464 ;1.661 ;o. ;8 ;172 ;60 ;;7.300 ;21,801 ;2,887 ;9,110 ;2,309 ;68,717 ;16,783 ;42.749 ;31 ;18,686 ;2,581 ;120,687 ;;
14 ;Södertelge ;18 ;140 ;14 ;80 ;- ;- ;- ;-- ;599 ;1,900 ;- ;-- ;- ;- ;15 ;10 ;6,500 ;- ;;- ;7 ;- ;- ;- ;- ;;200 ;145 ;2 ;10 ;2 ;90 ;8 ;;20 - ;25 ;12 ;1,000/14 ;;
15 ;Norrtelge ;;;40 ;237 ;6 ;82 ;;- ;605 ;1,890 ;;- ;- ;- ;3 ;1 ;2,500 ;- ;1 ;- ;1 ;- ;- ;-- ;- ;;15t ;54 ;6 ;;;64 ;3. ;;28| - ;113 ;6 ;1,500,15 ;;
16 ;Sigtunn ;12 ;85 ;11 ;65 ;3 ;16 ;10 ;85 ;220 ;675 ;400 ;-- ;;- ;2 ;- ;1,500 ;;- ;- ;- ;--- ;;- ;- ;;100 ;18 ;;12 ;6 ;44 ;5 ;;36 ===== ;25 ;;50016 ;;
17 ;Vaxholm ;6 ;45 ;3 ;16 ;0:5 ;2 ;- ;- ;45 ;145 ;;- ;- ;- ;1 ;- ;390 ;- ;;;;- ;;- ;- ;;100 ;10 ;;;;20 ;;;- ;5 ;10 ;000/17 ;;
18| ;Osthammar ;- ;- ;2 ;11 ;1 ;5 ;- ;- ;65 ;375 ;265 ;- ;- ;- ;;;;- ;;- ;;- ;;;- ;;5( ;18 ;;- ;;45 ;4 ;;1 - ;25 ;5 ;100,18 ;;
19 ;Oregrund ;- ;;6 ;37 ;1 ;4 ;- ;- ;188 ;650 ;- ;- ;- ;- ;1 ;- ;800 ;- ;- ;- ;- ;- ;- - ;- ;- ;;50 ;6 ;1 ;- ;;117 ;28 ;;9 - ;30 ;3) ;60019 ;;
;Summa för städerna ;36 ;270 ;78 ;446 ;11:5 ;59 ;10 ;85 ;1,722 ;5,635 ;665 ;--- ;- ;- ;22 ;11 ;11,690 ;- ;I ;- ;8 ;- ;- ;- ;- ;;650 ;231 ;9 ;22 ;8 ;3x0 ;48 ;;94 - ;223 ;36 ;4,200 ;;
;Summa för hela länet &r 1890 ;19,855 ;144,813 ;10.512 ;61,665 ;801 ;4,200 ;3,779 ;27,173 ;113,808 ;354,370 ;54,218 ;401 ;631 ;442 ;3,972 ;3,294 ;1,865,568 ;1.019 ;570 ;464 ;1.669 ;0: ;S ;172 ;60 ;;7,950 ;22.052 ;2,896 ;9,132 ;2,317 ;69.097 ;16,831 ;42,843 ;31 ;18,909 ;2,612 ;124,847 ;;
;1889 ;18,735 ;111,616 ;10,704 ;64,407 ;808 ;6,095 ;3,088 ;15,796 ;112,613 ;880,792 ;40,498 ;418 ;799 ;302 ;4,645 ;4.60 ;884,820 ;817 ;743 ;720 ;2,199 ;;7 ;26 ;;2 ;7,492 ;21.624 ;2.972 ;9,379 ;2,357 ;68,020 ;16,750 ;42,828 ;36 ;18,366 ;1,133 ;148,300) ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;





