Table: Table_1

Singö ;14 ;91 ;34 ;7,042 ;- ;350 ;661 ;6,031 ;20 ;11 ;45 ;- ;20 ;11 ;45 ;- ;47 ;44 ;29 ;92 ;5 ;6 ;- ;66 ;12 ;49 ;5 ;- ;64 ;- ;70 ;11 ;- ;18 ;
Summa ;174,88 ;562 ;258 ;61,939 ;12 ;4,356 ;10,991 ;41,865 ;52 ;452 ;48 ;- ;52 ;436 ;48 ;- ;1,173 ;967 ;339 ;655 ;19 ;71 ;- ;69 ;12 ;1,197 ;120 ;- ;1,054 ;- ;871 ;220 ;28 ;261 ;
Akers skeppslag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Öster-Äker ;84,88 ;99 ;116 ;22,303 ;12 ;3,088 ;2,232 ;16,539 ;4 ;46 ;31 ;7 ;-- ;45 ;16 ;4 ;629 ;665 ;93 ;159 ;21 ;10 ;70 ;812 ;- ;628 ;119 ;- ;398 ;- ;92 ;570 ;14 ;81 ;
Riale ;24,18 ;92 ;24 ;13,477 ;1 ;1,307 ;1,624 ;10,545 ;- ;81 ;1 ;- ;1 ;18 ;- ;- ;878 ;256 ;42 ;79 ;- ;5 ;- ;157 ;- ;891 ;33 ;- ;216 ;- ;105 ;109 ;1 ;33 ;
Kulla ;23,38 ;31 ;21 ;8,475 ;32 ;908 ;799 ;6,678 ;2 ;15 ;- ;1 ;7 ;42 ;2 ;1 ;220 ;200 ;60 ;25 ;- ;- ;30 ;73 ;- ;300 ;28 ;t ;138 ;- ;47 ;186 ;- ;24 ;
Norr-Ljusterö ;19,25 ;41 ;2 ;5,187 ;- ;421 ;581 ;2,840 ;1 ;15 ;17 ;8 ;1 ;15 ;17 ;8 ;118 ;102 ;20 ;18 ;- ;3 ;- ;31 ;- ;128 ;17 ;- ;76 ;- ;30 ;58 ;- ;15 ;
Summa ;151,64 ;263 ;163 ;49,442 ;45 ;5,724 ;5,236 ;36,602 ;7 ;157 ;49 ;16 ;9 ;115 ;36 ;13 ;1,345 ;1,223 ;215 ;281 ;21 ;18 ;100 ;1,073 ;- ;1,447 ;197 ;* ;828 ;- ;274 ;923 ;15 ;153 ;
Frötuna skeppslag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frötuna ;67,68 ;91 ;95 ;20,485 ;39 ;2,594 ;1,977 ;15,875 ;1 ;42 ;39 ;8 ;27 ;72 ;- ;- ;609 ;501 ;85 ;169 ;15 ;20 ;- ;570 ;- ;629 ;73 ;- ;451 ;- ;228 ;312 ;14 ;80 ;
Râdmanso ;51,88 ;173 ;102 ;16,590 ;3 ;1,334 ;3,263 ;11,990 ;65 ;83 ;2 ;- ;3 ;8 ;2 ;- ;275 ;198 ;51 ;106 ;1 ;7 ;- ;419 ;- ;277 ;21 ;- ;257 ;- ;122 ;111 ;6 ;40 ;
Länna ;80,68 ;152 ;41 ;21,757 ;10 ;1,690 ;2,496 ;1,502 ;1 ;182 ;5 ;- ;- ;11 ;1 ;- ;556 ;278 ;111 ;139 ;- ;8 ;8 ;42 ;- ;594 ;70 ;- ;467 ;- ;235 ;180 ;6 ;76 ;
Blidõ ;25,38 ;133 ;33 ;9,849 ;8 ;367 ;1,941 ;5,157 ;96 ;87 ;- ;- ;96 ;37 ;- ;- ;108 ;39 ;21 ;53 ;% ;3 ;- ;6 ;- ;133 ;21 ;- ;146 ;- ;51 ;18 ;;86 ;
Summa ;225,5% ;549 ;271 ;68,681 ;60 ;5,985 ;9,677 ;34,524 ;163 ;294 ;46 ;3 ;126 ;128 ;3 ;- ;1,548 ;1,016 ;268 ;467 ;18 ;38 ;8 ;1,037 ;- ;1,633 ;185 ;- ;1,321 ;- ;636 ;621 ;26 ;232 ;
Wermdö akeppslag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wermdä ;117,18 ;95 ;143 ;43,515 ;62 ;6,887 ;1,646 ;31,874 ;- ;47 ;31 ;21 ;69 ;104 ;18 ;23 ;790 ;1,290 ;169 ;192 ;22 ;3 ;- ;3,511 ;- ;926 ;213 ;1 ;441 ;- ;436 ;813 ;88 ;138 ;
Ingarö ;21,63 ;30 ;63 ;8,275 ;20 ;1,376 ;348 ;6,498 ;5 ;13 ;- ;1 ;23 ;37 ;4 ;- ;243 ;357 ;56 ;98 ;- ;- ;- ;401 ;- ;221 ;89 ;- ;134 ;- ;55 ;172 ;75 ;27 ;
Djurö ;11,13 ;180 ;- ;10,573 ;3 ;522 ;648 ;9,400 ;84 ;96 ;- ;- ;84 ;96 ;- ;- ;119 ;112 ;17 ;49 ;- ;2 ;- ;118 ;- ;107 ;30 ;- ;80 ;- ;104 ;30 ;- ;18 ;
Bo ;11,95 ;- ;39 ;6,513 ;27 ;957 ;85 ;5,374 ;- ;4 ;9 ;- ;26 ;5 ;9 ;- ;110 ;173 ;18 ;34 ;1 ;- ;- ;506 ;- ;116 ;12 ;- ;62 ;- ;16 ;143 ;84 ;10 ;
Möja ;10,50 ;92 ;1 ;7,483 ;- ;182 ;524 ;6,777 ;65 ;- ;- ;- ;88 ;1 ;- ;- ;41 ;31 ;6 ;30 ;- ;- ;- ;14 ;- ;60 ;5 ;- ;26 ;- ;26 ;5 ;- ;7 ;
Söder-Ljusterö ;23 ;44 ;20 ;6,902 ;1 ;887 ;639 ;2,698 ;6 ;36 ;1 ;1 ;6 ;35 ;1 ;1 ;189 ;181 ;29 ;36 ;4 ;3 ;- ;244 ;- ;201 ;30 ;- ;103 ;- ;60 ;145 ;- ;19 ;
Summa ;194,84 ;441 ;266 ;83,261 ;113 ;10,811 ;3,840 ;62,621 ;160 ;196 ;41 ;23 ;246 ;278 ;32 ;X 24 ;1,492 ;2,144 ;295 ;439 ;27 ;8 ;- ;4,794 ;- ;1,631 ;329 ;1 ;846 ;- ;697 ;1,308 ;197 ;214 ;





