Table: Table_1

Färentuna härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lofö ;21,18 ;13 ;20 ;6,298 ;53 ;1,627 ;160 ;4,239 ;- ;- ;5 ;2 ;7 ;7 ;7 ;4 ;218 ;353 ;32 45 ;72 ;1 ;- ;- ;730 ;10 ;211 ;34 56 ;1 ;142 ;- ;81 158 ;264 416 ;55 122 ;81 52 ;
Ekerö ;40,06 ;28 ;47 ;8.419 ;94 ;3,047 ;555 ;4,400 ;2 ;16 ;8 ;5 ;26 ;25 ;10 ;5 ;457 392 ;766 ;;196 ;4 16 ;- 1 ;106 19 ;786 77 ;- ;738 490 ;42 ;6 ;306 322 ;- ;148 ;353 ;42 ;38 ;
Muneö ;27,25 ;17 ;63 ;3,794 ;13 ;1,753 ;847 ;1,181 ;- ;4 ;4 ;4 ;28 ;86 ;5 ;5 ;;486 ;100 ;172 ;;;;;- ;398 ;61 ;- ;193 ;- ;117 ;187 ;16 ;17 ;
Adelsö ;19,94 ;47 ;36 ;5,562 ;25 ;1,215 ;300 ;4,022 ;10 ;84 ;3 ;1 ;27 ;57 ;4 ;1 ;285 409 ;266 395 ;32 ;95 ;- ;- ;47 9 ;159 ;- ;530 ;;- ;294 ;- ;147 ;154 ;67 ;;
Färentons ;23,18 ;33 ;23 ;3,587 ;26 ;1,881 ;389 ;643 ;1 ;31 ;9 ;1 ;24 ;21 ;11 ;1 ;214 ;180 ;83 32 ;147 ;5 2 ;4 ;;301 135 ;- ;300 ;63 27 ;- ;178 ;- ;67 ;97 ;23 ;59 29 ;
Hillersjö ;12,88 ;19 ;7 ;2,255 ;44 ;923 ;156 ;260 ;- ;20 ;5 ;- ;7 ;14 ;5 ;- ;;;;60 ;;- ;- ;;- ;522 ;88 ;- ;287 ;- - ;154 ;152 ;44 ;70 ;
Sanga ;28,56 ;32 ;33 ;3,535 ;26 ;1,590 ;448 ;1,472 ;1 ;3 ;28 ;1 ;- ;10 ;27 ;1 ;398 395 ;351 ;88 ;103 ;- ;- ;40 ;89 ;- ;570 ;60 ;- ;317 ;;153 ;89 ;111 ;;
Sk& ;26,26 ;44 ;16 ;3,069 ;21 ;1,617 ;356 ;1,075 ;;42 ;14 ;2 ;- ;20 ;22 ;2 ;;351 ;78 ;115 ;- ;- ;- ;107 ;- ;;;- ;;- ;;;;60 ;
Summa ;198,95 ;233 ;245 ;36,519 ;302 ;13,653 ;3,211 ;17,292 ;14 ;150 ;76 ;16 ;119 ;190 ;91 ;19 ;2,768 ;3,148 ;490 ;960 ;28 ;5 ;221 ;2,334 ;10 ;3,759 ;431 ;7 ;2,039 ;- ;1,025 ;1,712 ;480 ;356 ;
Danderyds skeppslag. ;;;;;;;;;;- ;;;;;;;;;;;;;;;;;;;;;;;;;
Östra Ryd ;34 ;50 ;60 ;13,483 ;207 ;1,422 ;1,651 ;10,209 ;- ;30 ;16 ;4 ;- ;30 ;16 ;4 ;509 659 ;110 1,005 ;47 94 ;39 89 ;- ;- ;- ;193 971 ;- ;524 659 ;51 129 ;- ;300 394 ;- - ;84 68 ;12 860 ;8 20 ;26 52 ;
Täby ;58,38 ;37 ;30 ;9,774 ;39 ;3,484 ;355 ;5,896 ;- ;15 ;19 ;3 ;- ;15 ;19 ;3 ;191 ;469 ;42 ;;8 9 ;- ;- 18 ;601 ;- ;150 ;35 ;- 5 ;124 ;- ;49 ;269 ;121 ;24 ;
Danderyd ;15,88 ;17 ;18 ;5,105 ;49 ;1,580 ;121 ;3,290 ;- ;1 ;13 ;2 ;1 ;17 ;13 ;2 ;111 ;253 ;37 ;100 63 ;2 ;- ;;842 ;- 10 ;115 ;9 ;3 ;65 ;- ;17 ;159 ;43 ;30 ;
Lidingö ;9,25 ;25 ;13 ;5,334 ;40 ;1,422 ;30 ;3,842 ;3 ;10 ;7 ;- ;2 ;5 ;2 ;1 ;68 ;222 ;13 ;86 ;10 ;- ;- 36 ;807 ;14 ;48 ;10 ;- ;32 ;- ;4 ;261 ;20 ;7 ;
Solos ;17,75 ;54 ;54 ;3,460 ;62 ;1,804 ;111 ;1,829 ;4 ;25 ;13 ;- ;66 ;30 ;12 ;- ;;;;;;- ;;;;;;;;;16 ;7 ;25 ;;
Kongl. Djurgärden ;- ;54 ;- ;2,715 ;97 ;319 ;844 ;1.454 ;- ;- ;- ;1 ;25 ;19 ;6 ;3 ;10 ;28 ;- ;10 ;4 ;- ;- ;243 ;34 ;7 ;12 ;- ;6 ;- ;;;;- ;
Summa ;135,28 ;237 ;175 ;39,871 ;494 ;9,531 ;3,112 ;26,514 ;7 ;81 ;68 ;10 ;94 ;116 ;68 ;13 ;1,548 ;2,087 ;233 ;387 ;33 ;- ;54 ;3,657 ;58 ;1,503 ;246 ;8 ;921 ;-- ;238 ;1,568 ;237 ;139 ;
LAnghundra härad. ;;;;;;;;;;;;;;;;;603 ;383 ;;;;2 ;;64 ;;872 ;90 ;;450 ;- ;243 ;117 ;30 ;25 ;
Lagga ;43,25 ;89 ;70 ;8,618 ;12 ;2,020 ;1,478 ;6,108 ;9 ;57 ;13 ;1 ;8 ;49 ;10 ;3 ;555 ;348 ;38 34 ;46 51 ;12 9 ;2 ;- 14 ;207 ;- - ;793 ;74 ;- - ;398 ;- ;115 ;207 ;20 ;29 ;
Östuna ;43,19 ;38 ;67 ;7,984 ;27 ;2,013 ;737 ;1,486 ;1 ;18 ;8 ;4 ;1 ;17 ;9 ;4 ;573 ;321 ;49 ;72 ;19 ;4 ;7 ;329 ;- ;747 ;74 ;- ;360 ;- ;127 ;147 ;12 ;34 ;
Husby ;44 ;102 ;47 ;10,320 ;9 ;2,121 ;1,434 ;6,756 ;- ;42 ;8 ;1 ;24 ;15 ;- ;1 ;606 ;444 ;- ;- ;- ;- ;- ;- ;- ;- ;81 ;- ;360 ;- ;146 ;319 ;34 ;45 ;
Närtuna ;47,75 ;123 ;56 ;8,185 ;10 ;2,194 ;1,077 ;4,908 ;5 ;57 ;11 ;- ;53 ;31 ;4 ;- ;532 ;315 ;102 ;62 ;- ;5 ;- ;280 ;- ;400 ;65 ;- ;335 ;- ;155 ;200 ;- ;34 ;
Gottröra ;37,75 ;28 ;- ;4,024 ;5 ;1.696 ;933 ;1,300 ;- ;10 ;5 ;1 ;- ;42 ;6 ;1 ;284 ;164 ;31 ;73 ;12 ;6 ;- ;54 ;- ;608 ;42 ;- ;169 ;- ;32 ;134 ;11 ;24 ;
Kârsta ;27,88 ;63 ;35 ;7,532 ;- ;1,232 ;898 ;5,402 ;- ;54 ;3 ;- ;25 ;62 ;3 ;- ;350 ;717 ;107 ;75 ;5 ;6 ;42 ;442 ;- ;469 ;77 ;- ;209 ;- ;98 ;616 ;68 ;50 ;
Garn ;31,88 ;43 ;48 ;17,071 ;10 ;2,212 ;1.140 ;13,710 ;- ;31 ;1 ;5 ;30 ;25 ;- ;- ;;;;;;;;;;;;;;;;;;;
Summa ;274,20 ;486 ;323 ;63,734 ;73 ;13.488 ;7,697 ;39,665 ;15 ;269 ;49 ;12 ;141 ;241 ;32 ;9 ;3,503 ;2,692 ;361 ;379 ;57 ;25 ;63 ;1,376 ;- ;3,889 ;503 ;- ;2,281 ;- ;916 ;1,740 ;175 ;241 ;





