Table: Table_1

Salem ;- ;49 ;394 ;1 ;- ;- ;- ;605 ;- ;1,880 ;- ;689 ;2,642 ;120 ;284 ;- ;291 ;3,275 ;420 ;- ;- ;- ;480 ;32,640 ;- ;-- ;- ;72 ;2 ;201 ;19 ;362 ;92 ;307 ;- ;145 ;- ;
Huddinge ;- ;169 ;743 ;- ;- ;- ;- ;732 ;- ;2,979 ;- ;1,063 ;7,766 ;941 ;331 ;- ;501 ;4,008 ;- ;- ;- ;- ;12,520 ;60,934 ;- ;- ;- ;246 ;- ;312 ;33 ;1,117 ;50 ;403 ;- ;239 ;535 ;
Brännkyrka ;1 ;111 ;1,029 ;- ;- ;- ;- ;730 ;14 ;2,514 ;- ;1,757 ;4,300 ;307 ;278 ;1 ;193 ;5,364 ;235 ;- ;- ;- ;14,830 ;42,105 ;- ;- ;- ;246 ;4 ;228 ;24 ;993 ;42 ;235 ;- ;197 ;78 ;
Nacka och Erstavik ;- ;26 ;170 ;- ;- ;- ;- ;112 ;- ;371 ;- ;92 ;815 ;- ;139 ;- ;117 ;1,346 ;- ;- ;- ;- ;336 ;8.216 ;- ;- ;- ;60 ;;43 ;8 ;168 ;19 ;165 ;- ;26 ;- ;
Danviks och Siklaö ;- ;27 ;279 ;- ;- ;- ;- ;35 ;- ;204 ;- ;354 ;538 ;140 ;51 ;- ;- ;1.795 ;;- ;- ;- ;720 ;6.128 ;- ;- ;- ;32 ;;26 ;6 ;178 ;;20 ;- ;62 ;- ;
Summa ;1 ;487 ;4,396 ;14 ;- ;34 ;- ;4,184 ;27 ;16,047 ;- ;4,816 ;24,452 ;1,716 ;1,759 ;1 ;1,636 ;25,433 ;3,425 3,437 ;12 ;2 ;19.60 ;33,775 ;211,039 ;- ;- ;- ;1,013 ;21 ;1,462 ;152 ;4,347 ;415 ;1,867 ;- ;1,137 ;613 ;
Öknebo härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I ;;;;
Õster-Telje ;- ;14 ;120 ;- ;- ;- ;- ;170 ;- ;760 ;- ;52 ;1,281 ;- ;66 ;;107 ;730 ;85 ;- ;- ;- ;- ;11,440 ;;- ;- ;31 ;2 ;85 ;8 ;222 ;37 ;241 ;- ;119 ;- ;
Wester-Telje ;- ;10 ;141 ;- ;- ;- ;- ;107 ;- ;572 ;- ;210 ;945 ;100 ;66 ;- ;53 ;440 ;450 ;- ;- ;- ;--- ;11,224 ;- ;- ;- ;33 ;- ;104 ;7 ;113 ;20 ;136 ;- ;13 ;- ;
Tveta ;- ;16 ;580 ;4 ;- ;- ;- ;291 ;- ;1,971 ;- ;177 ;1,450 ;111 ;116 ;- ;55 ;3,423 ;63 ;566 ;5 ;10.70 ;2,464 ;15,368 ;- ;- ;- ;64 ;3 ;205 ;20 ;297 ;120 ;464 ;- ;140 ;- ;
Õfver-Jerna ;- ;21 ;520 ;3 ;- ;- ;- ;208 ;- ;2,122 ;- ;189 ;1,768 ;- ;88 ;;57 ;3,069 ;175 ;- ;4 ;11.60 ;480 ;14,920 ;- ;- ;- ;37 ;2 ;243 ;27 ;443 ;121 ;470 ;- ;77 ;- ;
Ytter-Jerna ;- ;6 ;436 ;3 ;- ;- ;- ;672 ;- ;2,949 ;- ;201 ;2,065 ;- ;265 ;- ;68 ;2,526 ;- ;- ;6 ;6.30 ;- ;20,872 ;- ;- ;- ;67 ;1 ;233 ;21 ;403 ;126 ;372 ;- ;102 ;- ;
Wärdinge ;- ;46 ;483 ;2 ;- ;6 ;- ;1,129 ;- ;3,609 ;- ;628 ;3,366 ;235 ;315 ;- ;186 ;2,456 ;170 ;35 ;5 ;10.80 ;2,736 ;26,216 ;- ;- ;- ;83 ;5 ;326 ;29 ;574 ;159 ;571 ;- ;11 ;- ;
Turinge ;- ;36 ;760 ;6 ;- ;30 ;- ;760 ;- ;3,774 ;- ;372 ;4,417 ;- ;302 ;- ;126 ;5.238 ;940 ;530 ;16 ;35.20 ;4.480 ;33,280 ;;X 33.80 ;- ;140 ;;366 ;32 ;580 ;190 ;520 ;- ;230 ;- ;
Summa ;- ;149 ;3.040 ;18 ;- ;X 36 ;- ;3,337 ;- ;15,757 ;- ;1,829 ;15,292 ;446 ;1.208 ;- ;652 ;17,882 ;1.883 ;1.131 ;36 ;74.60 ;10 160 ;133.320 ;-- ;33 80 ;- ;455 ;13 ;1.562 ;114 ;2.632 ;773 ;2.774 ;- ;692 ;- ;
Semma für landshygden ;359 ;1,966 ;62,057 ;527 ;1 ;459 ;46. 61 ;49,103 ;X 307 ;221,256 ;X 52 ;89,251 ;168,376 ;23,853 ;27,026 ;2,061 ;8,388 ;377,476 ;3.014 ;;757 ;1,488. 68 ;118,595 ;2.167.616 ;2 ;66. 80 ;600 ;19,822 ;1,553 ;10,326 ;2,040 ;51,238 ;10,845 ;49,314 ;X 145 ;18.490 ;1,403 ;





