Table: Table_1

;;40 ;11. ;42 ;43 ;44 ;45 ;46. ;47. ;48 ;49 Il ;50. ;52. ;53. ;54 I ;55. ;56 ;67. ;62. ;65 ;66. ;67. ;70. ;71. ;72. ;78. ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81. ;82. ;88. ;1 ;
26i ;Täby ;520 ;3,954 ;129 ;929 ;2 ;6 ;o ;38 ;1,591 ;10,342 ;810 ;;;- ;82 ;80 ;19,275 ;-- ;2 ;- ;2 ;2 ;- ;30 ;237 ;11 ;109 ;25 ;859 ;145 ;277 ;- ;253 ;40 ;1,230 ;26 ;
27 ;Danderyd ;186 ;1,414 ;57 ;410 ;- ;- ;- ;;656 ;4,264 ;265 ;;;- ;24 ;30 ;8,131 ;;4 ;- ;10 ;2 ;;100 ;118 ;2 ;42 ;7 ;437 ;23 ;10 ;- ;137 ;10 ;520 ;27 ;
98 ;Lidingö ;299 ;2,272 ;60 ;432 ;;- ;- ;- ;830 ;5,395 ;545 ;- ;- ;--- ;28 ;20 ;7,755 ;18 ;;- ;2 ;5 ;1 ;60 ;115 ;1 ;30 ;;353 ;47 ;13 ;- ;79 ;5 ;1,050 ;28 ;
29 ;Solna ;103 ;783 ;37 ;266 ;- ;- ;- ;- ;799 ;5,194 ;2,700 ;- ;-- ;- ;13 ;10 ;5,015 ;X 814 ;2 ;- ;2 ;3 ;- ;100 ;225 ;3 ;24 ;2 ;394 ;3 ;12 ;- ;567 ;18 ;1.330 ;29 ;
;Dunderyds skeppslag ;1,861 ;14,148 ;369 ;2,656 ;7 ;22 ;22 ;167 ;5,447 ;35,407 ;6,210 ;- ;-- ;;223 ;190 ;56,176 ;X 832 ;11 ;- ;20 ;62 ;6 ;370 ;946 ;56 ;293 ;77 ;2,810 ;422 ;788 ;;1,265 ;163 ;5,590 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- ;;;;;
30 ;Üsteräker ;730 ;5.475 ;197 ;1,181 ;11 ;43 ;126 ;880 ;1,809 ;11,398 ;- ;6 ;16 ;6 ;87 ;90 ;22,600 ;- ;3 ;- ;6 ;3 ;;30 ;337 ;42 ;113 ;42 ;1,044 ;267 ;532 ;- ;252 ;15 ;1,730 ;30 ;
81 ;Roslaga-Kulla ;175 ;1,313 ;50 ;298 ;4 ;17 ;41 ;290 ;622 ;3,919 ;- ;3 ;8 ;3 ;25 ;30 ;5,777 ;- ;;- ;4 ;30 ;1 ;30 ;100 ;21 ;32 ;10 ;349 ;83 ;189 ;3 ;90 ;24 ;470 ;81 ;
32 ;Riala ;216 ;1,620 ;101 ;600 ;12 ;49 ;48 ;334 ;1.264 ;7,965 ;- ;6 ;15 ;,10 ;29 ;80 ;8.600 ;- ;1 ;- ;2 ;10 ;1 ;30 ;232 ;29 ;32 ;17 ;700 ;184 ;459 ;- ;162 ;64 ;950 ;82 ;
38 ;Ljusterö ;187 ;1,404 ;110 ;658 ;9 ;35 ;35 ;247 ;1,315 ;8,285 ;- ;7 ;19 ;7 ;36 ;35 ;9,986 ;- ;4 ;- ;1 ;- ;- ;14 ;213 ;33 ;55 ;24 ;727 ;187 ;662 ;- ;228 ;22 ;1,350 ;88 ;
;Akers skeppalag ;1,808 ;9,812 ;458 ;2.740 ;36 ;144 ;250 ;1,751 ;5,010 ;31,567 ;-- ;22 ;58 ;26 ;177 ;185 ;46,963 ;- ;9 ;- ;13 ;48 ;2 ;104 ;882 ;125 ;232 ;93 ;2,820 ;721 ;1,849 ;X $ ;782 ;125 ;4,500 ;;
84- ;Vermido ;374 ;2,805 ;286 ;2,000 ;8 ;26 ;119 ;893 ;3,107 ;20,198 ;1,050 ;- ;- ;- ;135 ;110 ;36,475 ;- ;3 ;- ;5 ;5 ;1 ;150 ;482 ;35 ;216 ;65 ;1,570 ;456 ;996 ;- ;447 ;67 ;2,710 ;84 ;
35' ;Ingarö ;29 ;218 ;50 ;348 ;2 ;6 ;28 ;210 ;840 ;5,463 ;;2 ;b ;3 ;26 ;30 ;6,426 ;- ;1 ;- ;2 ;- ;- ;40 ;109 ;5 ;56 ;12 ;437 ;91 ;291 ;- ;114 ;44 ;660 ;85 ;
36 ;Djurö ;13 ;99 ;34 ;239 ;3 ;10 ;3 ;23 ;992 ;6,448 ;...... ;- ;- ;- ;9 ;10 ;2,577 ;- ;1 ;- ;;- ;- ;30 ;72 ;4 ;12 ;9 ;321 ;68 ;179 ;- ;76 ;;650 ;86 ;
37 ;Bo ;75 ;564 ;36 ;253 ;1 ;3 ;42 ;315 ;577 ;3,752 ;- ;;- ;- ;21 ;20 ;5,548 ;- ;1 ;- ;1 ;2 ;1 ;100 ;72 ;2 ;23 ;6 ;333 ;44 ;40 ;;83 ;20 ;835 ;87 ;
38 ;Möjn ;- ;- ;20 ;139 ;2 ;6 ;2 ;15 ;709 ;4,610 ;--- ;- ;- ;- ;1 ;1 ;297 ;- ;- ;- ;- ;- ;- ;-- ;27 ;4 ;;7 ;200 ;63 ;269 ;- - ;27 ;;155 ;188 ;
;Verindo skeppslag ;491 ;3,686 ;426 ;2.979 ;16 ;51 ;194 ;1,456 ;6,225 ;40,471 ;1.050 ;2 ;5 ;3 ;192 ;171 ;51,323 ;- ;6 ;- ;8 ;7 ;2 ;320 ;762 ;50 ;307 ;99 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,861 ;722 ;1,775 ;- ;747 ;181 ;5.010 ;;
39 ;Österhaninge ;199 ;1,595 ;150 ;1,049 ;6 ;25 ;79 ;578 ;2,431 ;16.048 ;3,200 ;7 ;19 ;11 ;91 ;100 ;24,856 ;- ;5 ;- ;5 ;10 ;1 ;90 ;370 ;39 ;210 ;33 ;1,452 ;352 ;631 ;-- ;341 ;21 ;1,780 ;89 ;
40 ;Ornö ;11 ;87 ;28 ;160 ;3 ;12 ;- ;;463 ;3.057 ;318 ;2 ;5 ;4 ;13 ;15 ;2,265 ;- ;;- ;1 ;5 ;;25 ;42 ;6 ;46 ;3 ;;;;;;;;;
41 ;Nümdö ;- ;;9 ;64 ;1 ;3 ;- ;----- ;337 ;2,225 ;- ;;;;2 ;2 ;470 ;- ;1 ;- ;1 ;;- ;20 ;13 ;;20 ;;215 ;75 ;237 ;- ;82 ;5 ;315 ;40 ;
49. ;Uto ;;;21 ;148 ;1 ;;;;;;;;;;;;;;;;;- ;- ;;;;;4 ;107 ;15 ;151 ;- ;33 ;5 ;165 ;41 ;
43 ;Tyresö ;85 ;678 ;78 ;547 ;1 ;4 ;26 ;190 ;352 968 ;2.328 6.388 ;;3 ;8 7 ;is ;11 ;12 ;2,446 ;- ;1 ;- ;1 ;;- ;30 ;26 ;2 ;39 ;4 ;221 ;70 ;225 ;- ;48 ;5 ;320 ;42 ;
