Table: Table_1

Radmangö ;51:875 ;910 ;54 ;140 ;7 ;;- ;;;- ;141 ;8,764 ;;1,846 ;1,234 ;4,915 ;245 ;394 ;64 ;80 ;;;;326 ;- ;226 ;99 ;942 ;562 ;4,552 ;- ;- ;- ;-- ;180 ;1,168 ;1.080 ;7,667 ;
Läunn ;79-625 ;163 ;5 ;135 ;8 ;2 ;- ;11 ;;;114 ;12,878 ;13 ;2,362 ;583 ;8,135 ;396 ;642 ;88 ;95 ;2 ;4 ;14 ;742 ;;379 ;184 ;1.748 ;835 ;6,764 ;- ;;1 ;6 ;339 ;2,205 ;1,707 ;12,120 ;
10 Blido ;25.375 ;166 ;62 ;98 ;1 ;;- ;1 ;1 ;;47 ;5,260 ;6 ;531 ;600 ;3,115 ;112 ;148 ;31 ;48 ;- ;;;86 ;- ;106 ;48 ;455 ;255 ;2,066 ;-- ;- ;;- ;67 ;436 ;428 ;3,042 10 ;
Frötuna och Länna skeppslag ;225.500 ;627 ;125 ;139 ;22 ;7 ;;27 ;7 ;;411 ;87,114 ;34 ;6,146 ;2,913 ;22,107 ;1,069 ;1,745 ;249 ;291 ;2 ;8 ;37 ;1,720 ;;1,025 ;474 ;4,504 ;2,330 ;18,874 ;- ;;1 ;6 ;786 ;5,109 ;4,909 ;84,856 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11 Spauga ;52-025 ;68 ;--- ;28 ;13 ;4 ;;12 ;10 ;;44 ;5,032 ;47 ;2,279 ;48 ;2.149 ;311 ;590 ;111 ;79 ;3 ;- ;39 ;819 ;1 ;326 ;256 ;2.458 ;567 ;5,105 ;- ;;-- ;-- ;187 ;1,310 ;980 ;6,370,11 ;
12 Jerfälla ;29-250 ;18 ;;;3 ;6 ;1 ;4 ;1 ;;48 ;4,571 ;21 ;1,487 ;;1,952 ;202 ;370 ;73 ;43 ;5 ;;30 ;553 ;;211 ;144 ;1,380 ;338 ;3,040 ;;;----- ;- ;151 ;1,057 ;835 ;5,429(12 ;
18 Ed ;28:125 ;24 ;- ;;2 ;3 ;1 ;8 ;9 ;;35 ;4,021 ;17 ;1,108 ;81 ;2,369 ;161 ;322 ;42 ;36 ;;- ;21 ;351 ;;175 ;157 ;1,405 ;251 ;2,259 ;-- ;- ;;;153 ;1,072 ;755 ;4,908 18 ;
14 Sollentuna ;88:250 ;22 ;;4 ;4 ;2 ;;2 ;ti ;4 ;23 ;4,915 ;15 ;1,651 ;43 ;2,658 ;229 ;496 ;63 ;46 ;;--- ;41 ;512 ;-- ;264 ;294 ;9,822 ;372 ;3,848 ;--- ;- ;8 ;48 ;315 ;2,206 ;809 ;5,260(14 ;
16 Bromma ;25,375 ;27 ;5 ;6 ;;2 ;5 ;1 ;3 ;;12 ;2,380 ;43 ;915 ;12 ;1,058 ;102 ;231 ;48 ;25 ;- ;- ;14 ;373 ;--- ;122 ;72 ;690 ;171 ;1,537 ;- ;-- ;;- ;157 ;1,100 ;126 ;819 15 ;
16 Sundbyberga köping ;2000 ;103 ;94 ;4 ;1 ;;4 ;- ;;;---- ;151 ;27 ;53 ;-- ;40 ;2 ;14 ;;4 ;;;1 ;30 ;;2 ;- ;;4 ;37 ;- ;- ;;- ;- ;;47 ;306 16 ;
Sollentuna harad ;175.025 ;262 ;99 ;45 ;27 ;17 ;11 ;27 ;29 ;7 ;162 ;21,020 ;170 ;7,493 ;184 ;10,221 ;1,007 ;2,023 ;337 ;983 ;8 ;-- ;146 ;2,638 ;1 ;1,100 ;923 ;8,755 ;1,703 ;15,396 ;;- ;8 ;48 ;968 ;6,745 ;3,552 ;23,092 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17 Lofö ;21:125 ;20 ;- ;;;1 ;7 ;2 ;7 ;3 ;18 ;2,821 ;45 ;845 ;99 ;1,002 ;99 ;241 ;30 ;38 ;;- ;19 ;300 ;;118 ;45 ;448 ;201 ;1,910 ;;- ;;;119 ;858 ;587 ;3,992,1 ;
18 Ekerö ;40-062 ;25 ;-- ;;2 ;5 ;;1 ;5 ;2 ;46 ;4,466 ;43 ;1,741 ;180 ;2,194 ;253 ;408 ;77 ;151 ;, ;;30 ;608 ;--- ;212 ;197 ;1,972 ;478 ;4,542 ;47 ;330 ;18 ;125 ;221 ;1.590 ;626 ;4,259,18 ;
19 Munaö ;27:250 ;16 ;- ;;;2 ;;8 ;5 ;2 ;39 ;2,820 ;28 ;1,257 ;162 ;622 ;185 ;292 ;46 ;88 ;;;22 ;452 ;- ;171 ;149 ;1.489 ;357 ;3.394 ;28 ;200 ;;;170 ;1,224 ;618 ;4,200 19 ;
20 Adelsö ;19:937 ;56 ;18 ;25 ;4 ;;;;3 ;;26 ;3,063 ;21 ;868 ;75 ;1,410 ;143 ;211 ;34 ;65 ;1 ;- ;3 ;231 ;;;128 ;1,283 ;257 ;2,443 ;15 ;104 ;-- ;-- ;96 ;692 ;422 ;2,869,20 ;
21 Färentuna ;24:375 ;36 ;;18 ;;;;11 ;;2 ;27 ;2,084 ;20 ;1,026 ;159 ;458 ;183 ;248 ;;99 ;;;;;-- ;175 ;169 ;;355 ;3,375 ;2 ;15 ;- ;- ;;1.900 ;472 ;;
22 Hilleshög ;12:625 ;15 ;1 ;5 ;B ;1 ;;;;1 ;13 ;1,442 ;31 ;575 ;58 ;889 ;80 ;141 ;63 42 ;43 ;2 ;1 . ;2 7 ;229 178 ;- ;199 77 ;87 ;1,692 868 ;141 ;1,342 ;4 ;27 ;-- - ;- - ;264 136 ;979 ;299 ;3,212,21 2,035122 ;
28 Sânga ;28:568 ;39 ;4 ;14 ;8 ;;;1 ;13 ;;44 ;2,599 ;19 ;1,140 ;190 ;741 ;183 ;811 ;106 ;105 ;;- ;;275 ;;159 ;211 ;2.109 ;341 ;3,240 ;13 ;90 ;- ;-- ;299 ;2.156 ;717 ;4,875,23 ;
24 Skâ ;26-191 ;49 ;1 ;81 ;2 ;;;10 ;3 ;;12 ;1,859 ;13 ;935 ;156 ;124 ;152 ;225 ;50 ;66 ;;;4 ;274 ;;164 ;163 ;1,630 ;253 ;2,400 ;2 ;14 ;;- ;244 ;1,757 ;375 ;2,554 24 ;
Färentuna härnd ;200-181 ;256 ;24 ;102 ;16 ;10 ;11 ;as ;42 ;13 ;225 ;21,154 ;220 ;8,382 ;1,074 ;6,940 ;1.283 ;2.077 ;448 ;653 ;8 ;1 ;88 ;2,547 ;;1,275 ;1,149 ;11,491 ;2.388 ;22.646 ;111 ;780 ;18 ;125 ;1,549 ;11,156 ;4,116 ;27,996 ;
25 Ostru Rvd ;34-000 ;38 ;! 1 ;1 ;;1 ;1 ;18 ;14 ;2 ;54 ;7,261 ;25 ;1,799 ;61 ;4,687 ;225 ;466 ;73 ;74 ;i ;;46 ;667 ;;;167 ;1.703 ;366 ;3.658 ;;;;;197 ;1.382 ;;;
26 Tüby ;57:875 ;38 ;;5 ;9 ;6 ;;;9 ;2 ;58 ;5,685 ;21 ;2,150 ;18 ;3,312 ;291 ;567 ;74 ;70 ;;- ;30 ;803 ;;241 312 ;184 ;1,879 ;525 ;5,250 ;;- - ;- -- ;-- - ;115 ;800 ;850 1,417 ;6,124.25 10,200 26 ;
27 Danderyd ;15 875 ;24 ;2 ;8 ;5 ;- ;1 ;4 ;;2 ;9 ;2,628 ;31 ;821 ;27 ;1,449 ;81 ;233 ;26 ;29 ;;- ;22 ;339 ;;90 ;28 ;234 ;163 ;1.629 ;;;- ;- ;49 ;343 ;665 ;4,788'27 ;
28 Lidingö ;9.250 ;27 ;4 ;;;- ;1 ;2 ;4 ;1 ;28 ;2,868 ;39 ;776 ;7 ;1,767 ;92 ;173 ;33 ;37 ;2 ;- ;32 ;328 ;1 ;83 ;39 ;400 ;171 ;1.712 ;16 ;109 ;;-- ;39 ;275 ;291 ;2,096 28 ;
29 Solna ;17:562 ;54 ;14 ;6 ;2 ;;10 ;16 ;5 ;1 ;96 ;1,803 ;152 ;571 ;51 ;726 ;42 ;137 ;21 ;35 ;10 ;;27 ;209 ;48 ;42 ;23 ;236 ;85 ;847 ;6 ;41 ;- ;;13 ;90 ;417 ;3,000,29 ;
Danderyds skeppslag ;134-562 ;181 ;21 ;28 ;23 ;7 ;13 ;47 ;34 ;8 ;245 ;20,240 ;268 ;6,117 ;164 ;11,941 ;781 ;1.576 ;227 ;245 ;23 ;;157 ;2,841 ;49 ;768 ;436 ;4,452 ;1,310 ;18,096 ;22 ;150 ;;- ;413 ;2,890 ;3,640 ;98.208 ;
80 Osteriker ;84:875 ;98 ;- ;44 ;13 ;4 ;1 ;20 ;15 ;1 ;103 ;13,827 ;16 ;2,788 ;240 ;7,210 ;387 ;;98 ;79 ;;2 ;;;;;;;;;;;;;;;;;
81 Roslugs-Kulla ;21:375 ;28 ;;16 ;1 ;;;6 ;4 ;;28 ;4,003 ;11 ;756 ;135 ;2,465 ;108 ;772 224 ;;28 ;;;24 ;983 251 ;;893 ;182 ;1,765 ;802 ;6,817 ;;;- ;;220 ;1.454 ;1,879 ;13,155,80 ;
32 Riala ;24:125 ;96 ;- ;72 ;o ;;;17 ;;;46 ;8,199 ;5 ;1,330 ;295 ;4,540 ;231 ;379 ;29 48 ;55 ;- ;;8 12 ;374 ;- ;107 228 ;52 111 ;504 1,077 ;209 479 ;1.777 ;;- ;- ;;99 ;653 ;575 ;4,025(81 ;
83 Ljustero ;58:125 ;131 ;8 ;89 ;9 ;2 ;;19 ;4 ;;47 ;9,267 ;8 ;1,430 ;004 ;5,425 ;230 ;429 ;47 ;55 ;- ;2 ;7 ;434 ;;226 ;128 ;1.242 ;403 ;4,075 3,426 ;-- 6 ;43 ;-- ;- ;203 ;1,340 ;963 ;6,740'82 ;
Äkers skeppslag ;183.500 ;858 ;8 ;221 ;28 ;8 ;1 ;62 ;24 ;1 ;224 ;35,296 ;40 ;6,254 ;974 ;19,640 ;956 ;1,804 ;222 ;217 ;-- ;8 ;51 ;2.042 ;--- --- ;954 ;473 ;4,588 ;1,893 ;16,095 ;6 ;43 ;- - ;- - ;156 678 ;1.032 4,479 ;1,196 4.618 ;8,374(33 32.294 ;
34 Vermdo ;108-250 ;150 ;6 ;90 ;9 ;6 ;;19 ;16 ;4 ;119 ;22,022 ;60 ;8.904 ;588 ;12,019 ;605 ;;;;;;;;;;;;;;;;;;;;;;
1861 lugarii ;21-625 ;36 ;3 ;14 ;1 ;1 ;;11 ;5 ;1 ;63 ;7,257 ;9 ;796 ;168 ;3,880 ;99 ;1,109 236 ;134 26 ;142 41 ;3 ;- 1 ;40 15 ;1.259 257 ;- ;612 ;339 41 ;2,545 ;1,089 ;7,623 ;20 ;118 ;- ;;245 ;1,593 ;3,653 ;25,570.34 ;
36 Djurö ;11:125 ;170 ;85 ;75 ;;;2 ;8 ;;;55 ;5,288 ;4 ;120 ;145 ;2.440 ;75 ;102 ;13 ;47 ;- - ;-- ;;103 ;- - ;121 80 ;20 ;308 149 ;173 147 ;1.212 1,025 ;;;- ;- ;21 28 ;137 182 ;810 333 ;;
37 Bo ;11:250 ;13 ;;;4 ;1 ;1 ;4 ;2 ;1 ;196 ;3,506 ;36 ;584 ;22 ;1,845 ;66 ;151 ;25 ;26 ;;- ;12 ;222 ;- ;82 ;65 ;490 ;102 ;713 ;;- ;-- ;;;;;2,332,86 ;
38 Möjn ;10:500 ;98 ;73 ;24 ;- ;- ;1 ;;- ;;9 ;4,856 ;2) ;155 ;241 ;2.400 ;81 ;49 ;8 ;35 ;- ;;;12 ;- ;20 ;14 ;104 ;71 ;500 ;-- ;- - ;;;26 68 ;169 445 ;569 94 ;3,985,87 ;
Vermdö skeppslag ;162.750 ;467 ;167 ;203 ;14 ;8 ;4 ;42 ;23 ;6 ;442 ;42,929 ;111 ;5,859 ;1.164 ;22,584 ;;;;;;;;;;;;;;;;;-- ;;;;;66088 ;
;;;;;;;;;;;;;;;;;876 ;1,647 ;206 ;291 ;3 ;1 ;67 ;1,853 ;.-- ;915 ;479 ;8,596 ;1,582 ;11,078 ;90 ;118 ;- ;------ ;388 ;2.528 ;5,459 ;38,215 ;
39 Osterhaninge ;79-167 ;107 ;5 ;40 ;3 ;4 ;4 ;30 ;19 ;2 ;52 ;15,481 ;35 ;2,756 ;241 ;11,602 ;407 ;749 ;71 ;91 ;10 ;;;;;;;;;;;;;;;;;;
401 Ornö ;18:375 ;33 ;;4 ;;;o ;23 ;1 ;;19 ;7,079 ;3 ;359 ;134 ;6,030 ;;;;;;B ;57 ;956 ;- ;412 ;284 ;8,125 ;895 ;8,504 ;- ;-- ;- ;- ;102 ;716 ;2.528 ;18,200 89 ;
41 Nämdo ;5:500 ;85 ;21 ;;;;11 ;1 ;;;;3,810 ;i) ;88 ;225 ;3,142 ;62 ;111 ;9 ;20 ;1 ;1 ;4 ;87 ;- ;64 ;21 ;130 ;150 ;1,425 ;;;;---- ;34 ;237 ;703 ;5,062 40, ;
42 Utö ;8:750 ;10 ;;3 ;- ;;;5 ;1 ;1 ;13 ;4,433 ;6 ;320 ;127 ;3,880 ;14 ;24 ;4 ;14 ;;;;18 ;- ;14 ;9 ;98 ;36 ;342 ;- ;- ;-- ;- ;15 ;106 ;74 ;534.41 ;
43 Tvresö ;19:125 ;34 ;2 ;13 ;;1 ;- ;12 ;;1 ;;;;;;;52 ;93 ;7 ;15 ;;1 ;5 ;94 ;- ;53 ;21 ;132 ;115 ;1,093 ;-- ;;;;21 ;145 ;385 ;2,772,42 ;
144 Dalarö ;3:750 ;8 ;;;2 ;;;5 ;o ;;40 ;7.169 ;10 ;986 ;139 ;5,570 ;149 ;256 ;38 ;41 ;1 ;i ;7 ;355 ;- ;143 ;105 ;1,155 ;299 ;2,844 ;- ;;;- ;: ;260 ;850 ;6,120(43 ;
;;;;;;;;;;;5 ;1,799 ;23 ;112 ;38 ;1,385 ;18 ;30 ;3 ;8 ;;;2 ;35 ;;16 ;11 ;120 ;41 ;390 ;;;;;;;;;
45 Vesterhaninge ;65:354 ;90 ;;60 ;9 ;1 ;;6 ;7 ;4 ;51 ;11,859 ;25 ;2.992 ;261 ;7,568 ;;;;;;;;;- ;;;;;;- ;- ;- ;;10 ;69 ;92 ;665,44 ;
46 Muskö ;14.875 ;38 ;8 ;5 ;;;11 ;7 ;;2 ;85 ;4.078 ;5 ;537 ;193 ;2,955 ;446 ;769 ;92 ;154 ;8 ;;75 ;1,022 ;- ;426 ;369 ;4.060 ;862 ;8,189 ;- ;;;- ;58 ;406 ;2,700 ;19,439|45 ;
47 Osmo ;72625 ;128 ;5 ;64 ;9 ;4 ;- ;25 ;17 ;4 ;125 ;15,851 ;28 ;3,458 ;389 ;9,845 ;81 520 ;150 995 ;14 ;20 ;;2 ;13 ;167 ;---- ;81 ;67 ;737 ;173 ;1,644 ;- ;;- ;- ;8 ;55 ;579 ;4,170,46 ;
48 Sorunda ;89-250 ;219 ;9 ;149 ;17 ;3 ;;31 ;8 ;2 ;74 ;16,632 ;30 ;4.890 ;127 ;10,566 ;;;113 ;112 ;1 ;4 ;61 ;1.111 ;- ;536 ;407 ;4,475 ;1,048 ;9.956 ;- ;;- ;--- ;138 ;964 ;3,396 ;24,450,47 ;
19 Torö ;6:210 ;16 ;;;1 ;;9 ;5 ;- ;1 ;31 ;2,924 ;4 ;826 ;63 ;2,144 ;739 48 ;1.432 86 ;130 10 ;160 18 ;16 ;4 1 ;50 ;1,595 ;--- ;764 ;513 ;5.643 ;1.514 ;14.383 ;--- ;- ;- ;- ;275 ;1,925 ;4,893 ;35,23148 ;
;;;;;;;;;;;;;;;;;;;;;;;10 ;100 ;;53 ;36 ;394 ;85 ;808 ;- ;- ;- ;- ;221 ;1,548 ;74 ;532 49 ;
Sotholms härad ;382-981 ;713 ;50 ;341 ;41 ;16 ;40 ;150 ;58 ;17 ;445 ;90.615 ;174 ;16,819 ;1,937 ;64,687 ;2,586 ;4,695 ;486 ;662 ;37 ;17 ;284 ;5.540 ;- ;2,562 ;1,843 ;20,069 ;5.218 ;49,578 ;- ;- ;- ;- ;919 ;6,490 ;16,274 ;117,175 ;





