Table: Table_1

Faringe ;10 ;2 ;670 ;;20 ;- ;28 ;- ;229 ;- ;2,155 ;- ;1,179 ;514 ;- ;250 ;29 ;12 ;4,590 ;689 ;252 ;25 ;20. ;- ;14,774 ;- ;- ;- ;246 ;24 ;20 ;10 ;437 ;92 ;477 ;- ;188 ;- ;
Bladdker ;6 ;1 ;586 ;;10 ;- ;- ;- ;227 ;- ;1,785 ;-- ;725 ;269 ;- ;97 ;4 ;4 ;3,404 ;103 ;158 ;14 ;17. ;- ;17,280 ;- ;- ;- ;193 ;19 ;38 ;13 ;428 ;107 ;639 ;- ;165 ;- ;
Ununge ;5 ;13 ;782 ;;21 ;- ;- ;-- ;333 ;- ;2,081 ;- ;1,133 ;718 ;90 ;206 ;29 ;100 ;5590 ;115 ;879 ;30 ;24. 60 ;400 ;26,560 ;- ;- ;- ;232 ;48 ;40 ;12 ;509 ;163 ;561 ;- ;243 ;- ;
Edabro ;10 ;3 ;868 ;;13 ;-- ;18 ;- ;251 ;- ;2,289 ;- ;1,325 ;474 ;- ;238 ;58 ;31 ;6,397 ;390 ;208 ;26 ;38 80 ;120 ;21,624 ;- ;- ;- ;317 ;16 ;8 ;20 ;580 ;113 ;639 ;- ;208 ;- ;
Summa ;64 ;50 ;5.491 ;;120 ;- ;46 ;- ;2,661 ;- ;16,199 ;- ;8,259 ;4.037 ;540 ;1,613 ;198 ;364 ;36,401 ;3,341 ;2,526 ;184 ;210. 80 ;1,200 ;139,518 ;- ;- ;- ;1,605 ;196 ;273 ;99 ;3,612 ;662 ;4,437 ;- ;1,531 ;- ;
Lyhundra härad. ;;;;;;;;;;;;;;;;;;;;5,867 ;;;;;;;;;;;;;;;;;;;
Söderby Carl ;2 ;16 ;920 ;;6 ;- ;80 ;- ;885 ;- ;3,496 ;- ;1,661 ;2,201 ;99 ;603 ;16 ;112 ;6,327 ;1,980 ;;9 ;19. 20 ;- ;8,400 ;- ;- ;- ;306 ;40 ;56 ;27 ;587 ;155 ;702 ;- ;209 ;185 ;
Estana ;12 ;7 ;741 ;;20 ;- ;- ;- ;646 ;- ;3,241 ;- ;838 ;1,748 ;445 ;488 ;50 ;30 ;3,588 ;;- ;186 ;- ;96 ;21,624 ;- ;- ;- ;80 ;30 ;60 ;18 ;515 ;106 ;604 ;- ;181 ;- ;
Lohärad ;- ;7 ;368 ;;8 ;- ;4 ;- ;568 ;- ;1,916 ;- ;1,177 ;1,455 ;- ;370 ;36 ;- ;1,968 ;;220 ;11 ;27. 40 ;416 ;9,608 ;- ;- ;- ;185 ;15 ;22 ;5 ;351 ;86 ;345 ;- ;126 ;- ;
Maista ;3 ;1 ;181 ;;2 ;- ;- ;- ;264 ;- ;784 ;- ;249 ;464 ;45 ;181 ;10 ;7 ;906 ;;- ;6 ;10. 80 ;- ;3,632 ;- ;- ;- ;79 ;4 ;20 ;6 ;163 ;34 ;154 ;- ;49 ;- ;
Husby ;9 ;3 ;471 ;;10 ;- ;- ;- ;376 ;- ;1,814 ;- ;625 ;452 ;- ;294 ;61 ;15 ;2,520 ;;- ;20 ;34. ;- ;18,448 ;- ;- ;- ;196 ;21 ;22 ;10 ;355 ;81 ;361 ;- ;159 ;- ;
Summa ;26 ;34 ;2,681 ;;46 ;- ;84 ;- ;2,739 ;- ;11,251 ;- ;4,550 ;6,320 ;589 ;1,886 ;173 ;164 ;15,309 ;2,200 ;;232 ;91. 40 ;512 ;61,712 ;- ;- ;- ;846 ;110 ;180 ;66 ;1.971 ;412 ;2,166 ;- ;724 ;185 ;





