Table: Table_1

7 Alsike ;28-250 ;20 ;;4 ;6 ;3 ;;4 ;;;28 ;3,512 ;13 ;1,125 ;71 ;1,430 ;192 ;269 ;84 33 ;2 ;- ;11 ;399 ;;185 ;150 ;1,425 ;324 2,919 ;- ;-- ;- ;- ;157 ;1,100 ;517 ;3,360 ;;
Knifsta OdensaIn ;40 875 49.875 ;37 73 ;2 I ;6 27 ;2 10 ;8 3 ;;12 17 ;9 15 ;2 ;43 47 ;4,109 5,802 ;19 11 ;1,386 1,928 ;127 107 ;1,995 1,893 ;249 ;375 509 ;43 39 ;- 2 ;- - ;15 19 ;405 638 ;-- - ;260 880 ;185 252 ;1,760 2,396 ;478 4.300 567 5,100 ;- ;- - ;- - ;- ;267 236 ;1,872 1,655 ;624 981 ;4,059 6,375 ;9 ;
9 10 ;32-125 ;47 ;1 ;7 ;8 ;1 ;;16 ;14 ;;72 ;3,859 ;15 ;1,584 ;91 ;1,532 ;315 259 ;429 ;69 51 53 48 ;- ;1 ;12 ;495 ;- ;267 ;225 ;2,139 ;470 4,235 ;- ;;;;196 ;1,375 ;630 ;4,095 ;10 ;
11| Norrsunda ;37:500 ;20 ;;6 ;3 ;;;3 ;6 ;2 ;51 ;3,888 ;16 ;1,274 ;69 ;1,367 ;196 ;287 ;60 40 ;;;36 ;449 ;-- ;206 ;201 ;1,900 ;304 2,733 ;;- ;9 ;59 ;98 ;690 ;554 ;3,600 ;(11 ;
12 Vassunda ;40:875 ;47 ;2 ;16 ;3 ;2 ;1 ;10 ;11 ;2 ;38 ;3,108 ;14 ;1,699 ;112 ;811 ;270 ;402 ;61 11 ;;-- ;31 ;610 ;- ;284 ;176 ;1,675 ;514 4,625 ;- ;;;- ;216 ;1,516 ;740 ;4,818 ;12 ;
13 Hagn ;20.500 ;21 ;1 ;6 ;5 ;1 ;;1 ;5 ;2 ;25 ;1,886 ;6 ;818 ;24 ;618 ;189 ;194 ;25 20 ;;-- ;21 ;269 ;- ;150 ;101 ;920 ;251 2,290 ;;- ;;- ;91 ;634 ;355 ;2,300 ;18 ;
14 S:t Olof ;23:375 ;;-- ;;;1 ;;3 ;1 ;2 ;46 ;2,249 ;;876 ;53 ;865 ;127 ;182 ;433 23 ;4 ;;26 ;831 ;--- ;140 ;116 ;1,108 ;188 1,694 ;- ;;-- ;- ;86 ;600 ;345 ;2,246 ;14 ;
15 S:t Per ;11:625 ;11 ;- ;4 ;- ;1 ;1 ;3 ;;1 ;3 ;1,275 ;3 ;449 ;16 ;405 ;71 ;115 ;17 9 ;;;8 ;151 ;- ;78 ;45 ;426 ;133 1.200 ;--- ;- ;- ;- ;37 ;258 ;245 ;1,595 ;15 ;
Erlinghundra hürad ;284-500 ;283 ;6 ;76 ;37 ;15 ;5 ;69 ;63 ;12 ;358 ;28,688 ;104 ;11.139 ;670 ;10,916 ;1,818 ;2,762 ;405 304 ;8 ;1 ;199 ;8,742 ;- ;1,900 ;1.451 ;18,749 ;3,232 29,096 ;- ;-- ;9 ;59 ;1,884 ;9,700 ;4,991 ;82,448 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 Skepptunn ;46:375 ;50 ;- ;2 ;12 ;4 ;1 ;7 ;24 ;;53 ;3,859 ;10 ;1,962 ;86 ;1,485 ;319 ;527 ;62 18 ;- ;---- ;47 ;613 ;;846 ;244 ;2,270 ;537 4,838 ;-- ;;- ;-- ;220 ;1,475 ;1,081 ;6,812 ;16 ;
11 Lunda 18 Vidbo ;21-500 24:000 ;22 29 ;-- - ;2 11 ;7 4 ;2 ;1 | ;2 ;7 10 ;2 2 ;44 54 ;3,488 2,997 ;7 ;1,219 1.146 ;142 53 ;1,478 1,190 ;201 179 ;826 294 ;27 32 43 36 ;;- 1 ;27 37 ;398 864 ;- -- ;213 192 ;139 134 ;1,292 1,247 ;372 3,350 319 2,875 ;-- -- ;- ;-- ;- -- ;129 167 ;867 1,120 ;647 627 ;4,075 3,950 ;(17 18 ;
19, Skâneln ;32:750 ;22 ;- ;;8 ;1 ;;;9 ;;50 ;3,802 ;11 ;1,457 ;34 ;1.730 ;227 ;361 ;49 114 ;, ;--- ;82 ;517 ;- ;235 ;208 ;1,935 ;388 3,440 ;- ;;- ;;102 ;682 ;741 ;4,669 ;19 ;
20 Markim ;20-125 ;21 ;;2 ;4 ;1 ;;;12 ;1 ;18 ;2,638 ;;1,091 ;45 ;1,035 ;162 ;309 ;29 28 ;1 ;- ;19 ;382 ;- ;166 ;113 ;1,054 ;308 2,778 ;- ;-- ;;- ;86 ;575 ;660 ;4,162 ;20 ;
21 Orkesta ;18:250 ;16 ;;2 ;5 ;2 ;;;6 ;;;;5 ;909 ;9 ;955 ;;;;;;;;;147 ;;;243 2,191 ;;;;;72 ;486 ;458 ;;;
;;;- ;;;;;;;;27 ;2.179 ;;;;;144 ;228 ;29 20 ;- ;- ;28 ;306 ;- ;;90 ;517 ;;;- ;- ;- ;;;;2,655 ;21 ;
22 Frösunda ;32:125 ;50 ;- ;8 ;10 ;1 ;1 ;13 ;16 ;1 ;56 ;3,996 ;10 ;1,446 ;36 ;2,003 ;224 ;390 ;54 41 ;- ;1 ;41 ;455 ;.-- ;240 ;166 ;1,545 ;436 3,723 ;- ;- ;- ;- ;182 ;1,200 ;711 ;4,476 ;22 ;
Seminghundra härnd ;195-125 ;210 ;- ;28 ;50 ;11 ;8 ;27 ;84 ;7 ;302 ;22,959 ;58 ;9,223 ;405 ;9,871 ;1,456 ;2,435 ;293 284 ;8 ;2 ;231 ;8,030 ;- ;1,539 ;1,094 ;9,860 ;2,597 23,195 ;- ;--- ;- ;- ;958 ;6,405 ;4,990 ;30,799 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 Fresta ;21:000 ;23 ;- ;6 ;2 ;3 ;- ;4 ;7 ;;21 ;2,190 ;7 ;906 ;46 ;1,113 ;135 ;227 ;37 25 ;2 ;-- ;23 ;323 ;- ;134 ;103 ;1,000 ;248 2,284 ;- ;;-- ;- ;58 ;408 ;341 ;2,390 ;28 ;
24 Hammarby ;28.500 ;17 ;- ;;;;;;;2 ;20 ;2,071 ;17 ;1,037 ;4 ;810 ;160 ;253 ;42 38 ;- ;;11 ;371 ;;162 ;129 ;1,259 ;807 2,828 ;8 ;60 ;- ;;137 ;960 ;333 ;2,330 ;24 ;
25 Vallentuna ;49:500 ;71 ;;20 ;10 ;2 ;4 ;13 ;22 ;;72 ;6,395 ;13 ;2,218 ;71 ;2,894 ;338 ;578 ;90 67 ;;1 ;33 ;781 ;- ;830 ;217 ;2,109 ;634 5,880 ;;;- ;- ;158 ;1.070 ;1,438 ;10,065 ;25 ;
26 Vada ;17:500 ;18 ;;3 ;6 ;;;;8 ;1 ;27 ;1,851 ;8 ;620 ;62 ;790 ;93 ;191 ;23 16 ;1 ;- ;2 ;195 ;sine ;99 ;68 ;610 ;177 1.630 ;;-- ;- ;- ;65 ;455 ;408 ;2,858 ;26 ;
27 Angarn ;12:250 ;16 ;- ;;;;;3 ;4 ;;12 ;1.779 ;4 ;627 ;11 ;680 ;96 ;164 ;17 16 ;;;9 ;230 ;;95 ;53 ;515 ;204 1,875 ;;- ;- ;- ;23 ;160 ;429 ;3,000 ;27 ;
28 Osseby-Garn ;46:500 ;50 ;-- ;13 ;10 ;5 ;2 ;9 ;10 ;1 ;64 ;11,001 ;18 ;2,435 ;168 ;6,825 ;867 ;699 ;77 66 ;1 ;1 ;34 ;838 ;- ;367 ;201 ;1,950 ;798 7,346 ;- ;- ;- ;- ;159 ;1,114 ;1,931 ;13,520 ;28 ;
Vallentuna hirrad ;175-250 ;190 ;- ;49 ;38 ;11 ;6 ;30 ;51 ;5 ;216 ;25,287 ;62 ;7,888 ;357 ;12,612 ;1.174 ;2,112 ;286 228 ;4 ;2 ;112 ;2,733 ;- ;1,187 ;766 ;7,436 ;2,368 21,798 ;8 ;60 ;- ;- ;595 ;4,167 ;4,880 ;84,168 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29 Böratil ;100,458 ;358 ;11 ;294 ;9 ;- ;8 ;29 ;6 ;1 ;228 ;20,658 ;15 ;3,046 ;2.742 ;11,631 ;616 ;812 ;79 131 ;1 ;;19 ;708 ;- ;676 ;179 ;1,790 ;1,419 12,062 ;- ;- ;- ;- ;839 ;6,718 ;1.838 ;13,785 ;29 ;
30 Edebo ;65.375 ;106 ;1 ;85 ;5 ;4 ;;8 ;3 ;;110 ;12,480 ;6 ;2,496 ;781 ;6,720 ;404 ;641 ;57 77 ;18 ;8 ;28 ;802 ;- ;466 ;111 ;1,109 ;769 5,844 ;- ;--- ;- ;-- ;342 ;2.784 ;1,574 ;11,800 ;80 ;
Foramark ;12:417 ;13 ;;2 ;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31 32 Grüsö ;18:500 ;121 ;24 ;89 ;1 ;;1 ;5 7 ;8 ;;9 57 ;7,968 12,001 ;3 ;573 688 ;585 1,302 ;5,145 3,463 ;90 131 ;158 157 ;12 22 30 43 ;4 ;;8 5 ;184 160 ;-- - ;99 161 ;53 ;72 529 ;166 1,412 297 2.525 ;- ;- - ;- - ;- ;166 149 ;1,325 1,200 ;298 338 ;2,235 2,337 ;(81 ;
33 Harg ;47:625 ;77 ;;51 ;1 ;1 ;;20 ;;;169 ;18,579 ;;1,458 ;2,470 ;11,194 ;262 ;414 ;39 101 ;18 ;3 ;14 ;342 ;;265 ;80 ;805 ;560 ;;;;;491 ;;;;32 ;
34 Hökbufend ;60-042 ;72 ;- ;51 ;1 ;1 ;;18 ;;;63 ;9,650 ;;1.578 ;1,313 ;6,280 ;290 ;437 ;46 58 ;10 ;3 ;18 ;408 ;- - ;313 ;75 ;748 ;4,256 634 5,389 ;;- ;-- --- ;- -- ;418 ;3,925 8,842 ;685 517 ;5,140 3,872 ;33 (34 ;
135 Valö ;46:750 ;129 ;2 ;78 ;5 ;;;38 ;5 ;1 ;78 ;16,517 ;6 ;1,743 ;2,137 ;8,665 ;339 ;516 ;42 64 ;- ;4 ;13 ;395 ;- ;370 ;62 ;619 ;806 6,850 ;9 ;64 ;- ;- ;557 ;4,455 ;1,085 ;8,143 ;35 ;
Frösäkers hirrd ;351:167 ;876 ;as ;650 ;22 ;7 ;9 ;125 ;28 ;2 ;714 ;97,858 ;48 ;11,592 ;11,330 ;58,098 ;2,132 ;8,135 ;305 496 ;51 ;19 ;100 ;2,994 ;;2,850 ;507 ;5,672 ;4,651 38,838 ;9 ;64 ;- ;- ;2,962 ;23,699 ;6,885 ;47,812 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3G Almunge ;56:583 ;95 ;4 ;46 ;18 ;;: - ;13 ;10 ;4 ;148 ;16,617 ;12 ;8,312 ;392 ;8,981 ;551 ;902 ;97 91 ;8 ;;52 ;1,035 ;- ;577 ;294 ;2,998 ;1,090 9,814 ;24 ;175 ;- ;--- ;404 ;3.030 ;2.106 ;15,163 ;;
37 Knutby ;49:500 ;68 ;;13 ;10 ;2 ;- ;84 ;;;81 ;9,068 ;9 ;9,466 ;483 ;4,595 ;399 ;650 ;83 81 ;2 ;3 ;44 ;760 ;- ;444 ;171 ;1,745 ;806 7,252 ;;- ;;;331 ;2,485 ;1.595 ;;36 ;
38 Faringe ;31-875 ;62 ;;33 ;fi ;;--- ;20 ;2 ;1 ;40 ;9,900 ;3 ;1,383 ;425 ;6.136 ;247 ;368 ;37 41 ;;;14 ;390 ;- ;284 ;121 ;1,234 ;497 4,475 ;;;;;;;;11,485 ;37 ;
39 Bladäker ;21:250 ;44 ;- ;20 ;3 ;;--- ;15 ;5 ;1 ;68 ;6,399 ;;1,128 ;5M4 ;4,880 ;198 ;308 ;44 41 ;4 ;3 ;29 ;294 ;-- ;207 ;89 ;909 ;414 8,729 ;- ;- - ;- - ;-- - ;198 182 ;1,575 1,368 ;915 624 ;6,590 4,493 ;38 89 ;
40 Ununge ;98:375 ;58 ;- ;28 ;6 ;2 ;1 ;11 ;5 ;;61 ;13,861 ;;1,154 ;478 ;4,145 ;178 ;312 ;40 48 ;2 ;a ;19 ;365 ;- ;187 ;82 ;888 ;864 3.278 ;;;;;140 ;1,050 ;866 ;6.238 ;!40 ;
415 Edsbro ;28:088 ;112 ;4 ;71 ;14 ;;- ;20 ;3 ;- ;43 ;8,288 ;2 ;1,580 ;675 ;4,900 ;268 ;439 ;51 60 ;1 ;3 ;15 ;464 ;- ;286 ;110 ;1,120 ;564 5,074 ;- ;- ;- ;- ;204 ;1,534 ;1,122 ;8,079 ;41 ;
Närdinghundre härad ;215-666 ;434 ;S ;211 ;57 ;4 ;1 ;113 ;38 ;7 ;441 ;63,633 ;36 ;11,023 ;2,987 ;32.437 ;1,841 ;2,972 ;352 362 ;12 ;18 ;173 ;3,308 ;;1,985 ;867 ;8,844 ;3,735 33,629 ;24 ;175 ;- ;- ;1,459 ;11.042 ;7,228 ;59,048 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42 Vaddo ;88.875 ;382 ;34 ;323 ;1 ;;- ;20 ;A ;;400 ;14,002 ;14 ;2.194 ;2,018 ;7,130 ;413 ;554 ;73 120 ;;5 ;17 ;575 ;-- ;437 ;180 ;1,260 ;996 8,665 ;3 ;17 ;;- ;295 ;2,065 ;1,485 ;9,654 ;.42 ;
43 Hitverö ;64,750 ;238 ;28 ;194 ;11 ;- ;;;no ;- ;135 ;13,203 ;8 ;1.821 ;1.083 ;7,145 ;309 ;443 ;60 89 ;2 ;4 ;18 ;542 ;- ;354 ;140 ;1,358 ;686 5,968 ;1 ;6 ;- - ;- ;289 ;2,024 ;1,187 ;7,716 ;;
44 Singö ;13:500 ;70 ;;69 ;;- ;- ;1 ;- ;;29 ;3,355 ;3 ;319 ;246 ;1,750 ;68 ;81 ;11 18 ;;1 ;2 ;58 ;--- ;80 ;18 ;175 ;169 1,472 ;;- ;- ;- ;51 ;356 ;211 ;1,872 ;43 44 ;
Vaddo och Hafvero skeppsing ;166-625 ;690 ;57 ;586 ;12 ;- ;--- ;29 ;6 ;;564 ;30,560 ;25 ;4,834 ;3,297 ;16,025 ;790 ;1,078 ;144 227 ;2 ;10 ;37 ;1,175 ;- ;871 ;288 ;2,798 ;1,851 16,105 ;4 ;23 ;- ;- ;635 ;4.445 ;2,888 ;18,742 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45 Söderby-Karl ;71:500 ;138 ;6 ;95 ;13 ;2 ;;16 ;6 ;1 ;41 ;10,802 ;11 ;2,804 ;400 ;5,650 ;467 ;741 ;106 91 ;3 ;5 ;37 ;866 ;- ;488 ;201 ;1,975 ;1,029 9,191 ;;;;;277 ;;;;;
46 Estuna ;73:250 ;111 ;12 ;64 ;16 ;1 ;- ;8 ;8 ;2 ;55 ;5,658 ;10 ;2,269 ;250 ;2,325 ;379 ;613 ;89 79 ;;2 ;31 ;661 ;;;183 ;;;- ;- ;- ;--- ;;1,800 ;2,033 ;14.230 ;45 ;
47 Lohärad ;36-625 ;64 ;1 ;40 ;8 ;1 ;- ;9 ;o ;- ;88 ;5,658 ;;1,478 ;821 ;3,507 ;255 ;896 ;55 45 ;5 ;3 ;15 ;436 ;- ;415 268 ;118 ;1,792 1,159 ;769 6,920 517 4,655 ;- ;-- ;- ;- ;228 ;1,484 ;1,505 ;10,535 ;46 ;
48 Malsta ;19:875 ;26 ;;17 ;;1 ;- ;B ;;;14 ;1,436 ;;625 ;29 ;562 ;104 ;186 ;18 21 ;-- ;;8 ;177 ;;110 ;55 ;540 ;213 1,920 ;-- ;;;- ;172 68 ;1,122 410 ;1,027 ;7,188 ;47 ;
49 Husby-Lyhundra ;47:750 ;70 ;9 ;50 ;4 ;;-- ;10 ;4 ;- ;30 ;4,472 ;4 ;1,348 ;136 ;2,172 ;286 ;375 ;61 44 ;- ;1 ;11 ;369 ;- ;248 ;157 ;1,540 ;461 4,152 ;- ;- -- ;- - ;- - ;149 ;971 ;583 1,050 ;4,082 7,349 ;48 49 ;
Lyhundra härad ;249-000 ;409 ;21 ;266 ;45 ;5 ;;46 ;23 ;3 ;178 ;28,016 ;84 ;8,524 ;1,136 ;14,216 ;1,441 ;2,811 ;829 280 ;8 ;15 ;102 ;2,509 ;;1,529 ;714 ;7,006 ;2,989 26,888 ;- ;- ;- ;;889 ! ;5,787 ;6,198 ;48,884 ;;





