Table: Table_1

Medelplana ;;;;3,400 ;;800 ;140 ;6,000 ;- ;8,000 ;1,000 ;27,000 ;1,200 ;- ;;;34,000 ;50,000 ;;;- ;;;90 ;;;;300 ;100 ;200 ;;;400 ;
Sil. ;- ;;;645 ;18 ;550 ;;2,250 ;- ;350 ;9,675 ;;120 ;;100 ;;3,200 ;1,800 ;- ;9 ;;;3,250 ;37 ;;;;95 ;38 ;145 ;;;;
Vedum ;;;;800 ;12 ;2,400 ;- ;18,800 ;- ;;28,000 ;;200 ;- ;280 ;- ;4,800 ;1,000 ;- ;7 ;- ;;;94 ;;;;350 ;100 ;400 ;;;;
Vesterplan ;;;;1,020 ;;180 ;20 ;3,101 ;- ;3,060 ;637 ;X 5,500 ;378 ;;240 ;;5,100 ;450 ;;- ;;;- ;;;;;70 ;52 ;72 ;;;;
Vattlosa ;;;;400 ;;600 ;50 ;1.200 ;- ;100 ;6,000 ;50 ;100 ;- ;250 ;;3,000 ;;30 ;;;;;100 ;;120 ;;400 ;100 ;150 ;;;;
Osterplana ;;;;2,250 ;20 ;160 ;X 10 ;5,500 ;- ;2,240 ;2,240 ;5,150 ;160 ;;4 ;;11,150 ;33,800 ;40 ;2 ;350 ;;7,000 ;75 ;;30 ;;280 ;70 ;150 ;;;;
Summa Kinne härad ;X 8 ;740 ;- ;41,339 ;207 ;13,910 ;X 500 ;85,896 ;X 974 ;20,878 ;227,632 ;30,080 ;5,720 ;57 ;3,077 ;- ;221,934 ;186,925 ;402 ;72 ;19,562 ;;130,710 ;1,077 ;237 ;1,051 ;74 ;4,323 ;1,514 ;3,238 ;2 ;1,104 ;807 ;
Edsvära ;;X 126 ;;3,993 ;;1.386 ;- ;15,120 ;378 ;1.260 ;47,376 ;1,134 ;567 ;- ;756 ;- ;45,738 ;- ;- ;- ;- ;;;156 ;45 ;;;500 ;100 ;200 ;;150 ;;
Fyrunga ;;;;975 ;10 ;2.108 ;- ;6,860 ;- ;630 ;23,815 ;X 1,285 ;603 ;- ;2,184 ;;3,900 ;- ;30 ;4 ;- ;;7.000 ;120 ;;;;244 ;80 ;280 ;;;;
Gerum ;;;;;;1,500 ;- ;7,000 ;- ;720 ;32,520 ;- ;264 ;;930 ;- ;1,500 ;;;;8x ;;4,900 ;;;;;230 ;51 ;303 ;;;;
Händene ;;;;1,848 ;48 ;350 ;;10,506 ;- - ;;17,380 ;;105 ;;105 ;- ;11.088 ;12,000 ;;;;;13,344 ;126 ;;;;300 ;60 ;200 ;;;;
Härlunda ;;;;6,700 ;;800 ;;16,000 ;;1,000 ;20,000 ;X 300 ;230 ;;350 ;;40.200 ;- ;;;300 ;;500 ;50 ;;;;300 ;190 ;160 ;;;;
Härjevad ;;;;630 ;;1,000 ;;7,500 ;;1,250 ;16,500 ;630 ;200 ;;628 ;- ;3,150 ;;;;75 ;;20,000 ;;;;;150 ;;135 ;;;;
Jung. ;;;;1,260 ;24 ;1,650 ;;16,000 ;100 ;1,300 ;37,650 ;2,000 ;2,700 ;- ;1,650 ;- ;6,500 ;2.500 ;55 ;;;;26,000 ;203 ;64 ;27 ;;400 ;200 ;390 ;;;;
Marum ;;;;500 ;;400 ;;4,200 ;;250 ;10,800 ;;120 ;;80 ;- ;2,500 ;500 ;;3 ;;;200 ;28 ;;30 ;;190 ;25 ;50 ;;;;
Qvänum ;;550 ;;X 1,400 ;4ò ;1,800 ;;10,000 ;- ;1,500 ;63,000 ;2,000 ;500 ;- ;1,700 ;- ;4,000 ;;80 ;;;;;130 ;55 ;60 ;;335 ;130 ;290 ;;;;
Saleby ;;100 ;;2.000 ;;7,560 ;- ;26,250 ;- ;2.600 ;90,000 ;4,000 ;1.500 ;;500 ;;10,000 ;;;;- ;;80,000 ;345 ;68 ;;10 ;755 ;247 ;602 ;;;;
Skara landsförsamling ;;;;320 ;35 ;530 ;;4,820 ;- ;711 ;12,608 ;;320 ;;;- ;2.608 ;- ;;15 ;;;7,100 ;62 ;;28 ;;214 ;34 ;122 ;;;;
Skallmeja och 11 mtl af Gerum ;;400 ;;2,000 1,900 ;20 20 ;8,800 ;X 400 ;5.500 14,896 ;50 ;1.800 ;29.500 55,000 ;600 ;800 408 ;100 ;2.500 600 ;- ;10,000 ;- ;80 ;- ;;;;310 ;100 ;40 ;18 ;410 ;250 ;350 ;;;;
Synnerby ;;100 ;;;;4,200 ;100 ;;- ;1,600 200 ;;560 ;250 ;10 ;220 ;- ;15,200 ;- ;60 ;10 ;6,000 ;;30,000 ;184 ;55 ;44 ;G ;570 ;190 ;200 ;;;;
Travad, del ;;;;650 ;10 ;630 ;;5,500 ;;;30,000 ;400 ;;;;;3.251 ;;40 ;5 ;;;- ;;30 ;20 ;;220 ;50 ;120 ;;;;
Trässberg ;;150 ;;200 ;;1,500 ;;6,500 ;;1,500 ;22,000 ;100 ;400 ;4 ;400 ;;1,400 ;;;;- ;;;130 ;60 ;;6 ;225 ;150 ;260 ;;;;
Vinköl ;8 ;100 ;;1,250 ;50 ;1,250 ;X 200 ;14,500 ;X 350 ;1,000 ;90,000 ;600 ;360 ;32 ;700 ;;8.000 ;;176 ;25 ;- ;;1,000 ;160 ;60 ;112 ;;350 ;150 ;450 ;;130 ;;
Vanga ;;200 ;;4,000 ;40 ;1,500 ;;20,600 ;;800 ;45,000 ;5,300 ;320 ;;600 ;- ;20,000 ;;100 ;;;;;200 ;50 ;160 ;;;180 ;600 ;;300 ;;
Asaka ;4 ;50 ;;600 ;10 ;1,450 ;160 ;15,000 ;245 ;900 ;30,000 ;475 ;450 ;20 ;200 ;;3,000 ;;;30 ;1,600 ;;30,000 ;130 ;42 ;170 ;;400 ;140 ;380 ;;140 ;;
Ottum ;;500 ;;800 ;;2.400 ;- ;12,600 ;- ;500 ;44.000 ;5,000 ;500 ;;3,000 ;- ;4,000 ;- ;8 ;- ;;;;150 ;56 ;15 ;10 ;280 ;105 ;210 ;;56 ;;
Summa Skâninge härad ;42 ;3,834 ;- ;31,089 ;323 ;35,814 ;X 860 ;218,852 ;1,123 ;19,521 ;717,149 ;24,384 ;10,597 ;X 166 ;17,189 ;- ;196,035 ;15,000 ;702 ;171 ;8.056 ;;220.044 ;2,711 ;783 ;1,004 ;132 ;6,623 ;2,427 ;5,302 ;-- ;2.043 ;- ;
Bitterna, Vester- ;2 ;20 ;;720 ;;250 ;60 ;3,600 ;50 ;344 ;20,000 ;2.120 ;80 ;12 ;100 ;;5,040 ;145 ;;- ;- ;;- ;60 ;15 ;30 ;2 ;165 ;120 ;275 ;;60 ;;
Bitterna, Öster- ;2 ;100 ;;200 ;;375 ;150 ;9.500 ;;600 ;49,200 ;1.200 ;150 ;16 ;500 ;;1,600 ;;100 ;;;;;100 ;10 ;16 ;;200 ;75 ;200 ;;50 ;;
Larf ;- ;200 ;;5,000 ;40 ;960 ;240 ;12,600 ;400 ;1,500 ;132,000 ;1,980 ;560 ;- ;1,000 ;- ;20,000 ;- ;160 ;;;;;330 ;50 ;270 ;10 ;750 ;450 ;600 ;;300 ;;
Längjum med Vessby ;- ;;;800 ;12 ;350 ;;2,100 ;;300 ;80,000 ;300 ;75 ;- ;100 ;- ;3,200 ;- ;24 ;6 ;4,850 ;;225 ;110 ;20 ;56 ;10 ;260 ;20 ;160 ;;115 ;;
Lundby ;- ;60 ;;2,000 ;15 ;600 ;X 30 ;7.840 ;60 ;400 ;40,000 ;1,200 ;300 ;- ;300 ;- ;10,000 ;- ;90 ;;;;;120 ;15 ;75 ;4 ;360 ;120 ;200 ;;150 ;300 ;
Travad, del ;- ;15 ;;500 ;7 ;300 ;;2,225 ;- ;175 ;27,300 ;100 ;90 ;- ;70 ;;2,500 ;- ;28 ;4 ;- ;;- ;60 ;20 ;4 ;5 ;120 ;40 ;130 ;- ;20 ;;
Vedum ;- ;40 ;;3,360 ;- ;150 ;- ;8,190 ;- ;250 ;46,600 ;- ;100 ;- ;120 ;;16,800 ;- ;;;- ;;- ;120 ;18 ;28 ;5 ;370 ;r6o ;320 ;- ;160 ;;
Summa Laske härad ;X 4 ;510 ;- ;12,580 ;129 ;2,985 ;480 ;46,055 ;510 ;3,569 ;395,100 ;6.900 ;1,355 ;X 28 ;2,190 ;- ;59,140 ;145 ;472 ;10 ;4,850 ;;225 ;900 ;148 ;479 ;39 ;2,225 ;985 ;1,885 ;- ;855 ;300 ;
Floby ;- ;120 ;- ;5,250 ;30 ;X 120 ;;8.640 ;- ;3,300 ;81,000 ;;360 ;- ;600 ;- ;42,000 ;13,500 ;16 ;25 ;- ;;25,600 ;120 ;50 ;140 ;;460 ;320 ;250 ;;95 ;;
Gökhem ;- ;25 ;- ;4,050 ;12 ;120 ;se ;9.690 ;72 ;5,975 ;76,500 ;358 ;750 ;;125 ;- ;24,300 ;300 ;24 ;16 ;1.500 ;;7,500 ;160 ;50 ;170 ;;520 ;90 ;300 ;;170 ;;
Göteve ;1 ;15 ;- ;3,000 ;;- ;;5,950 ;- ;2,020 ;22,500 ;- ;;3 ;18 ;-- ;15,000 ;200 ;- ;- ;110 ;;4,600 ;95 ;22 ;88 ;4 ;275 ;105 ;195 ;;64 ;120 ;
Jäla ;- ;;- ;1.152 ;24 ;;90 ;720 ;- ;720 ;9,600 ;;126 ;;;- ;9.216 ;- ;25 ;25 ;- ;;;78 ;30 ;120 ;5 ;240 ;;230 ;- ;100 ;;
Klefva ;- ;50 ;;2,000 ;;250 ;100 ;8.100 ;- ;5,400 ;40.000 ;2,750 ;400 ;;400 ;- ;12,000 ;12,000 ;;;- ;;- ;75 ;50 ;100 ;5 ;225 ;200 ;300 ;;100 ;500 ;
Marka ;- ;150 ;;2,220 ;4 ;;;3,150 ;- ;2,100 ;23,100 ;870 ;50 ;;100 ;- ;11,200 ;1,000 ;;5 ;- ;;;;40 ;85 ;;260 ;175 ;195 ;- ;80 ;225 ;
Sörby ;;100 ;;806 ;;- ;;1,606 ;;567 ;1,512 ;;100 ;;302 ;- ;6,615 ;;;;- ;;-- ;64 ;30 ;60 ;15 ;120 ;64 ;90 ;- ;82 ;;
Trevattns ;;;;1.440 ;- ;;75 ;3.200 ;180 ;240 ;14,400 ;450 ;48 ;- ;;- ;10,080 ;;- ;- ;;;- ;75 ;30 ;80 ;;320 ;150 ;150 ;- ;50 ;;
Ullene ;- ;- ;- ;1,000 ;- ;16 ;16 ;1,600 ;16 ;160 ;8,000 ;90 ;35 ;- ;- ;- ;5,000 ;60 ;- ;- ;1.000 ;;;48 ;15 ;60 ;2 ;150 ;80 ;90 ;- ;25 ;200 ;
Summa Vilske härad ;I ;460 ;- ;20,918 ;70 ;X 530 ;345 ;42,656 ;268 ;20,482 ;276.612 ;5,214 ;1,884 ;3 ;1,545 ;- ;135,411 ;27,060 ;65 ;71 ;2,610 ;;37.700 ;805 ;317 ;903 ;54 ;2,570 ;1,184 ;1,800 ;- ;716 ;1,045 ;
Bjerka ;- ;40 ;;1.900 ;- ;- ;- ;1,260 ;160 ;- ;2,750 ;- ;60 ;- ;- ;- ;12.000 ;- ;- ;- ;- ;;- ;40 ;5 ;130 ;5 ;250 ;GO ;150 ;- ;GO ;- ;
Bjurum ;- ;;- ;12,500 ;- ;- ;- ;7,875 ;- ;900 ;22,000 ;- ;X 500 ;- ;- ;;72,000 ;;- ;- ;- ;;- ;50 ;15 ;130 ;3 ;250 ;150 ;130 ;- ;X 100 ;;





