Table: Table_1

Vala och Gillstad ;5 ;350 ;;1,250 ;;1,230 ;30 ;5,790 ;- ;498 ;16,500 ;- ;800 ;18 ;1.000 ;;8,750 ;;;8 ;;599 ;162 ;50 ;;;;170 ;;;;;
Asaka ;;150 ;;900 ;10 ;2,500 ;- ;7,700 ;- ;1.260 ;31,000 ;;1,400 ;;750 ;;7,200 ;;50 ;;;;95 ;;;;;;;;;;
Orslösa ;20 ;1.500 ;;790 ;35 ;4,210 ;- ;6.930 ;- ;2.100 ;30,360 ;2.700 ;7,200 ;80 ;8.100 ;;4,650 ;100 ;140 ;- ;;- ;156 ;55 ;76 ;;210 ;151 ;;;;;
Summa K&llands härad ;74 ;9,628 ;;26,911 ;210 ;58,649 ;126 ;158,467 ;470 ;39,024 ;553,127 ;20,616 ;44,602 ;304 ;52,899 ;- ;154,148 ;20,530 ;705 ;75,90 ;5,700 ;91,499 ;2.034 ;666 ;647 ;145 ;5.717 ;2,527 ;4,349 ;;1,749 ;;
Eling ;;42 ;12 ;1,300 ;10 ;150 ;120 ;4,800 ;90 ;480 ;21.600 ;150 ;240 ;- ;336 ;120 ;10,400 ;-- ;60 ;- ;;;68 ;32 ;30 ;;210 ;54 ;120 ;;;;
Essunga ;2 ;;;5,150 ;80 ;50 ;35 ;4,550 ;40 ;150 ;43,150 ;600 ;120 ;8 ;25 ;;42,150 ;;160 ;;;;165 ;30 ;;;600 ;40 ;300 ;;;;
Foglum ;;;;1,320 ;50 ;480 ;20 ;1,418 ;35 ;1,056 ;35.680 ;200 ;130 ;7 ;256 ;- ;10,560 ;;210 ;93 ;;;90 ;30 ;20 ;;325 ;175 ;200 ;;;;
Hällum ;;;;600 ;;1,460 ;- ;3,000 ;;1.260 ;18.500 ;200 ;700 ;;1,540 ;- ;1.800 ;1,200 ;;;1.000 ;12,000 ;75 ;14 ;20 ;;225 ;75 ;115 ;;;;
Kedum ;;;;2,460 ;80 ;1,200 ;;10,400 ;80 ;500 ;50,000 ;1,000 ;200 ;10 ;450 ;- ;13,300 ;;160 ;;;;140 ;30 ;12 ;6 ;400 ;140 ;200 ;;;;
Lekasa ;;;;2,100 ;55 ;200 ;30 ;5,000 ;85 ;1,200 ;38,700 ;500 ;480 ;10 ;200 ;;10.500 ;1,200 ;75 ;40 ;- ;4.000 ;82 ;;20 ;6 ;300 ;200 ;280 ;;;;
Levene, del ;;;;500 ;;300 ;;3,200 ;140 ;;15,000 ;300 ;300 ;- ;150 ;- ;3,000 ;;;- ;;;40 ;;;;63 ;22 ;40 ;;;;
Long ;;;;1,800 ;20 ;3,500 ;;14,000 ;;2.100 ;45,900 ;;2.400 ;;2.100 ;;18,000 ;6,000 ;120 ;;3,000 ;20,000 ;130 ;25 ;32 ;10 ;350 ;90 ;160 ;;;;
Naum ;4 ;;2 ;3,310 ;95 ;240 ;65 ;8,425 ;56 ;180 ;36,000 ;600 ;600 ;12 ;80 ;9 ;28,000 ;- ;250 ;40 ;8,300 ;- ;153 ;;;;365 ;110 ;300 ;;;;
Rvda med Half&e ;;1,200 ;;2,000 ;;1,950 ;;11,340 ;;1,000 ;40,000 ;2.000 ;3,000 ;;7,200 ;;12.000 ;;;;;;300 ;;18 ;10 ;750 ;270 ;275 ;;150 ;;
Sandbäck eller Kyrk&s ;2 ;;;740 ;8 ;16 ;25 ;1,000 ;100 ;90 ;13,050 ;90 ;60 ;12 ;;;5,920 ;2,300 ;56 ;9 ;-- ;3.650 ;36 ;;;3 ;100 ;25 ;70 ;;24 ;;
Skarstad ;- ;956 ;;1,435 ;8 ;2,412 ;88 ;10,496 ;52 ;1,896 ;39,180 ;816 ;4.411 ;- ;4.780 ;- ;8,610 ;;;;- ;17,321 ;225 ;;10 ;8 ;272 ;145 ;365 ;;96 ;;
Vara ;- ;200 ;;800 ;25 ;2,000 ;;6,500 ;;250 ;25,000 ;2.560 ;450 ;-- ;2,000 ;- ;2.500 ;- ;;;;- ;136 ;;;;240 ;30 ;150 ;;40 ;;
Asaka ;- ;15 ;;2,200 ;70 ;35 ;15 ;3,300 ;50 ;140 ;20.300 ;300 ;75 ;;45 ;- ;6.000 ;;140 ;;- ;;120 ;;;6 ;290 ;280 ;340 ;;70 ;;
Onum ;2 ;450 ;;2,000 ;10 ;600 ;24 ;4,700 ;50 ;400 ;30,170 ;1.150 ;150 ;8 ;1.500 ;;10,000 ;140 ;25 ;;- ;5,000 ;X 125 ;20 ;8 ;3 ;250 ;85 ;300 ;;;;
Summa Barne härad ;15 ;3,830 ;14 ;27,715 ;511 ;14,593 ;422 ;92,129 ;778 ;10,702 ;472,230 ;10,466 ;13,316 ;67 ;20,662 ;129 ;182,740 ;10,840 ;1,364 ;182 ;12,300 ;61,971 ;1,885 ;401 ;261 ;77 ;4,740 ;1,741 ;3,215 ;- ;1,016 ;- ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broby ;;10 ;;325 ;4 ;480 ;- ;3.210 ;;125 ;12.500 ;- ;150 ;- ;50 ;- ;1.330 ;;8 ;- ;- ;- ;35 ;9 ;28 ;2 ;75 ;50 ;80 ;- ;35 ;;
Hangelösa ;2 ;145 ;;1.925 ;10 ;1,620 ;X 190 ;5,490 ;45 ;230 ;24,300 ;190 ;600 ;12 ;480 ;- ;11,550 ;6,000 ;35 ;;;;125 ;30 ;40 ;;450 ;140 ;310 ;- ;170 ;;
Hasslösa ;- ;200 ;;1.040 ;16 ;2.080 ;- ;7,642 ;- ;1,440 ;36,110 ;;1,200 ;- ;1.200 ;- ;7,280 ;6,930 ;- ;15 ;600 ;9,000 ;122 ;13 ;24 ;10 ;330 ;;100 ;- ;;;
Husaby ;- ;150 ;;8.000 ;- ;1.040 ;- ;5,750 ;- ;3,000 ;10.000 ;1,700 ;625 ;- ;320 ;- ;48,000 ;;- ;25 ;;;130 ;38 ;110 ;;400 ;170 ;500 ;- ;100 ;;
Hofby ;- ;50 ;3 ;1,250 ;- ;1.800 ;50 ;4,500 ;- ;1,000 ;35,000 ;- ;1.200 ;- ;100 ;12 ;6.000 ;10,000 ;- ;- ;- ;9,600 ;90 ;19 ;20 ;6 ;280 ;30 ;100 ;;20 ;;





