Table: Table_1

Bellefors ;20,25 ;52 ;51 ;5,875 ;3 ;1,429 ;10 ;4,433 ;10 ;30 ;11 ;1 ;- ;14 ;4 ;- ;162 ;350 ;61 ;44 ;9 ;8 ;150 ;380 ;- ;162 ;176 ;;605 ;- ;- ;;- ;126 ;
Binneberg ;5,50 ;22 ;8 ;750 ;2 ;300 ;150 ;298 ;6 ;9 ;1 ;;2 ;4 ;- ;- ;90 ;75 ;5 ;20 ;5 ;;25 ;5 ;;75 ;90 ;;240 ;;30 ;450 ;-- ;30 ;
Björsäter m. Gullsäters rotar ;28,50 ;94 ;105 ;5,530 ;28 ;2,461 ;133 ;2,905 ;62 ;62 ;20 ;2 ;6 ;12 ;10 ;.... ;352 ;900 ;48 ;75 ;25 ;13 ;101 ;GOO ;- ;35% ;880 ;20 ;1,360 ;--- ;200 ;8,100 ;;160 ;
Bäck ;14,50 ;30 ;37 ;- ;30 ;2,537 ;100 ;1,500 ;5 ;20 ;7 ;3 ;-- ;- ;- ;--- ;357 ;665 ;42 ;28 ;11 ;1 ;357 ;714 ;2 ;357 ;690 ;- ;1,382 ;--- ;40 ;5,940 ;;160 ;
Böja ;8,75 ;40 ;39 ;950 ;13 ;620 ;110 ;207 ;45 ;28 ;===== ;- ;- ;5 ;1 ;- ;X 90 ;140 ;19 ;44 ;6 ;5 ;109 ;240 ;- ;90 ;138 ;- ;428 ;- ;31 ;693 ;126 ;56 ;
Carlsborg ;- ;- ;- ;15 ;;10 ;4 ;- ;;- ;;;;1 ;- ;;1 ;2 ;;;;;- ;4 ;- ;2 ;;- ;9 ;- ;;22 ;- ;- ;
Ek ;11 ;28 ;43 ;4,608 ;28 ;1.112 ;200 ;2,700 ;5 ;19 ;3 ;1 ;4 ;5 ;2 ;;129 ;197 ;19 ;19 ;X 9 ;4 ;141 ;467 ;- ;134 ;75 ;10 ;575 ;- ;125 ;1,050 ;- ;75 ;
Ekby ;21,38 ;82 ;11 ;3,471 ;16 ;1,659 ;198 ;1,305 ;6 ;70 ;4 ;;;5 ;2 ;;330 ;486 ;135 ;35 ;- ;2 ;X 50 ;289 ;- ;325 ;478 ;- ;1,222 ;- ;20 ;4,326 ;- ;472 ;
Ekeskog ;15,13 ;56 ;21 ;4,295 ;6 ;2,965 ;30 ;1,994 ;6 ;31 ;9 ;1 ;;11 ;2 ;1 ;324 ;600 ;25 ;17 ;- ;5 ;324 ;647 ;- ;324 ;117 ;- ;1,500 ;- ;- ;4,800 ;;75 ;
Elgaras ;19,81 ;154 ;145 ;16,000 ;15 ;2,000 ;2,500 ;9,000 ;145 ;128 ;11 ;;10 ;5 ;3 ;- ;400 ;770 ;16 ;85 ;- ;28 ;- ;400 ;- ;400 ;18 ;- ;2,340 ;- ;- ;9.300 ;- ;48 ;
Fliatad ;18,75 ;88 ;13 ;2,180 ;5 ;1,400 ;600 ;175 ;4 ;25 ;50 ;1 ;10 ;3 ;8 ;;242 ;400 ;150 ;20 ;2 ;2 ;142 ;200 ;- ;242 ;472 ;;724 ;- ;31 ;2,055 ;X 693 ;472 ;
Finnerödja ;24,96 ;214 ;274 ;;;- ;- ;- ;75 ;126 ;1 ;1 ;14 ;140 ;1 ;;320 ;540 ;30 ;150 ;10 ;25 ;;400 ;;200 ;40 ;5 ;1,550 ;5 ;30 ;4,350 ;- ;160 ;
Fägred ;36,81 ;140 ;110 ;11,310 ;60 ;6,120 ;340 ;3,600 ;12 ;80 ;21 ;5 ;;10 ;5 ;1 ;800 ;1,700 ;300 ;180 ;30 ;30 ;580 ;1,850 ;X 60 ;850 ;1,600 ;- ;3,400 ;- ;- ;11,900 ;- ;1,470 ;
Fredsberg ;6,69 ;345 ;184 ;16,893 ;20 ;9,855 ;280 ;3,400 ;170 ;243 ;100 ;2 ;;;;;1,011 ;3,000 ;100 ;112 ;40 ;22 ;1,517 ;3,034 ;8 ;1,011 ;1,200 ;- ;4,800 ;- ;GO ;23,940 ;;100 ;
Frösved ;13,69 ;54 ;60 ;3,637 ;10 ;1,975 ;139 ;1,513 ;31 ;47 ;4 ;2 ;41 ;45 ;7 ;X 2 ;X 330 ;562 ;33 ;50 ;X 10 ;5 ;165 ;493 ;- ;328 ;235 ;- ;1.415 ;- ;162 ;4,815 ;- ;112 ;
Gotlunda ;27,75 ;135 ;80 ;4,000 ;25 ;3,000 ;175 ;800 ;;- ;- ;- ;- ;14 ;107 ;14 ;X 360 ;728 ;300 ;200 ;5 ;5 ;400 ;741 ;- ;360 ;420 ;- ;1,260 ;- ;- ;3,360 ;- ;300 ;
Halna ;9 ;89 ;119 ;4,000 ;20 ;1,346 ;150 ;2,481 ;35 ;69 ;26 ;1 ;X 69 ;72 ;28 ;2 ;190 ;461 ;60 ;70 ;10 ;16 ;- ;289 ;- ;250 ;232 ;- ;756 ;12 ;6 ;352 ;- ;170 ;
Hjälstad ;17,13 ;37 ;30 ;2,725 ;25 ;1,415 ;360 ;925 ;3 ;26 ;4 ;1 ;.-.. ;3 ;;===== ;280 ;560 ;40 ;30 ;- ;- ;- ;225 ;- ;280 ;441 ;- ;882 ;- ;- ;4,410 ;;157 ;
Hassled, Berga och Färed ;66,75 ;133 ;155 ;21,196 ;40 ;6,040 ;1,520 ;19,500 ;20 ;69 ;14 ;5 ;99 ;156 ;28 ;5 ;868 ;1.415 ;100 ;150 ;25 ;10 ;X 200 ;2,414 ;- ;863 ;1,200 ;- ;2,534 ;- ;504 ;10,680 ;;200 ;
Hofva och Fagerlid ;56,13 ;331 ;210 ;;;- ;- ;- ;;- ;;- ;-- ;- ;- ;- ;960 ;1,879 ;40 ;230 ;20 ;X 30 ;- ;2,000 ;- ;960 ;283 ;- ;3,906 ;- ;56 ;13,450 ;- ;233 ;
Horn. ;18,88 ;56 ;23 ;2,450 ;8 ;1,100 ;240 ;75 ;25 ;24 ;5 ;- ;23 ;- ;2 ;- ;100 ;510 ;30 ;18 ;2 ;3 ;X 345 ;100 ;8 ;92 ;96 ;- ;495 ;X 9 ;28 ;3,995 ;32 ;60 ;
Leksberg ;17,75 ;35 ;61 ;4,251 ;18 ;1,593 ;188 ;2,459 ;24 ;20 ;9 ;- ;24 ;20 ;15 ;- ;- ;- ;- ;- ;- ;- ;- ;;- ;;378 ;- ;686 ;- ;81 ;2,998 ;;93 ;
Lyrestad ;43,75 ;242 ;196 ;21,708 ;56 ;2,174 ;517 ;9,059 ;18-1 ;182 ;7 ;;- ;34 ;3 ;- ;205 ;851 ;48 ;70 ;10 ;12 ;X 35 ;518 ;- ;425 ;175 ;- ;936 ;- ;X 63 ;7.520 ;;210 ;
Locketorp ;16,50 ;80 ;41 ;8,560 ;50 ;1,520 ;90 ;;25 ;38 ;31 ;1 ;15 ;4 ;4 ;- ;220 ;450 ;80 ;120 ;;10 ;- ;300 ;40 ;300 ;190 ;50 ;850 ;- ;- ;4,000 ;;150 ;
Lerdala ;15,81 ;42 ;74 ;3,783 ;50 ;1.250 ;500 ;2,000 ;41 ;48 ;5 ;2 ;10 ;8 ;1 ;----- ;250 ;350 ;15 ;100 ;12 ;2 ;- ;350 ;- ;150 ;250 ;- ;1,200 ;- ;300 ;2,250 ;400 ;60 ;
Lâstad ;11,44 ;37 ;20 ;1,973 ;3 ;575 ;840 ;555 ;19 ;29 ;2 ;1 ;13 ;28 ;- ;1 ;120 ;175 ;30 ;27 ;1 ;2 ;X 25 ;75 ;- ;120 ;157 ;- ;441 ;- ;31 ;1,575 ;- ;94 ;
Mo ;11,25 ;16 ;20 ;1,804 ;34 ;1,100 ;120 ;550 ;1 ;6 ;6 ;1 ;- ;2 ;- ;- ;180 ;360 ;20 ;30 ;- ;;80 ;250 ;- ;180 ;504 ;- ;346 ;- ;- ;2.835 ;;126 ;
Mölltorp ;21,13 ;119 ;65 ;- ;- ;- ;- ;- ;15 ;87 ;18 ;- ;11 ;93 ;15 ;- ;330 ;560 ;10 ;160 ;- ;15 ;30 ;800 ;- ;270 ;30 ;X 50 ;1,600 ;30 ;- ;5,000 ;- ;35 ;
Odensäker ;23,63 ;77 ;8 ;2,056 ;15 ;1,430 ;205 ;406 ;1 ;60 ;1 ;- ;- ;11 ;4 ;- ;309 ;545 ;49 ;68 ;- ;- ;- ;370 ;- ;809 ;207 ;- ;1,071 ;- ;68 ;3,150 ;;95 ;
Ransberg ;31,44 ;287 ;135 ;7,000 ;35 ;2,550 ;425 ;2,000 ;75 ;165 ;25 ;- ;- ;19 ;10 ;- ;450 ;650 ;20 ;160 ;- ;X 90 ;70 ;660 ;- ;450 ;50 ;- ;2,390 ;126 ;-- ;7,056 ;- ;63 ;
Svenneby ;8,88 ;10 ;10 ;2,560 ;30 ;1,230 ;570 ;730 ;;4 ;1 ;2 ;- ;2 ;1 ;- ;246 ;512 ;10 ;20 ;- ;- ;80 ;116 ;- ;246 ;454 ;- ;693 ;- ;- ;4.052 ;- ;38 ;
Säter, ;22.31 ;57 ;89 ;4.312 ;30 ;1,137 ;1,095 ;2,050 ;11 ;21 ;8 ;;- ;14 ;3 ;- ;292 ;340 ;32 ;60 ;- - ;3 ;- ;130 ;- ;280 ;X 50 ;- ;1,614 ;- ;220 ;2,900 ;- ;151 ;
Torsö ;31.44 ;95 ;- ;8,539 ;47 ;1,488 ;559 ;6,445 ;43 ;40 ;3 ;2 ;4 ;3 ;;- ;220 ;415 ;20 ;117 ;X 24 ;7 ;59 ;350 ;16 ;260 ;150 ;- ;1,175 ;- ;360 ;2,600 ;- ;105 ;
Tidavad ;12.95 ;47 ;23 ;1,910 ;10 ;676 ;612 ;619 ;6 ;38 ;1 ;- ;;- ;2 ;- ;103 ;176 ;30 ;30 ;16 ;- ;206 ;- ;X 12 ;103 ;X 157 ;- ;346 ;- ;- ;1.298 ;- ;151 ;
Tived ;13,89 ;175 ;33 ;2,142 ;2 ;854 ;1.986 ;- ;110 ;56 ;2 ;;114 ;58 ;1 ;- ;80 ;222 ;10 ;100 ;10 ;25 ;- ;318 ;- ;89 ;6 ;6 ;450 ;X 48 ;X 24 ;1,900 ;- ;50 ;
Trästena ;15,88 ;28 ;37 ;- ;12 ;1,550 ;10 ;- ;1 ;16 ;2 ;2 ;2 ;20 ;6 ;2 ;200 ;570 ;10 ;50 ;- ;8 ;100 ;501 ;- ;210 ;378 ;- ;787 ;- ;- ;5,355 ;- ;75 ;
Timmersdala ;9.50 ;50 ;7 ;802 ;14 ;470 ;162 ;216 ;12 ;39 ;- ;;- ;5 ;1 ;;78 ;110 ;15 ;45 ;7 ;5 ;100 ;218 ;- ;78 ;113 ;- ;378 ;- ;25 ;630 ;113 ;50 ;
Ullervad ;24,88 ;75 ;39 ;6,076 ;42 ;2,434 ;718 ;1,600 ;6 ;43 ;22 ;-- ;1 ;51 ;23 ;- ;370 ;560 ;36 ;70 ;- ;8 ;285 ;740 ;- ;370 ;830 ;- ;1,417 ;- ;12 ;4,394 ;- ;141 ;





