Table: Table_1

Fullösa ;;;;946 ;24 ;;1,575 ;- ;3.750 ;- ;472 ;9,480 ;;378 ;;;;2,838 ;- ;;20 ;- - ;- ;;60 ;10 ;50 ;2 ;200 ;60 ;200 ;;;;
Götened ;;;;371 ;16 ;;1,666 ;;4,480 ;;190 ;9.670 ;;800 ;15 ;125 ;- - ;2,000 1.800 ;330 ;48 ;6,40 ;- - ;- ;;36 80 ;10 20 ;46 90 ;2 ;125 320 ;76 220 ;150 400 ;5 ;;;
Holmestad Kjestad ;46 ;60 15 ;;360 350 ;10 ;;600 200 ;90 - - ;2,480 1,200 ;200 ;270 ;18.000 4,050 ;;570 200 ;92 ;120 45, ;- ;1.260 ;- ;20 ;1,60 ;- ;1,200 ;;31 ;;16 ;6 ;;30 ;80 ;;;;
Klefva ;;30 ;;750 ;60 ;;500 ;;4,000 ;- ;1,200 ;20,000 ;;240 ;- ;120 ;- ;5.050 ;;100 ;30 ;- ;;;50 ;;;;;;120 ;;;;
Ledsjö ;;;;12.000 ;50 ;;1,320 ;200 ;5,500 ;- ;1,000 ;25,000 ;2.500 ;500 ;- ;;- ;60,000 ;350 ;140 ;15 ;- ;10,000 ;;81 ;16 ;87 ;;357 ;145 ;350 ;;;;
Lugnas och Bresäter ;;;;1,050 ;;;;;5,100 ;- ;;8,160 ;;90 ;;;- ;7,350 ;;;;;;;;;120 ;;300 ;150 ;400 ;;;;
;;60 ;;;10 ;;;;;;6.280 ;;;400 ;;360 ;;21.600 ;;10 ;;;;;;20 ;50 ;;250 ;110 ;600 ;;;;
Medelplana Sil ;;;;3,600 640 ;12 ;;1.000 648 ;- ;4,496 2,100 ;- - ;324 ;4,050 7,452 ;8,000 - ;;- ;;- - ;2,560 ;4,200 ;- ;10 ;;;;;12 ;20 ;;90 ;36 ;145 ;;;;
Wedum ;;24 ;;648 ;12 ;;1.392 ;;15,040 ;- ;;39,798 ;;560 ;;144 ;;5,184 ;1,500 ;;12 ;;;;;;80 ;4 ;310 ;150 ;310 ;;50 ;;
Westerplana ;;;;560 ;20 ;;225 ;110 ;2,010 ;- ;2,590 ;4,050 ;3,760 ;715 ;;630 ;- ;4,550 ;1,600 ;85 ;;;;;;;10 ;;56 ;45 ;120 ;;;;
Wättlosa ;;;;630 ;;;1,008 ;;3,780 ;- ;;7,560 ;;;;189 ;;3,150 ;;12 ;;;;;40 ;16 ;64 ;;100 ;40 ;100 ;;;;
Österplana ;;50 ;;1,980 ;20 ;;250 ;;2,250 ;- ;1,200 ;4.500 ;5,000 ;480 ;;50 ;- ;15,840 ;14,742 ;40 ;10 ;- ;7,200 ;;;13 ;34 ;3 ;222 ;40 ;250 ;;50 ;;
Summa, Kinne härad ;49 ;516 ;- ;24,411 ;237 ;;11,632 ;400 ;57,866 ;200 ;13,826 ;167,116 ;20,060 ;5,725 ;107 ;2.015 ;- ;137,390 ;22,722 ;455 ;110 ;- ;18,400 ;;858 ;173 ;973 ;65 ;3.217 ;1,351 ;3,918 ;7 ;1,082 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edsvära ;- ;32 ;;7,560 ;;;2,520 ;;17,136 ;315 ;3,024 ;60,000 ;1,008 ;800 ;;192 ;;45,360 ;- ;;- ;;;;;10 ;100 ;10 ;420 ;;400 ;;;;
Fyrunga ;;728 ;;975 ;30 ;;2.624 ;- ;8.888 ;;1,200 ;31,080 ;1,536 ;1.820 ;;4,368 ;;3,900 ;;90 ;;;2,808 ;;110 ;;14 ;;15G ;;312 ;;;;
Gerum ;;170 ;;964 ;;;1.386 ;;7.938 ;;397 ;25,500 ;- ;210 ;;850 ;- ;4,819 ;- ;100 ;51 ;;;;;10 ;70 ;;238 ;69 ;203 ;;;;
Hendened ;;;;1.848 ;48 ;;350 ;;10,506 ;- ;105 ;17,380 ;;126 ;;;- ;7.392 ;- ;;48 ;- ;13.344 ;;;;18 ;;300 ;60 ;200 ;;;;
Härlunda ;;;;2,073 ;684 ;;71 ;- ;4,629 ;- ;81 ;9,995 ;247 ;61 ;;;- ;12,627 ;- ;;38,25 ;;1,500 ;;52 ;;75 ;2 ;238 ;144 ;304 ;;;;
Härievad ;- ;X 130 ;;300 ;14 ;;1,512 ;;3,276 ;;1,985 ;14,400 ;;736 ;- ;650 ;- ;1.800 ;- ;51 ;;- ;;;45 ;;4 ;;100 ;28 ;60 ;;;;
Jung ;;540 ;;1.210 ;9 ;- ;2,100 ;- ;9,765 ;X 189 ;960 ;40,200 ;3,160 ;1,875 ;- ;2,160 ;- ;6,050 ;- ;9 ;3 ;- ;11,000 ;;200 ;60 ;40 ;5 ;330 ;200 ;412 ;;132 ;;
Marum Qvänum ;;550 ;;480 1.400 ;45 ;;770 1,800 ;- ;5,700 8,500 ;100 ;350 2,052 ;12.200 64,416 ;2,500 ;200 2,000 ;;2.750 ;- - ;3,000 5,600 ;- ;90 ;45 ;- ;- ;;;;80 ;;140 300 ;50 ;200 ;;;;
Saleby ;;540 ;;2,000 ;;;7.980 ;- ;28,364 ;;4,225 ;82,700 ;7,500 ;6,790 ;- ;3,240 ;;12.000 ;50 ;;;;;;;;48 ;;520 ;206 ;815 ;;;;
;;;;;;- ;;- ;;- ;;;;;;;- ;;;;;;;;;;;;;;;;;;
Skara landsförsamling Skallmeja och 11 mantal af Gerum ;12 ;126 ;;378 504 ;12 ;- ;600 1,323 ;- ;6.348 7,219 ;- ;378 1,890 ;10,080 39,847 ;1,260 ;315 1,260 ;04 ;1,134 ;;2,268 2,520 ;- ;;12 12.80 ;;7,200 5,000 ;;;20 ;20 40 ;;148 200 ;50 90 ;148 350 ;;;;
Synnerby ;;32 ;;2,117 ;32 ;;2,590 ;;11.040 ;- ;620 ;42,540 ;;630 ;;192 ;- ;6.351 ;1,000 ;;15 ;;17,680 ;;;30 ;32 ;;400 ;150 ;160 ;;;;
Trafva ;;;;220 ;12 ;;416 ;;1,764 ;- ;120 ;12,180 ;694 ;432 ;;;;1,120 ;;36 ;;;;;;9 ;16 ;;120 ;36 ;50 ;;;;
Tressberg ;- ;156 ;;208 ;;;1,640 ;;5,208 ;;2.000 ;24,000 ;;1,760 ;- ;780 ;- ;1,248 ;- ;;;- ;;;;36 ;6 ;;208 ;110 ;180 ;;;;
Winköl ;;;;4,000 ;60 ;- ;1,620 ;160 ;14,000 ;140 ;1,000 ;60,000 ;500 ;625 ;- ;532 ;- ;20,000 ;- ;300 ;25 ;;8,000 ;;;20 ;;;400 ;100 ;500 ;;;;
Wânga ;;;;6,000 ;30 ;;2,700 ;60 ;26,600 ;135 ;2,000 ;62,900 ;12.800 ;1,300 ;- ;280 ;- ;33,000 ;- ;;;;;;;60 ;220 ;;750 ;270 ;1,000 ;;500 ;;
Ásaka ;;;;4.000 ;92 ;;1.400 ;120 ;16,800 ;288 ;880 ;60,000 ;540 ;864 ;- ;3751 ;- ;28,000 ;;40 ;X 40 ;;3,000 ;;100 ;50 ;150 ;;340 ;150 ;400 ;;;;
Ottum. ;10 ;;;2.000 ;;;1,520 ;;2,540 ;;234 ;40,260 ;4.800 ;500 ;30 ;2,310 ;- ;6,000 ;1,000 ;;10 ;- ;;;93 ;13 ;13 ;;225 ;43 ;183 ;;;;
Summa, Skânings härad ;22 ;4.017 ;;38.237 ;1.133 ;;34,922 ;340 ;196,221 ;1,167 ;23,501 ;709,678 ;36,545 ;22.304 ;124 ;19.873 ;- ;203,055 ;2.050 ;812 ;307,05 ;- ;69.532 ;- ;2,207 ;477 ;958 ;98 ;5,533 ;1,969 ;5,947 ;;1,732 ;- ;
Bitterna, Wester- ;;;;2,376 ;;;50 ;16 ;1.440 ;32 ;350 ;17.000 ;368 ;40 ;- ;;- ;19,000 ;;;;;;- ;70 ;8 ;80 ;3 ;250 ;80 ;40 ;;;;
Bitterna, Oster- ;;;;1.260 ;35 ;;65 ;;1,664 ;12 ;395 ;18,598 ;988 ;40 ;3 ;48 ;- ;7,000 ;10 ;75 ;10 ;1,500 ;1,000 ;;;;40 ;;250 ;100 ;267 ;;;;
Larf ;;;;4,800 ;20 ;;1,250 ;300 ;7,800 ;X 640 ;640 ;95,000 ;1.600 ;520 ;;1,000 ;- ;14,400 ;- ;80 ;;;;;200 ;50 ;200 ;10 ;400 ;250 ;300 ;;;;
Lengjum med Wessby ;X 60 ;;;900 ;25 ;;1.440 ;180 ;7.368 ;360 ;72.000 ;36,000 ;14.800 ;180 ;360 ;2.880 ;- ;54,000 ;- ;;;4 ;;;150 ;25 ;18 ;6 ;250 ;100 ;600 ;;;;
Lundby ;;60 ;;3,550 ;;;644 ;189 ;4.000 ;400 ;1.200 ;45.800 ;3,000 ;420 ;360 ;;;10,650 ;- ;;;- ;- ;;;34 ;50 ;;300 ;175 ;420 ;- ;;;
Trâfva ;;14 ;;510 ;5 ;;95 ;;1,640 ;24 ;95 ;25,400 ;553 ;175 ;;35 ;;1.580 ;- ;- ;- ;15 ;;;;;;;115 ;;126 ;;;;
Wedum ;;;;400 ;;;;;630 ;;;6,000 ;;;;;- ;2,800 ;;;;;- ;;130 ;5 ;;;320 ;60 ;350 ;;;;
Summa, Laske härad ;61 ;766 ;- ;13,796 ;69 ;- ;3,544 ;693 ;24.512 ;1,468 ;74,680 ;243,798 ;21,309 ;1,375 ;723 ;3,963 ;- ;109,380 ;10 ;155 ;10 ;1,519 ;1.000 ;- ;810 ;136 ;400 ;34 ;1,885 ;810 ;2,103 ;- ;716 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floby ;- ;60 ;;2,900 ;9 ;;;;4.400 ;150 ;5.760 ;16.000 ;120 ;180 ;- ;360 ;- ;23.200 ;- ;36 ;- ;- ;- ;;100 ;25 ;56 ;8 ;320 ;120 ;280 ;;120 ;- ;
Gökhem ;;157 ;;5,040 ;31 ;;39 ;33 ;5,040 ;X 132 ;8,820 ;63,000 ;3,780 ;630 ;- ;756 ;- ;18,900 ;- ;- ;30 ;- ;- ;;100 ;50 ;160 ;;200 ;150 ;200 ;;150 ;;
Göteved ;;50 ;;2,240 ;;;- ;- ;2,080 ;;1.336 ;13.440 ;400 ;;;200 ;;17.920 ;- ;- ;;- ;- ;;90 ;10 ;90 ;a ;192 ;100 ;200 ;;;;
Jäla ;- ;99 ;;2.670 ;63 ;;;;2,325 ;;1.200 ;6,519 ;414 ;150 ;;195 ;- ;26.700 ;- ;;20 ;;;;102 ;12 ;176 ;10 ;450 ;250 ;450 ;;;;
Klefva ;- ;100 ;;1.800 ;15 ;;150 ;80 ;9.100 ;- ;2,700 ;28,800 ;2,400 ;400 ;- ;300 ;- ;10,800 ;the ;15 ;5 ;;1,600 ;;125 ;;140 ;;220 ;240 ;400 ;;;;
Marka ;;- ;;1,575 ;2 ;;;;1,840 ;- ;2,016 ;7,560 ;494 ;64 ;- ;;- ;9,420 ;;;;- ;;;120 ;;120 ;19 ;240 ;160 ;240 ;;;;
Sörby ;;;- ;1.000 ;- ;;;;100 ;;630 ;453 ;;5,000 ;;;- ;5,000 ;;- ;;;- ;;60 ;30 ;60 ;15 ;150 ;120 ;300 ;;;;
Trevattna ;;- ;- ;1.350 ;- ;- ;40 ;10 ;3.000 ;X 25 ;490 ;13.500 ;560 ;55 ;- ;- ;- ;7,000 ;670 ;;;;;;57 ;;92 ;;205 ;95 ;236 ;;;;
Ullened ;- ;- ;- ;1.000 ;- ;- ;32 ;- ;1.300 ;;300 ;6,000 ;150 ;32 ;;;- ;4,000 ;- ;- ;- ;- ;1,000 ;;45 ;2 ;50 ;2 ;125 ;80 ;160 ;;;;
Summa, Wilske härad ;- ;X 406 ;- ;19,575 ;120 ;- ;261 ;123 ;29,185 ;X 307 ;23.252 ;155,272 ;8,324 ;6.511 ;- ;1,811 ;- ;122,940 ;670 ;51 ;55 ;- ;2,600 ;- ;799 ;166 ;944 ;67 ;2,102 ;1,315 ;2,466 ;- ;642 ;;
Bierka ;- ;;;2.700 ;50 ;;- ;- ;7,504 ;- ;360 ;15,010 ;- ;144 ;- ;;- ;16.200 ;- ;50 ;- ;- - ;- ;;50 ;;100 ;;150 ;80 ;150 ;;50 ;;
Bjurum eller H&nger och Marby ;;;;10,080 ;;6 ;;;10,925 ;;378 ;17,000 ;;630 ;;;;60.300 ;X 2,520 ;;;- ;- ;1,033 ;60 ;30 ;100 ;;200 ;100 ;200 ;;100 ;;
Borgunda ;- ;- ;;3,200 ;15 ;;;- ;4,400 ;- ;900 ;10,000 ;1.100 ;250 ;- ;;;10,000 ;;15 ;7 ;- ;- ;;66 ;40 ;198 ;8 ;300 ;198 ;450 ;- ;80 ;;





