Table: Table_1

Summa ;344,7 ;1.357 ;927 ;80,862 ;418 ;26,705 ;10,229 ;40,683 ;130 ;543 ;104 ;23 ;23 ;X 235 ;137 ;11 ;4,504 ;7,496 ;256 ;1,778 ;110 ;119 ;1,301 ;5,755 ;- ;4,409 ;1,605 ;X 39 ;23,232 ;243 ;644 ;63,071 ;760 ;1,321 ;
Wartofta härad. a) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acklinga kommun ;15 ;32 ;59 ;3,589 ;12 ;929 ;465 ;1,039 ;3 ;8 ;2 ;;1 ;12 ;4 ;- ;230 ;400 ;5 ;40 ;6 ;4 ;16 ;28 ;- ;200 ;36 ;- ;942 ;- ;X 30 ;2,580 ;- ;18 ;
Agnetorp ;21,4 4 ;86 ;60 ;11,039 ;12 ;1,479 ;1,245 ;4,152 ;3 ;62 ;6 ;1 ;- ;10 ;7 ;- ;359 ;490 ;8 ;90 ;5 ;6 ;42 ;133 ;- ;346 ;60 ;- ;1,969 ;- ;30 ;4,806 ;X 200 ;20 ;
Baltak ;12,25 ;31 ;29 ;3,610 ;5 ;685 ;332 ;1,294 ;7 ;18 ;3 ;- ;- ;1 ;3 ;- ;130 ;253 ;3 ;53 ;2 ;4 ;20 ;90 ;- ;130 ;10 ;- ;690 ;- ;12 ;2,328 ;- ;15 ;
Bjurbäck ;16,38 ;47 ;41 ;5,000 ;5 ;750 ;1,000 ;2,260 ;40 ;12 ;- ;- ;15 ;- ;- ;- ;148 ;296 ;2 ;148 ;1 ;2 ;- ;46 ;- ;100 ;- ;- ;869 ;63 ;37 ;3,150 ;504 ;13 ;
Brandstorp ;16,84 ;76 ;36 ;7,810 ;10 ;3,800 ;1,500 ;2,000 ;13 ;27 ;30 ;X 6 ;1 ;2 ;6 ;7 ;200 ;297 ;7 ;100 ;2 ;6 ;- ;1,500 ;- ;200 ;10 ;X 10 ;1,008 ;X 66 ;19 ;2,532 ;214 ;25 ;
Dimbo ;26,16 ;50 ;- ;- ;10 ;1,560 ;300 ;50 ;10 ;20 ;7 ;3 ;4 ;6 ;- ;- ;200 ;400 ;25 ;100 ;25 ;10 ;200 ;400 ;- ;200 ;25 ;15 ;1,000 ;100 ;50 ;3,000 ;50 ;12 ;
Falköping ;14,50 ;14 ;15 ;1,970 ;2 ;1,540 ;50 ;- ;6 ;4 ;2 ;2 ;- ;15 ;- ;- ;120 ;400 ;8 ;30 ;10 ;1 ;350 ;230 ;- ;120 ;- ;- ;630 ;- ;630 ;3,150 ;- ;67 ;
Fridened ;12,75 ;51 ;40 ;4,851 ;13 ;1,400 ;492 ;2,000 ;10 ;28 ;6 ;- ;- ;3 ;4 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;81 ;- ;845 ;- ;6 ;3,599 ;- ;54 ;
Fröjered ;17,69 ;91 ;86 ;13,099 ;27 ;2,700 ;2,118 ;6,254 ;27 ;62 ;18 ;2 ;- ;15 ;11 ;2 ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;110 ;10 ;2,134 ;X 20 ;30 ;5,617 ;33 ;30 ;
Gerum ;9,75 ;26 ;6 ;1,284 ;2 ;482 ;400 ;- ;2 ;18 ;6 ;- ;2 ;18 ;6 ;;78 ;215 ;10 ;39 ;- ;2 ;- ;60 ;- ;78 ;;- ;491 ;- ;126 ;1,839 ;44 ;63 ;
Gustaf Adolf och Habo ;68,71 ;405 ;433 ;37,488 ;34 ;5,100 ;12,866 ;19,488 ;67 ;320 ;11 ;1 ;229 ;41 ;4 ;1 ;1,106 ;2,134 ;14 ;380 ;7 ;40 ;- ;615 ;- ;804 ;43 ;X 6 ;5,501 ;X 86 ;50 ;20,692 ;902 ;39 ;
Hvarf ;12 ;21 ;9 ;896 ;6 ;620 ;94 ;- ;;;- ;- ;37 ;10 ;- ;- ;100 ;250 ;20 ;100 ;20 ;- ;180 ;50 ;- ;100 ;12 ;- ;731 ;- ;113 ;2,270 ;- ;31 ;
Hvalstad ;26,75 ;48 ;30 ;4,000 ;20 ;2,500 ;500 ;1,000 ;2 ;X 40 ;2 ;- ;2 ;40 ;2 ;- ;450 ;800 ;- ;200 ;20 ;10 ;70 ;500 ;- ;450 ;40 ;- ;2,400 ;- ;125 ;4,650 ;- ;30 ;
Hângsdala ;16 ;21 ;17 ;1,964 ;5 ;1,285 ;219 ;- ;a ;6 ;16 ;- ;17 ;7 ;14 ;- ;214 ;307 ;7 ;107 ;5 ;3 ;- ;428 ;- ;214 ;6 ;- ;1,342 ;- ;100 ;3,219 ;- ;75 ;
Härja ;13,84 ;106 ;24 ;;4 ;850 ;1,050 ;1,811 ;;X 100 ;6 ;- ;X 24 ;5 ;3 ;- ;180 ;410 ;- ;100 ;5 ;5 ;- ;35 ;- ;125 ;- ;- ;1,134 ;- ;- ;3,843 ;- ;- ;
Hömb ;8,75 ;22 ;16 ;3.000 ;11 ;870 ;519 ;1,000 ;- ;4 ;1 ;1 ;- ;19 ;- ;- ;131 ;269 ;- ;22 ;15 ;6 ;X 70 ;212 ;- ;145 ;X 50 ;- ;573 ;- ;- ;1,556 ;- ;3 ;
Karleby ;30,13 ;79 ;13 ;3,000 ;10 ;1,600 ;500 ;20 ;12 ;64 ;13 ;- ;- ;X 18 ;- ;- ;140 ;880 ;60 ;200 ;5 ;15 ;- ;160 ;- ;150 ;6 ;25 ;882 ;31 ;945 ;7,560 ;535 ;100 ;
Kjelfvened ;9,50 ;30 ;8 ;1,229 ;;1,024 ;30 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;119 ;400 ;- ;60 ;2 ;5 ;200 ;114 ;6 ;114 ;6 ;- ;185 ;- ;108 ;2,736 ;80 ;54 ;
Kongslena ;29,75 ;95 ;11 ;4,033 ;20 ;2,580 ;433 ;1,000 ;- ;- ;- ;- ;- ;- ;- ;- ;600 ;1.180 ;20 ;100 ;20 ;10 ;- ;50 ;- ;600 ;- ;- ;450 ;- ;X 30 ;1,715 ;40 ;10 ;
Korsberga ;20,68 ;45 ;62 ;8,331 ;7 ;2,300 ;1,780 ;3,000 ;16 ;X 60 ;7 ;2 ;- ;17 ;- ;- ;495 ;495 ;13 ;111 ;1 ;8 ;130 ;577 ;- ;470 ;X 170 ;38 ;2,400 ;26 ;- ;5,065 ;237 ;56 ;
Kylingared, del ;4 ;14 ;10 ;- ;- ;- ;- ;- ;3 ;7 ;7 ;- ;1 ;- ;- ;- ;14 ;78 ;- ;30 ;0,5 ;1 ;- ;2 ;- ;14 ;- ;- ;100 ;19 ;25 ;907 ;- ;- ;
Kymho ;13,75 ;31 ;34 ;2,830 ;3 ;804 ;600 ;1,423 ;1 ;5 ;17 ;- ;1 ;5 ;27 ;- ;86 ;280 ;3 ;160 ;10 ;4 ;X 30 ;138 ;- ;96 ;9 ;1 ;530 ;32 ;50 ;3,275 ;150 ;16 ;
Luttra ;20,38 ;51 ;- ;3,300 ;4 ;760 ;40 ;- ;;17 ;19 ;9 ;- ;4 ;8 ;1 ;111 ;445 ;- ;62 ;- ;1 ;40 ;40 ;X 4 ;106 ;- ;- ;509 ;- ;504 ;4,599 ;- ;- ;
Mularp ;12.88 ;22 ;27 ;3,600 ;15 ;952 ;108 ;- ;2 ;12 ;2 ;- ;- ;4 ;1 ;1 ;80 ;213 ;200 ;42 ;40 ;4 ;X 80 ;200 ;- ;80 ;- ;- ;504 ;- ;378 ;1,890 ;120 ;126 ;
Nykyrka ;10,38 ;52 ;21 ;4,000 ;10 ;440 ;1,200 ;1,000 ;6 ;X 88 ;3 ;- ;- ;12 ;- ;- ;70 ;160 ;- ;110 ;- ;- ;5 ;15 ;- ;80 ;- ;- ;410 ;30 ;- ;1.540 ;600 ;- ;
Näs ;11,25 ;37 ;7 ;1,500 ;3 ;997 ;500 ;- ;1 ;19 ;14 ;- ;;19 ;16 ;1 ;115 ;335 ;15 ;68 ;2 ;3 ;X 86 ;258 ;- ;115 ;;- ;724 ;- ;138 ;2.980 ;138 ;75 ;
Ottrava ;8.04 ;22 ;22 ;1,411 ;5 ;500 ;300 ;360 ;- ;- ;- ;- ;- ;- ;- ;- ;100 ;216 ;2 ;50 ;- ;2 ;- ;30 ;- ;100 ;- ;- ;472 ;- ;12 ;2,721 ;- ;10 ;
Sandhem ;42,63 ;109 ;189 ;- ;- ;- ;- ;- ;;;- ;- ;- ;- ;- ;;344 ;516 ;- ;225 ;- ;- ;- ;- ;- ;- ;- ;- ;2,064 ;- ;- ;3,440 ;1.376 ;- 25 ;
Skörstorp ;10,38 ;27 ;12 ;2.200 ;4 ;1.718 ;100 ;- ;2 ;26 ;- ;- ;- ;- ;- ;1 ;125 ;1,062 ;4 ;150 ;5 ;2 ;- ;300 ;- ;125 ;- ;- ;787 ;- ;189 ;4,095 12.560 ;334 168 ;64 ;
Slöta och Faleqvarna ;46.13 ;100 ;- ;- ;- ;2.238 ;- ;- ;- ;- ;- ;2 ;- ;- ;- ;2 ;306 ;1.271 ;11 ;180 ;6 ;- ;X 68 ;88 ;- ;306 ;- ;- ;1,716 ;- ;907 ;;;7 ;
Suntack ;9,63 ;19 ;21 ;2,200 ;9 ;700 ;741 ;751 ;10 ;15 ;3 ;1 ;- ;2 ;1 ;- ;130 ;250 ;12 ;38 ;4 ;1 ;25 ;106 ;- ;134 ;X 33 ;- ;584 ;- ;69 ;2.200 ;- 63 ;160 ;
Tiarp ;11,75 ;48 ;2 ;1,500 ;5 ;1.000 ;300 ;195 ;;43 ;2 ;- ;- ;40 ;2 ;- ;75 ;275 ;35 ;30 ;3 ;2 ;- ;490 ;- ;90 ;;- ;470 ;- 48 ;280 ;2,900 1,800 ;120 ;- ;
Utvängstorp ;7,44 ;43 ;24 ;- ;- ;- ;- ;- ;2 ;27 ;1 ;- ;- ;24 ;- ;- ;70 ;166 ;- ;70 ;- ;- ;- ;- ;- ;55 ;- ;- ;420 ;X ;- ;;6 ;10 ;
Welinge ;19.84 ;82 ;85 ;- ;- ;1.260 ;1.700 ;- ;X 10 ;40 ;1 ;1 ;2 ;16 ;1 ;1 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;20 ;- ;1,560 ;8 ;12 ;4,700 ;;;
Wistorp ;11.50 ;30 ;21 ;5.508 ;12 ;572 ;869 ;1.490 ;8 ;29 ;1 ;- ;13 ;- ;- ;- ;56 ;262 ;2 ;57 ;X 2 ;2 ;44 ;84 ;- ;56 ;1 ;2 ;356 ;24 ;51 ;2,638 ;273 ;12 ;





