Table: Table_1

Ase härad) ;169,11 ;650 ;277 ;36,180 ;251 ;21,370 ;911 ;8,792 ;31 ;347 ;177 ;7 ;72 ;149 ;55 ;8 ;2,332 ;7,059 ;484 ;512 ;145 ;53 ;4,910 ;3,897 ;15 ;2376 ;2,714 ;75 ;9,697 ;-- ;1,740 ;47,620 ;2,760 ;2,466 ;
Bjärby ;8,25 ;X 36 ;6 ;2,118 ;16 ;1,479 ;89 ;351 ;;;22 ;- ;- ;;- ;;120 ;486 ;27 ;19 ;- ;;151 ;229 ;- ;155 ;99 ;- ;487 ;- ;;3,929 ;159 ;169 ;
Bäreberg ;12,25 ;89 ;54 ;8,000 ;15 ;1,200 ;100 ;800 ;;;;;;;;;100 ;500 ;20 ;60 ;- ;10 ;100 ;260 ;- ;150 ;;- ;400 ;- ;;6.000 ;;70 ;
Flakeberg ;15,25 ;83 ;26 ;2,958 ;26 ;2,227 ;70 ;188 ;;;;;;;;;237 ;950 ;60 ;42 ;- ;6 ;246 ;464 ;- ;241 ;360 ;- ;1.440 ;- ;236 ;8,640 ;600 ;270 ;
Främmestad ;19,31 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- ;;;;;
Hyringa ;16,44 ;51 ;40 ;3,369 ;10 ;2,518 ;10 ;813 ;;;;;;;;;318 ;811 ;80 ;43 ;18 ;4 ;479 ;479 ;- ;318 ;350 ;;1.016 ;;315 ;6,899 ;315 ;100 ;
Levene, del. ;7,88 ;30 ;15 ;2,111 ;25 ;1,400 ;50 ;300 ;;;;;;;;;125 ;540 ;30 ;25 ;;10 ;100 ;250 ;- ;315 ;160 ;- ;800 ;;100 ;800 ;200 ;150 ;
Lengjum ;7.13 ;25 ;11 ;1,674 ;;1,513 ;5 ;150 ;;;;;;;;;188 ;521 ;23 ;15 ;2 ;;350 ;361 ;;188 ;315 ;;625 ;- ;190 ;4,094 ;200 ;25 ;
Malma ;14.38 ;82 ;41 ;4,800 ;10 ;2,500 ;15 ;1,800 ;;;;;;;;;295 ;1,500 ;20 ;70 ;;15 ;200 ;450 ;- ;225 ;120 ;- ;1,220 ;- ;135 ;9,230 ;;110 ;
Sparlösa ;22,13 ;120 ;85 ;6,000 ;55 ;3,600 ;100 ;770 ;;;;;;;;;360 ;1,390 ;160 ;88 60 ;20 ;12 ;190 ;730 ;- ;650 800 ;500 300 ;- ;1,600 ;- ;315 ;12,800 ;455 ;525 ;
Tengened ;15,88 ;;;3,695 ;60 ;3,100 ;155 ;380 ;5 ;;;;;;;1 ;300 ;840 ;30 ;;;;300 ;600 ;- ;;;- ;1,125 ;- ;450 ;4,500 ;1,500 ;300 ;
Trökörna ;18.56 ;103 ;90 ;6,581 ;;1,890 ;;4,691 ;;;;;;;;;235 ;509 ;61 ;100 ;50 ;10 ;610 ;- ;- ;215 ;200 ;- ;900 ;==== ;100 ;5,800 ;230 ;100 ;
Viste hârad ;157,4 0 ;705 ;391 ;36,306 ;223 ;21,457 ;594 ;10,243 ;19 ;449 ;121 ;6 ;- ;16 ;4 ;3 ;2,208 ;8,047 ;511 ;522 ;95 ;87 ;2,726 ;3,826 ;- ;2,757 ;2,434 ;- ;9,673 ;- ;1,938 ;62,192 ;3,659 ;1,819 ;
Gösslunda ;22.63 ;47 ;;3,291 ;40 ;2,030 ;40 ;551 ;;;;;36 ;2 ;;;220 ;985 ;156 ;66 ;- ;8 ;60 ;300 ;- ;223 ;490 ;- ;925 ;- ;430 ;7,925 ;250 ;630 ;
Hjerpãs med Höra och Vedum ;28,05 ;74 ;;8,304 ;;4,757 ;310 ;2,138 ;;;;;;;;;600 ;1,855 ;263 ;;49 ;;;1,068 ;X 6 ;550 ;1,000 ;;2,000 ;GO ;90 ;14,400 ;280 ;600 ;
Häggesled ;10.38 ;49 ;;2,143 ;;1,890 ;23 ;707 ;X ;;;;;;;;137 ;484 ;28 ;;3 ;;29G ;283 ;;139 ;;;560 ;;;4,011 ;172 ;161 ;
Kedum. ;11 ;28 ;;1,695 ;;959 ;69 ;253 ;;;;;;;;;137 ;343 ;;10 ;;;100 ;232 ;;;139 ;;353 ;;;2,646 ;;189 ;
Lava. ;9,50 ;40 ;;3.247 ;;1,364 ;170 ;436 ;;;;;;;;;140 ;608 ;32 ;24 ;;3 ;105 ;244 ;;;192 ;;549 ;- ;168 ;5,690 ;135 ;168 ;
Levene, del, ;9,25 ;;;3.813 ;25 ;2,468 ;X 30 ;900 ;;;;;;;;;352 ;568 ;88 ;35 ;;;;;;;440 ;;1,584 ;- ;399 ;5,058 ;400 ;220 ;
Mellby ;16,38 ;;;3,445 ;20 ;2,000 ;25 ;1,400 ;;;;;;;;;250 560 ;800 950 ;100 ;;;;100 ;500 230 ;;;800 1,150 ;;1,250 1,650 ;- ;250 850 ;3,100 6,050 ;700 ;300 860 ;
Otterstad med Senäte ;30,38 ;91 ;1G1 ;8,700 ;;2,700 ;650 ;5,325 ;;;;;;;;;220 ;GO4 ;235 ;170 ;;;;680 ;;;700 ;- ;430 ;- ;800 ;3,903 ;200 ;450 ;
Rackeby ;22 ;47 ;;3,401 ;;2,058 2,313 ;96 ;975 ;;;;;;;;;314 ;810 ;;;;;;526 ;;;400 ;;1,139 ;43 ;55G ;5,572 ;;;
Râda Skalunda ;20.13 10,63 ;;;4,815 2,594 ;;1,924 ;186 27 ;2,282 ;;;;;;;;;350 ;320 ;210 ;;;;250 ;400 ;;;;;1,250 ;X ;1,100 ;'900 ;560 ;760 ;
Sladene ;16,50 ;;;4,380 ;;2,500 ;65 ;1.806 ;;;;;;;;;;680 ;150 ;150 ;;;330 ;500 ;;;500 ;;1,500 ;;200 ;6,000 ;200 ;600 ;
Strö ;12,31 ;;;4,236 ;;977 ;180 ;1,598 ;;;;;;;;;185 ;805 ;130 ;;;;;150 ;;;410 ;;560 ;- ;400 ;1,000 ;200 ;300 ;
Sunnersberg ;27.88 ;90 ;;5,489 ;13 ;2,650 ;50 ;2,776 ;;;;;;;;;;1,292 ;;;;;;450 ;;;X 350 ;;1,000 ;;470 ;1,500 ;;350 ;
Söne ;15,25 ;54 ;;2.011 ;;1,568 ;286 ;229 ;;;;;;;;;;650 674 ;106 ;;;;;280 448 ;;;;;700 900 ;;400 273 ;4,600 6,080 ;243 ;500 378 ;
Tranum Tâdened ;15.13 9,25 ;GO ;;3.471 2,143 ;36 16 ;1,914 917 ;111 34 ;598 8.88 ;;;;;;;;;;;;;;;;213 ;;;;;425 ;;222 ;3,510 ;;408 ;
Ufvered ;16,95 ;GO ;;3,200 ;;2,900 ;270 ;;;;;;;;;;;1,000 ;100 ;;;;496 ;700 ;;;;;1.100 ;;200 ;6,000 ;200 ;300 ;
Vala med Gillstad ;16,76 ;;;5,744 ;;2,078 ;48 ;3,594 ;;;;;;;;;;858 ;;;;;;;;;;;;;204 ;6,536 ;;;
Asaka ;;;;2,225 ;;1.850 ;40 ;;;;;;;;;;;;;;;;800 ;;;;;;1.050 ;;160 ;6,700 ;;100 ;
Orslösa ;19,75 ;;;4,065 ;;2,010 ;120 ;1,706 ;;;;;;;;;;540 ;210 ;160 ;40 ;;;;;;;;850 ;;450 ;2,860 ;1,000 ;940 ;
Källands härad ;356,41 ;1,191 ;1,056 ;81,971 ;761 ;43,322 ;2,830 ;28,437 ;114 ;662 ;197 ;23 ;230 ;239 ;82 ;9 ;5,659 ;15,340 ;2,084 ;1,219 ;419 ;102 ;3,809 ;9,237 ;X 76 ;5,486 ;9,487 ;;20,731 ;103 ;7,758 ;101,041 ;4,683 ;8,559 ;
Eling ;10,00 ;47 ;17 ;2.308 ;15 ;690 ;400 ;190 ;;;;;;;;;103 ;485 ;3 ;45 ;;5 ;20 ;40 ;- ;35 ;;13 ;630 ;50 ;126 ;4,400 ;1,360 ;;
Essunga ;22,69 ;132 ;173 ;10.465 ;;2,525 ;125 ;335 ;;;;;;;;;250 ;1,950 ;270 ;200 ;15 ;10 ;105 ;210 ;;250 ;;;1,200 ;;90 ;11,400 ;250 ;;
Foglum ;11 ;77 ;18 ;3,045 ;27 ;1,110 ;679 ;252 ;;;;;;;;;133 ;710 ;8 ;80 ;;15 ;;37 ;;133 ;60 ;;530 ;10 ;210 ;8,000 ;135 ;;
Hellum ;7,50 ;29 ;31 ;2,204 ;35 ;1,870 ;180 ;120 ;;;;;;;;;180 ;600 ;90 ;20 ;2 ;8 ;340 ;300 ;- ;300 ;150 ;15 ;825 ;;420 ;4,200 ;490 ;200 ;
Kjedum ;13,56 ;145 ;50 40 ;5.316 ;40 ;2,490 ;340 ;2,470 100 ;;;;;;;;;260 165 ;884 726 ;GO 25 ;83 32 ;;10 ;295 10 ;591 126 ;- ;295 155 ;140 ;10 ;1,250 620 ;20 ;160 240 ;8,200 5,733 ;200 440 ;100 100 ;
Lekhan ;11,50 ;41 ;;2.516 ;25 ;1,252 ;115 ;;;;;;;;;;;300 ;;;11 ;;;189 ;- ;;;;;;;3,000 ;;50 ;
Levene, del ;;17 ;17 ;900 ;3 ;700 ;20 ;20 ;;;;;;;;;;;;28 ;;;;;- ;;;;400 ;;;;;;
Long ;16 ;64 ;21 ;3,251 ;;3,030 ;170 ;;;;;;;;;;280 ;1,100 ;140 ;70 ;;;550 ;620 ;;290 ;300 ;;1.100 ;;800 ;7,900 ;300 ;350 ;
Naum ;13.19 ;90 ;;5,651 ;34 ;2,220 ;620 ;334 ;;;;;;;;;279 ;969 ;20 ;84 ;4 ;20 ;110 ;395 ;- ;330 ;35 ;;1,352 ;;105 ;8,645 ;348 ;93 ;
Rvda med Hallãs ;25,38 ;130 ;95 ;5,150 ;100 ;3,635 ;55 ;1,860 ;;;;;;;;;375 ;1,230 ;270 ;80 ;25 ;15 ;280 ;725 ;;700 ;270 ;15 ;1,500 ;;250 ;10,500 ;330 ;400 ;
Sandbäck eller Kyrk&s ;;16 ;19 ;2,450 ;;600 ;150 ;GOO ;;;;;;;;;95 255 ;209 ;;25 ;;4 ;16 ;75 ;- ;80 ;;2 ;880 ;;;1,670 ;20 ;550 ;
Skarstad ;18,75 ;154 68 ;15 9 ;3,763 2,400 ;77 ;3,602 2,329 ;75 50 ;13 ;;;;;;;;;2G9 ;1,195 1,000 ;275 100 ;70 30 ;1 ;;1,316 125 ;400 350 ;- - ;250 450 ;215 250 ;;1,050 1,100 ;;200 100 ;8,000 7,000 ;135 600 ;100 ;
Yara ;10,75 ;;;;8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asaka ;14.57 ;130 ;36 ;3,568 ;24 ;1,400 ;630 ;180 ;;;;;;;;;;700 ;70 ;;;16 ;;150 ;- ;270 ;;;650 ;20 ;250 ;6,000 8,700 ;100 400 ;60 90 ;
Onum ;11.25 ;76 ;51 ;4.115 ;22 ;3,442 ;143 ;508 ;;X ;;;;;;;;1,558 ;;103 ;;5 ;700 ;710 ;;232 ;90 ;;1.250 ;;;;;;
Barne harad ;197,20 ;1,212 ;672 ;57,162 ;436 ;30,895 ;3,752 ;6,491 ;126 ;X 937 ;166 ;10 ;102 ;532 ;52 ;10 ;3,056 ;13,616 ;1,350 ;992 ;75 ;125 ;3,871 ;4,918 ;- ;3,890 ;1,738 ;62 ;13,837 ;202 ;3,112 ;103,348 ;5,168 ;2,178 ;
Broby ;7.50 ;18 ;1 ;935 ;2 ;885 ;45 ;3 ;1 ;;;;- ;;4 ;- ;124 ;337 ;5 ;7 ;3 ;;50 ;285 ;- ;123 ;110 ;- ;522 ;;36 ;3,350 ;;25 ;
Hangelösa ;16.50 ;53 ;53 ;5,116 ;;2,850 ;346 ;1,920 ;;;;;;;;;410 ;870 ;;120 ;40 ;16 ;284 ;700 ;- ;400 ;140 ;;1,764 ;;315 ;6,615 ;315 ;189 ;
Hasslösa ;12.50 ;69 ;50 ;3,956 ;8 ;2,597 ;;621 ;;41 ;;;26 ;24 ;;1 ;298 ;775 ;49 ;46 ;12 ;5 ;463 ;570 ;;288 ;308 ;;1,127 ;;182 500 ;7,112 1,900 ;326 ;157 124 ;
Huzaby ;23.75 ;32 ;;4,488 ;20 ;1,800 ;100 ;300 ;;;;;;;;;257 ;384 ;30 ;250 ;50 ;;257 ;314 ;;257 ;264 ;20 ;907 ;;;8,500 ;;;
Hofby ;12,38 ;47 ;37 ;2,800 ;24 ;2,651 ;35 ;130 ;;;;;;;;;300 ;900 ;50 ;42 ;25 ;8 ;330 ;700 ;6 ;290 ;310 ;33 ;630 ;33 ;310 ;;155 ;125 ;





