Table: Table_1

Yllestad ;;;;5,400 ;;112 ;;7,500 ;;625 ;14,000 ;- ;25 ;;;- ;43,200 ;- ;- ;- ;60 ;25 ;100 ;10 ;175 ;150 ;220 ;- ;80 ;;
Asaka ;;;;2,844 ;;;;5,400 ;;2,275 ;30,575 ;;175 ;;;- ;19,808 ;- ;- ;- ;73 ;23 ;200 ;10 ;355 ;155 ;230 ;- ;125 ;;
Asle ;;30 ;;5,050 ;- ;24 ;6 ;5,000 ;- ;3,360 ;30,000 ;480 ;96 ;- ;180 ;- ;30,300 ;- ;- ;- ;152 ;80 ;104 ;10 ;360 ;130 ;110 ;- ;120 ;;
Summa Vartofta härad ;X 18 ;1,272 ;- ;161,056 ;250 ;9,646 ;1,125 ;315,157 ;4,457 ;48,389 ;1,028,306 ;21,393 ;9,602 ;52 ;4,547 ;- ;1,227,900 ;61,706 ;- ;- ;2,099 ;650 ;6,454 ;275 ;11,937 ;5,478 ;13,319 ;3 ;4,263 ;;
Brismene ;;5 ;;700 ;- ;- ;- ;650 ;- ;350 ;6,030 ;150 ;20 ;- ;20 ;- ;4,050 ;- ;;18 ;45 ;35 ;75 ;10 ;150 ;175 ;195 ;- ;45 ;;
Börstig ;;- ;;2,000 ;12 ;- ;180 ;2,600 ;280 ;540 ;1,050 ;250 ;50 ;- ;- ;- ;16,000 ;- ;30 ;;45 ;25 ;88 ;8 ;250 ;90 ;180 ;- ;85 ;;
Grolanda ;;- ;;1,600 ;25 ;- ;- ;4,400 ;750 ;1,500 ;17,100 ;950 ;120 ;- ;- ;- ;12,800 ;;;20 ;70 ;30 ;140 ;5 ;300 ;100 ;200 ;- ;20 ;;
Kinneved ;;- ;;3,050 ;50 ;- ;- ;5,642 ;- ;2,170 ;41,950 ;- ;80 ;- ;;- ;24,400 ;800 ;100 ;25 ;110 ;35 ;160 ;12 ;450 ;230 ;400 ;- ;150 ;;
Smula ;;;;300 ;;;- ;500 ;- ;240 ;2,400 ;75 ;38 ;- ;;- ;1,800 ;- ;;- ;24 ;15 ;30 ;2 ;75 ;25 ;65 ;- ;13 ;;
y&rkumla ;;13 ;- ;422 ;13 ;- ;- ;1,210 ;;658 ;7,245 ;;52 ;;30 ;- ;3,790 ;- ;26 ;- ;48 ;16 ;70 ;3 ;154 ;40 ;144 ;- ;48 ;;
Asarp ;;- ;- ;2,750 ;;- ;- ;560 ;24 ;540 ;6,480 ;90 ;96 ;- ;- ;- ;5,500 ;- ;- ;- ;13 ;8 ;30 ;3 ;48 ;28 ;30 ;- ;9 ;;
Summa Frökinds härad ;- ;18 ;- ;10,822 ;100 ;- ;180 ;15,562 ;1,054 ;5,998 ;82,255 ;1,515 ;456 ;- ;50 ;- ;68,340 ;800 ;156 ;63 ;355 ;164 ;593 ;43 ;1,427 ;688 ;1,214 ;- ;370 ;- ;
Amnehärad ;- ;20 ;- ;4,050 ;X 20 ;1,000 ;- ;24,500 ;- ;240 ;28,100 ;- ;420 ;- ;80 ;- ;40,500 ;- ;- ;16 ;64 ;2 ;200 ;6 ;530 ;300 ;350 ;- ;250 ;- ;
Beateberg ;- ;200 ;- ;4,000 ;- ;1,200 ;- ;9,840 ;- ;;23,400 ;;575 ;- ;;- ;28,000 ;- ;- ;25 ;60 ;8 ;180 ;10 ;400 ;300 ;400 ;- ;120 ;- ;
Berg. ;;;- ;5,400 ;;1,000 ;- ;12,600 ;- ;3,500 ;15,320 ;550 ;450 ;- ;;- ;43,200 ;- ;;;65 ;10 ;160 ;10 ;350 ;140 ;100 ;- ;100 ;;
Bellefors ;;20 ;- ;900 ;10 ;1,300 ;- ;3,300 ;- ;60 ;6,100 4.500 ;- - ;210 ;- ;50 ;- ;5,000 ;- ;- ;4 ;38 ;4 ;120 ;4 ;150 ;28 ;105 ;- ;25 ;;
Binneberg ;;;;300 ;;180 ;;2,000 ;- ;;;;;;;- ;3,000 ;;;;10 ;;32 ;;60 ;30 ;50 ;- ;20 ;;
Björkäng ;3 ;200 ;;1,500 ;5 ;3,500 ;260 ;8,000 ;- ;150 ;18,000 ;-- ;2,000 ;12 ;800 ;- ;12,000 ;X 1,800 ;X 20 ;8 ;40 ;3 ;240 ;6 ;430 ;100 ;150 ;- ;130 ;;
Björsäter ;;100 ;;3,000 ;90 ;2,820 ;X 80 ;10,800 ;- ;800 ;22,400 ;- ;270 ;100 ;300 ;- ;30,000 ;17,000 ;;2,70 ;150 ;35 ;300 ;8 ;450 ;150 ;200 ;;150 ;;
Back ;;40 ;;570 ;12 ;3,850 ;- ;5,000 ;- ;;26,130 ;- ;750 ;80 ;40 ;- ;5,600 ;1,800 ;;14 ;31 ;;140 ;8 ;270 ;160 ;200 ;- ;54 ;;
Böja ;;;;1,250 ;25 ;678 ;- ;3,102 ;- ;150 ;7,875 ;- ;186 ;;;- ;7,500 ;;;15 ;12 ;4 ;40 ;1 ;100 ;100 ;130 ;- ;30 ;;
Karlsborg ;;;;36 ;;;;54 ;- ;;60 ;- ;250 ;- ;- ;- ;240 ;;;;;;;;11 ;;;- ;45 ;;
Ek ;;200 ;;750 ;25 ;520 ;X 500 ;7,500 ;;735 ;26,500 25,800 ;;2,700 ;24 ;;;5,000 ;6,600 ;50 ;12 ;50 ;7 ;142 ;5 ;280 ;70 ;120 ;- ;50 ;;
Ekby ;6 ;14 ;;1,169 ;;1,940 ;;3,625 ;- ;108 ;;;;;180 ;;9,352 ;;;;49 ;8 ;160 ;4 ;240 ;100 ;190 ;- ;50 ;;
Ekeskog ;;;;400 ;24 ;468 ;;8,000 ;;;27,200 ;- ;225 ;;;- ;1,600 ;- - ;56 ;;22 ;;120 ;6 ;225 ;125 ;200 ;- ;20 ;;
Elgaras ;;;;1,200 ;12 ;360 ;X 48 ;8,280 ;240 ;;18,000 ;;480 ;36 ;150 ;-- ;12,000 ;- ;60 ;20 ;26 ;;200 ;8 ;300 ;80 ;200 ;- ;80 ;;
Flietad ;12 ;19 ;;480 ;;944 ;- ;2,972 ;;190 ;15,000 ;3,780 ;1,880 ;48 ;76 ;- ;1,440 ;- ;;;36 ;10 ;144 ;2 ;100 ;100 ;160 ;- ;40 ;;
Finnerödja ;20 ;30 ;;1,800 ;150 ;200 ;60 ;9,000 ;120 ;300 ;20,000 ;45 ;375 ;60 ;120 ;- ;9,000 ;- ;450 ;;65 ;;300 ;10 ;800 ;250 ;725 ;- ;175 ;;
Fägre ;10 ;100 ;;5,000 ;10 ;16,200 ;- ;25,000 ;- ;300 ;72,000 ;- ;4,800 ;60 ;800 ;- ;45,000 ;;50 ;;160 ;50 ;600 ;18 ;1,200 ;750 ;700 ;- ;280 ;;
Fredsb erg ;;100 ;;1,760 ;15 ;9,500 ;- ;18,000 ;;365 ;40,675 ;- ;875 ;100 ;75 ;- ;14,680 ;500 ;40 ;20 ;60 ;;505 ;8 ;740 ;200 ;500 ;- ;150 ;;
Fröeve ;;50 ;;1,800 ;20 ;1,880 ;- ;12,735 ;- ;1,134 ;33,705 ;- ;944 ;50 ;150 ;- ;14,400 ;;50 ;5 ;45 ;;168 ;4 ;254 ;76 ;170 ;- ;80 ;;
Götlunda ;10 ;50 ;;108 ;;2,000 ;- ;12,100 ;- ;;65,000 ;- ;5,500 ;;300 ;- ;525 ;- ;;;38 ;;264 ;3 ;455 ;145 ;300 ;;75 ;;
Halna ;19 ;12 ;;2,300 ;35 ;450 ;- ;6,000 ;- ;36 ;21,000 ;- ;6,000 ;90 ;72 ;- ;18,400 ;- ;;;14 ;2 ;90 ;2 ;224 ;280 ;270 ;- ;50 ;;
Hjäletad ;;20 ;;325 ;;1,625 ;- ;6,020 ;- ;;14,245 ;;840 ;16 ;;- ;1,280 ;- ;;;26 ;3 ;100 ;3 ;145 ;60 ;90 ;- ;30 ;;
Hasle, Berga och Färed ;10 ;200 ;;5,500 ;10 ;550 ;;26,400 ;;540 ;65,000 ;250 ;280 ;50 ;1,200 ;- - ;55,000 ;;110 ;;96 ;15 ;528 ;15 ;900 ;240 ;600 ;- ;180 ;;
Hofva och Fagerlid ;;50 ;;5,900 ;;2,400 ;X 400 ;32,000 ;600 ;720 ;65,500 ;400 ;1,200 ;;300 ;- ;59,000 ;100 ;;100 ;220 ;60 ;500 ;30 ;1,350 ;800 ;1,450 ;- ;200 ;;
Horn ;34 ;35 ;;1,600 ;28 ;1,350 ;X 60 ;5,900 ;100 ;650 ;15,000 ;- ;1,250 ;170 ;150 ;- - ;9,600 ;;60 ;;53 ;10 ;142 ;7 ;247 ;95 ;110 ;- ;45 ;;
Leksberg ;;10 ;;1,200 ;;1,500 ;;5,400 ;;70 ;16,975 ;- ;600 ;- ;50 ;- ;12,000 ;8,500 ;;;40 ;2 ;142 ;5 ;330 ;50 ;100 ;- ;35 ;;
Lyrestad Locketorp ;;100 ;;4,668 3,500 ;50 20 ;2,268 1,240 ;200 ;20,280 6,600 ;- ;300 300 ;59,220 19,150 ;100 ;1,908 1,000 ;- - ;140 ;- ;23,840 ;;- ;;50 ;;470 ;7 ;700 ;588 ;990 ;- ;195 ;;
;;;;;;;;;;;;X ;;;300 ;- ;28,000 ;500 ;;10 ;;15 ;120 ;8 ;300 ;150 ;250 ;- ;100 ;;
Lerdala ;;80 ;;3,000 ;- ;1,260 ;- ;7,050 ;100 ;1,260 ;16,240 ;240 ;750 ;- ;;- ;30,000 ;550 ;;;;;100 ;6 ;360 ;112 ;175 ;- ;70 ;;
L&stad ;16 ;12 ;;983 ;- ;1,300 ;- ;1,170 ;- ;119 ;6,300 ;;480 ;60 ;45 ;- ;5,900 ;- ;;;;12 ;125 ;3 ;175 ;35 ;100 ;- ;;;
Mo. ;;;;1,470 ;;3,600 ;;3,340 ;;;18,266 ;;1,470 ;- ;- ;- ;8,820 ;- ;;;19 ;;75 ;6 ;195 ;46 ;95 ;;;;
Mölitorp ;;100 ;;6,000 ;30 ;180 ;X 300 ;11,000 ;150 ;60 ;22,000 ;300 ;550 ;;- ;- ;37,000 ;- ;140 ;30 ;;2 ;280 ;10 ;600 ;200 ;300 ;- ;;;
Odensaker ;18 ;45 ;;1,000 ;;942 ;- ;7,938 ;;315 ;12,096 ;- ;576 ;54 ;270 ;- ;7,000 ;- ;;;52 ;16 ;150 ;;270 ;90 ;184 ;- ;;;
Ransberg ;;;;6,300 ;;200 ;- ;12,500 ;520 ;;31,500 ;- ;132 ;;- ;- ;31,500 ;- ;;;90 ;;300 ;10 ;400 ;300 ;1,200 ;;200 ;;





