Table: Table_1

;Essunga ;22:69 ;215 ;;10,414 ;;25 ;5,269 ;100 ;;;;;;;101 ;;;;2.001 ;;;;504 ;113 1.000 ;;100 752 ;;;500 3,000 ;25 50 ;100 ;3,000 15,858 ;40 ;45 ;;
;Foglum Hallun ;11:00 ;93 ;;4,629 ;;18 ;1,325 ;490 ;;;;;;;;;;;460 ;;;;120 ;125 ;- ;250 ;200 ;45 ;950 ;50 ;200 ;2.175 ;200 ;42 ;;
;Kedum ;7:75 ;32 ;;4) 2.315 ;1,983 ;25 ;1.836 ;60 ;;;;;;;;;;;600 ;;;;300 ;475 ;;200 ;250 ;;750 ;;190 ;3.700 ;25 50 ;15 100 ;45 ;
;;13:56 ;141 ;;5,323 ;;40 ;2,870 ;100 ;1.175 ;;;;;;;;;;1,130 ;;;;;;;;;;;;;;;;;
;Lekian ;11:50 ;49 ;;3.934 ;;15 ;1.639 ;91 ;150 ;;;;;;;;;;785 ;;;;245 ;700 ;;355 ;160 ;;1.354 ;10 ;85 ;11.025 ;50 ;55 ;;
49 ;Levene (del) ;7:00 ;;;926 ;;;850 ;10 ;45 ;;;;;;;;;;289 ;;;;116 ;318 ;;183 121 ;126 ;;878 600 ;20 ;100 ;6.900 ;68 ;45 ;;
50 ;Long ;16:00 ;;;3.240 ;;10 ;3,135 ;80 ;;;;;;;;;;;842 ;;;;500 ;;;400 ;;;;- ;50 ;2,116 ;;63 ;;
51 ;Naum ;13:10 ;;103 ;5,554 ;;40 ;2.550 ;450 ;510 ;;;;;;;;;;1.100 ;;;;;;;;;;1,550 ;- ;150 ;8.000 ;;300 ;50 ;
52 ;Ryda med Half&s ;25:00 ;170 ;99 ;6.480 ;;154 ;4.621 ;73 ;1,632 ;;;;;;;;;;1.494 ;154 ;;;50 524 ;590 1,068 ;;317 684 ;564 ;;1.775 3.000 ;5 ;35 ;10,935 ;;75 ;51 ;
53 ;Sandbäck eller Kyrkîs ;4:00 ;16 ;;2.314 ;;;748 ;80 ;600 ;;;;;;;;;;240 ;;;;140 ;200 ;- ;75 ;;2 ;250 ;;210 ;10.500 ;500 ;350 ;;
54 ;Sknrstad ;18:38 ;186 ;19 ;4.166 ;3,763 ;35 ;3.685 ;37 ;;;;;;;;;;;1.760 ;178 ;;;285 ;680 ;- ;349 ;310 ;;1,465 ;10 ;;2,001 ;12 ;12 ;53 ;
55 ;Yara ;10:75 ;73 ;;2,777 ;;15 ;2.735 ;25 ;9 ;;;;;;;;;;1.131 ;50 ;;;50 ;732 ;- ;367 ;350 ;;1,400 ;;435 ;9.495 ;175 ;180 ;54 ;
56 ;Asaka ;14:53 ;141 ;45 ;4.860 ;3,568 ;25 ;1.471 ;579 ;155 ;;;;;;;;;;742 ;;;;21 ;170 ;;985 ;;7 ;660 ;;150 ;8.000 ;300 ;150 ;55 ;
57 ;Onum ;11:25 ;94 ;57 ;4.397 ;;25 ;3.650 ;220 ;502 ;;;;;;;;;;1,500 ;26 ;;;100 ;1,320 ;;320 ;150 ;;2.000 ;50 ;79 120 ;6.052 10.710 ;116 ;36 ;56 ;
;Summa för Barne härad ;196.60 ;1,461 ;747 ;4 65,726 ;;450 ;37,324 ;2,745 ;5,424 ;232 ;973 ;182 ;10 ;;;;5 ;4,535 ;14,574 ;654 936 ;144 ;103 ;3,077 ;8,510 ;- ;4,758 ;2.704 ;64 ;20,132 ;240 ;1,965 ;110,467 ;63 1,599 ;150 1,618 ;57 ;
58 ;Broby ;7:50 ;23 ;3 ;1.389 ;1,190 ;5 ;1.152 ;98 ;5 ;;;;;;;;1 ;;396 ;;;;63 ;386 ;- ;138 ;96 ;;694 ;;32 ;3.525 ;;32 ;;
59 ;Hangelösa ;16:50 ;86 ;80 ;5,091 ;;;2,990 ;300 ;1.692 ;;;;;;;;;;1.557 ;30 ;;;200 ;320 ;;400 ;300 ;50 ;1,640 ;10 ;250 ;10.600 ;- ;;58 ;
60 ;Hasslüsa Hofby ;12:25 ;74 ;65 ;4.397 ;3,956 ;24 ;2.650 ;;600 ;;;;;;;;;;860 ;40 ;15 ;;475 ;600 ;;300 ;300 ;;1,600 ;;50 ;8.000 ;- ;60 70 ;59 ;
;;12:63 ;45 ;37 ;3.471 ;;24 ;2,660 ;33 ;83 ;;;;;;;;;;800 ;35 50 ;20 ;;600 ;600 ;- ;250 ;300 ;40 ;660 ;- ;150 ;;- ;;60 ;
62 ;Husaby ;23:75 ;46 ;29 ;3,934 ;;20 ;2,014 ;80 ;320 ;;;16 ;;;;;;250 ;530 ;30 200 ;50 ;;200 ;500 ;- ;250 ;250 ;50 ;900 ;- ;500 ;6.850 4,100 ;250 ;150 140 ;61 62 ;





