Table: Table_1

S:ma,Kinnefjerdiugshärado ;159,64 ;419 ;372 ;34,246 ;197 ;20,176 ;1,572 ;8,835 ;X 40 ;209 ;;115 ;15 ;9 ;67 ;25 ;4 ;2,592 ;6,366 ;371 ;526 ;253 ;78 ;1,807 ;5,566 ;7 ;2,608 ;2,355 ;81 ;8348 ;20 ;2,195 ;55,252 ;1,901 ;1,672 ;
Forshem ;24,75 ;127 ;135 ;11,000 ;54 ;2,212 ;407 ;8,327 ;2 ;;43 ;23 ;7 ;X 9 ;40 ;3 ;- ;550 ;910 ;89 ;112 ;116 ;12 ;540 ;1,122 ;- ;443 ;145 ;- ;239 ;- ;68 ;976 ;100 ;- ;
Fullösa ;16,88 ;22 ;26 ;3,285 ;6 ;1,488 ;50 ;1,741 ;4 ;;10 ;8 ;2 ;2 ;26 ;2 ;- ;248 ;455 ;61 ;25 ;18 ;3 ;80 ;350 ;- ;248 ;315 ;- ;850 ;- ;157 ;4,095 ;- ;126 ;
Götened ;7 ;27 ;27 ;2,450 ;20 ;1,240 ;100 ;112 ;;;;- ;;- ;- ;- ;- ;160 ;274 ;- ;X 9 ;5 ;3 ;149 ;480 ;- ;160 ;198 ;- ;537 ;-- ;38 ;1,916 ;- ;102 ;
Holmestad ;14,81 ;91 ;22 ;5,308 ;8 ;2,600 ;300 ;2,400 ;6 ;;- ;60 ;- ;- ;- ;- ;- ;250 ;520 ;X 60 ;50 ;60 ;40 ;X 560 ;760 ;86 ;220 ;150 ;X 30 ;600 ;120 ;90 ;4,500, ;;190 ;
Kjestad ;8,50 ;18 ;3 ;- ;3 ;- ;- ;- ;1 ;;11 ;6 ;- ;- ;1 ;1 ;- ;85 ;177 ;34 ;17 ;25 ;2 ;;255 ;- ;85 ;50 ;- ;485 ;- ;- ;2,230 ;;56 ;
Klefva ;19,25 ;30 ;12 ;1,482 ;10 ;1,362 ;60 ;50 ;3 ;;11 ;21 ;- ;- ;1 ;5 ;- ;180 ;450 ;17 ;20 ;5 ;10 ;100 ;400 ;- ;180 ;100 ;- ;900 ;- ;300 ;4,000 ;- ;50 ;
Ledsjö ;16,88 ;56 ;52 ;- ;20 ;1,995 ;200 ;1,500 ;10 ;;25 ;7 ;1 ;14 ;30 ;7 ;1 ;280 ;200 ;18 ;320 ;5 ;5 ;100 ;340 ;- ;300 ;209 ;50 ;1.120 ;X 38 ;420 ;5,000 ;750 ;190 ;
Medelplana ;17,38 ;68 ;96 ;4,744 ;55 ;1,511 ;350 ;2.744 ;3 ;;11 ;2 ;3 ;14 ;34 ;1 ;- ;121 ;X 363 ;20 ;79 ;52 ;2 ;60 ;693 ;- ;121 ;147 ;- ;557 ;- ;775 ;301 ;1,675 ;80 ;
Sil ;9 ;26 ;15 ;1,300 ;9 ;700 ;200 ;391 ;4 ;;25 ;- ;1 ;- ;- ;- ;- ;111 ;216 ;6 ;18 ;14 ;2 ;391 ;431 ;- ;111 ;108 ;- ;420 ;- ;54 ;1,863 ;- ;24 ;
Wedum ;13,31 ;33 ;54 ;4,074 ;26 ;2,756 ;250 ;1.042 ;14 ;;9 ;30 ;3 ;- ;- ;3 ;- ;393 ;737 ;26 ;18 ;;5 ;398 ;- ;- ;393 ;141 ;- ;2,000 ;- ;- ;6,633 ;- ;90 ;
Westerplana ;10,50 ;26 ;12 ;1,410 ;1 ;1,017 ;48 ;343 ;2 ;;10 ;7 ;2 ;2 ;18 ;6 ;- ;82 ;308 ;20 ;44 ;10 ;8 ;79 ;372 ;- ;94 ;35 ;X 15 ;490 ;- ;X 450 ;760 ;750 ;82 ;
Wättlösa ;16,19 ;80 ;34 ;4,200 ;20 ;1,400 ;100 ;2,680 ;60 ;;140 ;18 ;2 ;20 ;80 ;4 ;1 ;200 ;380 ;20 ;20 ;10 ;10 ;180 ;400 ;- ;200 ;252 ;- ;1,008 ;- ;- ;2.520 ;- ;63 ;
Österplana ;17,88 ;36 ;68 ;- ;25 ;;- ;- ;21 ;;20 ;3 ;;1 ;10 ;1 ;;100 ;274 ;42 ;30 ;28 ;5 ;10 ;300 ;2 ;100 ;31 ;- ;567 ;- ;315 ;1.260 ;630 ;94 ;
Summa, Kinne härad b) ;185.33 ;640 ;556 ;39.253 ;257 ;18.281 ;2065 ;21,330 ;130 ;315 ;;195 ;21 ;62 ;240 ;33 ;2 ;2.760 ;5.264 ;| 413 ;762 ;348 ;107 ;2.647 ;5,903 ;88 ;2,655 ;1,881 ;X 95 ;9,773 ;158 ;2.667 ;36,054 ;3,905 ;1,147 ;





