Table: Table_1

Om, Bjärby och Amundtorp ;;30 ;;700 ;;300 ;;7,800 ;;;7.500 ;400 ;50 ;- ;60 ;- ;4,200 ;2.000 ;;;- ;- ;24 ;2 ;60 ;3 ;165 ;60 ;120 ;;;200 ;
Summa Kâkinds härad ;;660 ;- ;93,530 ;232 ;10,840 ;1,854 ;189,970 ;1,695 ;6,810 ;516,370 ;X 600 ;3,553 ;- ;965 ;- ;620,010 ;33,517 ;240 ;102 ;8.100 ;36,945 ;1.030 ;140 ;3,169 ;116 ;7,061 ;2,447 ;6,905 ;;1,880 ;;
Acklinga ;;25 ;- ;2,025 ;9 ;450 ;- ;4.500 ;- ;700 ;20,875 ;- ;60 ;- ;150 ;- ;16,200 ;1,500 ;27 ;18 ;;5,500 ;35 ;15 ;125 ;8 ;230 ;150 ;100 ;;;;
Angarp ;;;;3,960 ;30 ;1,830 ;- ;10,800 ;- ;750 ;42,600 ;X 600 ;350 ;- ;;;23,760 ;;90 ;;10 ;;110 ;20 ;215 ;12 ;500 ;270 ;375 ;;120 ;;
Baltak ;;10 ;- ;1.800 ;- ;60 ;- ;3,600 ;;48 ;11,725 ;;48 ;- ;50 ;;10,800 ;- ;- ;;;- ;28 ;5 ;85 ;;150 ;80 ;180 ;;;;
Bottnaryd ;;;;12.500 ;- ;- ;- ;1,156 ;180 ;120 ;2,550 ;X 265 ;;- ;;- ;7,300 ;- ;- ;;;- ;;;;2 ;50 ;12 ;43 ;;;;
Bjurbäck ;;;- ;2,736 ;- ;;;4,896 ;X 230 ;280 ;17.120 ;;;;;- ;27.360 ;- ;- ;;;- ;;;;;311 ;50 ;180 ;;;;
Brandstorp ;;95 ;- ;7,000 ;;125 ;300 ;8,880 ;180 ;840 ;20,000 ;X 720 ;120 ;;;- ;56,000 ;- ;- ;;- ;- ;;;;;380 ;220 ;300 ;;;;
Daretorp ;;;- ;3.500 ;20 ;150 ;;8,250 ;X 220 ;140 ;22,400 ;300 ;;18 ;100 ;- ;24,055 ;;;;;;;;;10 ;380 ;190 ;575 ;;;;
Dimbo ;;;;3,000 ;20 ;160 ;30 ;6,400 ;150 ;3,500 ;30,500 ;X 250 ;300 ;;;;24,000 ;1.000 ;100 ;20 ;600 ;21,000 ;;;170 ;;300 ;175 ;;;;;
Falköpings landsförsamling ;;250 ;;550 ;;;;4,500 ;X 60 ;3,550 ;21,000 ;;;;- ;- ;3,300 ;12,000 ;;;;- ;;;30 ;;300 ;50 ;40 ;;;;
Fridene. ;;20 ;;400 ;- ;400 ;75 ;3,200 ;;200 ;15,200 ;;;- ;;- ;800 ;;;;- ;- ;;;;;200 ;;;;;;
Fröjered ;X 10 ;50 ;;2.400 ;;600 ;120 ;30,000 ;X 200 ;120 ;40,800 ;X 200 ;120 ;- ;250 ;;7.200 ;;;;;;80 ;20 ;600 ;10 ;875 ;200 ;470 ;;;;
Gerum ;;;;312 ;, ;468 ;;468 ;;80 ;876 ;;30 ;;;;1.872 ;;6 ;5 ;;9.310 ;;;;;;;;;;;
Gustaf Adolf ;;;;9,000 ;30 ;85 ;;16,000 ;X 550 ;200 ;52,000 ;X 1,700 ;110 ;;;;65,000 ;;;;;;20 ;;320 ;;500 ;400 ;800 ;;;;
Habo ;;;;13,450 ;- ;380 ;150 ;23.760 ;980 ;800 ;98.450 ;2.440 ;140 ;;;;108,584 ;100 ;18 ;13 ;X 10.000 ;5,200 ;89 ;10 ;456 ;23 ;955 ;340 ;1,360 ;;;;
Hvarf ;;;;3,260 ;;140 ;- ;3,460 ;- ;540 ;14.840 ;;150 ;;;;22.820 ;;;;;;;12 ;;;110 ;40 ;100 ;;;;
Hvalstad ;;40 ;;6,000 ;100 ;- ;- ;8,820 ;- ;780 ;25,250 ;- ;240 ;;;;36,000 ;;100 ;- ;- ;- ;50 ;15 ;180 ;5 ;240 ;125 ;260 ;;;;





