Table: Table_1

Husaby ;23,75 ;32 ;31 ;4,488 ;20 ;;1,800 ;100 ;300 ;9 ;22 ;16 ;1 ;- ;3 ;1 ;- ;257 ;384 ;30 ;50 ;50 ;4 ;257 ;514 ;- ;257 ;264 ;30 ;907 ;- ;480 ;1,920 ;329 ;120 ;
Hofby ;12,38 ;75 ;37 ;2,840 ;24 ;;2,651 ;35 ;130 ;5 ;18 ;24 ;3 ;2 ;22 ;1 ;- ;270 ;990 ;56 ;54 ;5 ;8 ;330 ;660 ;8 ;'270 ;378 ;- ;882 ;- ;504 ;8,442 ;157 ;151 ;
Härened ;30 ;73 ;60 ;3,969 ;37 ;;3,563 ;19 ;350 ;4 ;39 ;28 ;2 ;- ;- ;- ;- ;445 ;1,297 ;39 ;30 ;20 ;- ;242 ;1.045 ;- ;445 ;481 ;- ;1.165 ;- ;211 ;15,102 ;;197 ;
Källby ;14,13 ;51 ;36 ;1,920 ;5 ;;1,250 ;100 ;575 ;3 ;35 ;10 ;- ;1 ;2 ;- ;- ;150 ;432 ;20 ;40 ;4 ;4 ;50 ;400 ;- ;150 ;125 ;30 ;580 ;- ;190 ;3.100 ;GO ;190 ;
Lindärfva ;6,50 ;12 ;29 ;2.446 ;33 ;;1,466 ;150 ;797 ;;3 ;5 ;2 ;- ;- ;1 ;1 ;164 ;444 ;50 ;30 ;30 ;4 ;194 ;290 ;- ;164 ;211 ;- ;576 ;63 ;189 ;2,520 ;960 ;126 ;
Skeby ;7,63 ;37 ;24 ;1,700 ;7 ;;830 ;85 ;120 ;12 ;14 ;20 ;- ;- ;- ;2 ;- ;100 ;300 ;20 ;20 ;5 ;2 ;10 ;200 ;- ;100 ;20 ;5 ;500 ;X 10 ;20 ;2,600 ;100 ;80 ;
Skjelfvum ;11,25 ;28 ;26 ;2,000 ;14 ;;1,000 ;40 ;900 ;2 ;15 ;8 ;- ;- ;14 ;10 ;- ;135 ;300 ;16 ;45 ;5 ;5 ;103 ;310 ;- ;135 ;216 ;- ;432 ;- ;200 ;2,500 ;- ;56 ;
Skofteby ;4 ;1 ;12 ;900 ;3 ;;500 ;100 ;297 ;;- ;- ;1 ;1 ;11 ;- ;- ;88 ;124 ;5,5 ;8 ;12 ;;100 ;195.5 ;- ;62 ;48 ;- ;310 ;- ;63 ;190 ;- ;24 ;
Silfvared ;18.25 ;82 ;41 ;4,917 ;40 ;;2,388 ;50 ;2.469 ;14 ;24 ;16 ;1 ;;3 ;2 ;- ;341 ;682 ;100 ;100 ;30 ;30 ;82 ;682 ;- ;341 ;37 ;- ;630 ;- ;120 ;6,700 ;- ;500 ;
Summa ;151,89 ;462 ;377 ;31,261 ;185 ;;19,137 ;1,116 ;7,661 ;50 ;216 ;148 ;14 ;4 ;57 ;25 ;1 ;2,473 ;6,152 ;341.5 ;485 ;202 ;74 ;1,702 ;5,281,5 ;8 ;2,447 ;2.048 ;65 ;8,235 ;X 73 ;2.333 ;52,674 ;1,921 ;3.364 ;
Kinne härad. d) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forshein ;24,75 ;127 ;135 ;11,000 ;54 ;;2.212 ;407 ;8,327 ;2 ;43 ;23 ;7 ;9 ;40 ;3 ;- ;550 ;910 ;89 ;112 ;116 ;12 ;540 ;1.112 ;- ;443 ;145 ;- ;239 ;- ;63 ;976 ;100 ;GG ;
Fullösa ;16,88 ;23 ;6 ;3.285 ;6 ;;1,488 ;50 ;1.741 ;4 ;10 ;8 ;2 ;2 ;26 ;2 ;- ;245 ;460 ;X 55 ;X 25 ;18 ;3 ;X 80 ;357 ;- ;245 ;40 ;- ;140 ;- ;25 ;650 ;- ;20 ;
Gütened ;7 ;23 ;26 ;2,450 ;20 ;;1,230 ;100 ;340 ;;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;32 ;- ;85 ;- ;7 ;290 ;- ;15 ;
Holmestad ;14,81 ;91 ;28 ;- ;8 ;;2,802 ;100 ;2,400 ;6 ;- ;60 ;- ;- ;- ;- ;- ;350 ;820 ;60 ;72 ;80 ;30 ;- ;963 ;X 67 ;360 ;150 ;30 ;GOO ;120 ;90 ;4,500 ;- ;190 ;
Kjestad ;8,50 ;18 ;3 ;- ;3.5 ;;- ;- ;- ;1 ;11 ;6 ;- ;- ;1 ;1 ;- ;85 ;177 ;34 ;17 ;25 ;2 ;- ;255 ;- ;85 ;50 ;- ;485 ;- ;- ;2,230 ;- ;- ;
Klefva ;12,25 ;30 ;12 ;1,482 ;10 ;;1,362 ;60 ;50 ;3 ;11 ;21 ;;;1 ;5 ;- ;180 ;450 ;17 ;20 ;5 ;10 ;100 ;400 ;- ;180 ;100 ;- ;900 ;- ;300 ;4,000 ;- ;50 ;
Ledsjö ;16.88 ;55 ;52 ;5,180 ;20 ;;1.995 ;200 ;1,500 ;10 ;25 ;7 ;1 ;14 ;30 ;7 ;1 ;320 ;600 ;20 ;320 ;6 ;5 ;100 ;344 ;- ;280 ;739 ;- ;1,100 ;40 ;GOO ;4,800 ;800 ;200 ;
Medelplana ;17.38 ;17 ;51 ;4.744 ;50 ;;1,480 ;230 ;2,984 ;3 ;9 ;1 ;3 ;- ;- ;- ;- ;185 ;340 ;30 ;100 ;60 ;2 ;135 ;478 ;- ;150 ;190 ;- ;640 ;- ;1,600 ;-- ;1,600 ;92 ;
Sil ;9 ;26 ;8 ;1.300 ;9 ;;700 ;200 ;- ;9 ;;- ;- ;- ;- ;- ;- ;111 ;216 ;6 ;18 ;14 ;2 ;391 ;- ;- ;111 ;108 ;- ;420 ;- ;54 ;1,863 ;- ;24 ;





