Table: Table_1

Nas ;11,25 ;29 ;;1,696 ;4 ;1,042 ;525 ;125 ;-- ;17 ;;;;16 ;12 ;;115 ;226 ;10 ;68 ;10 ;3 ;125 ;350 ;- ;115 ;7 ;;724 ;;138 ;2,979 ;
Ottravad ;8,94 ;22 ;25 ;1.411 ;;500 ;300 ;360 ;;;;;;;;;100 ;216 ;2 ;50 ;;2 ;- ;30 ;;100 ;;;472 ;;12 ;2,709 ;
Sandhem ;42,68 ;130 ;106 ;17,430 ;30 ;2,150 ;4,500 ;10,750 ;- ;;;;;;;;350 ;530 ;10 ;344 ;;;50 ;100 ;-- - ;400 ;-- ;- ;3,000 ;50 ;60 ;3.450 ;
Skörstorp ;10.89 ;20 ;12 ;2,20:) ;;2.168 ;100 ;;;;;;;;;;125 ;1,000 ;;106 ;3 ;3 ;328 ;500 ;;130 ;;;756 ;;252 ;5,040 ;
Slöta och Faleqvarna ;45 88 ;130 ;55 ;4,500 ;20 ;3,000 ;1,400 ;80 ;;85 ;;;;;;;250 ;2.000 ;50 ;430 ;20 ;;100 ;200 ;445 ;1.000 ;10 ;10 ;1,500 ;20 ;1.200 ;14,000 ;
Suntak ;9,63 ;19 ;17 ;2,100 ;4 5 ;596 ;200 ;1,302 ;6 ;15 ;;;;;;;150 ;200 ;;35 ;2 ;;18 ;;- ;103 ;10 ;- ;715 ;10 ;;1,835 ;
Tiarp ;11,75 ;46 ;3 ;1,500 ;;1,000 ;300 ;195 ;- ;;;;;;2 ;;80 ;280 ;30 ;35 ;;;;500 ;--- ;80 ;12 ;- ;450 ;;200 ;3,600 ;
Tidaholm ;9,88 ;16 ;63 ;4,500 ;14 ;1,250 ;450 ;;;;;;;;;;205 ;264 ;10 ;40 ;20 ;6 ;125 ;280 ;- ;200 ;230 ;;695 ;;50 ;2.660 ;
Utvängstorp ;7.44 ;43 ;23 ;;;;;;;;;;;;;;35 ;160 ;;90 ;;;;;;90 ;;- ;220 ;50 ;;1,780 ;
Velinge ;19.72 ;82 ;;9,396 ;14 ;1.305 ;1,450 ;2,300 ;10 ;;;;;;2 ;;262 ;508 ;5 ;160 ;4 ;4 ;16 ;90 ;- ;256 ;60 ;;1.745 ;11 ;19 ;5.359 ;
Visttorp ;11,50 ;29 ;23 ;5,508 ;15 ;602 ;900 ;1.000 ;9 ;;;;;;;;65 ;275 ;2 ;50 ;;;35 ;115 ;;65 ;2 ;3 ;450 ;24 ;60 ;2,640 ;
Vättak ;9,50 ;18 ;23 ;2,900 ;4 ;720 ;725 ;1,000 ;;;;;;;;;160 ;229 ;- ;65 ;3 ;2 ;;100 ;5 ;160 ;10 ;10 ;998 ;30 ;10 ;2,785 ;
Yliestad ;21,56 ;54 ;52 ;6,400 ;50 ;825 ;800 ;740 ;28 ;42 ;2 ;;;53 ;46 ;2 ;212 ;383 ;-- ;100 ;;- ;100 ;;;110 ;14 ;- ;930 ;;125 ;4,220 ;
Asaka ;23,50 ;31 ;41 ;;;;;;;;;;;;;;;;;;;;;;- ;;;;844 ;- ;338 ;5,216 ;
Asle ;30.13 ;It ;107 ;2.100 ;32 ;1.218 ;390 ;318 ;7 ;72 ;5 ;1 ;4 ;26 ;1 ;1 ;103 ;725 ;10 ;90 ;27 ;4 ;120 ;99 ;- ;140 ;6 ;G ;630 ;;625 ;5,400 ;
Suinma Vartofta härad ;745,20 ;2,575 ;1,768 ;214,102 ;490 ;53,014 ;39,169 ;63.063 ;291 ;1.413 ;292 ;32 ;321 ;782 ;173 ;28 ;8282 ;21,782 ;462 ;4,697 ;358 ;182 ;2,728 ;7.961 ;463 ;8,138 ;1,172 ;154 ;49.885 ;1.377 ;7,476 ;177,184 ;
Brismene ;12,50 ;54 ;27 ;;6 ;;;45 ;3 ;;;- ;;- ;- ;;;- ;- ;;- ;;- ;;- ;;- ;;252 ;- ;125 ;1,144 ;
Börstig ;14,88 ;62 ;31 ;3.914 ;10 ;904 ;2,000 ;1,000 ;;;;;;;;;100 ;574 ;6 ;100 ;;10 ;- ;20 ;- ;100 ;-- ;50 ;630 ;63 ;96 ;3.150 ;
Grolauda ;19 ;85 ;38 ;;;300 ;;;6 ;30 ;;;20 ;63 ;4 ;;40 ;140 ;10 ;85 ;5 ;;;;;30 ;- ;- ;600 ;150 ;300 ;3,000 ;
Kinneved ;30,15 ;76 ;42 ;9,000 ;8 ;1.135 ;1,563 ;12 ;18 ;60 ;1 ;1 ;20 ;59 ;1 ;;120 ;706 ;5 ;75 ;6 ;4 ;1,400 ;140 ;10 ;184 ;- ;;675 ;- ;650 ;7,640 ;
Smula ;7,63 ;24 ;3 ;856 ;2 ;138 ;384 ;881 ;;8 ;- ;;;3 ;--- ;;;;- ;;;;-- ;;-- ;;- ;- ;120 ;- ;80 ;610 ;
Varkumla ;18,25 ;29 ;;714 ;;876 ;525 ;104 ;- ;;- ;- ;- ;;- ;;30 ;211 ;2 ;85 ;2 ;2 ;;- ;- ;40 ;- ;;284 ;- ;189 ;2,079 ;
Asarp ;4,50 ;12 ;7 ;978 ;;61 ;75 ;12 ;;6 ;;;;6 ;- ;- ;;;- ;- ;;;- ;;- ;;- ;- ;50 ;6 ;24 ;210 ;
Summa Frökinds härad ;107,51 ;342 ;157 ;15,462 ;32 ;2,914 ;4,497 ;1,554 ;27 ;104 ;1 ;1 ;40 ;131 ;5 ;1 ;290 ;1,631 ;23 ;345 ;13 ;21 ;1.400 ;160 ;10 ;354 ;- ;50 ;2,611 ;219 ;1,464 ;17,833 ;
Amnehärad ;32,19 ;3 2 ;185 ;12,785 ;15 ;2,660 ;3,670 ;6,426 ;26 ;263 ;- ;;;36 ;- ;;530 ;700 ;17 ;100 ;3 ;30 ;20 ;810 ;;450 ;100 ;- ;2,300 ;- ;100 ;5,500 ;
Beateberg ;16,75 ;49 ;56 ;7,985 ;15 ;2,047 ;984 ;3,000 ;;15 ;;;18 ;6 ;;;416 ;700 ;36 ;64 ;15 ;16 ;;400 ;;400 ;360 ;;1,600 ;- ;25 ;5,600 ;
Berg ;31,44 ;109 ;60 ;4,400 ;50 ;1,750 ;1,170 ;2,400 ;48 ;78 ;10 ;;23 ;;;- ;315 ;575 ;40 ;150 ;;;70 ;320 ;;280 ;150 ;;1,732 ;- ;X 450 ;3,900 ;
Bellefors Binneberg ;20,25 5,50 ;54 23 ;45 8 ;5,875 750 ;6 ;1,440 350 ;9 200 ;4.420 200 ;12 ;30 ;11 ;;- ;12 ;4 - ;;180 75 ;866 150 ;47 ;50 25 ;10 ;3 ;170 25 ;434 ;- - ;180 75 ;260 40 ;- - ;640 90 ;- - ;;2,550 200 ;
Björkäng ;18 ;135 ;84 ;5,047 ;8 ;2,700 ;10 ;1.900 ;;;;;;;;;337 ;675 ;168 ;84 ;40 ;10 ;368 ;675 ;6 ;337 ;640 ;;1,300 ;- ;;4,000 ;
Björsäter med Gullsälers rotar * ;28.50 ;94 ;105 ;5,530 ;28 ;2,551 ;60 ;2,888 ;62 ;;20 ;;;;10 ;- ;365 ;755 ;50 ;75 ;25 ;13 ;180 ;730 ;;365 ;400 ;20 ;1.405 ;- ;200 ;6,500 ;
Back ;14,60 ;32 ;42 ;5,000 ;50 ;2,558 ;100 ;1.500 ;;;;;;;;- ;368 ;665 ;42 ;28 ;20 ;4 ;354 ;755 ;4 ;368 ;600 ;- ;1,240 ;- ;40 ;3,990 ;
Böja ;8,75 ;38 ;12 ;1030 ;12 ;721 ;40 ;277 ;3 ;;;;;;1 ;;100 ;200 ;10 ;108 ;10 ;5 ;160 ;150 ;- ;100 ;126 ;- ;504 ;;;1,575 ;
Karlsborg ;;11 ;;41 ;;35 ;;1,025 ;;;;;;;;;4 ;;;12 ;;;;;- ;;;;19 ;- ;;88 ;
Ek ;11 ;40 ;43 ;4.608 ;28 ;1,600 ;10 ;2.300 ;4 ;;;;;;;;250 ;390 ;16 ;20 ;;4 ;100 ;370 ;2 ;228 ;60 ;100 ;1.090 ;;;2,670 ;
Ekby ;21.63 ;80 ;10 ;3,471 ;17 ;1,772 ;378 ;1,304 ;;;;;;;;;328 ;425 ;136 ;35 ;;;50 ;292 ;- ;328 ;485 ;- ;1.210 ;;;4,325 ;
Ekeskog ;15.18 ;56 ;24 ;4,295 ;;2,265 ;30 ;1,900 ;6 ;31 ;;;;;;;324 ;583 ;25 ;34 ;;;418 ;647 ;- ;323 ;117 ;- ;1,500 ;;;4,800 ;
Elgaras ;19,81 ;158 89 ;150 13 ;16,000 ;15 ;2.000 ;2,400 600 ;8,400 175 ;150 ;125 25 ;10 50 ;;;;;;400 350 ;800 ;15 ;85 160 ;;;10 ;400 ;;400 2:20 ;20 40 ;;2,400 1,600 ;;;9,600 4,400 ;
Flistad ;18.75 ;;;2,180 ;5 ;1,400 ;;;75 ;126 ;;;;;;;;380 ;30 ;165 ;;;;400 ;;300 ;45 ;;1,700 ;;;;
Finnerödja Fägre ;24,00 36,81 ;215 140 ;149 106 ;11,340 ;85 ;6,900 ;175 ;3,300 ;14 ;85 ;21 ;;;;;;358 1,040 ;590 1,600 ;40 250 ;150 ;;;600 ;2,100 ;50 ;1,050 ;2,000 ;10 ;3,000 ;;;4,600 11,100 ;
Fredsberg ;42.69 ;212 ;126 ;11,846 ;12 ;5,862 ;174 ;3,600 ;;;;;130 ;;80 ;;842 ;1,672 ;68 ;80 ;;;;1,672 ;;836 ;1.393 ;;2,800 ;;;9,060 ;
Frösve ;13,69 ;57 ;47 ;3,637 ;10 ;1,975 ;139 ;1,513 ;29 ;50 ;6 ;2 ;44 ;;;3 ;330 ;562 ;33 ;50 ;;;165 ;493 ;;328 ;235 ;;1,415 ;;;4,815 ;
Götlunda ;27,75 ;134 ;78 ;5,400 ;25 ;4,000 ;100 ;1,270 ;50 ;130 ;18 ;;;;11 ;;660 ;1.500 ;300 ;175 ;;;150 ;668 ;;600 ;1.200 ;- ;2,400 ;;;13,500 ;
Halna ;7,50 ;89 ;119 ;4,000 ;6 ;1,351 ;147 ;2,496 ;37 ;69 ;26 ;1 ;71 ;;;2 ;196 ;460 ;60 ;75 ;;;;300 ;- ;242 ;127 ;;766 ;13 ;;3,525 ;
Hiälstad ;17,25 ;34 ;18 ;1,725 ;10 ;950 ;300 ;460 ;;;;;;;;;;;;;;;;;- ;;345 ;- ;690 ;;;2,070 ;
Hasle, Berga och Färed ;66,75 ;133 ;155 ;21,196 ;40 ;6,040 ;1,520 ;12,500 ;20 ;62 ;14 ;5 ;99 ;156 ;;5 ;960 ;1,880 ;40 ;230 ;;;;2,000 ;-- ;960 ;1,000 ;;2,600 ;;;9,000 ;
Hofva och Fagerlid ;56,13 ;300 ;190 ;;;;;;;;;;;;;;884 ;1,450 ;40 ;220 ;;;;1,800 ;- ;884 ;290 ;- ;3,818 ;;;13,490 ;
Horn ;18,88 ;93 ;30 ;2,450 ;8 ;1,425 ;100 ;917 ;25 ;50 19 ;10 ;;;;;;252 ;567 ;60 ;310 ;;;30 ;141 ;- ;252 ;280 ;- ;950 ;;;2,800 ;
Leksberg ;17.75 ;36 ;59 ;4.251 ;18 ;1.715 ;66 ;2,452 ;5 ;;;;;;;;250 ;460 ;30 ;60 ;;;150 ;513 ;- ;250 ;150 ;- ;1.200 ;;;3,192 ;
Lyrestad ;43,75 ;234 ;192 ;21,708 ;56 ;2,220 ;490 ;8,400 ;179 ;171 ;;;;;;;325 ;750 ;48 ;80 ;;;40 ;630 ;;325 ;240 ;;1,920 ;;50 ;7,200 ;
Locketorp ;16,50 ;82 ;50 ;8,560 ;50 ;1,750 ;60 ;3,550 ;20 ;36 ;33 ;;;;;;350 ;480 ;90 ;120 ;;;80 ;250 ;40 ;230 ;250 ;50 ;1.550 ;;;4,000 ;
Lerdala ;16.44 ;38 ;75 ;3.783 ;50 ;1.278 ;473 ;1.982 ;41 ;46 ;;;;;;;270 ;360 ;24 ;80 ;;;;323 ;;210 ;190 ;;1,160 ;30 ;200 ;2,500 ;
Lastad ;11,44 ;37 ;27 ;1,973 ;;585 ;836 ;549 ;10 ;30 ;;;10 ;;;;125 ;176 ;30 ;27 ;;2 ;25 ;;- ;125 ;262 ;;526 ;;30 ;1.600 ;
Mo ;11,25 ;16 ;15 ;1,804 ;31 ;1,100 ;120 ;550 ;1 ;6 ;6 ;1 ;;;;;190 ;360 ;15 ;25 ;10 ;;80 ;240 ;;180 ;520 ;;350 ;;;2.820 ;
Mölltorp ;21,13 ;118 ;63 ;;;;;;;;;;;;;;380 ;600 ;10 ;170 ;10 ;16 ;15 ;900 ;;325 ;40 ;X 80 ;1,850 ;X 50 ;;5,600 ;
Odensaker ;23,63 ;77 ;;2.056 ;15 ;1.450 ;190 ;401 ;2 ;60 ;;;;to ;;;300 ;460 ;20 ;68 ;;;;310 ;;300 ;189 ;;1,008 ;;;2,520 ;
Ransberg ;31,44 ;X 287 ;135 ;7.500 ;35 ;3,000 ;425 ;600 ;75 ;X 165 ;165 ;25 ;;;12 ;10 ;500 ;700 ;20 ;200 ;;100 ;100 ;800 ;;580 ;50 ;- ;2,520 ;126 ;;6,800 ;





