Table: Table_1

;Baltak ;;;;1.900 ;P ;104 ;;3.500 ;;;15,000 ;;90 ;;80 ;- ;3,800 ;? ;;;;9,000 ;122 35 ;31 10 ;247 90 ;9 8 ;565 180 ;260 90 ;320 ;- ;73 ;;
;Bottnaryd (länsdel) ;;;;1,980 ;6 ;- ;;840 ;X 180 ;125 ;4,000 ;400 ;;;;- ;5.940 ;- ;;5 ;;410 ;;;;3 ;;;200 ;- ;100 ;;
;Bjurbäck (länsdel) ;;;;2.688 ;4 ;;76 ;4.910 ;200 ;300 ;22,520 ;;;- ;;-- ;12,000 ;;;5 ;;;;1/2 ;24 ;;52 ;18 ;;- ;18 ;;
;Brandstorp ;;;;7,000 ;? ;100 ;240 ;7.120 ;252 ;900 ;16,000 ;720 ;100 ;;;;;;;;;;30 ;;120 ;8 ;340 ;50 ;150 ;;30 ;;
;Daretorp ;;;;3,500 ;5 ;120 ;X 80 ;8,250 ;110 ;120 ;17,100 ;150 ;40 ;12 ;grönfoder 100 ;- - ;21,000 14,000 ;;;;200 ;5,500 ;25 ;5 ;220 ;5 ;400 ;225 ;320 ;;250 ;;
;Dimbo ;;;;3.000 ;10 ;230 ;50 ;4.050 ;;400 ;25,460 ;260 ;400 ;;102 ;;6,000 ;;50 ;P ;;;50 ;10 ;200 ;10 ;400 ;200 ;400 ;;100 ;;
;Falköpings landsförsamling (del) ;;;;1,800 ;- ;;;4,500 ;60 ;3,550 ;21,000 ;- ;;;;- ;3,300 ;8,000 ;;;;;58 ;15 ;170 ;8 ;300 ;150 ;400 ;- ;208 ;;
;;;;;;;;30 ;;;;;;;;;;;;;;;;55 ;12 ;30 ;8 ;300 ;50 ;40 ;;X 50 ;;
;Fridene ;;;;299 ;? ;400 ;X ;1.850 ;;130 ;22,900 ;;55 ;;60 ;;1.100 ;;;;;;36 ;5 ;110 ;5 ;225 ;75 ;;;;;
;Fröiered ;;;;2.400 ;;600 ;50 ;15,600 ;120 ;300 ;45,000 ;160 ;;30 ;125 ;- ;4,800 ;1,000 ;;60 ;1,000 ;18,000 ;68 ;18 ;200 ;;;;105 ;;50 ;;
;Gerum ;;;;1,966 ;12 ;;;1,966 ;;600 ;11,000 ;226 ;250 ;;50 ;;5,900 ;;;;;;;;;8 ;600 ;210 ;560 ;;120 ;;
;Fiskebäcks kapell ;;;;9.000 ;30 ;85 ;;16,000 ;550 ;200 ;52,000 ;1,700 ;50 ;;;;;P ;36 ;;;9,350 ;39 ;10 ;60 ;4 ;100 ;57 ;200 ;;50 ;;
;;;;;;;;;;;;;;;;;- ;28,000 ;;;;;;20 ;6 ;320 ;;;;;;;;
;Habo (länadel) ;;;;13.500 ;? ;380 ;150 ;23.700 ;980 ;800 ;99,000 ;2,500 ;60 ;;;- ;30,000 ;100 ;18 ;13 ;;10,000 ;89 ;10 ;;8 ;500 ;400 ;800 ;;200 ;;
;Hvarf ;;;;2,260 ;;60 ;- ;2,500 ;- ;420 ;16,235 ;;120 ;;grönfoder ;.... ;6,584 ;;;;;;30 ;16 ;460 80 ;25 ;1,000 ;350 ;1,360 ;- ;330 ;;
;Hvalstad ;;;;5,500 ;20 ;;;13,260 ;- ;755 ;27,095 ;775 ;238 ;;X 75 ;- ;44,000 ;P ;55 ;10 ;135 ;16,400 ;54 ;17 ;180 ;4 6 ;110 243 ;40 129 ;100 265 ;- ;55 6 64 173 1 65 ;;





