Table: Table_1

Fullösa ;16,88 ;22 ;30 ;6 ;1,488 ;50 ;1,441 ;- ;;;;;;- ;- ;230 ;455 ;60 ;62 ;38 ;3 ;80 ;358 ;- ;245 ;315 ;;850 ;- ;157 ;4,096 ;- ;126 ;
;;;;;;;;;;;;;;4 ;;210 ;390 ;;25 ;;;180 ;480 ;- ;270 ;190 ;10 ;650 ;5 ;40 ;2,600 ;;100 ;
Götene ;;20 ;31 ;23 ;1,568 ;59 ;800 ;;11 ;;;;;;- ;370 ;670 ;45 ;120 ;30 ;10 ;425 ;700 ;;360 ;280 ;50 ;1,890 ;5 ;25 ;8,000 ;15 ;70 ;
Holmestad ;14,81 ;98 ;76 ;13 ;2,730 ;240 ;2,165 ;24 ;89 ;25 ;;2 ;123 ;15 ;- ;;;;;;;;;- ;;;;;;;;;;
Kestad ;8,50 ;18 ;8 ;4 ;560 ;11 ;;1 ;11 ;4 ;- ;- ;- ;4 ;- ;70 ;150 ;30 ;60 ;- ;40 ;30 ;196 ;- ;70 ;50 ;- ;300 ;- ;50 ;1,300 ;;50 ;
Klefva ;12,25 ;23 ;7 ;10 ;1,200 ;47 ;200 ;6 ;4 ;19 ;;;;;;180 ;450 ;12 ;38 ;- ;;100 ;240 ;- ;180 ;100 ;- ;800 ;- ;250 ;2,800 ;;50 ;
Ledsjö ;16,87 ;56 ;60 ;20 ;2,150 ;170 ;1,400 ;10 ;25 ;1 ;1 ;14 ;30 ;7 ;1 ;300 ;500 ;20 ;400 ;6 ;4 ;180 ;390 ;- ;300 ;250 ;;1,250 ;300 ;400 ;5,200 ;;170 ;
Lugnas ;13,06 ;110 ;188 ;8 ;910 ;245 ;917 ;- ;;;;;;;;152 ;270 ;10 ;53 ;5 ;;10 ;262 ;- ;150 ;60 ;- ;755 ;- ;20 ;3,000 ;;45 ;
Medelplana ;17,88 ;19 ;93 ;58 ;1,540 ;350 ;2,300 ;- ;12 ;2 ;3 ;60 ;30 ;2 ;;200 ;561 ;40 ;75 ;60 ;4 ;150 ;300 ;- ;150 ;100 ;20 ;700 ;- ;900 ;;3,000 ;150 ;
Sil ;;26 ;15 ;;1,100 ;50 ;141 ;;;;;9 ;25 ;;1 ;120 ;280 ;6 ;20 ;23 ;2 ;141 ;500 ;- ;120 ;108 ;- ;450 ;- ;100 ;2,000 ;- ;25 ;
Vedum ;13,81 ;38 ;57 ;27 ;3,048 ;- ;999 ;15 ;10 ;35 ;4 ;- ;;- ;;435 ;823 ;20 ;23 ;5 ;2 ;435 ;870 ;- ;435 ;300 ;- ;2,310 ;- ;;6,584 ;;52 ;
Vesterplana ;10,50 ;27 ;13 ;;;;;;;;;;;;;148 ;282 ;22 ;33 ;10 ;;71 ;398 ;- ;123 ;75 ;10 ;650 ;- ;560 ;420 ;710 ;96 ;
Vättlösa ;16,81 ;75 ;60 ;40 ;1,535 ;100 ;2,525 ;29 ;54 ;20 ;2 ;4 ;;4 ;1 ;250 ;800 ;25 ;60 ;25 ;10 ;200 ;400 ;- ;230 ;150 ;- ;350 ;- ;60 ;1,200 ;10 ;50 ;
Osterplana ;17,88 ;36 ;104 ;20 ;1,000 ;160 ;876 ;6 ;16 ;3 ;;;11 ;1 ;;130 ;250 ;20 ;65 ;40 ;4 ;6 ;350 ;1 ;130 ;60 ;- ;500 ;- ;250 ;250 ;1,500 ;80 ;
Summa Kinne härad ;209,88 ;657 ;914 ;293 ;23,960 ;1,827 ;20,764 ;103 ;264 ;139 ;13 ;101 ;344 ;43 ;3 ;3,605 ;7,001 ;409 ;1,193 ;355 ;91 ;2,468 ;7,114 ;I ;3,473 ;2,858 ;90 ;14,645 ;310 ;3,031 ;45,350 ;5,340 ;1,318 ;
Edsvära ;30,50 ;98 ;125 ;28 ;5,520 ;195 ;6,518 ;11 ;42 ;30 ;4 ;12 ;72 ;40 ;4 ;810 ;1,550 ;50 ;215 ;15 ;10 ;2,000 ;25 ;- ;845 ;334 ;- ;2,457 ;126 ;409 ;11,844 ;283 ;94 ;
Fyrunga ;9,75 ;66 ;29 ;14 ;2,402 ;;154 ;18 ;57 ;6 ;;;;2 ;;250 ;1,000 ;136 ;39 ;4 ;2 ;235 ;485 ;- ;250 ;523 ;- ;1,052 ;- ;125 ;4,748 ;256 ;200 ;
Gerum ;13,38 ;19 ;51 ;26 ;1,588 ;215 ;810 ;- ;10 ;4 ;2 ;19 ;25 ;1 ;;215 ;586 ;13 ;26 ;33 ;4 ;43 ;466 540 ;- ;202 ;130 ;- ;600 ;- ;80 ;5,010 ;- ;33 ;
Händene ;12 ;55 ;46 ;44 ;1,668 ;288 ;2,500 ;6 ;45 ;4 ;2 ;3 ;40 ;1 ;;278 ;462 ;4 ;62 ;20 ;8 ;16 ;;- ;278 ;50 ;- ;1,751 ;- ;;4,345 ;;21 ;
Härlunda ;17,81 ;156 ;156 ;30 ;1,000 ;600 ;4,061 ;15 ;38 ;2 ;;100 ;12 ;;;160 ;280 ;5 ;260 ;5 ;;80 ;50 ;- ;160 ;40 ;- ;1,050 ;- ;50 ;3,700 ;50 ;40 ;
Härjevad ;8,38 ;35 ;20 ;8 ;1,767 ;36 ;- ;2 ;18 ;10 ;;- ;;3 ;;240 ;611 ;75 ;20 ;;1 ;150 ;430 ;- ;240 ;200 ;- ;1,000 ;;250 ;3,300 ;121 ;178 ;
Jung ;16,69 ;80 ;21 ;30 ;3,061 ;10 ;;13 ;39 ;40 ;;- ;7 ;5 ;;368 ;969 ;80 ;36 ;12 ;2 ;500 ;770 ;;358 ;392 ;- ;2,000 ;25 ;250 ;9,250 ;400 ;420 ;
;;;;;;136 ;;;2 ;7 ;;8 ;6 ;;;150 ;350 ;;20 ;;2 ;20 ;290 ;- ;150 ;80 ;- ;700 ;;50 ;2,400 ;;;
Marum ;10,28 ;10 ;45 ;;1.010 5,278 ;150 ;1,373 150 ;8 ;20 ;44 ;2 ;8 ;19 ;45 ;;450 ;2,900 ;108 ;50 ;20 ;10 ;710 ;1,250 ;;800 ;320 ;;1,800 ;20 ;325 ;16,000 ;500 ;30 250 ;
Qvänum ;20 36.13 ;70 224 ;26 ;50 44 ;8,770 ;40 ;18 ;11 ;74 ;67 ;1 ;5 ;41 ;;;1,206 ;3,618 ;200 ;100 ;20 ;8 ;804 ;1,608 ;;1,206 ;1,507 ;- ;4,253 ;- ;650 ;20,000 ;650 ;1,000 ;
Saleby Skara landsförsamling ;11,75 ;26 ;32 ;18 ;1.131 ;357 ;835 ;;;;;;;;;161 ;318 ;10 ;40 ;;;98 ;275 ;34 ;187 ;123 ;;660 ;- ;137 ;2,491 ;;78 ;
Skallmeja och 11 mtl af Gerum ;17,95 ;70 82 ;37 ;95 42 ;2,938 400 ;200 92 ;18 1,390 ;7 38 ;46 58 ;10 29 ;;;;;;360 500 ;850 1,400 ;200 50 ;75 42 ;20 ;4 ou ;240 500 ;460 1,000 ;- ;360 500 ;620 600 ;20 ;850 1,762 ;- ;500 200 ;5,500 10.800 ;100 ;300 136 ;
Synnerby ;19 ;;122 ;14 ;2,180 ;15 ;180 ;;;;;;;;;295 ;215 ;6 ;50 ;5 ;3 ;400 ;500 ;- ;306 ;140 ;25 ;750 ;- ;;6.160 ;;;
Travad, del. Trässberg ;9,75 18,88 ;41 60 ;14 27 ;36 ;2,650 ;25 ;50 ;17 ;;13 ;;;;;;250 ;2.400 ;45 ;60 ;15 ;;210 ;525 ;- - ;250 ;215 ;- ;850 ;- ;53 175 ;5,500 ;87 ;70 200 ;
Viuköl ;22,56 ;106 ;32 ;20 ;2,620 ;50 ;200 ;20 ;;11 ;;;;;;350 ;2.620 ;50 ;200 ;25 ;20 ;210 ;590 ;- ;350 ;255 ;40 ;1.900 ;50 ;210 ;16,000 ;100 ;110 ;
Vanga ;54,75 ;139 ;112 ;50 ;8,000 ;500 ;4,450 ;;65 ;32 ;;;;;;1,000 ;3,000 ;50 ;200 ;40 ;10 ;1,100 ;2.300 ;- ;850 ;450 ;;4,550 ;- ;250 ;13,500 ;3,500 ;150 ;
Ásaka ;24,88 ;89 ;57 ;20 ;4,100 ;380 ;500 ;25 ;68 ;;;;22 ;;;410 ;1.000 ;30 ;120 ;10 ;;1,090 ;1,000 ;5 ;420 ;120 ;20 ;640 ;- ;100 ;9.000 ;160 ;180 ;
Ottum ;14.38 ;74 ;29 ;16 ;3,005 ;10 ;- ;15 ;30 ;20 ;;;6 ;;;225 ;1,280 ;344 ;125 ;40 ;;376 ;385 ;- ;225 ;400 ;- ;1.500 ;- ;88 ;11.000 ;1.000 ;225 ;
Summa Skânings härad ;367,62 ;1,500 ;981 ;592 ;59,088 ;3,307 ;23,207 ;216 ;731 ;341 ;28 ;273 ;393 ;182 ;20 ;7,678 ;25,400 ;1,464 ;1,740 ;297 ;94 ;8,782 ;12,949 ;39 ;7,937 ;6,499 ;105 ;30,125 ;221 ;3,902 ;160,548 ;7,207 ;3,715 ;
Bitterna, Vester- ;14,59 ;62 ;19 ;6 ;926 ;105 ;30 ;;;;;;;;;104 ;542 ;9 ;32 ;2 ;6 ;65 ;80 ;2 ;84 ;50 ;12 ;560 ;16 ;88 ;5,840 ;560 ;19 ;
Bitterna, Öster- ;16,81 ;112 ;36 ;10 ;1,200 ;400 ;50 ;;105 ;;;;;;;155 ;650 ;4 ;55 ;2 ;;60 ;100 ;- ;170 ;75 ;25 ;930 ;20 ;75 ;6,750 ;150 ;25 ;
Larf ;47 ;215 ;105 ;10 ;4.300 ;300 ;1.200 ;55 ;150 ;;;;170 ;85 ;;340 ;2,500 ;10 ;200 ;10 ;10 ;300 ;600 ;- ;340 ;240 ;60 ;1,500 ;100 ;250 ;21.000 ;320 ;130 ;
Längjum med Vessby ;24,38 ;112 ;15 ;20 ;3,730 ;50 ;50 ;3 ;80 ;;;;3 ;;- ;200 ;2.760 ;116 ;50 ;;4 ;150 ;350 ;-- ;200 ;140 ;;500 ;;118 ;16,000 ;200 ;70 ;
Lundby ;15.50 ;69 ;46 ;16 ;2.100 ;120 ;520 ;8 ;53 ;6 ;2 ;;4 ;;- ;250 ;670 ;10 ;150 ;15 ;5 ;250 ;500 ;- ;250 ;120 ;6 ;1,110 ;14 ;90 ;4.400 ;200 ;45 ;
Travad, del ;8,81 ;61 ;11 ;15 ;1,417 ;11 ;8 ;3 ;45 ;11 ;;;;;- ;155 ;520 ;5 ;20 ;2 ;2 ;230 ;320 ;- ;163 ;56 ;;360 ;6 ;15 ;5,520 ;25 ;30 ;
Vedum ;19,88 ;148 ;50 ;16 ;2,000 ;40 ;130 ;4 ;102 ;20 ;1 ;14 ;6 ;1 ;- ;200 ;1.185 ;10 ;80 ;25 ;;50 ;270 ;- ;180 ;30 ;- ;1,170 ;- ;50 ;11,650 ;- ;25 ;
Summa Laske härad ;146,97 ;779 ;282 ;93 ;15,673 ;1,026 ;1,988 ;79 ;535 ;142 ;3 ;79 ;185 ;89 ;- ;1,404 ;8,827 ;164 ;587 ;56 ;31 ;1,105 ;2,220 ;2 ;1,387 ;711 ;103 ;6,130 ;156 ;686 ;71,160 ;1,455 ;344 ;
Floby ;27,94 ;78 ;51 ;11 ;2.476 ;1,668 ;52 ;- ;58 ;3 ;;;18 ;- ;- ;178 ;1.350 ;28 ;115 ;13 ;5 ;160 ;450 ;- ;177 ;15 ;10 ;1,040 ;- ;255 ;9,750 ;110 ;90 ;
Gökhem ;34,63 ;116 ;47 ;18 ;3,215 ;100 ;10 ;9 ;65 ;35 ;5 ;10 ;20 ;15 ;7 ;265 ;3,230 ;;140 ;20 ;3 ;40 ;135 ;- ;270 ;45 ;10 ;1.600 ;18 ;1,400 ;12,550 ;50 ;90 ;
Göteve ;16,18 ;75 ;15 ;16 ;620 ;1,000 ;20 ;14 ;2 ;;;;2 ;;- - ;129 ;150 ;5 ;610 ;24 ;2 ;15 ;100 ;- ;125 ;;;850 ;- ;400 ;5,350 ;- ;10 ;
Jäla ;16,18 ;76 ;42 ;- ;;430 ;;;;;;;;;;50 ;230 ;11 ;85 ;- ;4 ;;;- ;50 ;- ;18 ;144 ;18 ;144 ;1,920 ;;18 ;
Klefva ;26.88 ;89 ;37 ;13 ;1,350 ;2,340 ;1,480 ;25 ;68 ;;;16 ;50 ;4 ;1 ;250 ;675 ;30 ;90 ;2 ;1 ;30 ;99 ;;210 ;30 ;20 ;1,350 ;- ;900 ;8,000 ;550 ;100 ;
Marka ;19,13 ;41 ;34 ;5 ;2,200 ;1,300 ;- ;3 ;33 ;2 ;;;;-- ;- ;40 ;;- ;- ;- ;- ;- ;;;;- ;- ;624 ;- ;400 ;4,520 ;200 ;24 ;
Sörby ;15,88 ;41 ;11 ;32 ;800 ;288 ;- ;- ;;;;;;- ;- ;90 ;490 ;16 ;50 ;16 ;8 ;8 ;82 ;- ;90 ;;;604 ;;200 ;189 ;;;
Trevattna ;18,44 ;47 ;29 ;16 ;750 ;2,000 ;800 ;5 ;;;;19 ;12 ;2 ;- ;160 ;400 ;4 ;33 ;8 ;2 ;20 ;125 ;2 ;100 ;10 ;15 ;850 ;25 ;50 ;3,500 ;90 ;24 ;
Ullene ;12.13 ;55 ;28 ;2 ;480 ;278 ;1,720 ;- ;34 ;10 ;;;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;480 ;- ;25 ;1,800 ;20 ;10 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summa Vilske härad ;186,79 ;618 ;294 ;113 ;11,891 ;9,404 ;4,082 ;56 ;296 ;57 ;9 ;45 ;102 ;21 ;8 ;1,162 ;6,525 ;94 ;1,123 ;83 ;25 ;273 ;941 ;2 ;1.022 ;100 ;73 ;7,542 ;61 ;3,774 ;47,579 ;1,020 ;366 ;
Bjerka ;19,69 ;58 ;54 ;10 ;1.600 ;950 ;2,656 ;- ;- ;2 ;2 ;5 ;- ;- ;- ;260 ;440 ;- ;300 ;- ;- ;;400 ;- ;200 ;- ;- ;1.220 ;240 ;- ;3,150 ;- ;50 ;
Bjurum ;15,13 ;36 ;- ;- ;2,300 ;;- ;- ;- ;;;;- ;- ;- ;350 ;700 ;30 ;300 ;- ;- ;300 ;400 ;- ;320 ;- ;- ;1,575 ;- ;189 ;4,410 ;- ;80 ;





