Table: Table_1

Baltack ;- ;10 ;- ;1.800 ;;- ;60 ;;4,300 ;- ;60 ;7,600 ;;60 ;- ;50 ;- ;12,000 ;900 ;;5 ;- - ;2,880 ;;24 ;3 ;72 ;;135 ;65 ;160 ;;X 38 ;;
Bottnaryd Bjurbäck ;;- ;- ;3791 ;;- ;;;4.125 ;321 ;330 ;12,775 ;1,933 ;;;;- ;30.328 ;- ;- - ;;- - ;- ;- ;99 ;4 ;100 ;;140 ;;X 250 ;;;--- ;
Brandstorp ;9 ;- ;;5.040 ;44 ;;100 ;;3,969 ;300 ;100 ;10.263 ;6G8 ;70 ;19 ;;- ;35,280 ;;;5 ;;;;24 ;;168 ;;;;;;;;
Daretorp ;;;;4.397 ;19 ;;;;9.046 ;175 ;;21.892 ;216 ;;;;;26.384 ;1,033 ;57 ;21 ;X 250 ;1 200 ;;;;19G ;;359 ;;;;;;
Dimbo ;;39 ;;3.868 ;;;250 ;125 ;10.200 ;681 ;4.228 ;28.410 ;240 ;906 ;;924 ;;27.076 ;1,400 ;25 ;20 ;250 ;9,000 ;;60 ;21 ;191 ;;;;;;;;
Falköpings landsförsamling ;;;;1.260 ;;;;30 ;4,410 ;;5,040 ;18,900 ;;;;;;10.080 ;;;;;;;;;;;225 ;;;;;;
Fridened ;;;;650 ;;;750 ;;5,400 ;;;12.5r0 ;;800 ;;;;2.600 ;- ;- ;;- ;- ;;50 ;;100 ;;200 ;100 ;;;;;
Fröjered ;;X 2G ;;2.245 ;;;536 ;56 ;10,210 ;86 ;185 ;18,650 ;128 ;150 ;;125 ;- ;13.470 ;- ;;;- ;;;;;276 ;;420 ;;;;;;
;;;;1.965 ;12 ;;;;2.457 ;;630 ;9,198 ;315 ;315 ;;;;13.683 ;- ;28 ;5 ;- ;1,000 ;;30 ;;;;;;;;;;
Gerum ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330 ;;;;;;
Gustaf Adolf ;;;;5.010 ;;;;;5.040 ;500 ;;13,000 ;1.400 ;;;;;30.240 ;- ;;;;X 6,500 ;;;;260 ;;;;;;;;
Habo ;5 ;;;15:228 ;60 ;;150 ;;19.500 ;165 ;165 ;67.000 ;2,300 ;150 ;35 ;;;91.368 ;- ;;X 150 ;;;;;;461 ;;;;1.360 ;;;;
Hvarf ;;;;3.500 ;;;120 ;;3.600 ;;600 ;12.000 ;;192 ;;;;21,000 ;;;;;- ;;;;;;120 ;;;;;;
Ilvalstad ;;31 ;;6.000 ;;;;;11,025 ;- ;;765 1 32,400 ;;217 ;;;;42.000 ;;X 100 ;;;;;;;;;;100 ;;;;;
Hângsdala ;;;;5,393 ;;;48 ;;8.052 ;- ;707 ;16,095 ;;532 ;;;;37,751 ;1.200 ;54 ;10 ;;2.568 ;;;;128 ;;;;;;;;





