Table: Table_1

Gudhems härad ;1,624 ;3 ;125 ;- ;41,409 ;2,075 ;92 ;1,745 ;120 ;87,368 ;652 ;34,328 ;225,152 ;18,749 ;6,879 ;25 ;308 ;238,199 ;84,574 ;1,240 ;162 ;82,04 ;2,101 ;21,842 ;996 ;1,070 ;284 ;1,701 ;93 ;3,993 ;2,001 ;5,131 ;- ;1,566 ;80 ;
Walle härad ;1,691 ;- ;215 ;- ;23,738 ;28 ;- ;2,818 ;- ;56,100 ;- ;21,303 ;71,124 ;7,997 ;8,847 ;- ;1,352 ;130,290 ;5,670 ;3,150 ;76 ;30 ;- ;- ;- ;441 ;86 ;690 ;47 ;1,479 ;750 ;1,799 ;- ;735 ;;
K&kinds härad ;1,426 ;- ;484 ;- ;60,592 ;430 ;- ;7,799 ;- ;102,601 ;912 ;19,374 ;163,336 ;454 ;4,867 ;- ;515 ;346,610 ;26,648 ;6,489 ;909 ;50,60 ;6,180 ;26,114 ;- ;771 ;74 ;2,763 ;98 ;5,024 ;2,168 ;5,605 ;15 ;1,872 ;;
Wartofta härad ;1,561 ;10 ;1,586 ;- ;152,155 ;923 ;- ;3,764 ;405 ;220,243 ;2,813 ;46,009 ;675,779 ;26,018 ;7,609 ;61 ;8,912 ;1,001,901 ;17,855 ;3,000 ;1,049 ;221,60 ;11,000 ;24,258 ;- ;2,302 ;463 ;6,097 ;336 ;10.981 ;4,685 ;13,575 ;31 ;4,236 ;;
Frökinds härad ;25 ;- ;50 ;- ;4,019 ;58 ;- ;- ;- ;3,353 ;- ;5,284 ;3,162 ;72 ;61 ;- ;200 ;29,110 ;- ;- ;- ;7 ;- ;- ;- ;176 ;43 ;231 ;9 ;497 ;328 ;463 ;- ;178 ;;
Wadsbo härad ;7,821 ;216 ;1.614 ;- ;120,271 ;1,339 ;- ;85,672 ;411 ;385,597 ;706 ;18,959 ;922,521 ;12,576 ;40,882 ;1,320 ;8,528 ;888,968 ;64,666 ;770 ;3,306 ;1,484,40 ;7,254 ;369,401 ;- ;2,480 ;253 ;8,237 ;273 ;15,992 ;7,252 ;18,597 ;32 ;5,207 ;;
Städerna ;25 ;- ;315 ;- ;8 142 ;- ;- ;- ;94 ;12,922 ;202 ;3 150 ;31,098 ;- ;113 ;- ;1,890 ;61,990 ;- ;8,820 ;- ;- ;1,050 ;3,200 ;- ;249 ;3 ;58 ;4 ;650 ;47 ;20 ;- ;284 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;





