Table: Table_1

Vedum ;13,31 ;;;4.397 ;27 ;3,060 ;;987 ;25 ;;;;;;;;;825 ;;;;;435 ;870 ;;435 ;300 ;;2,300 ;;;7.000 ;;100 ;
Vesterplana ;10,50 ;;;1,389 ;;1,058 ;;342 ;;;;;;;;;;;;;;;;340 ;;;;;886 ;;680 ;185 ;1,375 ;84 ;
Vättlõsa ;16,31 ;;;6,480 ;40 ;1,760 ;100 ;2,300 ;;;;;;;;;;;;;;10 ;200 ;400 ;;;100 ;;200 ;;20 ;1.000 ;10 ;20 ;
Österplana ;17,88 ;;109 ;3,703 ;20 ;1.200 ;130 ;800 ;;;;;;;;;;;;;40 ;;8 ;395 ;;;80 ;;1,100 ;;560 ;560 ;1,030 ;80 ;
Summa Kinne härad ;209,38 ;668 ;912 ;75,909 ;311 ;26,627 ;1,792 ;21,908 ;147 ;301 ;;;;;;;3,814 ;7,260 ;348 ;1,221 ;372 ;52 ;2,714 ;7,355 ;3 ;3.831 ;2,635 ;116 ;15,351 ;304 ;3,544 ;45,235 ;5,636 ;1,372 ;
Edsvära ;30,50 ;;;8,100 ;28 ;5,550 ;175 ;6,500 ;;;;;;;;;;1,550 ;50 ;215 ;15 ;10 ;2,000 ;30 ;;860 ;214 ;;2.520 ;126 ;315 ;11.844 ;283 ;94 ;
Fyrunga ;9.75 ;;;2.546 ;;2,408 ;;148 ;;;;;;;;;;1.000 ;138 ;39 ;;;235 ;485 ;;252 ;527 ;;1.060 ;;126 ;4,763 ;257 ;201 ;
Gerum ;13,38 ;;;3,934 ;26 ;1,588 ;215 ;810 ;;;;;;;;;;586 ;13 ;;;;43 ;466 ;;202 ;150 ;;700 ;;90 ;5,420 ;;38 ;
Händene ;12 ;55 ;;5,091 ;44 ;1,668 ;288 ;2.500 ;;;;;;;;;278 ;462 ;;;20 ;;16 ;540 ;;278 ;50 ;;1.751 ;- ;;4.345 ;;21 ;
Härlunda (del af Bjerklunda) ;17,81 ;158 ;;6.249 ;30 ;1,200 ;450 ;4,011 ;;;;;;;;;300 ;270 ;;;5 ;;70 ;50 ;5 ;160 ;100 ;;1,900 ;- ;100 ;3,500 ;50 ;40 ;
Härjevad. ;8,38 ;35 ;;2,314 ;;1,767 ;36 ;;;;;;;;;;240 ;611 ;76 ;;;;150 ;430 ;- ;240 ;200 ;;1,000 ;- ;250 ;3,300 ;126 ;178 ;
Jung. ;16.69 ;;;5.786 ;35 ;3,052 ;;;;;;;;;;;;994 ;so ;;;;375 ;775 ;;358 ;392 ;;2,000 ;25 ;250 ;9,400 ;400 ;420 ;
;10,28 ;10 ;;2.777 ;;1.015 ;130 ;1,373 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marum ;;;;;50 ;5,300 ;128 ;150 ;;;;;;;;;;350 2.100 ;108 ;;;;;290 ;;150 ;80 ;;700 ;- ;;2,400 ;;30 ;
Qvänum ;20 36.13 ;208 ;;5,786 6.943 ;117 ;7.600 ;;;;;;;;;;;;2.700 ;100 ;50 ;;10 ;680 ;1,000 ;- ;800 ;400 ;;1.800 ;- ;300 ;16,200 ;500 ;250 ;
Saleby Skara landsförsamling ;11,75 ;26 ;;4,397 ;18 ;1,131 ;357 ;835 ;;;;;;;;;;328 ;;;;6 ;950 102 ;1.900 271 ;33 ;950 188 ;1.260 ;;3,750 680 ;- ;650 138 ;18,000 2,302 ;1,000 ;400 ;
Skallmeja och 11 mtl af Gerum ;17,25 ;70 ;;2.777 ;100 ;2.938 ;200 ;18 ;;;;;;;;;;850 ;200 ;;20 ;;240 ;460 ;;360 ;620 ;;840 ;20 ;500 ;5,500 ;100 ;300 ;
Synnerby ;19 ;;123 ;6.249 ;44 ;4,040 ;90 ;1,426 ;40 ;;;;;;;;;1,410 ;50 ;;13 ;;498 ;1.012 ;;506 ;600 ;25 ;1,862 ;;200 ;11,000 ;80 ;136 ;
Travad, del ;9.75 ;39 ;;2,314 ;15 ;2,185 ;14 ;175 ;;;;;;;;;;620 ;;60 ;4 ;;392 ;455 ;3 ;352 ;180 ;;1.100 ;- ;40 ;6,000 ;80 ;70 ;
Trässberg ;18.38 ;60 ;;5,323 ;36 ;2,650 ;25 ;50 ;17 ;;;;;;;;;2,400 ;40 ;GO ;15 ;;210 ;500 ;5 ;250 ;215 ;;850 ;;175 ;5,500 ;25 ;200 ;
Vinköl, ;22,56 ;106 ;;7.174 ;20 ;4.160 ;215 ;2,983 ;20 ;;;;;;;;;2,610 ;50 ;190 ;35 ;;210 ;590 ;;350 ;250 ;40 ;1,900 ;50 ;215 ;15,000 ;100 ;120 ;
y&nga ;54,75 ;127 ;130 ;16,663 ;50 ;7,000 ;400 ;5.550 ;10 ;;;;;;;;;2,000 ;;150 ;30 ;10 ;1.080 ;2,000 ;;800 ;250 ;;4,120 ;;150 ;15,000 ;1,500 ;80 ;
Ásaka ;24,88 ;98 ;;7.637 ;16 ;3,935 ;340 ;709 ;;;;;;;;;;990 ;;110 ;;;930 ;1,000 ;;400 ;180 ;20 ;1.894 ;35 ;180 ;2,050 ;130 ;70 ;
Ottum ;14.38 ;81 ;;4,860 ;16 ;3.006 ;10 ;996 ;15 ;;;;;;;;;1.280 ;344 ;125 ;40 ;;376 ;380 ;;225 ;400 ;;1.800 ;;100 ;11,000 ;1,000 ;250 ;
Summa Skânings härad ;367,62 ;1,509 ;1,046 ;106,920 ;675 ;62,192 ;3,129 ;28.296 ;207 ;702 ;346 ;;257 ;374 ;161 ;;7,755 ;23,111 ;1,390 ;1,709 ;336 ;101 ;8,577 ;12,634 ;50 ;7,681 ;6,161 ;105 ;32,227 ;256 ;3,829 ;152,524 ;5,631 ;2,969 ;
Bitterna, Vester- ;14,59 ;70 ;19 ;4,629 ;6 ;931 ;100 ;30 ;;;;;;;;;116 ;486 ;;30 ;;;100 ;70 ;2 ;116 ;50 ;15 ;600 ;10 ;86 ;5,000 ;530 ;20 ;
Bitterna, Öster- ;16,81 ;112 ;44 ;5,554 ;10 ;1.680 ;400 ;;;100 ;;;;;;;;860 ;10 ;60 ;;;150 ;250 ;- ;175 ;75 ;25 ;95 ;;100 ;8,200 ;200 ;25 ;
Larf ;47 ;208 ;115 ;18,052 ;10 ;4.500 ;260 ;1,200 ;58 ;140 ;;;;;;;400 ;2.500 ;15 ;200 ;10 ;10 ;350 ;650 ;- ;450 ;240 ;60 ;1.800 ;100 ;250 ;22,000 ;330 ;140 ;
Längjum med Vessby ;24.88 ;116 ;15 ;4.397 ;20 ;3.740 ;;50 ;;;;;;;;;210 ;2,675 ;75 ;;;5 ;150 ;340 ;- ;210 ;175 ;;525 ;;100 ;16,000 ;150 ;75 ;
Lundby ;15,50 ;69 ;;3.703 ;16 ;2.200 ;120 ;1,367 ;;;;;;;;;250 ;857 ;10 ;120 ;10 ;;200 ;500 ;- ;250 ;120 ;6 ;1.120 ;15 ;80 ;10,000 ;300 ;50 ;
Travad, del ;8,81 ;58 ;11 ;1.620 ;15 ;1,420 ;8 ;8 ;3 ;44 ;;;;;;;160 ;530 ;3 ;17 ;3 ;2 ;235 ;312 ;- ;153 ;80 ;- ;425 ;- ;35 ;5,460 ;20 ;25 ;
Vedum ;19,88 ;148 ;50 ;5,091 ;16 ;2,000 ;40 ;130 ;4 ;102 ;;;;;;;200 ;1,185 ;IO ;8o ;25 ;;50 ;270 ;- ;180 ;30 ;;1,170 ;- ;50 ;11,650 ;;25 ;
Summa Laske härad ;146,97 ;781 ;301 ;43,046 ;93 ;16,471 ;968 ;2,835 ;88 ;582 ;140 ;6 ;;179 ;91 ;- ;1,511 ;9,093 ;127 ;582 ;54 ;31 ;1,235 ;2,392 ;2 ;1,534 ;770 ;106 ;5,735 ;125 ;701 ;78,310 ;1,530 ;360 ;
Floby ;27.94 ;27 ;52 ;5,554 ;12 ;2,510 ;1.633 ;52 ;;;;;;;;;190 ;1.382 ;25 ;125 ;15 ;5 ;140 ;428 ;- ;200 ;20 ;TO ;1.080 ;- ;330 ;13,500 ;150 ;60 ;
Gökhem ;34.68 ;115 ;47 ;6.943 ;18 ;3,225 ;25 ;10 ;;65 ;;;;;;;210 ;2,460 ;;125 ;30 ;;50 ;140 ;- ;200 ;40 ;8 ;1,615 ;17 ;1.195 ;12,750 ;500 ;125 ;
Gôteve ;16,12 ;100 ;18 ;4.860 ;20 ;1,000 ;650 ;10 ;15 ;2 ;;;;;;;130 ;350 ;6 ;150 ;24 ;;18 ;200 ;- ;120 ;- ;- ;850 ;- ;400 ;4,500 ;;3 ;
Jäla. ;16,13 ;77 ;42 ;5,323 ;;;;;;;;;;;;, ;50 ;230 ;11 ;85 ;;4 ;;;- ;;- ;18 ;144 ;- ;144 ;1.920 ;;18 ;
Klefva ;26,38 ;88 ;37 ;7.868 ;13 ;1.350 ;2,340 ;1,480 ;25 ;68 ;;;;;;;250 ;675 ;30 ;90 ;2 ;;50 ;120 ;- ;210 ;50 ;25 ;1.350 ;- ;900 ;8,000 ;550 ;100 ;
Marka ;19.13 ;44 ;34 ;4.397 ;6 ;2,225 ;130 ;;3 ;38 ;;;;;;;105 ;860 ;20 ;150 ;40 ;5 ;24 ;570 ;;235 ;;;630 ;- ;520 ;4.600 ;200 ;15 ;
Sörby ;15.88 ;;10 ;2.777 ;16 ;668 ;210 ;;;;;;;;;;90 ;508 ;16 ;120 ;16 ;;;48 ;- ;;;;604 ;;100 ;4.838 ;;26 ;
Trevatina ;18 ;47 ;46 ;4.860 ;16 ;770 ;2,000 ;850 ;4 ;36 ;;;;;;;160 ;400 ;4 ;35 ;6 ;;;90 ;;100 ;;15 ;800 ;36 ;60 ;3.600 ;90 ;24 ;
Ullene ;12.13 ;56 ;26 ;4.629 ;3 ;475 ;280 ;1,720 ;- ;35 ;10 ;;;;;;? ;P ;P ;? ;? ;? ;25 ;? ;'P ;50 ;4 ;4 ;400 ;4 ;40 ;2,000 ;24 ;10 ;
Summa Vilske härad ;186.84 ;600 ;312 ;247,211 ;104 ;12,653 ;7,268 ;4,172 ;57 ;298 ;69 ;4 ;27 ;125 ;37 ;I ;1,185 ;6,865 ;II2 ;88o ;133 ;21 ;307 ;1,596 ;2 ;1,261 ;120 ;80 ;7,473 ;57 ;3,680 ;55,708 ;1,515 ;38h ;
Bierka (del af Bjerklunda) ;19.63 ;45 ;51 ;4.629 ;10 ;1,600 ;950 ;2,656 ;;;2 ;2 ;14 ;33 ;;;260 ;440 ;;300 ;- ;- ;;400 ;- ;200 ;-- ;- ;210 ;X 40 ;- ;550 ;- ;10 ;
Bjarum ;15,13 ;36 ;40 ;6.017 ;12 ;2,500 ;600 ;600 ;1 ;1 ;;;;7b ;1 ;;350 ;700 ;30 ;300 ;- ;- ;300 ;400 ;- ;320 ;- ;- ;1,575 ;;189 ;4,410 ;;100 ;





