Table: Table_1

Undenäs ;80 ;40 ;;12,400 ;330 ;1,230 ;;28,380 ;760 ;250 ;51,800 ;800 ;800 ;900 ;160 ;- ;49,600 ;- ;- ;230 ;- ;- ;147 ;5 ;630 ;18 ;1,330 ;640 ;2,000 ;20 ;415 ;;
Vad ;- ;;- ;840 ;- ;4,320 ;;4,720 ;;175 ;17,052 ;;800 ;- ;;- ;5,040 ;- ;- ;- ;- ;;23 ;- ;100 ;2 ;120 ;50 ;120 ;- ;30 ;- ;
Väring ;- ;25 ;- ;2,000 ;- ;5,792 ;98 ;9,080 ;- ;140 ;19,260 ;;1,280 ;- ;150 ;- ;12,000 ;- ;- ;- ;- ;16,000 ;50 ;10 ;200 ;4 ;350 ;130 ;200 ;- ;100 ;- ;
Vadsbo härad ;372 ;1,649 ;- ;131.188 ;2,991 ;108,537 ;1.364 ;449.184 ;1.814 ;19.439 ;1.288,608 ;3,432 ;47,231 ;2,268 ;8.695 ;- ;689,040 ;123,459 ;4.685 ;983,80 ;17,200 ;332.512 ;2.337 ;204 ;8.293 ;270 ;15,614 ;8,106 ;16,685 ;27 ;3,934 ;- ;
Summa für landsbygden ;761 ;27,869 ;2 ;697,852 ;6,133 ;317,068 ;5,320, ;1,961,796 ;16,535 ;307,047 ;6,416,248 ;265,111 ;219,648 ;4,7°3 ;149,559 ;12 ;3,568,269 ;487,47° ;12,153 ;2,923,79 ;36,850 ;976,432 ;20,353 ;3,848 ;25,048 ;1,535 ;71,590 ;34,045 ;77,967 ;53 ;22,795 ;;
Mariestad ;- ;12 ;- ;400 ;- ;1,760 ;;3,800 ;- ;80 ;11,700 ;;120 ;- ;- ;- ;2,000 ;500 ;- ;- ;- ;8.000 ;38 ;2 ;34 ;3 ;120 ;8 ;32 ;- ;40 ;- ;
Lidköping ;- ;;- ;660 ;- ;;;10,650 ;;600 ;11,300 ;;- ;- ;;- ;6,600 ;14,500 ;- ;- ;- ;22,000 ;105 ;-- ;;4 ;325 ;8 ;;- ;50 ;- ;
Skara ;- ;18 ;- ;720 ;2 ;368 ;18 ;1,104 ;- ;276 ;4,221 ;294 ;77 ;- ;126 ;- ;4,320 ;1,500 ;8 ;8 ;- ;12,852 ;86 ;3 ;45 ;5 ;25G ;28 ;111 ;- ;96 ;- ;
Sköfde ;- ;- ;- ;2,150 ;- ;630 ;;4,720 ;- ;;7,920 ;;600 ;- ;- ;- ;12,150 ;- ;- ;- ;- ;- ;20 ;2 ;30 ;2 ;220 ;20 ;50 ;- ;60 ;- ;
Falköping ;- ;;- ;2.100 ;- ;- ;;3.600 ;;12,000 ;31,032 ;;150 ;- ;;- ;12.600 ;;- ;- ;- ;;70 ;10 ;26 ;4 ;235 ;53 ;100 ;- ;50 ;;
Hjo ;- ;20 ;- ;5,400 ;- ;70 ;40 ;3,700 ;220 ;;9.800 ;60 ;45 ;- ;100 ;- ;30,000 ;12.000 ;- ;- ;- ;4,000 ;43 ;1 ;30 ;2 ;150 ;24 ;20 ;- ;150 ;;
Summa für stãderna ;- ;50 ;- ;11,430 ;2 ;2,828 ;58 ;27,574 ;220 ;12.956 ;75.973 ;354 ;992 ;- ;226 ;- ;67,670 ;28.500 ;8 ;8 ;- ;46,852 ;362 ;18 ;171 ;20 ;1.306 ;141 ;313 ;- ;446 ;;
Summa für bela länet ;761 ;27,919 ;2 ;709,282 ;6,135 ;319,896 ;5,378 ;1,989,370 ;16,755 ;320,003 ;6,492,221 ;265,465 ;220,640) ;4,703 ;149,785 ;12 ;3,635,939 ;515,97° ;12,161 ;2,931,79 ;36,850 ;1,023.284 ;20,715 ;3,866 ;25,219 ;1,555 ;72.896 ;34,186 ;78,280 ;53 ;23,241 ;;





