Table: Table_1

Summa Vadsbo härad ;X 336 ;2,642 ;- ;108,108 ;1.041 ;$8.933 ;2.188 ;326,859 ;X 1,510 ;16,380 ;1,029,566 ;6,210 ;23,200 ;X 1.072 ;5,466 ;- ;614.769 ;21,800 ;2.039 ;553 ;7.710 ;115.064 ;2,377 ;445 ;9,073 ;300 ;17.442 ;7,304 ;13,600 ;X 6 ;4.594 ;;
Summa för landsbygden ;594 ;29,005 ;X 12 ;664,293 ;3,891 ;162,812 ;9,414 ;1,577,398 ;14,036 ;263,520 ;6,309,120 ;173,885 ;108,771 ;1,973 ;98,706 ;38 ;4,007,731 ;971,829 ;7,799 ;1,587 ;91,001 ;732,198 ;20,906 ;5,398 ;27.152 ;1,556 ;79,651 ;31,929 ;67,517 ;15 ;24,746 ;- ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;X 12 ;- ;- ;350 ;- ;960 ;- ;8,600 ;- ;60 ;10,400 ;- ;120 ;- ;;- ;2,800 ;2,400 ;- ;- ;- ;;38 ;2 ;36 ;3 ;120 ;24 ;32 ;;40 ;- ;
Lidköping ;- ;;;800 ;;;- - ;5,112 ;- ;480 ;12,000 ;;;- ;;;3,000 ;10,000 ;- ;;1,000 ;10,000 ;110 ;;4 ;;X 300 ;20 ;10 ;- ;60 ;;
Skara ;2 ;160 ;- ;3,825 ;1 ;782 ;- ;4,385 ;- ;780 ;14,250 ;1,575 ;660 ;X 8 ;480 ;;34,425 ;- ;2 ;- ;800 ;7,000 ;70 ;5 ;32 ;3 ;205 ;30 ;30 ;- ;25 ;;
Sköfde ;- ;;;1.600 ;;300 ;- ...... ;6,265 ;- ;;12,576 ;;120 ;- ;;;9,600 ;;- - ;- ;;;50 ;8 ;40 ;3 ;220 ;20 ;15 ;- ;60 ;;
Falköping ;- ;;;1.800 ;- ;;;3,960 ;;3,900 ;30,000 ;;60 50 ;- ;;;12,600 ;5.000 ;- ;;;13,500 ;65 ;8 ;80 ;5 ;230 ;40 ;50 ;;60 ;;
Hjo ;- ;X 32 ;- ;3,500 ;- ;60 ;X 30 ;3,000 ;200 ;40 ;3,600 ;X 70 ;;- ;100 ;- ;21,000 ;11,000 ;- ;;600 ;2,000 ;X 25 ;- ;30 ;i ;128 ;10 ;10 ;- ;91 ;;
Summa för städerna ;14 ;192 ;- ;11,875 ;I ;2,052 ;X 30 ;26,322 ;X 200 ;5,260 ;82.826 ;1,645 ;1,010 ;8 ;580 ;- ;83.425 ;28.400 ;2 ;;2,400 ;32,500 ;358 ;20 ;172 ;19 ;1,203 ;144 ;147 ;- ;336 ;- ;
Summa för hela länet ;608 ;29,197 ;12 ;676,168 ;3,892 ;164,864 ;9.444 ;1,603,720 ;14,236 ;268,780 ;6,391,946 ;175,530 ;109,781 ;1,981 ;99,286 ;38 ;4,091 156 ;1,000,229 ;7,801 ;1,587 ;93,401 ;764,698 ;21,264 ;5,418 ;27,324 ;1,575 ;80,854 ;32,073 ;67.664 ;15 ;25,082 ;;





