Table: Table_1

Summa ;- ;112 ;- ;25,969 ;- ;- ;2.396 ;- ;65,340 ;- ;21,423 ;94.296 ;19.570 ;7.059 ;- ;319 ;- ;164.801 ;5.550 ;3.000 ;- ;72 ;- ;13,900 ;- ;462 ;87 ;660 ;48 ;1,518 ;788 ;1,923 ;;- ;655 ;;
Käkinds härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brevik ;- ;50 ;- ;4.350 ;54 ;- ;- ;- ;6,912 ;- ;- ;17,280 ;- ;- ;- ;- ;;34,800 ;- ;- ;- ;36 ;- ;- ;- ;40 ;;200 ;G ;340 ;162 ;625 ;;5 ;131 ;;
Forsby ;- ;50 ;- ;800 ;- ;- ;- ;- ;- ;- ;- ;;- ;;- ;;- ;;- ;- ;- ;;- ;- ;- ;18 ;3 ;90 ;4 ;180 ;50 ;175 ;;- ;55 ;;
Fâgelâs, Norra ;- ;120 ;- ;10.905 ;75 ;- ;1.714 ;- ;15,750 ;- ;548 ;35.280 ;661 ;151 ;- ;1.190 ;- ;75,871 ;16.967 ;- ;240 ;62.90 ;6,050 ;18.800 ;;80 ;7 ;309 ;11 ;599 ;194 ;912 ;;- ;263 ;;
Fâgelâs, Sodra ;- - ;64 ;- ;7,480 ;42 ;- ;788 ;5 ;10.215 ;181 ;610 ;27,733 ;855 ;215 ;- ;252 ;;45,227 ;- ;- ;168 ;31 ;- ;11,722 ;- ;72 ;5 ;308 ;8 ;526 ;204 ;846 ;;2 ;188 ;;
Grefbäck ;- ;60 ;- ;9.046 ;32 ;- ;- ;- ;11.340 ;554 ;- ;21.035 ;- ;50 ;- ;- ;- ;63.327 ;3,142 ;- ;95 ;12 ;1,000 ;18,000 ;;52 ;5 ;250 ;7 ;400 ;159 ;420 ;;- ;196 ;;
Hagelberg ;- ;- ;- ;3,000 ;9 ;- ;X 490 ;- ;6,250 ;- ;- ;10,400 ;- ;158 ;- ;- ;- ;16,420 ;;- ;- ;7,20 ;- ;- ;- ;30 ;3 ;98 ;4 ;170 ;98 ;175 ;;- ;67 ;;
Hjo landsförsamling ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;44 ;3 ;160 ;6 ;320 ;160 ;200 ;;- ;80 ;;





