Table: Table_1

Häggesled ................ ;10,88 ;49 ;;2.143 ;;1,395 ;21 ;707 ;;;;;;;;;136 ;486 ;27 ;20 ;4 ;1 ;297 ;280 ;- ;144 ;;;556 ;- ;;4,023 ;170 ;;
Kedum ;11 ;;;1.694 ;;960 ;;253 ;;;;;;;;;157 ;345 ;;;;;100 ;240 ;- ;137 ;126 ;;365 ;;;2.646 ;;;
Lavad ;9,50 ;;;3.247 ;;1,364 ;170 ;436 ;;;;;;;;;140 ;608 ;;;;;105 ;244 ;- ;204 ;192 ;;540 ;;168 ;5,690 ;;;
Levene, del ;9.25 ;;;3.343 ;;2,468 ;30 ;900 ;;;;;;;;;;568 ;;;;;356 ;704 ;;352 ;440 ;;1.584 ;;;5,058 ;;;
Mellby ;16.38 ;;;3.445 ;;2,000 ;25 ;1,400 ;;;;;;;;;;800 ;100 ;;;;65 ;500 ;;250 ;300 ;;1,250 ;;;3,100 ;;;
Otterstad med Senäte ;30,38 ;;161 ;8.700 ;;2.700 ;650 ;5,325 ;;;;;;;;;560 ;950 ;235 ;;;;100 ;230 ;;530 ;1,150 ;;1,650 ;;;6,050 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;700 ;;;;;3,900 ;;;
Rackeby ;22 ;47 ;51 ;3,401 ;;2.058 ;96 ;975 ;;;;;;;;;;604 ;;110 ;;;52 ;680 ;- ;202 ;400 ;;;;550 ;;;;
Râda Skalunda ;20.13 10.63 ;53 ;68 ;4,815 2.594 ;18 ;2,313 2,000 ;186 15 ;2,282 30 ;10 ;;;;;;;;314 350 ;810 320 ;;;;2 ;254 250 ;526 400 ;- ;295 334 ;300 ;;1.139 400 ;;500 ;5,572 2.200 ;;340 ;
Sladene ;16.50 ;85 ;44 ;4.380 ;;2,500 ;65 ;1.806 ;;X ;;;;;;;;680 ;150 ;150 ;;10 ;330 ;500 ;- ;300 ;500 ;;1,500 ;;200 ;6,000 ;;600 ;
Strö ;12.81 ;;28 ;4,236 ;26 ;993 ;164 ;1.598 ;;;;;;;;;;310 ;;;;;;145 ;;150 ;430 ;;;;;2.040 ;;300 ;
Sunnersberg Söne ;27,88 15,25 ;90 54 ;58 46 ;5,489 2041 ;14 18 ;2.690 1.563 ;30 286 ;2.755 229 ;;;;;;;;;;990 650 ;;;;;300 136 ;550 280 ;X 52 ;300 200 ;400 500 ;;1,600 ;;;1,575 4.900 ;;;
Tranum ;15,13 ;60 ;29 ;3,471 ;;1,912 ;113 ;598 ;;;;;;;;;;660 ;;;;;136 ;245 ;;;170 ;;870 ;;;5,600 ;;370 ;
T&dene ;9,25 ;;;2.142 ;16 ;917 ;34 ;838 ;;;;;;;;;;;;;;2 ;34 ;213 ;;110 ;162 ;;;;;3,510 ;;408 ;
Ufvered ;16.25 ;;26 ;3,200 ;20 ;2,900 ;270 ;10 ;;;X ;;;;;;;1.000 ;;;;;484 ;700 ;;;;;1,100 ;;200 ;6,000 ;200 ;300 ;
Väla med Gillstad ;16.76 ;91 ;64 ;5,744 ;;2078 ;48 ;3.594 ;;;;;;;;;;;;;;;111 ;599 ;;;190 ;;965 ;;201 ;6.536 ;;;
Asaka ;17 ;;;2.225 ;;1,860 ;40 ;300 ;;;;;;;;;;;;;;;300 ;350 ;;;550 ;;1.050 ;;180 ;6.700 ;;100 ;
Orslösa ;19.75 ;75 ;59 ;4.065 ;229 ;2,010 ;120 ;1,706 ;;;;;;;;;;540 ;210 ;160 ;40 ;;120 ;380 ;;;550 ;;850 ;;450 ;2.860 ;1.000 ;940 ;
Kâllands harad ;356,41 ;1.194 ;1,053 ;81,970 ;762 ;43,523 ;2,771 ;28,420 ;118 ;640 ;203 ;;;;;;5,849 ;15,075 ;2,094 ;1.193 ;402 ;69 ;3,691 ;9,138 ;52 ;5,531 ;8,684 ;;20,274 ;;7,431 ;105,745 ;4,223 ;8.206 ;
Eling ;10.06 ;47 ;17 ;2.308 ;;690 ;400 ;190 ;;;;;;;;;;485 ;;48 ;;5 ;20 ;40 ;;;;;500 ;X ;;4,178 ;756 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Essunga ;22.69 ;176 ;174 ;10.465 ;;2.550 ;120 ;330 ;;;X ;;;;;;;1,965 ;15 ;205 ;20 ;10 ;100 ;220 ;;;;;1,220 ;10 ;;11.500 ;255 ;;
Foglum ;11 ;77 ;18 ;3.405 ;;1,115 ;674 ;252 ;;;;;;;;;;715 ;;80 ;;15 ;;87 ;- ;;;;534 ;8 ;212 ;8,050 ;136 ;;
Hällum ;7.50 ;22 ;;2.204 ;35 ;1,870 ;180 ;120 ;;;;;;;;;;600 ;90 ;20 ;;8 ;340 ;300 ;- ;300 ;150 ;;825 ;;420 ;4.200 ;490 ;200 ;
Kedum ;13.56 ;143 ;43 ;5,346 ;30 ;2,540 ;300 ;2.476 ;;;;;;;;;;1,000 ;50 ;83 ;;10 ;295 ;630 ;- ;300 ;150 ;;1,350 ;20 ;160 ;9,620 ;200 ;;
Lekasa ;11.50 ;51 ;59 ;2.546 ;25 ;1.349 ;90 ;126 ;;;;;;;;;175 ;726 ;25 ;46 ;6 ;7 ;37 ;126 ;- ;155 ;;;700 ;20 ;240 ;6.568 ;440 ;100 ;
Levene, del ;;;;900 ;;700 ;20 ;20 ;;;;;;;;;;300 ;;28 ;11 ;- ;;189 ;;;;;400 ;- ;;3.000 ;;;
Long ;16 ;65 ;20 ;3.251 ;;3.030 ;170 ;- ;;;;;;;;;;1,150 ;200 ;100 ;;;600 ;750 ;- ;;310 ;;1.140 ;;750 ;8,350 ;300 ;;
Naum ;13.19 ;95 ;;5.651 ;34 ;2.228 ;613 ;;;;;;;;;;;972 ;;81 ;;20 ;105 ;393 ;- ;;;;1.352 ;20 ;102 ;8.650 ;348 ;;
Ryda med Halfis ;25,38 ;130 ;95 ;5,150 ;100 ;3.655 ;45 ;1.350 ;;;;;;;;;;1,310 ;270 ;50 ;25 ;15 ;300 ;880 ;;420 ;240 ;;1.600 ;;300 ;11,600 ;900 ;600 ;
Sandbäck eller Kyrk&s ;;16 ;19 ;2,450 ;;490 ;120 ;600 ;;;;;;;;;;220 ;;24 ;;;;;;;;;360 ;19 ;16 ;1.800 ;19 ;;
Skarstad ;18.75 ;154 ;13 ;3,763 ;78 ;3.601 ;73 ;11 ;;;;;;;;;;1,190 ;273 ;72 ;5 ;8 ;1.311 ;395 ;;;215 ;;1.150 ;;285 ;7.900 ;131 ;525 ;
Vara ;10.75 ;68 ;8 ;2.400 ;8 ;2,329 ;50 ;13 ;;;;;;;;;;999 ;100 ;30 ;;5 ;125 ;350 ;;;250 ;;1.100 ;;100 ;7.000 ;600 ;100 ;
Asaka ;14.57 ;132 ;36 ;3,568 ;25 ;1,420 ;620 ;170 ;;;;;;;;;;710 ;10 ;44 ;;16 ;15 ;150 ;;;;;660 ;10 ;70 ;6.000 ;95 ;55 ;
Onum ;11,25 ;77 ;54 ;4,115 ;22 ;3.442 ;143 ;508 ;;;;;;;;;;1.556 ;70 ;101 ;- ;5 ;700 ;710 ;;;;;1,270 ;20 ;150 ;8.700 ;400 ;;
Barne barad ;197,20 ;1.270 ;683 ;57.522 ;427 ;31.009 ;3,618 ;6.166 ;131 ;995 ;167 ;9 ;208 ;310 ;X ;11 ;3,105 ;13,898 ;1,140 ;1,012 ;87 ;132 ;3,960 ;5,240 ;;3.602 ;1,682 ;69 ;14.161 ;183 ;3.020 ;107,116 ;5,130 ;2,288 ;
Broby ;7.50 ;18 ;;935 ;2 ;885 ;45 ;3 ;1 ;;;;;;;;124 ;337 ;5 ;25 ;3 ;1 ;50 ;285 ;;123 ;110 ;;522 ;;36 ;3,350 ;;;
Hangelösa ;16.50 ;;53 ;5,116 ;;2,824 ;382 ;1,910 ;;;;;;;;;404 ;866 ;;100 ;44 ;16 ;284 ;700 ;;404 ;157 ;;1.752 ;;315 ;6,963 ;315 ;;
Hasslösa ;12.25 ;69 ;50 ;3,956 ;8 ;2,597 ;;621 ;;;;;;;;1 ;298 ;775 ;49 ;46 ;12 ;;463 ;570 ;;288 ;300 ;;1.120 ;- ;180 ;7,120 ;;160 ;
Husaby ;23.75 ;32 ;31 ;4.488 ;20 ;1,800 ;100 ;300 ;;;;;;;;;;384 ;30 ;250 ;50 ;4 ;257 ;314 ;;257 ;264 ;20 ;907 ;;500 ;1,900 ;32G ;;
Hofby ;12.88 ;46 ;37 ;2,800 ;24 ;2,652 ;33 ;91 ;;;;;;;;2 ;300 ;900 ;50 ;50 ;17 ;3 ;330 ;700 ;2 ;300 ;310 ;20 ;630 ;6 ;310 ;8.600 ;150 ;;





