Table: Table_1

Vanga ;54,75 ;139 ;110 ;50 ;8,000 ;500 ;4,450 ;;;;;;;;;1.000 ;3,000 ;50 ;200 ;;;1,100 ;2.300 ;;850 ;500 ;;4,520 ;;300 ;13,400 ;4.000 ;150 ;
Asaka ;24.88 ;;;;3.500 ;500 ;993 ;;;;;;;;;360 ;760 ;80 ;;;;;986 ;;364 ;182 ;13 ;1.850 ;50 ;180 ;8,500 ;126 ;90 ;
Ottum ;14,38 ;74 ;;16 ;3,005 ;10 ;996 ;15 ;;;;;;;;225 ;1,280 ;344 ;125 ;40 ;;376 ;385 ;;225 ;400 ;- ;1.500 ;;88 ;11,000 ;1.000 ;225 ;
Summa Skânings härad ;367,62 ;1,501 ;992 ;577 ;63,349 ;3,689 ;27,483 ;202 ;672 ;349 ;37 ;204 ;388 ;196 ;20 ;7,551 ;23.619 ;1,522 ;1,607 ;307 ;99 ;8,577 ;12,883 ;35 ;7.757 ;6,567 ;88 ;31,043 ;271 ;4.043 ;161,024 ;7,712 ;3,652 ;
Bitterna, Vester- ;14.59 ;61 ;17 ;6 ;914 ;105 ;30 ;;;;;;;;;84 ;560 ;6 ;29 ;3 ;;63 ;75 ;4 ;84 ;54 ;10 ;450 ;20 ;300 ;5,350 ;350 ;20 ;
Bitterna, Öater- ;16,81 ;114 ;35 ;10 ;1.200 ;430 ;50 ;;107 ;;;;1 ;;;150 ;600 ;;50 ;;;50 ;100 ;;150 ;100 ;10 ;1.020 ;20 ;50 ;7.200 ;200 ;16 ;
Larf ;47 ;215 ;100 ;6 ;4.320 ;300 ;1,200 ;;;;;;;;;340 ;2,500 ;20 ;200 ;10 ;10 ;300 ;600 ;- ;340 ;240 ;60 ;1.500 ;100 ;250 ;21,000 ;320 ;130 ;
Längjum med Vessby ;24,88 ;106 ;14 ;28 ;3,660 ;90 ;73 ;;;26 ;;;4 ;1 ;;210 ;2,650 ;12 ;40 ;;;180 ;352 ;- ;210 ;150 ;;510 ;;118 ;2,600 ;300 ;118 ;
Lundby ;15,50 ;65 ;46 ;6 ;3,000 ;100 ;94 ;;;;2 ;;;;;125 ;1.929 ;20 ;160 ;10 ;;125 ;300 ;;125 ;90 ;5 ;700 ;50 ;300 ;10.000 ;740 ;70 ;
Travad, del ;8,81 ;61 ;11 ;15 ;1,415 ;13 ;;;;;;;;;;150 ;525 ;;18 ;2 ;;228 ;324 ;- ;160 ;54 ;- ;361 ;6 ;18 ;5,515 ;30 ;36 ;
Vedum ;19,88 ;134 ;53 ;10 ;2.520 ;2:) ;450 ;6 ;106 ;11 ;1 ;7 ;107 ;14 ;1 ;130 ;1.890 ;5 ;120 ;5 ;10 ;35 ;100 ;- ;225 ;;- ;950 ;- ;- ;15,100 ;;24 ;
Summa Laske härad ;146,97 ;756 ;276 ;81 ;17,029 ;1,058 ;1,905 ;27 ;398 ;55 ;3 ;7 ;114 ;16 ;1 ;1,189 ;10.654 ;73 ;617 ;31 ;42 ;981 ;1.851 ;4 ;1,294 ;688 ;85 ;5,491 ;196 ;1.036 ;66,765 ;1,940 ;414 ;
Floby ;27.94 ;78 ;51 ;10 ;2,467 ;1,673 ;50 ;;53 ;4 ;;;18 ;;;180 ;1,340 ;30 ;120 ;12 ;;200 ;410 ;- ;170 ;10 ;25 ;675 ;- ;360 ;8.100 ;150 ;40 ;
Gökhem ;34,63 ;116 ;47 ;18 ;3,010 ;100 ;10 ;9 ;65 ;35 ;7 ;10 ;20 ;15 ;5 ;250 ;2,172 ;;150 ;14 ;;25 ;130 ;- ;965 ;50 ;10 ;1.550 ;25 ;1.450 ;12.400 ;550 ;115 ;
Göteve ;16.13 ;76 ;16 ;15 ;615 ;1.000 ;20 ;16 ;3 ;- ;- ;;4 ;- ;;128 ;445 ;5 ;605 ;24 ;;;114 ;;120 ;- ;;896 ;;405 ;5,376 ;;15 ;
Jäla ;16.13 ;72 ;38 ;;;;;;;;;;;- ;- ;50 ;230 ;11 ;85 ;;10 ;;;- ;40 ;the ;24 ;50 ;24 ;192 ;480 ;96 ;94 ;
Klefva ;26.25 ;89 ;37 ;12 ;1,411 ;2.315 ;1,480 ;25 ;68 ;;;16 ;50 ;4 ;;265 ;685 ;30 ;100 ;2 ;1 ;30 ;98 ;;200 ;30 ;20 ;1.350 ;;900 ;8,150 ;550 ;100 ;
Marka ;19.13 ;41 ;34 ;5 ;2,200 ;1.500 ;;3 ;;;;;;- ;;;;;;;;;;;;;-- ;684 ;- ;400 ;4,520 ;200 ;24 ;
Sörby ;15,88 ;42 ;10 ;31 ;857 ;222 ;794 ;;;;;;11 ;;;95 ;508 ;15 ;64 ;15 ;;39 ;64 ;;64 ;;;598 ;;189 ;5,000 ;;100 ;
Trevattna ;18,44 ;47 ;;16 ;774 ;2.000 ;800 ;5 ;37 ;;;;12 ;;;150 ;380 ;4 ;33 ;3 ;2 ;10 ;100 ;2 ;90 ;9 ;18 ;800 ;20 ;70 ;3,600 ;130 ;130 ;
Ullene ;12,13 ;55 ;27 ;2 ;380 ;400 ;;- ;;;;;;;- ;- ;- ;- ;- ;;;;;- ;;4 ;- ;400 ;- ;80 ;2,000 ;10 ;4 ;
Summa Vilske härad ;186,66 ;616 ;289 ;100 ;11,714 ;9,210 ;3,154 ;60 ;291 ;53 ;10 ;45 ;115 ;21 ;6 ;1,118 ;5,760 ;95 ;1,157 ;70 ;24 ;297 ;916 ;2 ;949 ;103 ;97 ;7.003 ;69 ;4.046 ;49.626 ;1,686 ;552 ;
Bierka ;21.63 ;52 ;49 ;10 ;1,683 ;919 ;2,656 ;2 ;- ;- ;2 ;34 ;- ;--- ;- ;300 ;400 ;- ;283 ;- ;- ;;530 ;- ;250 ;- ;- ;1.417 ;126 ;100 ;3,175 ;- ;19 ;
Biurum ;15,13 ;36 ;;;;;;;;;;;;;;350 ;700 ;30 ;300 ;- ;;300 ;400 ;;320 ;- ;- ;1.575 ;;189 ;4,410 ;;80 ;
Borgunda ;33 ;77 ;42 ;16 ;2,102 ;320 ;660 ;20 ;60 ;17 ;;42 ;66 ;17 ;- ;320 ;620 ;23 ;128 ;- ;1 ;10 ;600 ;;320 ;- - ;- ;1.600 ;- ;403 ;4,428 ;512 ;92 ;





