Table: Table_1

1. ;2. ;3. ;4. ;5. ;G. ;7. ;8. ;9. ;10. ;11. ;12 ! ;13 ;14. ;15. ;16. ;17. ;18 ;19 ;20. ;21. ;22 ;23 ;24. ;25 ;26. ;27 ;28 ;29 ;30 I ;31 ;32 ;33. ;34 ;35 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mellby ;16,88 ;56 ;87 ;3,445 ;20 ;2,160 ;20 ;1,245 ;;37 ;12 ;- ;- ;90 ;9 ;4 ;300 ;800 ;100 ;80 ;4 ;- ;120 ;700 ;X 6 ;300 ;360 ;- ;1,300 ;- ;500 ;5,300 ;550 ;350 ;
Otterstad och Senäte ;30,88 ;94 ;161 ;8,700 ;25 ;2,700 ;650 ;5,325 ;10 ;57 ;1 ;2 ;14 ;13 ;7 ;1 ;560 ;950 ;235 ;90 ;50 ;- ;100 ;230 ;- ;580 ;1,000 ;- ;1,600 ;- ;850 ;7,700 ;;860 ;
Rackeby ;22 ;48 ;50 ;3,401 ;16 ;2,057 ;97 ;974 ;1 ;22 ;3 ;2 ;X 50 ;17 ;3 ;- ;229 ;608 ;73 ;164 ;X 30 ;4 ;51 ;677 ;- ;229 ;642 ;- ;639 ;- ;865 ;3,810) ;202 ;441 ;
R&da ;20,13 ;53 ;68 ;4,815 ;34 ;2,207 ;186 ;2,388 ;3 ;X 29 ;12 ;1 ;X 45 ;X 26 ;2 ;- ;270 ;888 ;47 ;43 ;3 ;2 ;170 ;490 ;- ;294 ;460 ;- ;1,103 ;76 ;520 ;6,302 ;240 ;210 ;
Skalunda ;10.63 ;32 ;23 ;2,594 ;18 ;1,924 ;27 ;5 ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;302 ;- ;510 ;- ;611 ;2,873 ;135 ;315 ;
Slädened ;16,50 ;80 ;44 ;4.380 ;;2,429 ;35 ;1,916 ;5 ;X 60 ;13 ;2 ;- ;- ;- ;- ;70 ;800 ;100 ;90 ;30 ;- ;X 330 ;680 ;- ;120 ;60 ;- ;252 ;- ;315 ;6,678 ;;200 ;
Strö ;12,81 ;28 ;- ;4,236 ;26 ;930 ;220 ;1,600 ;- ;- ;3 ;1 ;9 ;11 ;- ;- ;175 ;200 ;253 ;43 ;20 ;2 ;- ;123 ;- ;134 ;356 ;- ;572 ;- ;400 ;1,600, ;190 ;150 ;
Sunnersberg ;28,88 ;168 ;59 ;5,429 ;13 ;2,490 ;150 ;2,776 ;- ;- ;- ;- ;- ;- ;- ;- ;250 ;730 ;154 ;50 ;8 ;12 ;179 ;888 ;- ;219 ;125 ;- ;145 ;- ;140 ;780 ;;105 ;
Söne ;15 ;54 ;54 ;2,041 ;18 ;1,508 ;286 ;229 ;18 ;55 ;11 ;- ;4 ;11 ;2 ;- ;186 ;656 ;97 ;27 ;3 ;4 ;136 ;244 ;- ;180 ;440 ;- ;563 ;- ;760 ;4,520 ;;512 ;
Tranum ;15,13 ;60 ;29 ;3,471 ;36 ;1.912 ;113 ;598 ;1 ;X 35 ;10 ;- ;- ;6 ;8 ;- ;204 ;673 ;116 ;19 ;1 ;2 ;157 ;452 ;- ;287 ;176 ;- ;862 ;- ;341 ;5,594 ;233 ;370 ;
T&dened ;9,25 ;15 ;34 ;2,142 ;16 ;916 ;34 ;839 ;3 ;6 ;2 ;1 ;- ;2 ;1 ;- ;111 ;390 ;33 ;17 ;6 ;2 ;34 ;220 ;- ;111 ;113 ;- ;391 ;- ;232 ;2,759 ;50 ;120 ;
Ufvered ;16,25 ;54 ;26 ;3,200 ;20 ;2,930 ;240 ;10 ;4 ;44 ;16 ;8 ;- ;- ;- ;1 ;250 ;1.124 ;66 ;25 ;X 25 ;4 ;426 ;730 ;- ;250 ;250 ;- ;820 ;- ;60 ;9,600 ;300 ;180 ;
Wäla och Gillstad ;16,70 ;86 ;51 ;5,744 ;24 ;2,061 ;57 ;3,602 ;9 ;111 ;8 ;1 ;- ;6 ;1 ;- ;210 ;868 ;24 ;48 ;- ;4 ;111 ;603 ;- ;203 ;190 ;- ;1,008 ;- ;364 ;6,800 ;;95 ;
Ásaka ;17 ;38 ;25 ;2,225 ;25 ;1,820 ;40 ;340 ;5 ;22 ;7 ;2 ;12 ;18 ;6 ;2 ;230 ;623 ;26 ;50 ;15 ;3 ;300 ;350 ;- ;223 ;450 ;- ;900 ;- ;160 ;6,693 ;;100 ;
Örslõsa ;19.75 ;75 ;59 ;4,065 ;;2,000 ;120 ;1.700 ;;;;;;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;1,250 ;- ;4,546 ;- ;2,051 ;15,330 ;2,459 ;2,853 ;
Summa, Kâllands härad b) ;357.16 ;1.264 ;1,020 ;81,879 ;484 ;43.001 ;2,949 ;28,184 ;102 ;686 ;147 ;23 ;187 ;305 ;62 ;10 ;4,434 ;14,527 ;1,919 ;926 ;251 ;75 ;3,454 ;7,836 ;6 ;4,833 ;7,640 ;- ;20,202 ;101 ;10,051 I ;125,836 ;5,912 ;8,292 ;





