Table: Table_1

Smula ;;;;300 ;;;;;500 ;- ;240 ;2,400 ;75 ;38 ;;;;1.800 ;;;;;;24 ;15 ;30 ;;75 ;25 ;65 ;;;;
V&rkumla ;;X 14 ;;435 ;6 ;;;- ;1,195 ;- ;660 ;5.796 ;;42 ;;42 ;;3.045 ;X 48 ;24 ;- ;;;46 ;19 ;72 ;3 ;146 ;38 ;136 ;;;;
Asarp ;- ;;===== ;2,750 ;- ;;- ;- ;560 ;24 ;540 ;6.480 ;90 ;96 ;- ;;- ;5,500 ;- ;;- ;- ;- ;13 ;8 ;30 ;3 ;48 ;28 ;30 ;- ;9 ;;
Summa Frökinds härad ;- ;59 ;- ;10,910 ;X 89 ;;-- ;175 ;14,085 ;1,054 ;5,470 ;74,071 ;1,285 ;446 ;- ;222 ;- ;61,820 ;48 ;162 ;25 ;- ;5,000 ;363 ;167 ;608 ;48 ;1,479 ;621 ;1,316 ;- ;373 ;- ;
Amnehärad ;- ;30 ;;3.900 ;15 ;;700 ;- ;17,040 ;- ;240 ;23,200 ;- ;150 ;- ;X 80 ;;31,200 ;- ;15 ;14 ;200 ;18,000 ;64 ;2 ;200 ;5 ;500 ;250 ;300 ;;250 ;;
Beateberg ;- ;200 ;;4,000 ;25 ;;900 ;;9,840 ;;;23,400 ;- ;;;;;12,000 ;1,200 ;;25 ;;;60 ;5 ;180 ;10 ;350 ;300 ;400 ;;120 ;;
Berg. ;- ;;;5,450 ;;;450 ;- ;9,750 ;- - ;3,300 ;20,000 ;- - ;400 ;- ;;;27,250 5,000 ;- - ;- 4 ;- ;- ;- ;60 ;10 ;160 ;8 ;325 ;120 ;100 ;;100 ;;
Bellefors ;10 ;;;900 550 ;10 2 ;;1,300 300 ;- 60 ;3,000 1,300 ;- ;90 ;7,000 3,500 ;- ;150 ;40 ;;;3,200 ;;;- ;- - ;- ;35 10 ;8 ;120 32 ;4 ;170 42 ;20 20 ;100 40 ;;;;
Binneberg ;;200 ;;1,500 ;;;3,500 ;260 ;8,000 ;- ;150 ;18,000 ;- ;1,500 ;;800 ;;12.000 ;1.800 ;20 ;;;;40 ;;240 ;;430 ;100 ;150 ;;;;
Björkäng Björeäter ;;100 ;;3,000 ;90 ;;940 ;100 ;2,700 ;- ;1,000 ;33,600 ;- ;270 ;;200 ;;24,000 ;;270 ;15 ;X 3,500 ;8,000 ;150 ;30 ;300 ;cos ;450 ;150 ;200 ;;;;
Bäck ;;;;570 ;12 ;;2,200 ;- ;4,550 ;- ;;25,050 ;;480 ;70 ;40 ;;4,560 ;1,600 ;;14 ;230 ;;31 ;4 ;140 ;8 ;270 ;100 ;150 ;;;;
Bõja ;;;;1,150 ;25 ;;565 ;- ;2,585 ;;125 ;8,375 ;;155 ;;;;4,600 ;;125 ;;;;;5 ;40 ;;100 ;100 ;130 ;;;;
Karlsborg ;;;;;;;;;50 ;- ;;;- ;;;;;;;;;;;60 ;;;;;;;;;;
Ek ;;;;750 ;25 ;;575 ;X 300 ;6,000 ;- ;525 ;17,500 ;- ;250 ;12 ;;;5,000 ;6.600 ;X 50 ;12 ;;;50 ;;142 ;;280 ;;120 ;;;;
Ekby ;;;;1.169 400 ;24 ;;970 234 ;- ;4,840 4,500 ;- ;126 ;21,500 19,200 ;- - ;900 150 ;;;;5,845 1,200 ;- ;56 ;;;;49 ;10 ;160 120 ;a ;240 ;;77 200 ;;;;
Ekeskog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elgarãs ;;;;200 ;2 ;;60 ;8 ;1,380 ;60 ;;5,000 ;;;;;;1.600 ;- ;10 ;100 ;50 ;2.000 ;;;200 ;5 ;;80 ;200 ;;;;
Flistad ;;;;450 ;;;944 ;;2,972 ;;190 ;10,000 ;2,520 ;940 ;;;;1,350 ;- ;;- ;;;;;144 ;;;;150 ;;;;
;;;;1,800 ;150 ;;200 ;60 ;9,000 ;120 ;240 ;25,000 ;60 ;375 ;;;;7.200 ;;450 ;;;;;;300 ;10 ;750 ;;500 ;;;;
Finnerödja Fägre ;;;;5,000 ;;;6,000 ;150 ;13,400 ;- ;;60,000 ;;1,000 ;;;;20,000 ;;;;;;;;500 ;15 ;1.200 ;700 ;650 ;;;;
Fredsberg ;;;;1,760 ;45 ;;6,580 ;- ;13,650 ;- ;150 ;55,410 ;160 ;1,000 ;;;;10,320 ;;;20 ;230 ;;;;;;;150 ;400 ;;;;
Frösve ;;;;2,100 ;20 ;;1,644 ;- ;12,354 ;- ;1,400 ;43,200 ;;140 ;;;;16.800 ;;40 ;5 ;1.500 ;8,864 ;;;160 ;;260 ;;164 ;;;;
Götlunda ;;;;108 ;;;2,000 ;- ;11.000 ;;;50,000 ;- ;2,000 ;;300 ;;500 ;;;;;;;;;;;;300 ;;;;
Halna ;;;;2.200 ;16 ;;'250 ;;3,075 ;;25 ;12,200 ;;340 ;;30 ;;16,800 ;;80 ;12 ;;4,600 ;;;;;;;275 ;;;;
Hiäletad ;;;;325 ;;;1,625 ;;6.000 ;- ;;14,245 ;;840 ;16 ;80 ;;1.280 ;;;;;;;;;;;;;;;;
Hasle. Berga och Färed ;;;;5,600 ;;;3,000 ;;27,000 ;;400 ;70,000 ;200 ;800 ;;800 ;;30,000 ;- ;100 ;;;;;;;;;;500 ;;;;
Hofva och Fagerlid ;;;;5,900 ;110 ;;2,000 ;X 350 ;30,000 ;550 ;600 ;60,500 ;500 ;480 ;;300 ;;55,000 ;- ;;100 ;;;;;;;1,450 ;;1.400 ;;;;
Horn ;X ;;;1,600 ;28 ;;1,850 ;60 ;5,900 ;100 ;650 ;15,000 ;- ;1.250 ;170 ;150 ;- ;9,600 ;;60 ;;;;;;145 ;;247 ;;;;;;
Leksberg ;;;;1,200 ;;;600 ;- ;3,600 ;- ;180 ;17,000 ;- ;200 ;;30 ;;7,200 ;2,500 ;;;;9.600 ;;;;;315 ;;;;;;
Lyrestad ;;;;4.668 ;50 ;;974 ;- ;14,450 ;- ;200 ;59.220 ;;1,272 ;;100 ;- ;18,672 ;;- ;40 ;;25,000 ;;;;;650 ;;;;;;
Locketorp ;;;;3.500 ;20 ;;1.200 ;X 120 ;6,500 ;- ;80 ;15,440 ;80 ;420 ;;100 ;- ;24,500 ;300 ;;10 ;X 2,000 ;12.000 ;;;120 ;;300 ;;150 ;;;;
Lerdala ;;;;3.300 ;- ;;1.200 ;- ;4.000 ;- ;1,200 ;11,550 ;500 ;450 ;;;;26.400 ;- ;;;;10.000 ;;;100 ;;300 ;100 ;125 ;;;;
L&stad ;X ;;;983 ;- ;;1,300 ;- ;1,170 ;- ;119 ;6,300 ;;480 ;60 ;45 ;;5,900 ;;;;;;;;;;175 ;;100 ;;;;
Mo. ;;;;1,470 ;;;3.600 ;;3,340 ;;;18,266 ;;1.470 ;;;;8.820 ;;;;;;;;;;195 ;;;;;;
Mölltorp ;;115 ;;6,000 ;25 ;;120 ;250 ;7.000 ;120 ;32 ;23,000 ;250 ;200 ;;;;24,000 ;;110 ;28 ;;11,000 ;;;280 ;;500 ;175 ;;;;;
Odens&ker ;;40 ;;1.000 ;;;150 ;;4.564 ;;325 ;12,100 ;- ;288 ;17 ;80 ;;6,000 ;;;;;;;12 ;150 ;;270 ;;180 ;;;;
Ransberg ;;;;1,000 ;50 ;;40 ;- ;2,000 ;80 ;- ;5,000 ;- ;40 ;;;;6,000 ;;150 ;;;- ;100 ;10 ;300 ;10 ;400 ;300 ;1.000 ;;;;





