Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. I ;32. ;33. ;34. ;35. ;;
43 ;Bitterna, Ostra ;16:81 ;114 ;46 ;5,554 ;10 ;1,680 ;400 ;50 ;10 ;97 ;;- ;10 ;97 ;;- ;200 ;800 ;10 ;GO ;5 ;5 ;150 ;250 ;- ;200 ;75 ;95 ;900 ;;100 ;7,450 ;400 ;50 ;43 ;
44 ;Larf ;47.00 ;217 ;120 ;18,052 ;10 ;4,585 ;2GO ;5,000 ;58 ;140 ;70 ;2 ;17 ;20 ;15 ;2 ;400 ;2,500 ;15 ;200 ;10 ;10 ;350 ;650 ;- ;450 ;240 ;GO ;1,800 ;100 ;250 ;22,000 ;330 ;40 ;44 ;
45 ;Lundby ;15:50 ;65 ;46 ;3,703 ;16 ;2.300 ;120 ;1,267 ;8 3 ;49 ;23 ;2 ;;5 ;2 ;- ;250 225 ;957 ;10 ;120 ;10 ;3 ;200 ;500 ;- ;250 ;120 ;5 ;1,100 ;12 ;80 ;10.000 ;200 ;35 ;45 ;
46 ;Längjum med Vessby ;24:38 ;115 ;30 ;4.397 ;47 ;4.225 ;35 ;90 ;;80 ;;- ;- ;;;- ;;2,865 ;30 ;145 ;- ;3 ;202 ;515 ;- ;240 ;150 ;- ;900 ;- ;120 ;21,575 ;90 ;75 ;40 ;
47 ;Trâvad (del). ;8:81 ;58 ;9 ;1,620 ;15 ;1.577 ;20 ;8 ;6 ;45 ;12 ;- ;;;- ;- ;195 ;700 ;3 ;20 ;1 ;1 ;175 ;275 ;- ;207 ;80 ;- ;900 ;- ;40 ;5,500 ;- ;28 ;47 ;
48 ;Vedum ;19.88 ;150 ;50 ;5,091 ;19 ;2.280 ;40 ;2,752 ;4 ;102 ;20 ;1 ;10 ;10 ;1 ;- ;200 ;1.310 ;12 ;120 ;27 ;3 ;88 ;290 ;- ;230 ;33 ;- ;1,610 ;- ;55 ;12.800 ;- ;25 ;48 ;
;Summa für Laske härad ;146:97 ;794 ;320 ;43.046 ;143 ;18,597 ;1,075 ;9,467 ;95 ;525 ;161 ;5 ;37 ;133 ;29 ;2 ;1,670 ;10.082 ;100 ;725 ;68 ;30 ;1.415 ;2,730 ;- ;1,777 ;723 ;90 ;7.970 ;112 ;670 ;85,325 ;1,045 ;263 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49 ;Floby ;27:94 ;87 ;54 ;5,554 ;29 ;3,180 ;2,273 ;72 ;- ;54 ;10 ;1 ;- ;92 ;;- ;310 ;1.662 ;70 ;200 ;47 ;20 ;170 ;451 ;- ;250 ;30 ;;1,300 ;;430 ;13.700 ;;50 ;49 ;
50 ;Gökliem 1) ;34:68 ;115 ;42 ;6.948 ;18 ;3,235 ;90 ;10 ;10 ;65 ;40 ;- ;9 ;20 ;20 ;;215 ;2,445 ;20 ;115 ;30 ;2 ;50 ;140 ;8 ;210 ;35 ;20 ;1.045 ;30 ;2.180 ;15,850 ;600 ;100 ;50 ;
