Table: Table_1

Bäreberg ;;30 ;- ;1,300 ;;800 ;;9,000 ;- ;45 ;34,000 ;;200 ;;90 ;- ;13,000 ;;;;- ;;150 ;25 ;10 ;;375 ;100 ;400 ;- ;100 ;- ;
Flakeberg ;80 ;180 ;;1,200 ;38 ;3,272 ;- ;9,832 ;- - ;2,400 ;31,200 ;858 ;720 ;640 ;1,260 ;- ;9,600 ;1,500 ;152 ;76 ;- ;4,000 ;141 ;39 ;22 ;5 ;388 ;140 ;400 ;- ;88 ;- ;
Främmestad ;- ;150 ;;4,500 ;20 ;800 ;- ;22,750 ;- ;2,400 ;72,450 ;;800 ;;1,200 ;- ;40,500 ;12,000 ;100 ;;- ;;271 ;72 ;39 ;21 ;1,039 ;316 ;115 ;- ;156 ;;
Hyringa. ;5 ;540 ;;1,400 ;10 ;1,000 ;- ;7,500 ;- ;1,200 ;28,000 ;300 ;300 ;3° ;1,620 ;- ;8,400 ;;50 ;10 ;- ;18,360 ;130 ;30 ;30 ;10 ;400 ;120 ;300 ;- ;120 ;;
Levene, del ;;300 ;;150 ;- ;1,440 ;- ;5,600 ;- ;6oo ;35,000 ;1,200 ;900 ;;1,800 ;- ;1,350 ;- ;;;;- ;6o ;6 ;20 ;4 ;160 ;6o ;160 ;;;;
Längnum ;;;- ;150 ;;73² ;- ;3,460 ;- ;468 ;4,000 ;6oo ;480 ;;;- ;;- ;;;;;60 ;5 ;14 ;;120 ;52 ;100 ;;60 ;;
Malma ;;;;1,649 ;61 ;;;7,266 ;- ;;;;;;;- ;73° ;;;;;;;;;to ;;;;- ;;;
Sparlösa ;6 ;540 ;- ;3,000 ;45 ;2,375 ;40 ;9,975 ;- ;1,375 ;11.175 ;2,400 ;240 ;24 ;2,160 ;- ;9,000 ;3,000 ;90 ;10 ;10,000 ;30,000 ;255 ;60 ;24 ;12 ;570 ;150 ;300 ;;;;
Tengene. ;;100 ;;1,500 ;100 ;2,400 ;100 ;12,480 ;- ;1,800 ;30,000 ;2,000 ;1,080 ;;;- ;12,000 ;;;;;;;;;12 ;;120 ;;- ;;;
Trökörna ;- ;40 ;- ;1,700 ;8 ;800 ;;3,600 ;- ;240 ;35,000 ;120 ;160 ;- ;140 ;- ;7,000 ;- ;20 ;7 ;3,500 ;17,000 ;142 ;32 ;;8 ;348 ;120 ;258 ;- ;60 ;;
Summa Viste härad ;101 ;2,155 ;- ;17,149 ;202 ;15,314 ;140 ;97,063 ;- ;11,596 ;359,815 ;8,284 ;6,471 ;794 ;9,920 ;- ;114,362 ;16,500 ;842 ;103 ;13,500 ;69,360 ;1,569 ;346 ;282 ;94 ;4,302 ;1,410 ;3,077 ;- ;1,129 ;- ;
Gösslunda ;4 ;260 ;;1,365 ;10 ;930 ;40 ;2,850 ;- ;960 ;27,130 ;180 ;500 ;10 ;570 ;- ;5,630 ;;55 ;- ;;- ;110 ;30 ;44 ;2 ;270 ;100 ;200 ;;;;
Hjerpâs, Höra och Vedum ;;;;2,736 ;40 ;3,240 ;;17,160 ;250 ;1,200 ;58,720 ;9,366 ;900 ;;;- ;13,680 ;36,000 ;;15 ;4.000 ;47,520 ;240 ;50 ;20 ;20 ;630 ;150 ;400 ;;;;
Häggesled ;5 ;160 ;- ;900 ;5 ;467 ;- ;2,550 ;;600 ;11,575 ;1,000 ;450 ;15 ;480 ;- ;2,800 ;- ;15 ;;- ;;80 ;20 ;24 ;5 ;270 ;80 ;100 ;;40 ;;
Kedum ;;220 ;;258 ;6 ;485 ;- ;2,961 ;- ;1,342 ;9,009 ;;617 ;;814 ;- ;1,405 ;- ;18 ;4 ;- ;- ;64 ;14 ;37 ;2 ;130 ;52 ;100 ;;20 ;;
Lavad ;;;;956 ;- ;1,920 ;- ;4,336 ;- ;1,134 ;26,544 ;798 ;1.344 ;- ;252 ;- ;7,648 ;- ;;- ;- ;- ;75 ;II ;37 ;5 ;162 ;91 ;163 ;;;;
Levene, en del Mellby ;;;;1,300 ;- ;3,520 ;- ;12,672 ;- 8o ;1.200 2,744 ;39,250 30,348 ;2,400 800 ;;- ;1,988 300 ;- - ;13,000 ;- ;;- ;- - ;- ;155 ;;10 ;2e ;320 ;100 ;;;;;
Otterstad med Senäte ;;300 ;;4,460 ;12 ;6,450 ;36 ;9,780 ;- - ;5.600 ;31,100 ;;2,025 ;24 ;1,500 ;;35,600 ;4,000 ;48 ;9 ;;44.000 ;180 ;24 ;80 ;12 ;530 ;220 ;500 ;;;;
Rackeby ;12 ;;;4,800 ;;1,567 ;;2,000 ;;1,008 ;19,040 ;1,290 ;1,188 ;140 ;2,100 ;- ;24,000 ;26,000 ;;;300 ;22,750 ;120 ;40 ;;9 ;;132 ;100 ;;;;
Râda ;14 ;;;2,865 ;;6,474 ;140 ;8,421 ;164 ;4,038 ;41,829 ;468 ;792 ;47 ;2,057 ;- ;11,564 ;6,190 ;;;2,400 ;29,485 ;184 ;35 ;57 ;11 ;491 ;173 ;189 ;;132 ;361 ;
Skalunda ;- ;100 ;;260 ;;600 ;;100 ;;700 ;4,000 ;200 ;280 ;;400 ;- ;380 ;;;2 ;;2,700 ;60 ;6 ;10 ;;80 ;46 ;50 ;;;;
Slädene ;- ;400 ;;5,450 ;5 ;4,430 ;- ;7,120 ;- ;1,000 ;25,600 ;1,000 ;2,000 ;- ;2,000 ;- ;40,000 ;- ;10 ;;2,000 ;12,000 ;225 ;175 ;;60 ;400 ;150 ;200 ;;150 ;;
Strö ;;1,000 ;;;10 ;;;;- ;2,000 ;7,000 ;1,000 ;2,400 ;;7,000 ;- ;;10,000 ;60 ;;;;;;;;;;;;;;
Sunnersberg ;20 ;600 ;;i'i00 ;20 ;5,000 ;250 ;15,000 ;- ;10,600 ;30,000 ;1,600 ;2,400 ;40 ;1.800 ;- ;4.400 ;10,900 ;;;;50.000 ;175 ;;;;;190 ;250 ;;;;
Söne ;;500 ;;700 ;;1,600 ;50 ;7,000 ;65 ;3,600 ;18,000 ;725 ;620 ;;2,000 ;- ;5,600 ;- ;30 ;;;;;;16 ;;270 ;125 ;200 ;;;;
Tranum ;11 ;475 ;;860 ;30 ;1,412 ;18 ;3,460 ;;3,725 ;19,475 ;1,250 ;925 ;44 ;1,125 ;- ;4,612 ;- ;6 ;;;8,600 ;350 ;;54 ;;250 ;145 ;300 ;;;;
Tâdene ;;;;662 ;;500 ;-- ;;- ;1,200 ;;;;;441 ;;5.286 ;;;;;;;;;;;;;;;;
Ufvered ;;;;700 ;15 ;1,600 ;;12,750 ;- ;1.560 ;;1.300 ;300 ;;1,200 ;;2,800 ;100 ;45 ;20 ;;38,000 ;120 ;;;;;37 ;180 ;;;;
Yäla och Gillstad ;;350 ;;1,250 ;2 ;1,640 ;80 ;9,680 ;;1.020 ;39,594 ;- ;;15 ;2,100 ;- ;7.500 ;;;;;23,920 ;136 ;48 ;;;;180 ;300 ;;;;
Asaka ;;200 ;;900 ;10 ;2,500 ;;6.600 ;- ;1.000 ;25.200 ;;1.200 ;;1,000 ;;5,400 ;;50 ;;;1,560 ;97 ;;;;;;170 ;;;;
Orslösa ;20 ;100 ;;900 ;50 ;500 ;- ;13,000 ;- ;3,000 ;32,000 ;2.400 ;3,000 ;100 ;500 ;- ;5,000 ;200 ;300 ;;;;190 ;50 ;;;850 ;160 ;300 ;;;;
Summa K&llands härad ;99 ;6,146 ;;34,982 ;225 ;45,435 ;614 ;141,925 ;559 ;49,231 ;544,148 ;25,577 ;24,001 ;439 ;29,627 ;-- ;215,485 ;93,390 ;741 ;86 ;8,700 ;280,535 ;2,939 ;747 ;712 ;182 ;6,102 ;2,546 ;4,149 ;;1,758 ;361 ;
Eling ;;90 ;;1,600 ;5 ;110 ;;3,500 ;220 ;420 ;25,000 ;300 ;72 ;;500 ;- ;9,600 ;;30 ;- ;;- ;76 ;30 ;;;;55 ;110 ;;60 ;35 ;
Essunga ;;80 ;;9,000 ;50 ;240 ;;16,000 ;324 ;500 ;45,000 ;800 ;114 ;;400 ;- ;72,000 ;3,000 ;90 ;;;;250 ;50 ;;12 ;700 ;;500 ;;200 ;;
Foglum ;2 ;110 ;;1,275 ;40 ;500 ;is ;4,700 ;14 ;1,050 ;30,250 ;160 ;70 ;8 ;550 ;- ;6,125 ;;120 ;16 ;;;90 ;32 ;16 ;;;140 ;175 ;;80 ;;
Hällum ;has ;;;120 ;;436 ;;1,144 ;;120 ;6.288 ;750 ;80 ;i2 ;20 ;- ;960 ;IOO ;IO ;5 ;1,000 ;3,000 ;78 ;18 ;18 ;;208 ;66 ;105 ;;;;
Kedum ;;120 ;2 ;2,800 ;30 ;400 ;50 ;9,280 ;50 ;500 ;55,000 ;800 ;150 ;;300 ;8 ;18.000 ;;100 ;;;;170 ;45 ;;8 ;500 ;170 ;;;;;
Lekãoa ;3 ;78 ;;1,532 ;31 ;351 ;42 ;7,800 ;132 ;853 ;18,452 ;301 ;279 ;6 ;389 ;- ;8,231 ;1,750 ;87 ;38 ;;12.742 ;79 ;28 ;24 ;7 ;293 ;108 ;;;;;
Levene, del ;- ;;- ;500 ;;200 ;;;- ;180 ;12,000 ;250 ;100 ;- ;100 ;- ;;;;- ;;;;;;;;;252 ;;;18 ;
Long ;- ;400 ;- ;1,800 ;10 ;3,000 ;;12,000 ;- ;1.400 ;31,000 ;- ;900 ;;1,100 ;;14,400 ;200 ;50 ;;5,000 ;30.000 ;150 ;25 ;;10 ;;120 ;250 ;;;;
Naum ;2 ;;;4,880 ;48 ;350 ;50 ;12,285 ;- ;200 ;43,120 ;;225 ;10 ;375 ;- ;34,160 ;;144 ;;- ;- ;143 ;58 ;23 ;;320 ;90 ;250 ;;;;
Ryda med Half& ;- ;1,200 ;- ;2,000 ;;1.200 ;;15,000 ;- ;950 ;11,500 ;1,125 ;2,000 ;;4,800 ;- ;14,000 ;- ;;- ;;- ;250 ;100 ;30 ;10 ;680 ;200 ;300 ;;;;
Sandbäck eller Kyrk&s ;2 ;;;.85° ;6 ;;25 ;3,600 ;100 ;;;;;14 ;;- ;7,600 ;1,000 ;36 ;;600 ;3,985 ;;to ;;;;;85 ;;;;
Skarstad ;- ;438 ;;1.314 ;;920 ;;8.155 ;;1,620 ;82,317 ;201 ;292 ;;1.75% ;- ;6,570 ;;;4 ;;117 ;954 ;;12 ;NOT ;;157 ;;;;;
Vara ;;200 ;;1,000 ;18 ;2,400 ;;8.925 ;50 ;800 ;46,800 ;2,100 ;450 ;- ;1,000 ;- ;7,000 ;- ;54 ;;;- ;143 ;20 ;;3 ;315 ;32 ;130 ;;;;
Asaka ;- ;20 ;;2.200 ;70 ;32 ;18 ;3,250 ;50 ;120 ;20.100 ;300 ;;;40 ;;6,000 ;;130 ;;;;105 ;30 ;20 ;;;200 ;;;;;
Onum ;2 ;450 ;10 ;2,000 ;10 ;800 ;24 ;12,800 ;600 ;600 ;45,000 ;1.150 ;360 ;8 ;1.800 ;30 ;12,000 ;- ;25 ;- ;;16,000 ;130 ;35 ;10 ;5 ;350 ;80 ;200 ;;;;
Summa Barne härad ;18 ;3,296 ;12 ;32,971 ;328 ;10,957 ;255 ;121,439 ;1,540 ;9,433 ;435,827 ;8,333 ;5.212 ;75 ;13,126 ;38 ;219,646 ;6,050 ;891 ;70 ;6.600 ;65,844 ;1,994 ;524 ;282 ;92 ;5,094 ;1,558 ;3,257 ;- ;1,263 ;53 ;
Broby ;- ;20 ;;250 ;6 ;384 ;;3,700 ;- ;150 ;15,000 ;;90 ;;30 ;- ;1,250 ;- ;18 ;- ;;- ;36 ;12 ;30 ;3 ;112 ;34 ;80 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- ;
Hangelösa ;2 ;;;325 ;16 ;165 ;19 ;1,950 ;18 ;157 ;4.900 ;X 540 ;200 ;12 ;154 ;- ;3,250 ;;65 ;26 ;;;190 ;35 ;194 ;13 ;787 ;150 ;870 ;;116 ;;
Hasslösa ;- ;120 ;;1,300 ;12 ;1,600 ;;10,500 ;;378 ;30,000 ;;640 ;;600 ;- ;9,000 ;10,000 ;50 ;;;12.000 ;112 ;16 ;30 ;5 ;300 ;60 ;100 ;;50 ;;
Husaby ;- ;140 ;;5,280 ;;1,480 ;400 ;7,025 ;- ;4,000 ;30,000 ;3.500 ;750 ;- ;180 ;- ;26,400 ;;;;;;270 ;100 ;108 ;8 ;328 ;300 ;800 ;;176 ;;
Hofby ;- ;150 ;;1,250 ;40 ;1,500 ;100 ;4,400 ;- ;500 ;45,000 ;900 ;400 ;;600 ;- ;7,500 ;950 ;100 ;29 ;2,000 ;20,000 ;100 ;15 ;20 ;8 ;330 ;80 ;200 ;;50 ;;





