Table: Table_1

Saleby ;;456 ;;1,900 ;54 ;4,900 ;- ;28,000 ;;3.744 ;64,200 ;4,900 ;4,000 ;;2,786 ;- ;7,600 ;- ;;34 ;;25,310 ;329 ;56 ;;15 ;829 ;275 ;632 ;;249 ;;
Skara landsförsamling ;;;;378 ;12 ;750 ;;7,406 ;;378 ;10,080 ;;315 ;;60 ;- ;2,600 ;- ;;5 ;;;90 ;;80 ;;170 ;60 ;160 ;;;;
Skallmeja och 11 mtl af Gerum ;;425 ;;2,700 ;24 ;4,800 ;;6,000 ;;3,600 ;30,000 ;6,000 ;1,800 ;150 ;3,600 ;;25,000 ;;48 ;;;- ;160 ;100 ;40 ;12 ;280 ;200 ;600 ;;250 ;;
Synnerby ;;;;2,117 ;32 ;2,590 ;;11,040 ;;620 ;53,175 ;;450 ;;192 ;;6,351 ;1,000 ;64 ;15 ;;17,680 ;145 ;35 ;32 ;;420 ;200 ;160 ;;70 ;;
TrIvad ;;;;540 ;8 ;650 ;;2,840 ;;360 ;24,270 ;720 ;320 ;;47 ;;540 ;;8 ;;;;63 ;10 ;34 ;;140 ;31 ;59 ;;;;
Trässberg ;;200 ;;245 ;;1,800 ;;5,400 ;;1,875 ;35,000 ;;1,500 ;;1,200 ;;1,225 ;- ;;;;;106 ;33 ;;;230 ;124 ;125 ;;;;
Vinköl ;20 ;76 ;;1,225 ;63 ;1,512 ;300 ;19,789 ;378 ;1,005 ;76,502 ;565 ;565 ;100 ;500 ;;9,800 ;- ;200 ;25 ;;5,300 ;150 ;30 ;100 ;;300 ;180 ;450 ;;100 ;;
yanga ;;100 ;;6,500 ;40 ;2,500 ;;27,000 ;;7,000 ;82,000 ;30,000 ;750 ;;700 ;- ;32,500 ;- ;120 ;;;;300 ;75 ;250 ;10 ;800 ;400 ;1,200 ;;500 ;;
Asaka ;;75 ;;4.000 ;90 ;750 ;X 90 ;15,000 ;240 ;1.050 ;60,875 ;648 ;720 ;- ;300 ;- ;16,000 ;;;;;4,500 ;150 ;45 ;144 ;;450 ;200 ;420 ;;90 ;;
Ottum ;8 ;770 ;- ;3,000 ;5 ;1,300 ;;2,522 ;;335 ;30,008 ;5,000 ;203 ;- ;2,040 ;- ;6,012 ;700 ;- ;;-- -- ;;105 ;20 ;16 ;;225 ;95 ;224 ;;70 ;;
Skänlugs härad ;X 57 ;4,185 ;- ;40,035 ;452 ;31,320 ;420 ;198,811 ;1,468 ;30,003 ;735,834 ;69,295 ;24,785 ;296 ;20,639 ;- ;193,620 ;3,950 ;635 ;235 ;- ;84,242 ;2,591 ;596 ;1,108 ;117 ;6,178 ;2,703 ;6,111 ;1 ;2,202 ;;
Bitterna, Vester- ;;;;2,376 ;;60 ;20 ;2,160 ;40 ;350 ;21,530 ;380 ;;;;- ;14,256 ;- ;;;- ;;70 ;8 ;80 ;3 ;250 ;80 ;40 ;;;;
Bitterna, Oster- ;1 ;15 ;;1,280 ;45 ;60 ;;1,965 ;;140 ;19,815 ;896 ;;3 ;60 ;;6,785 ;===== ;125 ;12 ;1,150 ;945 ;74 ;;36 ;;255 ;105 ;245 ;;;;
Larf ;;200 ;- ;4,800 ;20 ;1,250 ;300 ;7,800 ;640 ;800 ;94,500 ;1,600 ;520 ;;1,000 ;- ;24,000 ;- ;- ;80 ;;;250 ;100 ;300 ;10 ;500 ;500 ;500 ;;250 ;;
Längjum med Vessby ;12 ;900 ;- ;850 ;18 ;1,800 ;150 ;6,000 ;300 ;1,850 ;20,700 ;1,800 ;;48 ;2,700 ;- ;5,800 ;- ;;;;- ;110 ;18 ;20 ;;350 ;150 ;300 ;;100 ;;
Lundby ;;80 ;;4,100 ;5 ;768 ;40 ;11,200 ;160 ;1,500 ;86,800 ;3,500 ;;;560 ;- ;24,600 ;- ;20 ;7 ;- ;- ;128 ;35 ;56 ;;272 ;130 ;419 ;- ;122 ;;
Tr&vad ;;;;500 ;;180 ;;2,000 ;35 ;90 ;18,000 ;455 ;;;;- ;3,000 ;- ;;- ;- ;- ;54 ;;;;118 ;;148 ;;;;
Vedum ;;;- ;500 ;- ;;;600 ;;;5,000 ;;;;;- ;2,800 ;- ;-- ;-- ;- ;- ;130 ;5 ;8 ;4 ;820 ;60 ;350 ;;15 ;;
Laske härad ;13 ;1,195 ;- ;14,406 ;X 88 ;4,118 ;522 ;31,725 ;1,186 ;4,230 ;265,845 ;8,631 ;1,925 ;51 ;4,320 ;- ;81,241 ;- ;X 145 ;X 99 ;1,150 ;945 ;816 ;180 ;504 ;31 ;2,065 ;1,063 ;1,995 ;- ;580 ;5 ;
Floby ;- ;;- ;2,550 ;10 ;;;5,500 ;;4.473 ;21,800 ;630 ;560 ;- ;576 ;- ;15,800 ;- ;25 ;;- ;- ;105 ;15 ;80 ;6 ;350 ;175 ;290 ;- ;125 ;- ;
Gökhem ;- ;;;5.344 ;18 ;352 ;78 ;10,584 ;65 ;8,075 ;66,150 ;8,402 ;378 ;;315 ;- ;21,376 ;- ;;;- ;1,200 ;160 ;75 ;180 ;;250 ;200 ;250 ;;;;
Göteve ;;;;1,700 ;15 ;- ;- ;3,500 ;;1,400 ;15,000 ;200 ;;;200 ;- ;10,000 ;- ;30 ;80 ;- ;1,600 ;90 ;20 ;90 ;à ;220 ;120 ;250 ;;;;
Jilla ;;;;2,670 ;63 ;;- ;2,205 ;- ;1,820 ;6,519 ;414 ;150 ;;159 ;- ;26,700 ;- ;- ;20 ;- ;;108 ;20 ;180 ;10 ;460 ;230 ;450 ;;;;
Klefva ;;100 ;- ;1,800 ;15 ;120 ;100 ;9,100 ;- ;2,700 ;28,800 ;2,400 ;300 ;;300 ;- ;1,800 ;;- ;15 ;;1,600 ;125 ;10 ;130 ;;225 ;234 ;400 ;;70 ;;
Marka ;;;- ;1,575 ;;- ;;1,840 ;;2,016 ;7,056 ;494 ;40 ;;;- ;942 ;- ;;;;- ;;;;;12 ;10 ;12 ;;;;
Sörby ;;- ;;1,500 ;- ;- ;;2,500 ;;1,500 ;18,000 ;200 ;;;;- ;7,000 ;;;- ;;;60 ;80 ;GO ;15 ;150 ;120 ;300 ;;60 ;;
Trevatina ;;- ;;1,300 ;- ;30 ;X 32 ;4,000 ;X 25 ;400 ;16,500 ;560 ;55 ;;;;6,500 ;650 ;- ;6 ;- ;3,200 ;60 ;8 ;80 ;;230 ;120 ;230 ;;;;
Ullene ******** ;- ;- ;- ;1,000 ;- - ;24 ;- ;1,700 ;;260 ;6,000 ;70 ;X 66 ;- ;;- ;4,000 ;- ;- ;;- ;;53 ;3 ;46 ;;125 ;100 ;90 ;;40 ;;
Vilske harad ;- ;324 ;- ;19,439 ;121 ;526 ;210 ;40,929 ;X 90 ;22,144 ;185,825 ;8,370 ;1,549 ;- ;X 1,550 ;- ;93,618 ;650 ;55 ;139 ;- ;7,600 ;766 ;183 ;852 ;50 ;2,022 ;1,309 ;2.272 ;- ;640 ;- ;
Bierka ;;;- ;8,920 ;- ;- ;;6,440 ;;- ;15,120 ;- ;;- ;- ;- ;53,861 ;- ;- ;- ;- ;- ;38 ;;105 ;3 ;234 ;111 ;170 ;;90 ;- ;
Bjurum och Mârby ;;;;10,080 ;;- ;;12,600 ;;500 ;25,200 ;;630 ;- ;- ;- ;50,400 ;;;;- ;;60 ;80 ;100 ;;200 ;100 ;150 ;;100 ;;
Borgunda ;- ;- ;- ;3,200 ;15 ;- ;- ;5,400 ;- ;1,000 ;12,284 ;1,300 ;300 ;- ;- ;- ;3,200 ;- ;20 ;7 ;- ;4,640 ;66 ;50 ;198 ;;1330 ;198 ;500 ;- ;120 ;;





