Table: Table_1

Vinköl' ;22.66 ;103 ;38 ;7,379 ;20 ;4,109 ;250 ;3.000 ;20 ;;;;;;;;300 ;2,496 ;40 ;200 ;15 ;10 ;150 ;451 ;- ;300 ;252 ;50 ;1,827 ;63 ;201 ;15,304 ;
Yanga ;54,75 ;129 ;102 ;15,000 ;30 ;9,000 ;570 ;5,400 ;7 ;;;;;;;;1,000 ;3,000 ;50 ;250 ;40 ;10 ;1,000 ;2,650 ;- ;1,000 ;500 ;;4,500 ;;1.000 ;15,000 ;
Ásaka* ;24,88 ;78 ;79 ;5,615 ;18 ;2.865 ;1,500 ;1,232 ;;;;;;;;;495 ;1,009 ;36 ;120 ;3 ;11 ;100 ;595 ;- ;495 ;175 ;20 ;2,500 ;48 ;175 ;12.075 ;
Öttum ;14.88 ;69 ;24 ;4,027 ;16 ;3.005 ;10 ;;15 ;44 ;20 ;;;G ;2 ;1 ;200 ;1.305 ;375 ;125 ;40 ;2 ;276 ;485 ;- ;223 ;390 ;- ;648 ;- ;80 ;10,065 ;
Summa Skänings härad ;367,62 ;1,486 ;1,094 ;100.869 ;564 ;63,464 ;4,879 ;27,862 ;177 ;686 ;392 ;32 ;221 ;323 ;156 ;17 ;7,212 ;23,297 ;1,481 ;1,608 ;293 ;107 ;7,620 ;14,089 ;50 ;7,640 ;6,804 ;100 ;30,517 ;282 ;4,872 ;155,024 ;
Bitterna, Vester- ;3.50 ;17 ;36 ;2.807 ;6 ;1.198 ;105 ;25 ;;26 ;;;;2 ;8 ;- ;54 ;670 ;4 ;109 ;5 ;? ;13 ;21 ;18 ;42 ;10 ;C/A ;360 ;8 ;70 ;4,300 ;
Bitterna, Oster- ;16,81 ;96 ;47 ;2.550 ;9 ;1,065 ;430 ;48 ;6 ;89 ;;;;;;;79 ;732 ;;35 ;2 ;5 ;40 ;85 ;- ;79 ;13 ;;485 ;4 ;45 ;6,984 ;
Larf ;47 ;215 ;100 ;12,000 ;;4,000 ;300 ;1,100 ;55 ;150 ;;;10 ;20 ;5 ;- ;306 ;2,500 ;20 ;200 ;10 ;10 ;200 ;400) ;- ;360 ;250 ;60 ;1,300 ;160 ;160 ;18,900 ;
Längjum med Vessby ;24,38 ;100 ;6 ;3.850 ;25 ;3.650 ;100 ;75 ;5 ;75 ;;;;;;;200 ;2,645 ;19 ;48 ;4 ;6 ;175 ;360 ;- ;200 ;240 ;;948 ;12 ;180 ;20,500 ;
Lundby ;15,50 ;60 ;46 ;3/200 ;6 ;2.089 ;92 ;13 ;7 ;60 ;6 ;2 ;2 ;;1 ;;125 ;1,400 ;20 ;150 ;10 ;4 ;80 ;300 ;;125 ;90 ;5 ;700 ;50 ;300 ;12,100 ;
Travad ;8,81 ;69 ;9 ;1,920 ;14 ;1.869 ;17 ;20 ;2 ;28 ;11 ;;;;;- ;75 ;630 ;8 ;20 ;2 ;2 ;40 ;550 ;20 ;208 ;40 ;- ;420 ;10 ;36 ;6,505 ;
Vedum ;19.88 ;120 ;62 ;3.000 ;10 ;2,325 ;40 ;625 ;;100 ;10 ;1 ;;9 ;- ;- ;90 ;2,000 ;- ;100 ;- ;10 ;25 ;50 ;- ;50 ;;- ;100 ;- ;;1,000 ;
Summa Laske härad ;135,88 ;677 ;306 ;29,327 ;76 ;16,196 ;1,081 ;1,906 ;75 ;528 ;150 ;3 ;12 ;43 ;10 ;- ;923 ;10,577 ;72 ;662 ;33 ;44 ;573 ;1,766 ;38 ;1,064 ;643 ;74 ;4,313 ;244 ;791 ;70,295 ;
Floby ;27.94 ;75 ;40 ;4,200 ;12 ;928 ;1,040 ;50 ;- ;52 ;4 ;;;19 ;;- ;100 ;430 ;20 ;70 ;6 ;2 ;60 ;140 ;- ;100 ;- ;;560 ;- ;650 ;3.200 ;
Gökhem ;34,68 ;115 ;30 ;5,300 ;12 ;1,810 ;200 ;;9 ;60 ;46 ;15 ;;10 ;8 ;;250 ;3,275 ;16 ;100 ;12 ;3 ;8 ;110 ;1 ;245 ;44 ;14 ;1,575 ;13 ;1,512 ;13,230 ;
Göteve ;16,18 ;80 ;28 ;4,372 ;15 ;600 ;1,010 ;30 ;69 ;3 ;;;3 ;;;- ;10 ;30 ;10 ;20 ;5 ;;10 ;10 ;;;- ;;750 ;- ;300 ;3,500 ;
Jäla ;22,68 ;90 ;45 ;;;446 ;;;23 ;28 ;;;55 ;21 ;- ;- ;50 ;230 ;11 ;85 ;;10 ;;;- ;60 ;- ;- ;3,154 ;- ;230 ;2,173 ;
Klefva ;26.25 ;89 ;47 ;5,580 ;10 ;1,270 ;2,500 ;1,500 ;25 ;68 ;;1 ;;;;;226 ;638 ;26 ;100 ;2 ;1 ;40 ;100 ;- ;200 ;40 ;20 ;1,300 ;- ;900 ;7,250 ;
Marka ;19,13 ;41 ;34 ;;;;800 ;50 ;;;;;;;;;;- ;- ;;;;;;- ;;- ;- ;378 ;- ;504 ;2052 ;
Sörby ;15.88 ;43 ;8 ;3.000 ;32 ;953 ;286 ;790 ;1 ;33 ;;- ;;10 ;1 ;- ;96 ;570 ;16 ;48 ;32 ;16 ;- ;96 ;- ;64 ;;;590 ;;220 ;3.970 ;
Trevattna ;18.44 ;47 ;27 ;4,700 ;14 ;685 ;2,000 ;500 ;5 ;37 ;2 ;-- ;19 ;12 ;- ;- ;125 ;840 ;4 ;33 ;3 ;2 ;10 ;60 ;- ;60 ;9 ;9 ;736 ;10 ;80 ;3.050 ;
Ullene ;12.18 ;55 ;27 ;1,000 ;2 ;360 ;400 ;- ;- ;- ;- ;;;- ;- ;- ;- ;- ;- ;;;;- ;;- ;;8 ;- ;400 ;- ;80 ;2,000 ;
Summa Vilske härad ;193,16 ;635 ;286 ;28,152 ;97 ;7,052 ;8,236 ;2,920 ;132 ;281 ;61 ;16 ;91 ;73 ;9 ;- ;857 ;5,513 ;103 ;456 ;60 ;34 ;128 ;516 ;1 ;734 ;101 ;43 ;9,443 ;23 ;4,476 ;40,425 ;
Bierka ;19,63 ;45 ;40 ;5,528 ;16 ;1.525 ;970 ;2,200 ;- ;- ;2 ;2 ;6 ;30 ;- ;- ;188 ;460 ;- ;226 ;- ;5 ;- ;280 ;- ;250 ;- ;-- ;920 ;- ;;3,780 ;
Bjurum eller Hânger och Marby* ;15,18 ;36 ;40 ;6.000 ;12 ;2,000 ;1,200 ;600 ;;;;;;;;- ;350 ;460 ;40 ;300 ;- ;;300 ;300 ;- ;250 ;- ;- ;1,575 ;- ;68 ;3,150 ;
Borgunde ;33 ;77 ;42 ;3,100 ;16 ;2,102 ;320 ;660 ;20 ;60 ;17 ;;42 ;60 ;17 ;- ;320 ;620 ;23 ;120 ;- ;1 ;100 ;600 ;- ;820 ;- ;- ;1,600 ;- ;403 ;4,428 ;





