Table: Table_1

Falköping* landssocken ;14,50 ;14 ;15 ;1,970 ;93 ;1,540 ;50 ;;6 ;4 ;2 ;2 ;- ;15 ;;;120 ;400 ;8 ;30 ;10 ;1 ;350 ;230 ;- ;120 ;;- ;630 ;;630 ;3,150 ;;37 ;
Pridened ;12,75 ;57 ;41 ;4,862 ;13 ;1,490 ;499 ;2.500 ;10 ;28 ;G ;...... ;;3 ;4 ;;- ;;- ;- ;- ;- ;- ;- ;- ;-- ;80 ;;850 ;- ;- ;3,800 ;;50 ;
Projered ;17.69 ;91 ;86 ;;27 ;2,700 ;2,118 ;6,254 ;27 ;62 ;18 ;2 ;;15 ;11 ;2 ;- ;- ;- ;-- ;- ;- ;- ;- ;- ;- ;115 ;X 12 ;2,120 ;X 20 ;35 ;5,650 ;35 ;33 ;
Gerum ;9,75 ;26 ;;1.284 ;2 ;482 ;400 ;- ;2 ;18 ;6 ;- ;2 ;18 ;6 ;- ;78 ;225 ;39 ;- ;2 ;- ;GO ;- ;- ;78 ;- ;- ;491 ;;126 ;1,839 ;;63 ;
Gustaf Adolf oeh Habo ;68.00 ;405 ;483 ;37,488 ;34 ;5,100 ;12,666 ;19,488 ;67 ;320 ;11 ;1 ;229 ;41 ;4 ;-- ;1,106 ;2,134 ;14 ;380 ;7 ;40 ;- ;615 ;;804 ;43 ;X 6 ;5,501 ;88 ;50 ;20,692 ;902 ;38 ;
Hynrf ;13 ;21 ;9 ;895 ;6 ;621 ;93 ;;- ;;;;37 ;10 ;;- ;101 ;249 ;20 ;100 ;- ;20 ;180 ;50 ;- ;100 ;25 ;- ;731 ;- ;196 ;2,980 ;;37 ;
Ilvalstad ;26,76 ;48 ;31 ;4,000 ;15 ;2,500 ;500 ;1,000 ;2 ;40 ;2 ;- ;2 ;40 ;2 ;- ;400 ;800 ;;200 ;70 ;10 ;120 ;500 ;- ;400 ;- ;- ;2,205 ;- ;126 ;5,040 ;;31 ;
Hangsiala ;16 ;21 ;17 ;1,964 ;;1,285 ;219 ;;3 ;6 ;16 ;- ;17 ;7 ;14 ;- ;214 ;307 ;7 ;107 ;5 ;3 ;- ;428 ;- ;214 ;6 ;- ;1,842 ;--- ;100 ;3,219 ;;75 ;
Harja ;13.34 ;106 ;24 ;- ;4 ;860 ;1.050 ;1.800 ;- ;100 ;6 ;- ;24 ;5 ;3 ;-- ;180 ;415 ;;105 ;5 ;5 ;- ;35 ;- ;125 ;;- ;1,134 ;30 ;- ;3,813 ;;- ;
Ilömb ;8.75 ;25 ;10 ;3,000 ;11 ;870 ;G80 ;750 ;;4 ;1 ;1 ;- ;19 ;- ;- ;95 ;272 ;- ;17 ;15 ;6 ;50 ;265 ;- ;150 ;49 ;- ;675 ;- ;- ;1,712 ;;2 ;
Karleby ;30,13 ;102 ;15 ;3,000 ;to ;1.600 ;300 ;10 ;10 ;60 ;11 ;- ;- ;14 ;a ;- ;150 ;1,000 ;50 ;150 ;2 ;10 ;- ;58 ;- ;180 ;7 ;X 10 ;925 ;20 ;776 ;10,320 ;600 ;157 ;
Kjelfvened ;9,50 ;30 ;7 ;1,024 ;4 ;800 ;30 ;- ;- ;-- ;- ;- ;- ;;- ;;119 ;400 ;- ;GO ;2 ;4 ;200 ;114 ;2 ;114 ;6 ;--- ;185 ;--- ;180 ;2,730 ;80 ;50 ;
Kongslena ;29,75 ;95 ;11 ;4,033 ;20 ;2,580 ;483 ;1,000 ;;- ;- ;- ;- ;- ;- ;- ;GOU ;1,180 ;20 ;100 ;20 ;10 ;50 ;;- ;600 ;- ;- ;2.835 ;- ;189 ;10,801 ;252 ;63 ;
Korsberga ;20,63 ;45 ;62 ;8,331 ;7 ;2,300 ;1,780 ;3,000 ;16 ;60 ;7 ;X 2 ;- - ;17 ;- ;;470 ;628 ;18 ;102 ;B ;10 ;100 ;831 ;- ;500 ;208 ;20 ;2,971 ;25 ;- ;5,015 ;187 ;91 ;
Kylingared, del ;4 ;15 ;10 ;;;- ;- ;- ;3 ;7 ;7 ;- ;1 ;;- ;- ;14 ;78 ;- ;80 ;- ;1 ;- ;2 ;- ;14 ;- ;- ;100 ;19 ;25 ;907 ;- ;- ;
Kymbo ;13,75 ;38 ;23 ;3,000 ;2 ;550 ;900 ;650 ;- ;23 ;10 ;- ;- ;1 ;X 4 ;- ;89 ;310 ;2 ;X 50 ;1 ;- ;X 100 ;15 ;- ;83 ;- ;-- ;501 ;- ;19 ;3,598 ;63 ;12 ;
Lattra ;20,38 ;51 ;;3,300 ;4 ;770 ;40 ;- ;- ;17 ;19 ;2 ;- ;4 ;8 ;1 ;126 ;441) ;- ;62 ;;1 ;40 ;40 ;4 ;106 ;-- ;- ;567 ;;567 ;4,416 ;- ;- ;
Mularp ;12,88 ;22 ;27 ;3.600 ;15 ;962 ;108 ;- ;9. ;12 ;2 ;- ;- ;4 ;1 ;1 ;85 ;320 ;100 ;42 ;40 ;4 ;X 80 ;200 ;11 ;80 ;X 24 ;- ;480 ;-- ;250 ;2,510 ;120 ;125 ;
Nykyrka ;10,38 ;49 ;21 ;- ;-- ;- ;- ;- ;- ;- ;- ;- ;;;- ;- ;;- ;;;-- ;- ;- ;--- ;- ;;- ;- ;480 ;45 ;- ;639 ;325 ;-- ;
Näs ;11,25 ;37 ;7 ;1,500 ;3 ;997 ;500 ;;1 ;19 ;14 ;- ;1 ;19 ;X 16 ;1 ;115 ;835 ;15 ;68 ;2 ;3 ;X 86 ;258 ;- ;115 ;;- ;724 ;- ;138 ;2,979 ;1:8 ;75 ;
Ottrafva ;8,94 ;22 ;29 ;1.411 ;5 ;500 ;300 ;360 ;- ;-- ;- ;- ;- ;- ;- ;;100 ;216 ;2 ;50 ;- ;2 ;- ;30 ;- ;100 ;- ;- ;472 ;- ;12 ;2,709 ;;9 ;
Sandhem ;42,63 ;112 ;190 ;- ;- ;- ;- ;-- ;- ;- ;- ;- ;;- ;- ;- ;- ;- ;- ;;-- ;- ;- ;- ;- ;- ;- ;- ;3,000 ;- ;- ;3,500 ;1,490 ;--- ;
Skörstorp ;10,38 ;27 ;19 ;2,200 ;4 ;1.720 ;100 ;- ;- ;- ;- ;- ;2 ;26 ;- ;- ;X 130 ;1,070 ;10 ;150 ;5 ;2 ;- ;350 ;-- ;125 ;;- ;787 ;- ;189 ;4,095 ;220 ;25 ;
Slöta och Faleqvarna ;46.13 ;100 ;;- ;;2,238 ;- ;- ;-- ;;- ;- ;- ;- ;- ;- ;X 306 ;1,971 ;11 ;180 ;6 ;;X 68 ;88 ;- ;806 ;;- ;1,927 ;- ;1,020 ;14,130 ;189 ;70 ;
Suntack ;9,65 ;19 ;17 ;2,100 ;4 ;589 ;206 ;1,801 ;5 ;13 ;4 ;1 ;5 ;10 ;3 ;1 ;151 ;209 ;7 ;34 ;2 ;1 ;X 18 ;60 ;- ;114 ;10 ;- ;709 ;- ;13 ;1,828 ;;8 ;
Tiarp ;11,75 ;47 ;3 ;1,500 ;5 ;1,000 ;300 ;195 ;;44 ;2 ;;- ;41 ;2 ;- ;X 80 ;280 ;30 ;30 ;5 ;3 ;- ;X 500 ;- ;75 ;;- ;450 ;- ;270 ;3,000 ;GO ;100 ;
Utvängstorp ;7,41 ;44 ;23 ;- ;- ;- ;- ;- ;3 ;28 ;1 ;- ;23 ;12 ;- ;;35 ;160 ;- ;90 ;- ;- ;- - ;- ;- ;80 ;- ;- ;210 ;42 ;- ;1,780 ;100 ;- ;
Welinge ;19,84 ;77 ;85 ;- ;- ;1.270 ;1.700 ;- ;8 ;44 ;4 ;1 ;2 ;16 ;1 ;1 ;- ;- ;;- ;- ;;- ;- ;- ;- ;X 20 ;- ;1,560 ;8 ;12 ;4,700 ;6 ;10 ;
Wistorp ;11,50 ;30 ;23 ;5.508 ;12 ;592 ;869 ;1,490 ;10 ;29 ;1 ;- ;13 ;- ;- ;- ;X 56 ;262 ;2 ;57 ;2 ;9 ;X 44 ;X 84 ;- ;DI ;1 ;2 ;356 ;24 ;56 ;2,638 ;273 ;12 ;
Wättack ;9,50 ;18 ;14 ;550 ;2 ;298 ;250 ;550 ;- ;- ;- ;- ;- ;- ;- - ;- ;X 100 ;70 ;- ;50 ;- ;2 ;- ;90 ;-- ;58 ;-- ;- ;472 ;37 ;- ;945 ;63 ;- ;
Yllestad ;21,56 ;54 ;54 ;6,400 ;50 ;810 ;800 ;780 ;26 ;30 ;1 ;- ;35 ;16 ;1 ;- ;200 ;310 ;- ;100 ;- ;- ;- ;100 ;- ;100 ;- ;- ;950 ;- ;125 ;3,950 ;- ;- ;
Äsaka ;23.50 ;33 ;40 ;;- ;- ;- ;- ;;- ;- ;- ;;- ;- ;- ;- ;- ;- ;-- ;- - ;- ;- ;- ;- ;- ;- ;- ;740 ;- ;296 ;5,178 ;- ;37 ;
Äsled ;30.13 ;93 ;103 ;3,019 ;s2 ;1,215 ;390 ;310 ;1 ;79 ;5 ;1 ;4 ;26 ;1 ;1 ;107 ;725 ;X 10 ;90 ;27 ;4 ;120 ;7 ;.... ;;12 ;12 ;674 ;- ;800 ;5.670 ;126 ;69 ;
Summa, Wartofta härada ;724.30 ;2.306 ;1,733 ;139,680 ;384 ;47,242 ;32,376 ;52,320 ;221 ;1,169 ;179 ;17 ;400 ;421 ;98 ;8 ;6.767 ;16.237 ;394 ;2.897 ;266 ;171 ;4,794 ;6,787 ;27 ;6.198 ;727 ;75 ;44,444 ;650 ;6.490 ;169,257 ;6.214 ;1.378 ;
Brismene ;12,50 ;54 ;28 ;- ;5 ;- ;- ;50 ;3 ;- ;- ;- ;- ;- ;- ;- ;;- ;- ;- ;- ;- ;- ;-- ;- ;- ;- ;- ;163 ;- ;132 ;945 ;- ;- ;
Börstig ;13.94 ;61 ;27 ;- ;3 ;395 ;748 ;1,000 ;4 ;54 ;1 ;- ;- ;2 ;- ;- ;43 ;180 ;2 ;38 ;1 ;3 ;2 ;3 ;- ;43 ;- ;22 ;271 ;25 ;157 ;3,181 ;208 ;12 ;





