Table: Table_1

Floby ;50 ;40 ;- ;;150 ;- ;2,250 ;5 ;- ;- ;;5,600 ;- ;5.200 ;16,000 ;850 ;400 ;- ;1,500 ;- ;18,000 ;100 ;25 ;70 ;8 ;360 ;165 ;250 ;- ;115 ;;
Gökhem ;567 ;63 ;- ;;63 ;- ;6,800 ;18 ;- ;368 ;75 ;9.450 ;X 65 ;7.560 ;52,920 ;2,835 ;375 ;- ;315 ;- ;50.400 ;160 ;80 ;160 ;4 ;240 ;180 ;235 ;- ;150 ;;
Göteve ;60 ;;- ;;40 ;- ;1,700 ;10 ;- ;- ;- ;3,000 ;- ;1.300 ;16,000 ;200 ;;;200 ;- ;12.000 ;90 ;25 ;90 ;3 ;225 ;125 ;250 ;;50 ;;
Jäls' ;138 ;30 ;- ;;39 ;- ;2.670 ;63 ;- ;- ;;18,924 ;;920 ;8,692 ;552 ;120 ;- ;117 ;- ;19.360 ;108 ;20 ;180 ;10 ;460 ;230 ;450 ;- ;50 ;;
Klefva ;600 ;120 ;- ;;100 ;- ;2.000 ;14 ;- ;100 ;80 ;9,200 ;- ;2,600 ;28,700 ;2,300 ;300 ;;300 ;;2,000 ;120 ;14 ;140 ;3 ;220 ;230 ;300 ;- ;60 ;;
Marka' ;126 ;;- ;;;- ;1,575 ;;- ;;;2.268 ;- ;2,016 ;8,208 ;604 ;20 ;;;;14,600 ;;2 ;;1 ;12 ;10 ;12 ;- ;;;
Sörby ;- ;64 ;- ;;64 ;- ;1.600 ;82 ;- ;;- ;2,350 ;- ;670 ;15,875 ;;384 ;- ;256 ;- ;9,600 ;64 ;32 ;64 ;16 ;290 ;100 ;240 ;- ;90 ;;
Trevattna ;130 ;10 ;- ;;- ;- ;1,300 ;;- ;63 ;78 ;5,152 ;X 60 ;400 ;12,200 ;560 ;55 ;- ;;;7,000 ;60 ;12 ;88 ;;260 ;150 ;200 ;- ;36 ;100 ;
Ullene ;22 ;20 ;- ;;- ;- ;1.000 ;- ;- ;24 ;- ;1,700 ;- ;260 ;6.500 ;70 ;60 ;- ;- ;- ;4.000 ;50 ;5 ;48 ;1 ;125 ;100 ;100 ;- ;47 ;;
Summa Vilske bärad ;1,693 ;352 ;- ;;456 ;- ;20,395 ;142 ;- ;555 ;233 ;57,644 ;X 125 ;20,926 ;165,095 ;7,471 ;1,714 ;- ;2.688 ;- ;136,960 ;758 ;215 ;846 ;53 ;2,192 ;1,290 ;2,037 ;- ;606 ;-- ;
Bjerka* ;- ;;- ;;- ;- ;8.920 ;- ;- ;- ;- ;5,520 ;- ;- ;15,120 ;-- ;;- ;;;62,440 ;38 ;;105 ;3 ;234 ;111 ;170 ;- ;90 ;;
Bjarum eller Hänger och M&rby' ;;126 ;- ;;;- ;10,080 ;;- ;- ;- ;9,450 ;- ;378 ;12,600 ;;630 ;- ;- ;;70.560 ;60 ;30 ;100 ;;200 ;100 ;150 ;;100 ;- ;
Borgunda ;512 ;92 ;- ;;- ;- ;8,200 ;15 ;- ;- ;- ;5,000 ;- ;8,000 ;12,000 ;1.300 ;300 ;- ;- ;- ;12,500 ;60 ;50 ;198 ;8 ;330 ;198 ;500 ;- ;120 ;;





