Table: Table_1

Ekeskog ;15,13 ;;24 ;8.563 ;;2,265 ;;;;;;;;;;;;;;;;;;;;;;;1.500 ;;;4,800 ;;;
Elgar&s ;19,81 ;103 ;;19,671 ;;2,082 ;;;;;;;;;;;;;;;;;;;;;;;2,016 ;;;3.780 ;;;
Flistad ;18.75 ;;;2,546 ;150 ;1,400 ;;;;;;;;;;;;;;;;;;;;;;;;;;2.500 ;;126 ;
Finnerödja ;24,96 ;209 ;212 ;43,509 ;;1,870 ;;;;;;;;;;;;;;;;;;;;;;;1,860 ;;;5.000 ;;;
Fägre ;36,81 ;152 ;;13,423 ;;7.400 ;;;;;;;;;;;;;;;;;;;;;;;3.400 ;;;12,000 ;;500 ;
Fredsberg ') ;42,69 ;259 ;;23,374 ;;5,870 ;;;;;;;;;;;;;;;;;;;;;;;2,890 ;;;9,500 ;;;
Fröave. ;13,69 ;;;4,629 ;;2.962 ;;;;;;;;;;;;;;;;;;;;;;;2,059 ;;;7,200 ;;;
Götlunda ;27,75 ;138 ;;9.257 ;;4,000 ;;;;;;;;;;;;;;;;;;;;;1.000 ;;2,400 ;;;13,600 ;;1,100 ;
Halna ;7,50 ;85 ;;5.554 ;;1.363 ;;;;;;;;;;;;;;;;;;;;;145 ;;1.000 ;;6 ;3.500 ;;175 ;
Hiälstad ;17.95 ;;20 ;3.471 ;;956 ;;;;;;;;;;;;;;;;;;;;;;;755 ;;;2,035 ;;120 ;
Hesle. Berga och Färed ;66,75 ;;;22,912 ;;8,540 ;;;;;;;;;;;;;;;;;;;;;1,050 ;;;;;;;;
Hofva och Fagerlid ;56,15 ;;;30.317 ;;5,691 ;;;;;;;;;;;;;;;;;;;;;;;1380 ;100 ;120 ;;;38 ;
Horn ;18,88 ;;;2,777 ;;;;;;;;;;;;;;;;;;;;;;;;;800 ;10 ;100 ;2,600 ;;260 ;
Leksberg ;17,75 ;;;5,554 ;;1.715 ;;;;;;;;;;;;1.320 ;;;;;;;;;;;900 ;;;3,395 ;;100 ;
Lyrestad ;43,75 ;250 ;157 ;19,671 ;;4.050 ;730 ;;;;;;;;;;;;;;;;;;;;;;2,910 ;;;11.844 ;;318 ;
Locketorp ;16,50 ;81 ;51 ;8794 ;50 ;1,790 ;;;;;;;;;;;;;;;;;;;;;;;1,300 ;;;3,860 ;;210 ;
Lerdala ;16,44 ;;;13.886 ;51 ;1.322 ;434 ;;;;;;;;;;;178 ;;;;;;;;;;;900 ;;;2.240 ;;100 ;
Listad ;11,44 ;34 ;27 ;2.777 ;3 ;585 ;840 ;549 ;;;;;;;;;;330 ;;;;;;;;;;;540 ;;;1,500 ;;;
Mo ;11.25 ;16 ;16 ;2.314 ;18 ;1,270 ;516 ;526 ;;;;;;;;;;700 ;;;;;;;;;180 ;;470 ;;;2.310 ;;175 ;
Mölltorp ;21,18 ;122 ;83 ;13.405 ;;2.70% ;;;;;;;;;;;;;;;;;;1.000 ;;;;;2.000 ;;;6.000 ;;;
Odensäker ;23,68 ;80 ;11 ;3.934 ;20 ;1.510 ;480 ;960 ;;;;;;;;;650 ;600 1,000 ;;350 ;;;;;;;150 ;;1.141 ;;65 ;4.500 ;;100 ;
Ransberg ;31.56 ;300 ;160 ;22,912 ;50 ;4,300 ;1,000 ;3,200 ;100 ;175 ;;;;;;;;;;;;;;1.000 ;;1.100 ;63 ;;2,590 ;189 ;;7,560 ;;63 ;





