Table: Table_1

Vättack ;;;;1.890 ;13 ;;;;1,575 ;;;6,300 ;252 ;;;;;17,640 ;;13 ;10 ;;1,100 ;;;;;;;;;;;;
Yllestad ;;;;3,800 ;;;60 ;;5,400 ;;750 ;16,800 ;;;;;;11,400 11.088 ;- ;;;;2,800 ;;;;;;1GO ;;200 ;;;;
\saka ;;;;;;;;;4,643 ;;1,802 ;23,473 ;;101 ;;;;;- ;;;;;;;;;;242 ;;;;;;
Asled ;;;;4.800 ;;;36 ;X 3G ;4.410 ;;3.125 ;27,000 ;500 ;80 ;;150 ;;33.600 ;- ;;;;;;;;;;340 ;;130 ;;;;
Vartofta härad ;14 ;637 ;5 ;148.214 ;446 ;- ;13,142 ;559 ;246,993 ;3,308 ;48.117 ;808,141 ;26.180 ;8,610 ;91 ;2.766 ;X 30 ;936,854 ;26,554 ;842 ;388.12 ;760 ;66,920 ;- ;2,111 ;392 ;5,628 ;278 ;10,163 ;4,308 ;12,692 ;13 ;3,310 ;;
Brismened ;- ;;- ;1.008 ;;-- ;- - ;;1,103 ;- ;767 ;5,513 ;;;- ;- ;- ;3,931 ;;- ;;- ;- ;- ;;;90 ;;160 ;80 ;100 ;;30 ;;
Börstig ;6 ;13 ;;2 268 ;30 ;;;57 ;1.890 ;;376 ;13,200 ;630 ;;;;- ;15,876 ;;;16 ;;;;;;100 ;;300 ;70 ;400 ;;110 ;;
Grolanda ;;;;1,850 ;;;;;6,050 ;1,000 ;2,500 ;12.000 ;950 ;200 ;;350 ;- ;9,000 ;;;19 ;- ;;;;;154 ;;300 ;110 ;200 ;;;;
Kinneved ;;40 ;;3.000 ;40 ;;;- ;4,500 ;;6,500 ;27,000 ;;100 ;;200 ;- ;30,000 ;- ;;12 ;;;;100 ;;150 ;12 ;400 ;250 ;300 ;;;;
Smula ;;;;300 ;;- ;- ;- ;500 ;- ;350 ;2,200 ;100 ;;;;- ;1,800 ;;;;- ;;- ;20 ;;;;70 ;30 ;70 ;;;;
Vârkumla ;;;;630 ;12 ;;;;1,134 ;;945 ;6,300 ;;26 ;;- ;- ;5,040 ;- ;;;;;;48 ;;;2 ;130 ;75 ;140 ;;;;
Asarp ;- ;3 ;- ;100 ;;- ;- - ;- ;132 ;12 ;GO ;1.050 ;75 ;9 ;- ;a ;- ;900 ;- ;- ;;- ;- ;;13 ;;;;31 ;14 ;40 ;;;;
Frokinds harad ;6 ;91 ;- ;8.656 ;101 ;- ;- ;57 ;15.309 ;1,012 ;11,518 ;67,263 ;1,755 ;385 ;- ;559 ;- ;66,517 ;- ;- ;X 47 ;- ;- ;- ;351 ;97 ;616 ;37 ;1,394 ;629 ;1,250 ;- ;318 ;;
Amnehärad ;;40 ;;4,200 ;90 ;;500 ;;23,000 ;;700 ;33,000 ;;1,400 ;- ;200 ;- ;33,600 ;- ;- ;15 ;500 ;30,000 ;- ;60 ;;;;GGO ;320 ;650 ;- ;1GO ;;
Beateberg ;;48 ;;2,300 ;50 ;;2.160 ;;10,080 ;- ;;33,600 ;;480 ;- ;480 ;- ;20,700 ;- ;- ;48 ;;;;;;;;330 ;330 ;700 ;;;;
Berg. ;;;;5,400 ;;;1.050 ;;10,000 ;- ;3,150 ;17,000 ;500 ;1,400 ;;;;37,800 ;;;;;;;;;;;400 ;160 ;250 ;2 ;100 ;;
Bellefors ;;;;750 ;12 ;;1,000 ;;3,600 ;;;12,750 ;;450 ;- ;32 ;- ;3,000 ;;12 ;;- ;;;;;;;161 ;60 ;70 ;;;;
Binneberg ;;;;300 ;;;1.000 ;;2,300 ;;150 ;4,500 ;260 ;150 ;;100 ;- ;1,100 ;X 160 ;;;;;;;;;;;20 ;50 ;- ;;;
Björsäter med Gullsäters rotar ;;100 ;;2.850 ;;;3.072 ;120 ;9,674 ;;1,200 ;49,656 ;;1,280 ;180 ;700 ;;22,800 ;X 12.500 ;99 ;;4.000 ;25.000 ;;;;;;400 ;200 ;250 ;;;;
Bäck ;;50 ;;560 ;;;7,000 ;;8.860 ;;320 ;33,300 ;;2,000 ;50 ;150 ;- ;5,600 ;2,000 ;60 ;X ;4.000 ;6,000 ;;;;;;;GO ;320 ;;;;
Böja ;6 ;;;567 ;;;567 ;;1.890 ;;126 ;3,339 ;630 ;189 ;19 ;126 ;;3.150 ;;12 ;;;;;;;;;;30 ;120 ;;;;
Carlsborg ;;;;236 ;;;;;;15 ;;224 ;;;;;- ;1.652 ;;;;;;;;;;;;;;;;;
Ek Ekby ;;;;400 1.170 ;12 ;;800 2.205 ;;6.400 7.260 ;;420 90 ;9.600 21,250 ;;500 4.300 ;X 38 ;126 ;;3,200 5,825 ;X 4,000 ;60 ;5 ;;15,000 3,400 ;;;;;;;;140 ;;;;
Ekeskog ;;;;380 ;24 ;;468 ;;9,000 ;;;28,800 ;;225 ;;;;2,280 ;- ;;;;;;;;;;;;;;;;
Elgaras ;;;;2,000 ;80 ;;100 ;;12,000 ;;;57,600 ;;192 ;;;;20,000 ;X 200 ;- ;40 ;;4,000 ;;;;;;;;;;;;
Flistad ;;;;7,000 ;;;400 ;;12,800 ;;100 ;26,400 ;;800 ;;160 ;- ;42,000 ;;;;;;;;;;;;;;;;;
Finnerödja ;;;;7.500 ;;;400 ;;900 ;;60 ;22,000 ;;;;;;42.000 ;.... ;300 ;150 ;;;;;;;;;;;;;;
Fägred ;;;;5.000 ;;;10,200 ;;18,500 ;;700 ;78.000 ;;8,000 ;;;;40,000 ;;650 ;;;;;;;;;;;;;;;
Fredsberg ;;;;2.240 ;;;13.368 ;;40,190 ;;430 ;108,360 ;;4.220 ;120 ;;;22,400 ;1,000 ;400 ;80 ;10,000 ;30,000 ;;;;;;;;;;;;
Frösved Götlunda ;;;;1.800 1.000 ;;;940 7.200 ;;7.075 19 200 ;;810 ;24,075 67.500 ;;;;;;12,600 8,000 ;- ;80 24 ;12 ;;12,292 ;;;;;;;;;;;;
Halna ;;;;2.363 ;;;392 ;;2,961 ;;;13.356 ;;;;;;8.190 ;;;;;5,000 ;;;;;;;;;;;;
Hiälstad ;;;;6,680 ;;;7.200 ;;19.300 ;;3.000 ;64,080 ;;;;;;33,000 ;12.000 ;180 ;;;100,000 ;;;;;;;;;;;;
Hassled. Berga och Färed ;;;;7.000 ;;;6,000 ;;15,600 ;;2,000 ;51.000 ;;;;;;42,000 ;6,000 ;70 ;;;;;;;;;;;;;;;
Hofva med Fagerlid ;;;;6,773 ;;;1,720 ;;23.928 ;;806 ;80,703 ;;;;;;37,800 ;;;134 ;;350,000 ;;;;;;;;;;;;
Horn ;;;;1,500 ;10 ;;1.380 ;;5.950 ;;620 ;20,500 ;;;;;;9,000 ;;50 ;;;;;;;;;;;;;;;
Leksberg ;;;;1.080 ;;;1,450 ;;9.500 ;;60 ;18,950 ;;;;;;10,800 ;800 ;- ;;18,000 ;;;;;;;;;;;;;
Lyrestad ;;;;3,220 ;;;2,160 ;;5,620 ;;210 ;36,000 ;;;;;;16,100 ;;;35 ;;;;;;;;;;;;;;
Locketorp ;;;;3.600 ;;;1,800 ;200 ;8.000 ;;110 ;20,000 ;;;;X ;;14,500 ;400 ;;;2,800 ;8,000 ;;;;;;;;;;;;
Lerdala ;;;;3000 ;;;1.100 ;;10.620 ;;1.2GO ;14,700 ;1,050 ;;;;;21,000 ;1,300 ;;;;;;;;;;;;;;;;
Lâstad ;;;;967 ;78 ;;942 ;;2.646 ;;160 ;9.736 ;;;;;;5,856 ;1,580 ;25 ;;;5,000 ;;;;;;;;;;;;
Mo ;;;;1.134 ;;;2.016 ;;1.386 ;;;14,175 ;;;;;;4.536 ;;;;;1.100 ;;;;;;;;;;;;
Mölltorp ;;;;6.000 ;50 ;;240 ;X 240 ;12.000 ;150 ;;22.000 ;400 ;;;;;48.000 ;- ;200 ;50 ;;20,000 ;;;;;;;;;;;;
Odengaker ;13 ;;;1,890 ;;;945 ;;5.040 ;;378 ;10,080 ;;;;;;1,890 ;- ;;;;;;;;;;;;;;;;
Ransberg ;;;;6.300 ;315 ;;227 ;;11,970 ;504 ;- ;23.350 ;;;;;;31,500 ;- ;150 ;;;;;;;;;;;1.000 ;;;;
Svenneby ;;;;1.550 ;;;1.300 ;- ;1.300 ;;;8.800 ;;;;;;9.300 ;- ;;;;;;;;;;;;;;;;
Säter ;;;;3,120 ;18 ;;325 ;;12,800 ;;1,760 ;18,552 ;;;;;;24,960 ;;72 ;;;26,000 ;;;;;;;;319 ;;;;





