Table: Table_1

Götened ;;23 ;31 ;2.450 ;20 ;1,300 ;77 ;1,053 ;;;;;;;;;183 ;340 ;28 ;10 ;5 ;;200 ;350 ;;;183 ;245 ;;650 ;;38 ;2,000 ;;106 ;
Holmestad ;14.81 ;91 ;31 ;5.308 ;10 ;2,650 ;280 ;2,368 ;;;;;;;;;270 ;540 ;70 ;;72 ;50 ;560 ;710 ;X 80 ;;238 ;150 ;X 30 ;630 ;X 100 ;;4.500 ;;190 ;
Kiestad ;8,50 ;18 ;;833 ;;;11 ;;;;;;;;;;;150 ;30 ;10 ;;;30 ;196 ;;;;;;300 ;;;1,350 ;;50 ;
Klefva ;12.25 ;;19 ;1.482 ;10 ;1,362 ;60 ;50 ;;;;;;;;;180 ;450 ;;;;10 ;100 ;400 ;;;180 ;100 ;;;;400 ;4,000 ;;40 ;
Ledsiö ;16.87 ;56 ;54 ;3,715 ;20 ;2,050 ;185 ;1,460 ;;;;;;;;;300 ;550 ;20 ;350 ;;;190 ;380 ;;;250 ;200 ;;1.100 ;;180 ;4,250 ;;130 ;
;;157 ;;;;;356 ;3,135 ;;;;;;;;;740 ;1,035 ;50 ;137 ;80 ;bur ;131 ;600 ;;;655 ;375 ;;3,075 ;;;8,820 ;;;
Luguas och Bresäter ;13,06 ;;260 ;7,680 ;23 ;3,166 ;;;;;;;;;;;;459 ;;100 ;;2 ;160 ;400 ;;;114 ;142 ;;562 ;;850 ;;;105 ;
Medelplana ;17,38 ;24 ;93 ;4,744 ;56 ;1,520 ;348 ;2,000 ;;;;;;;;;185 ;;40 ;;60 ;;;;- ;;;;;;;;700 ;1,200 ;50 ;
Sil ;;26 ;15 ;1.300 ;9 ;710 ;192 ;390 ;;;;;;;;;113 ;220 ;6 ;;14 ;;381 ;431 ;;;113 ;;;426 ;;51 ;1,875 ;;24 ;
Vedum ;13,31 ;33 ;57 ;4,074 ;27 ;2,786 ;209 ;999 ;;;;;;;;;423 ;737 ;26 ;;;;393 ;786 ;- ;;;174 ;;1,880 ;;;6,633 ;;80 ;
Vesterplana ;10,50 ;26 ;12 ;1,410 ;;1,037 ;28 ;343 ;;;;;;;;;;300 ;;;10 ;;;400 ;- ;;;;;580 ;;510 ;G30 ;660 ;F0 ;
Vätilösa ;16,31 ;;42 ;4.200 ;40 ;1.500 ;100 ;2.560 ;;;;;;;;;220 ;400 ;;;;10 ;180 ;400 ;;;;;;900 ;;;3,000 ;;90 ;
Österplana ;17.88 ;36 ;75 ;4,513 ;25 ;1,000 ;100 ;1.100 ;;;;;;;;;130 ;350 ;;;;;5 ;260 ;2 ;;;80 ;;700 ;;400 ;1,350 ;1.350 ;140 ;
kinne härad ;198.49 ;741 ;650 ;55,994 ;305 ;23,311 ;2,456 ;25,526 ;96 ;255 ;179 ;22 ;109 ;175 ;63 ;1 ;3,702 ;6.896 ;504 ;1.036 ;381 ;116 ;3,010 ;6.793 ;82 ;;3,314 ;3,209 ;50 ;14.119 ;100 ;3.169 ;49.901 ;3.840 ;1,621 ;
Edavära ;29,50 ;101 ;123 ;12.058 ;;5,370 ;190 ;6,473 ;;;;;;;;;600 ;1.620 ;40 ;205 ;10 ;;2,190 ;15 ;;;;315 ;;2,142 ;63 ;;12,000 ;252 ;94 ;
Fyrunga ;13 ;62 ;27 ;2,571 ;;2,402 ;;154 ;;;;;;;;;;1.045 ;136 ;;;;236 ;470 ;;;;;;;;;5,290 ;256 ;200 ;
Gerum. ;13,38 ;19 ;51 ;2.679 ;;1,588 ;215 ;810 ;;;;;;;;;;586 ;13 ;;;;43 ;46G ;;;;;;841 ;;;4,977 ;;31 ;
Hendened ;19 ;55 ;46 ;4,500 ;;1,66S ;288 ;2.500 ;;;;;;;;;;469 ;;;;;;556 ;;;;;;1,751 ;;;4,845 ;;21 ;
Härlunda ;17.56 ;152 ;153 ;5.691 ;;824 ;707 ;4,130 ;;;;;;;;;;270 ;;160 ;;;;65 ;;;;;;812 ;;;3,095 ;117 ;17 ;
Harjevad ;8.88 ;32 ;21 ;1.683 ;;1,640 ;36 ;- ;;;;;;;;;;618 ;45 ;10 ;;;196 ;388 ;;;;;;661 ;;;3,690 ;;157 ;
Jung ;16,69 ;10 ;;3.101 ;24 ;3.067 ;;;;;;;;;;;332 ;1.060 ;80 ;;;;400 ;814 ;;;;340 ;;1,750 ;;300 ;10.000 ;790 ;400 ;
Marum Qvänum ;10,28 20 ;68 ;45 51 ;2,526 5.628 ;150 ;1.005 5,078 ;141 150 ;1.373 250 ;;;;;;;;;;420 2,153 ;115 ;;;;700 ;323 1,250 ;;;;;;1,700 ;;342 ;2.420 16.101 ;500 ;30 250 ;
Saleby ;36,38 ;195 ;43 ;8.872 ;38 ;8.619 ;168 ;54 ;;;;;;;;;1.078 ;2.896 ;225 ;100 ;;10 ;1,078 ;2.156 ;;1.078 ;;1.342 ;;4,015 ;;805 ;17,150 ;1,168 ;1,028 ;
Skara landsförsamling ;11.75 ;30 ;;2.250 ;20 ;1,080 ;150 ;1.000 ;;;;;;;;;;330 ;10 ;10 ;;;;860 ;;;180 ;;;1,058 ;;63 ;2,016 ;;63 ;
Skallmeja och 11 mantal af Gerum ;17.25 ;67 ;;3,363 ;95 ;2.928 ;200 ;;;;;;;;;;;850 ;200 ;;20 ;;240 ;460 ;- ;;;;;860 ;;500 ;5,500 ;100 ;300 ;
Synnerby ;19 ;87 ;121 ;5,600 ;42 ;3.968 ;72 ;1.400 ;;;;;;;;;442 ;1.537 ;24 ;;;;586 ;884 ;;;442 ;;;1,810 ;;124 ;10,685 ;;90 ;
Trâfva ;9.75 ;43 ;;1,990 ;13 ;1.691 ;17 ;148 ;;;;;;;;;;450 ;8 ;30 ;13 ;;411 ;525 ;16 ;;;;;;;;4.045 ;120 ;54 ;
Tressberg ;18.38 ;;;4.500 ;36 ;2.605 ;ai ;;;;;;;;;;24G ;1.225 ;45 ;;;;210 ;500 ;;;;;;;;400 ;G,500 ;;225 ;
Vinköl ;22.56 ;103 ;;7.379 ;20 ;4.109 ;250 ;3.000 ;;;;;;;;;;2.49G ;40 ;200 ;15 ;;150 ;451 ;;;;;;1,827 ;63 ;201 ;15,304 ;113 ;113 ;
Yanga ;54.75 ;128 ;108 ;15,000 ;35 ;8.690 ;500 ;5.500 ;;;;;;;;;1,000 ;3.050 ;60 ;250 ;110 ;;1,100 ;2,635 ;;;770 ;;;4.550 ;;350 ;20,000 ;1.000 ;140 ;
Ásaka ;24 88 ;78 ;79 ;5,615 ;18 ;2.845 ;1,510 ;1,242 ;;;;;;;;;490 ;999 ;36 ;120 ;;;100 ;595 ;;;490 ;;20 ;2.000 ;48 ;176 ;12,000 ;108 ;144 ;
Ottum ;14.38 ;70 ;;4 097 ;16 ;3.000 ;11 ;1,000 ;16 ;;;;;6 ;2 ;1 ;200 ;1.300 ;375 ;145 ;46 ;;270 ;485 ;;;223 ;400 ;;634 ;;88 ;10,060 ;1.500 ;130 ;
Skänings bärad ;369,87 ;1.431 ;1.054 ;99,963 ;661 ;62.180 ;4,611 ;29,111 ;175 ;756 ;389 ;30 ;230 ;449 ;240 ;21 ;6.953 ;23.367 ;1.471 ;1.587 ;348 ;99 ;7,993 ;13,393 ;16 ;7.276 ;;5,654 ;70 ;29,560 ;257 ;4.292 ;165,131 ;6,024 ;3,487 ;
Bitterna, Vester- ;3.50 ;17 ;;2,807 ;G ;1,198 ;105 ;25 ;;;;;;;3 ;;54 ;670 ;4 ;109 ;5 ;7 ;13 ;21 ;18 ;;;;;360 ;;;4,306 ;;8 ;
Bitterna, Öster- ;16.81 ;93 ;;2.550 ;;1.030 ;600 ;;;;;;;;;;;700 ;;31 ;;;16 ;80 ;;;;;;416 ;;;4.738 ;247 ;10 ;
Lart ;47 ;200 ;;7.050 ;;4,000 ;200 ;1,100 ;;;;;;;;;300 ;2.500 ;20 ;200 ;10 ;10 ;200 ;400 ;- ;;360 ;252 ;GO ;1,300 ;160 ;160 ;18,900 ;320 ;130 ;
Lengium med Vessby ;24.38 ;100 ;34 ;3,850 ;25 ;3,600 ;100 ;100 ;;;;;;;;;1.600 ;9.600 ;600 ;900 ;;6 ;600 ;900 ;- ;;670 ;360 ;30 ;1.300 ;60 ;450 ;6,900 ;900 ;180 ;
Lundby ;15.50 ;GO ;46 ;3.200 ;;2,070 ;105 ;15 ;;;;2 ;;;;;125 ;1.300 ;16 ;150 ;10 ;;;300 ;;;120 ;90 ;;1,500 ;;300 ;12,000 ;700 ;70 ;
Trâfva ;8.81 ;70 ;;1,920 ;14 ;1.869 ;;;;;;;;;;;;630 ;8 ;;2 ;;410 ;550 ;20 ;;208 ;40 ;;420 ;10 ;40 ;6.500 ;184 ;50 ;
Vedum ;19.88 ;120 ;GR ;3,000 ;10 ;2,325 ;40 ;625 ;;100 ;;1 ;;9 ;;;90 ;2.000 ;- ;100 ;- ;10 ;25 ;50 ;;;50 ;;;100 ;;;1.000 ;;;
Laske härad ;135,88 ;660 ;302 ;24,377 ;73 ;16,092 ;1,167 ;1.691 ;77 ;521 ;150 ;3 ;16 ;36 ;8 ;- ;2,316 ;17,400 ;653 ;1.510 ;32 ;45 ;1,344 ;2.301 ;38 ;;1,534 ;765 ;96 ;5,396 ;241 ;1,115 ;54,344 ;2,427 ;448 ;
Floby ;27.04 ;75 ;40 ;4,200 ;10 ;8S0 ;1,090 ;50 ;;;;;;18 ;;- ;90 ;580 ;10 ;80 ;5 ;;20 ;60 ;- ;;so ;- ;;550 ;30 ;720 ;4.000 ;30 ;36 ;
Gökhem ;34.63 ;110 ;29 ;5,300 ;10 ;1,750 ;260 ;;;;;;;;5 ;;225 ;3,300 ;16 ;100 ;10 ;;10 ;95 ;;;225 ;32 ;13 ;1.386 ;6 ;1.575 ;12,600 ;630 ;63 ;
Göteved ;16,13 ;76 ;;4,372 ;15 ;800 ;1,010 ;30 ;;;;;;;;;10 ;20 ;20 ;30 ;5 ;;10 ;5 ;;;;;;600 ;;350 ;3,400 ;50 ;;
Jäla ;22.63 ;90 ;45 ;;;446 ;;;;;;;;;;;50 ;230 ;11 ;85 ;;10 ;;;;;;;;315 ;- ;230 ;2,173 ;138 ;30 ;
Klefva ;26.25 ;89 ;47 ;5,580 ;10 ;1,270 ;2,400 ;1,500 ;;;;;;;;1 ;226 ;638 ;26 ;84 ;1 ;1 ;30 ;90 ;;;200 ;30 ;X ;1.300 ;;900 ;7.000 ;GOO ;100 ;
Marka ;19.13 ;41 ;34 ;- ;- ;- ;- ;- ;;;;;;;;;;- ;- ;- ;- ;- ;- ;;;;;;;878 ;- ;504 ;2.052 ;12G ;5 ;
Sörby ;15.88 ;;;;;;;;;;;;;;;;;- ;- ;- ;- ;- ;;;- ;;;;;500 ;;300 ;3.000 ;;;
Trevattna ;18.44 ;47 ;;4,700 ;12 ;640 ;2.000 ;400 ;5 ;;;;;;;;105 ;350 ;2 ;33 ;2 ;2 ;10 ;10 ;;;60 ;;;GEG ;5 ;80 ;3,800 ;130 ;10 ;
Ullened ;12.13 ;55 ;27 ;1.000 ;2 ;360 ;400 ;;;;;;;;;;- ;- ;- ;;- ;;- ;;- ;;;10 ;;400 ;- ___ ;so ;2.000 ;20 ;16 ;
Vilske harad ;193.16 ;627 ;273 ;25.152 ;59 ;6.146 ;7.160 ;1.950 ;131 ;251 ;49 ;3 ;101 ;123 ;9 ;1 ;706 ;5.068 ;85 ;412 ;23 ;20 ;80 ;260 ;1 ;;635 ;72 ;33 ;6.093 ;41 ;4.739 ;39,725 ;1.761 ;260 ;
Bierka ;19,63 ;53 ;47 ;5,528 ;16 ;800 ;1,706 ;3.006 ;- ;- ;2 ;2 ;- ;47 ;- ;- ;220 ;310 ;- ;70 ;12 ;5 ;- ;- ;- ;;80 ;- ;- ;1.072 ;- ;GO ;2.160 ;- ;24 ;
Bjurum eller Hânger och Marby ;15.13 ;36 ;40 ;6.000 ;12 ;2,000 ;1.200 ;600 ;;;;;;;;;350 ;460 ;40 ;300 ;;;300 ;300 ;;;250 ;;;1.575 ;;GS ;3.150 ;;126 ;
Borgunda ;33 ;77 ;42 ;3.100 ;8 ;2.112 ;320 ;660 ;20 ;60 ;17 ;;;42 ;60 ;17 ;320 ;620 ;23 ;128 ;- ;1 ;100 ;600 ;- ;;320 ;;- ;1.600 ;- ;403 ;4,428 ;512 ;92 ;





