Table: Table_1

;Mularp ;12:88 ;;;2,814 ;16 ;979 ;100 ;250 ;;;;;;;;;165 ;530 ;6 ;60 ;;;;;;;;1,060 ;600 ;5,000 ;200 ;;;
;;;;;;;;;;;;;;;;;;90 ;330 ;90 ;;;;;;;;;490 ;270 ;3,000 ;140 ;110 ;;
;Nykyrka Nãs ;10'38 11'25 ;47 ;;5,786 2,083 ;10 ;523 ;1,097 ;1,200 ;;;;;;;;;70 ;323 ;;120 ;;;;;;;;360 ;;2,580 ;600 ;;;
;;;;;;4 ;1,060 ;50 ;;;;;;;;;;150 ;340 ;5 ;50 ;;;;;;;;900 ;;3,000 ;;;;
;Ottravad ;8:94 ;;;2,546 ;;540 ;250 ;300 ;;;;;;;;;105 ;200 ;;50 ;;;;;;;;612 ;;2,430 ;10 ;12 ;;
;Sandhem Skörstorp ;43'13 10:38 ;130 ;120 ;20,828 2,265 ;20 ;2,800 1,220 ;4,500 1,040 ;10,600 ;;;;;;;;;350 ;900 396 ;5 30 ;415 75 ;;140 ;;;;;;1,800 100 840 ;60 250 ;8,200 3,500 ;300 150 ;80 ;;
;Slöta med Faleqvarna ;45:88 ;126 ;;7,868 ;27 ;3,158 ;1,225 ;;;;;;;;;;;1,500 ;50 ;400 ;;100 ;;;;;;1,716 ;1,200 ;20,000 ;200 ;120 ;;
;Suntak ;9:63 ;20 ;;2,777 ;8 ;800 ;200 ;1,769 ;;;;;;;;;100 ;400 ;3 ;50 ;16 ;115 ;;;109 ;;;450 ;60 ;2,000 ;;;;
;Tiarp ;11:75 ;;;1,620 ;5 ;1,000 ;300 ;195 ;;;;;;;;;;270 ;10 ;60 ;;;490 ;;;;;480 ;220 ;3,000 ;100 ;50 ;;
;Utvängstorp ;7:44 ;;26 ;5,554 ;? ;394 ;;;;;;;;;;;;165 ;;90 ;;;;;;;;;;1,850 ;;;;
21 ;Velinge ;19:79 ;;120 ;9,720 ;20 ;1,590 ;1,390 ;6,396 ;;;;;;;;;;536 ;2 ;190 ;;;153 ;;;;;240 2,136 180 ;;5,060 ;35 ;;;
22 ;Visttorp ;11'so ;29 ;;6,480 ;20 ;865 ;535 ;800 ;;;;;;;;;;405 ;4 ;40 ;;100 ;145 ;;;;;450 20 ;;3,600 ;100 ;10 ;;
;Vättak Yllestad ;9:50 21:56 ;20 ;;2,546 6,480 ;5 20 ;742 700 ;725 500 ;1,074 300 ;28 ;;;;;;;;160 100 ;260 300 ;2 ;100 ;2 ;;85 ;;160 100 ;;;720 63 616 ;125 ;3,100 3,600 ;12 ;6 ;;
;Isaka (länsdel) ;23:50 ;;;3,934 ;20 ;1,415 ;150 ;100 ;;;;;;;;;160 ;700 ;;80 ;;100 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;200 ;;150 ;;;900 ;450 ;6,000 ;;;;
26 ;Asle ;80:18 ;101 ;114 ;5,323 ;33 ;1.530 ;120 ;318 ;10 ;;;;;;;;120 ;760 ;;140 ;20 ;358 ;4 ;;120 ;12 ;12 ;640 ;450 ;5,700 ;60 ;24 ;;
;Vartofta härad ;742-06 ;2,480 ;1,744 ;279,565 ;535 ;01,122 ;37,705 ;66,693 ;225 ;1,165 ;312 ;34 ;251 ;625 ;169 ;13 ;8,492 ;23,147 ;454 ;4,741 ;424 ;163 4,486 ;10,242 ;25 ;8,463 ;1,175 ;217 ;48,817 1,193 ;7,229 ;215,722 ;4,254 ;1,357 ;;
;Brismene ;12:50 ;52 ;;5,091 ;6 ;575 ;600 ;;;;;;;;;P ;40 ;200 ;;20 ;;P ;;- ;40 ;;;230 - ;80 ;2,060 ;75 ;;;
;Börstig ;13:88 ;65 ;;4,166 ;;850 ;895 ;900 ;;;;;;;;;;330 ;200 ;295 ;10 ;4 10 ;45 ;2 ;;23 ;20 ;395 45 ;100 ;2,050 ;160 ;;;
;Grolanda ;19 ;87 ;;1 8,100 ;;650 ;460 ;;;;;;;;;;;300 ;50 ;100 ;10 ;15 ;50 ;- ;;- ;;480 12 ;250 ;2,700 ;;18 ;;
;Kinneved ;30:75 ;84 ;27 ;8,563 ;7 ;1,160 ;1,560 ;10 ;;;;;;;;;135 ;730 ;3 ;72 ;8 ;4 ;50 ;- ;152 ;- ;;850 - ;312 ;8,535 ;;;;
;Smula ;7:68 ;24 ;2 ;926 ;2 ;220 ;92 ;122 ;;;;;;;;;20 ;130 ;;46 ;- ;;5 ;- ;15 ;;- ;100 - ;30 ;500 ;15 ;;;
;Varkumla. ;18:95 ;30 ;;2,546 ;3 ;424 ;484 ;10 ;;;;;;;;;;261 ;;66 ;;;;;49 ;- ;- ;256 - ;159 ;1,529 ;;;;
;Asarp ;4:50 ;15 ;8 ;1,157 ;6 ;145 ;70 ;15 ;;10 ;;;;;;;10 ;80 ;4 ;10 ;;2 ;13 ;1 ;24 ;- ;;60 2 ;48 ;420 ;12 ;12 6 ;;
;Frökinds härad ;106-61 ;357 ;143 ;¹) 30,549 ;26 ;4,024 ;4,161 ;1,057 ;19 ;192 ;;;73 ;'39 ;7 ;? ;398 ;2,031 ;67 ;609 ;31 ;X 15 38 ;167 ;3 ;395 ;23 ;20 ;2,371 59 ;979 ;17,794 ;262 ;62 ;;
;Amnehärad ;32:19 ;331 ;160 ;21,060 ;15 ;2,700 ;3,660 ;14,000 ;46 ;320 ;;;;;;;540 ;740 ;20 ;100 ;2 ;38 ;808 ;- ;444 ;70 ;;2,000 - ;70 ;5,800 ;- ;50 ;;
;Beateberg Berg. ;17:50 34:44 ;52 100 ;58 61 ;9,026 6,943 ;16 ;2,283 1,825 ;834 ;3,159 2,378 ;;;;;;;;;320 ;600 ;40 ;90 ;18 ;240 ;600 ;- ;360 ;160 ;;1,440 - ;30 ;5,370 ;;90 ;;
;Bellefors ;;;;;52 ;;1,115 ;;45 ;;;;;;;;337 ;560 ;40 ;130 ;;100 ;380 ;- ;278 ;150 ;;2,000 - ;650 ;3,850 ;100 ;200 ;;
;Binneberg ...... ;20:25 5'50 ;54 23 ;51 ;10,182 1,157 ;6 ;2,978 350 ;9 200 ;4,420 200 ;;;;;;;;;180 75 ;366 125 ;47 ;50 ;;1,708 ;434 ;- ;180 ;250 ;;600 - ;;2,400 ;;130 ;;
;Björkäng ;18 ;140 ;;2) ;18 ;2,810 ;140 ;2,000 ;;;;;;;;;400 ;588 ;25 ;;;;;;;100 ;;360 - ;20 ;1,000 ;- ;80 ;;
;Björsäter ;28:88 ;100 ;105 ;4,629 ;28 ;2,622 ;30 ;1,989 ;62 ;;;;;;;;370 ;800 ;50 ;135 100 ;;400 156 ;700 725 ;;;600 470 ;;1,500 - ;;4,700 ;- ;40 ;;
;Bäck ;14:50 ;30 ;;4,860 ;50 ;2,610 ;90 ;1,300 ;;;;;;;;;350 ;695 ;40 ;;;343 ;760 ;;370 ;550 ;;1,350 910 ;200 ;5,600 4,175 ;- ;90 120 ;;
;Böja ;8'75 ;40 ;13 ;:) - ;;745 ;40 ;259 ;;;;;;;;;100 ;205 ;5 ;;;120 ;109 ;;;;;517 ;;1,675 ;;31 ;;
;Karlsborg ;;;;;;;4 ;1,000 ;;;;;;;;;;;;;;;;;;;;;;30 ;;;;
;Ek ;11 ;50 ;44 ;5,786 ;28 ;1,959 ;30 ;3,556 ;;;;;;;;;;480 ;;;;;;;;;;1,100 ;200 ;4,200 ;;36 ;;
;Ekby Ekeskog ;21:38 15:13 ;80 55 ;9 26 ;4,166 8,563 ;17 ;2,306 2,265 ;227 30 ;1,615 1,900 ;;;;;;;;;377 ;600 ;154 ;;;;;;;;;1,508 ;;4,750 ;;X 900 ;;
;;;;;;;;;;;;;;;;;;;586 ;25 ;;;;;;;;;1,500 ;;4,800 ;;75 ;;
;Elgar&s ;19:81 ;206 ;103 ;19,671 ;150 ;3,000 ;200 ;6,150 ;;;;;;;;;;600 ;;100 ;;;;;;;;;;;;;;
;Flistad ;18:75 ;60 ;13 ;2,546 ;;1,700 ;500 ;175 ;;;;;;;;;;600 ;150 ;;;;;;;;;10 ;;3,780 ;;126 ;;
;Finnerödja ;24:96 ;209 ;212 ;43,509 ;;2,370 ;;;;;;;;;;;;750 ;;;;;;;;;;;;2,500 ;X 630 ;470 ;;
;Fägre ;36:81 ;153 ;110 ;13,423 ;110 ;8,000 ;110 ;3,200 ;;;;;;;;;;2,000 ;200 ;180 ;;;;;;;X ;X 2,000 ;;5,000 ;15 ;125 ;;
;Fredaberg ;42-69 ;260 ;;;50 ;5,949 ;80 ;3,200 ;;;;;;;;;;1,685 ;100 ;100 ;;;;;;;;;;14,000 ;;500 ;;
;Frösve ;13:69 ;54 ;;4,629 ;15 ;2,962 ;139 ;1,513 ;;;;;;;;;;940 ;;;;;;;;;;;X ;9,600 9,000 ;;300 ;;
;Götlunda ;27:75 ;138 ;;9,257 ;25 ;4,000 ;100 ;1,275 ;;;;;;;;;;1,500 ;300 ;176 ;;;;;;;;;;;;160 ;;
;Halna ;7:50 ;79 ;;5,554 ;;1,364 ;136 ;2,495 ;;;;;;;;;;430 ;50 ;;;;;;;;;2,400 ;;13,600 ;;1,100 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,350 ;;3,300 ;;180 ;;
;Hjälstad ;17:38 ;36 ;;3,471 ;10 ;961 ;300 ;460 ;;;;;;;;;;387 ;;;;;100 ;;;;;755 ;;2,100 ;;150 ;;
;Hasle, Berga och Färed. ;66:75 ;133 ;166 ;22,912 ;45 ;8,665 ;365 ;12,121 ;;;;;;;;;1,185 ;2,215 ;95 ;195 ;;;2.761 ;;1,194 ;1.400 ;;4,525 ;;15,050 ;;260 ;;
;Hofva och Fagerlid ;56:13 ;338 ;168 ;30,317 ;;5,690 ;;;;;;;;;;;;1,605 ;50 ;130 ;;;1,900 ;;950 ;;X ;4,300 100 ;;9,500 ;100 ;;;
;Horn ;18:88 ;72 ;;2,777 ;10 ;1,370 ;325 ;1,005 ;;;;;;;;;;610 ;20 ;150 ;10 ;;150 ;;;270 ;;1,010 ;100 ;2,500 ;;80 110 ;;
;Leksberg ;17:75 ;36 ;;5,554 ;18 ;1,720 ;66 ;3,196 ;;;;;;;;;;485 ;20 ;50 ;11 ;;600 ;;240 ;300 ;;900 ;;3,395 ;;;;
;Lyrestad ;43:75 ;250 ;157 ;19,671 ;77 ;4,050 ;730 ;4,740 ;108 ;;;;;;;;;1,822 ;56 ;126 ;;200 ;1,079 ;;540 ;325 ;;2,910 ;;;;100 ;;
;Locketorp ;16:50 ;80 ;50 ;8,794 ;50 ;1,791 ;35 ;3,450 ;;;;;;;;;;491 ;90 ;120 ;10 ;;;;;;;;;11,844 ;;318 ;;
;Lerdala ;16:44 ;46 ;84 ;13,886 ;51 ;1,326 ;400 ;2,010 ;;;;;;;;;;400 ;18 ;70 ;;10 105 ;265 ;X ;340 ;290 ;X ;1,300 ;;3,860 ;;X 210 ;;
;Lâstad ;11:44 ;34 ;27 ;2,777 ;3 ;595 ;840 ;549 ;;;;;;;;;;178 ;28 ;28 ;12 2 ;10 10 25 ;382 74 ;;212 125 ;280 250 ;;825 10 ;300 ;2,700 ;;90 ;;
;Mo ;11'25 ;16 ;18 ;2,314 ;18 ;1,260 ;- ;526 ;;;;;;;;;;307 ;35 ;35 ;;142 ;360 ;- ;185 ;262 ;;540 ;30 ;1,500 ;;90 ;;
;Mölltorp. ;21'13 ;123 ;83 ;4) 13,423 ;? ;2.821 ;;P ;60 ;;;;;;;;;700 ;15 ;200 ;15 ;6 60 ;;;;;;530 ;30 ;1,600 ;;90 ;;
;Odensaker ;23:63 ;80 ;;3,934 ;18 ;1.537 ;190 ;341 ;;;;;;;;;;540 ;28 ;80 ;4 ;60 ;1,000 320 ;- ;400 240 ;50 ;70 ;2,000 40 ;15 ;6,000 ;60 ;60 ;;
;Ransberg ;31'56 ;304 ;141 ;22,912 ;40 ;4,600 ;960 ;4,000 ;;165 ;;;;;;;700 ;1,300 ;50 ;450 ;;100 400 ;900 ;- ;700 ;150 ;;1,140 3,150 315 ;50 ;4,040 ;;X 144 ;;





