Table: Table_1

Suntetorp och Sventorp ;27.85 ;110 ;100 ;;;4.500 ;150 ;2,314 ;12 ;;;;;;;;428 ;2.000 ;;;;;;700 ;;450 ;150 ;;1.900 ;;30 ;9,000 ;;;
Varola. ;16,25 ;;;;;2.400 ;380 ;2.786 ;;;;;;;;;470 ;735 ;;;;;40 ;;;480 ;150 ;;2,100 ;;5 ;6,000 ;;;
Versas ;25.87 ;;;;;3,700 ;1,830 ;3,980 ;;;;;;;;;675 ;1,000 ;;100 ;;;300 ;;;600 ;250 ;30 ;2.800 ;;;9,000 ;;100 ;
Vamb ;13 ;;;;;580 ;150 ;750 ;;;;;;;;;100 ;180 ;;40 ;10 ;;;;;;;;600 ;;;1.800 ;;;
Om, Bjärby och Amundtorp ;6.13 ;40 ;;;;935 ;114 ;840 ;17 ;;;;;;;;200 ;250 ;;16 ;;;105 ;;;185 ;100 ;;900 ;;- ;2.795 ;400 ;;
Summa Kâkinds härad ;344.86 ;1.455 ;1.003 ;;442 ;35,762 ;17,375 ;50,854 ;174 ;842 ;269 ;47 ;186 ;657 ;87 ;7 ;6,061 ;11,569 ;328 ;2.186 ;129 ;;2,191 ;7,058 ;2 ;5,819 ;2,451 ;192 ;34,133 ;388 ;709 ;96.945 ;530 ;1,159 ;
Acklinga ;15 ;32 ;;;10 ;1.010 ;420 ;1,026 ;3 ;8 ;;;;;;;190 ;460 ;3 ;50 ;;;30 ;143 ;;190 ;40 ;;1.100 ;- ;40 ;4.000 ;;15 ;
Angarp ;11.56 ;61 ;;;;1,040 ;800 ;;;;;;;;;;180 ;410 ;;;;;;200 ;;188 ;;;820 ;;140 ;2,530 ;;;
Baltak ;12,25 ;31 ;;;;700 ;830 ;1.290 ;8 ;;;;;;;;125 ;265 ;;;;;;72 ;;126 ;10 ;;623 ;;12 ;2.345 ;;16 ;
Bottnaryd ;3,75 ;;;;2 ;199 ;330 ;500 ;;;;;;;;;17 ;;;;;;;20 ;;;;;145 ;45 ;30 ;873 ;;;
Bjurbäck ;16,18 ;46 ;39 ;;6 ;760 ;1.000 ;1,500 ;;;;;;;;;146 ;360 ;;;;;;;;130 ;;;818 ;60 ;60 ;4.120 ;200 ;;
Brandstorp ;16.84 ;85 ;60 ;;10 ;4.300 ;15,000 ;2.000 ;;;;;;;;;200 ;400 ;;;;;;1,500 ;10 ;200 ;30 ;40 ;1,020 ;90 ;200 ;3,060 ;240 ;;
Daretorp ;17,13 ;110 ;60 ;;15 ;1,256 ;1,200 ;3,200 ;;;;;;;;;280 ;460 ;;;;;;;;275 ;;;2.050 ;50 ;40 ;5.500 ;;;
Dimbo ;26.68 ;50 ;;;18 ;1.886 ;196 ;340 ;;;;;;;;;300 ;660 ;;;;;;;;300 ;;10 ;1.600 ;50 ;500 ;6,100 ;;;
Falköpings landeförsamling ;14,50 ;14 ;;;10 ;1.500 ;50 ;440 ;;;;;;;;;130 ;624 ;;;;;;;;130 ;;;650 ;- ;800 ;3.500 ;;;
Fridene ;12,75 ;51 ;;;11 ;1,450 ;450 ;300 ;;;;;;;;;;500 ;;;;;;;;;150 ;;825 ;;60 ;3,500 ;;;
Fröjered ;17.69 ;92 ;;;30 ;2.850 ;2.100 ;5,450 ;;;;;;;;;500 ;700 ;;;;;;;;500 ;150 ;;3.000 ;50 ;60 ;;;;
Gerum ;9,75 ;26 ;;;;482 ;400 ;;;;;;;;;;;215 ;;;;;;;;;;;491 ;X ;126 ;8,160 ;;;
Gustaf Adolf ;23.00 ;144 ;107 ;;28 ;1.600 ;1.850 ;4,000 ;1 ;130 ;;;;;;;207 ;700 ;;;;;;;;;;;;;;1.840 ;;;
Habo ;45,85 ;228 ;;;30 ;3.703 ;9.000 ;13.000 ;;;;;;;;;;;;;;;;;;;;;2,600 ;130 ;40 ;8.500 ;320 ;;
Hvarf ;12 ;;11 ;;;;;;;;;;;;;;;1.561 ;;;;;;;;560 ;;;370 ;60 ;30 ;15,000 ;595 ;;
;;;;;;720 ;64 ;;;;;;;;;;;257 ;;;;;;;;90 ;;;545 ;;72 ;3,555 ;;;
Hvaletad ;26.75 ;50 ;31 ;;;2.500 ;500 ;1,000 ;;40 ;;;;;;;400 ;800 ;;;;;120 ;500 ;;400 ;;;2,205 ;- ;126 ;5.040 ;- ;;
Hângsdala ;16 ;24 ;16 ;;;1,285 ;219 ;;;;;;;;;;214 ;307 ;;;;;15 ;413 ;;214 ;6 ;;1,342 ;- ;101 ;8,219 ;;;





