Table: Table_1

;L&stad ;15 ;12 ;;985 ;P ;1,200 ;- ;1,500 ;;100 ;5,300 ;- ;300 ;60 ;50 ;- ;5,000 ;;P ;4 ;;11,000 ;50 ;10 ;120 128 ;;360 178 ;125 ;120 ;;;;
;Mo ;;;;1,500 ;- ;1,200 ;;3,340 ;;120 ;18,000 ;;200 ;;;;3,000 ;;;;;;20 ;5 ;;;200 ;40 ;100 ;;;;
;Mölltorp ;;80 ;;5,800 ;X 30 ;250 ;X 280 ;10,000 ;X 120 ;60 ;24,000 ;240 ;300 ;;;;23,200 ;? ;X 125 ;30 ;;40,000 ;50 ;;300 ;;630 ;50 ;100 ;;;;
;Odensaker ;16 ;50 ;;1,000 ;;600 ;- ;5,700 ;;150 ;12,120 ;;288 ;X 80 ;250 ;- ;3,000 ;P ;;;;;57 ;15 ;150 ;;275 ;200 100 ;200 150 ;;210 ;;
;Ransberg ;;;;9,450 ;315 ;- ;;12,600 ;630 ;;25,200 ;- ;945 ;;;;22,050 ;;P ;P ;- ;? ;100 ;20 ;300 ;10 ;500 ;300 ;1,250 ;;75 300 ;;





