Table: Table_1

43 44 ;Eling Essunga ;10:00 22:69 ;59 215 ;31 185 ;4,397 10.414 ;16 25 ;940 5,285 ;350 100 ;180 322 ;8 45 ;40 135 ;2 33 ;1 2 ;40 ;2 101 ;1 41 ;- ;110 768 ;500 2,001 ;10 10 ;40 210 ;10 30 ;2 10 ;55 504 ;113 1,000 ;- ;100 752 ;25 ;- ;500 25 3.072 50 ;GO 152 ;3,000 15,858 ;40 200 ;45 40 ;;
45 ;Foglum ;11:00 ;95 ;31 ;4.629 ;18 ;1.325 ;490 ;50 ;;68 ;;;;;4 ;2 ;280 ;460 ;15 ;65 ;10 ;5 ;100 ;150 ;- ;250 ;200 ;45 ;1,050 50 ;200 ;2.215 ;25 ;15 ;;
;;;;;;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;
46 ;Iällum ;7:75 ;32 ;26 ;8.2,315 ;25 ;1.818 ;60 ;80 ;4 ;29 ;1 ;2 ;1 ;;;1 ;200 ;600 ;;20 ;15 ;1 ;300 ;475 ;- ;200 ;250 ;;650 ;190 ;3.700 ;50 ;100 ;;
47 ;Kedum ;13:56 11:50 ;142 44 ;35 48 ;5,323 3,934 ;40 15 ;2.890 1.639 ;80 91 ;1.150 150 ;12 ;114 33 ;15 3 ;1 ;4 ;G 79 ;3 5 ;;340 190 ;1,145 788 ;45 20 ;50 50 ;5 8 ;5 8 ;245 67 ;700 318 ;- - ;355 190 ;160 60 ;10 ;1,379 10 800 20 ;85 130 ;11,044 ;50 ;55 40 ;;
48 49 ;Lekasa Levene (del) ;7:00 ;29 ;;926 ;5 ;850 ;10 ;45 ;19 ;19 ;3 ;1 ;;12 ;;;120 ;289 ;18 ;13 ;3 ;;116 ;169 ;- ;121 ;126 ;- ;600 - ;50 ;6,200 2,116 ;70 - ;63 ;;
50 ;Long ;16:00 ;65 ;21 ;3.240 ;10 ;3.143 ;75 ;12 ;;36 ;15 ;;3 ;4 ;3 ;2 ;400 ;998 ;80 ;50 ;12 ;3 ;400 ;850 ;- ;350 ;400 ;;1.750 ;150 ;8,500 ;- ;200 ;;
;;13:19 ;95 ;102 ;5,554 ;40 ;2.550 ;450 ;510 ;55 ;106 ;10 ;;;;;;335 ;1.100 ;25 ;115 ;10 ;8 ;50 ;590 ;- ;317 ;50 ;10 ;1,775 5 ;36 ;;;75 ;;
51 ;Naum ;25:00 ;164 ;83 ;6.480 ;159 ;4.619 ;72 ;1,630 ;18 ;76 ;28 ;1 ;30 ;50 ;5 ;- ;578 ;1,585 ;150 ;55 ;29 ;20 ;524 ;1.100 ;- ;578 ;;;2,874 ;;10,927 ;500 ;;;
52 ;Ryda med Halfas ;;;;;;;;;;;;;;;;;;;;;;;;;;;594 ;;;200 ;11,910 ;;600 ;;
53 ;Sandbück eller Kyrk&s ;4:00 ;16 ;21 ;2,314 ;2 ;748 ;75 ;600 ;12 ;11 ;7 ;;;;;- ;85 ;240 ;;26 ;- ;1 ;132 ;178 ;- ;85 ;;2 ;420 12 ;;2.002 ;12 ;;;
54 ;Skarstad ;18:38 ;189 ;23 ;4.166 ;30 ;3.690 ;35 ;8 ;8 ;128 ;8 ;;;;1 ;- ;357 ;1.830 ;215 ;35 ;5 ;2 ;228 ;687 ;- ;331 ;325 ;- ;1,500 ;525 ;12,165 ;435 ;255 ;;
55 ;Vara ;10:75 ;73 ;6 ;2.777 ;15 ;2.735 ;25 ;;2 ;50 ;16 ;;;;2 ;- ;367 168 ;1,131 745 ;50 8 ;35 ;- ;3 ;50 ;732 ;- ;367 ;350 ;;1,400 ;150 ;8.000 ;200 ;175 ;;
56 ;Asaka ;14:53 ;145 ;48 ;4.860 ;30 ;1.480 ;585 ;155 ;11 ;94 ;;;1 ;;;- ;;;;80 ;6 ;14 ;24 ;180 ;- ;255 ;10 ;8 ;675 25 ;60 ;6,500 ;116 ;35 ;;
57 ;Onum ;11:25 ;95 ;82 ;4,397 ;25 ;3.700 ;200 ;472 ;26 ;40 ;27 ;1 ;;;;;325 ;1,500 ;25 ;50 ;10 ;5 ;135 ;1,325 ;- ;325 ;150 ;- ;2,000 - ;120 ;11,750 ;60 ;150 ;;
;Summa för Barne härad ;196-60 ;1,458 ;768 ;65,726 ;455 ;37,412 ;2,698 ;5,366 ;230 ;979 ;169 ;10 ;96 ;260 ;69 ;7 ;4,623 ;14,912 ;679 ;894 ;153 ;88 ;2,930 ;8,567 ;- ;4,576 ;2,758 ;76 ;20,445 197 ;2,116 ;115,887 ;1,758 ;1,851 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58 ;Broby ;7:50 ;23 ;3 ;8) 1,389 ;5 ;1.158 ;22 ;5 ;1 ;4 ;8 ;- ;- ;2 ;3 ;1 ;144 ;398 ;16 ;10 ;5 ;1 ;65 ;375 ;- ;144 ;76 ;;674 - ;36 ;3.545 ;- ;25 ;;
59 ;Hangelösa ;16:50 ;82 ;78 ;5.091 ;16 ;2,990 ;260 ;1.600 ;14 ;30 ;12 ;1 ;8 ;10 ;6 ;;400 ;1.476 ;35 ;75 ;75 ;4 ;200 ;225 ;- ;400 ;300 ;25 ;1,700 20 ;200 ;10.000 ;55 ;110 ;;
60 ;Hasslösa ;12:25 ;75 ;65 ;4.397 ;24 ;2,650 ;;1,723 ;30 ;58 ;17 ;1 ;12 ;18 ;2 ;;304 ;849 ;48 ;40 ;12 ;3 ;467 ;607 ;- ;320 ;250 ;;1.096 ;239 ;7.223 ;;117 ;;
61 ;Hofby ;12'63 ;48 ;37 ;;24 ;2.652 ;33 ;91 ;- ;20 ;20 ;1 ;6 ;12 ;2 ;2 ;275 ;780 ;120 ;50 ;20 ;;307 ;825 ;- ;275 ;300 ;10 ;- 720 - ;200 ;7.000 ;- - ;200 ;;
62 ;Husaby ;23:75 ;46 ;29 ;;22 ;2,080 ;75 ;325 ;4 ;25 ;16 ;1 ;;2 ;4 ;;270 ;550 ;30 ;180 ;76 ;4 ;200 ;500 ;- ;270 ;240 ;50 ;1,400 ;700 ;4,500 ;200 ;180 ;;





