Table: Table_1

Râdene ;;15 ;;1,300 ;10 ;;;- ;4,260 ;;770 ;13,750 ;;150 ;;;- ;6,500 ;;;5 ;;;30 ;;;;;;;;;;
Segerstad ;;;;1,900 ;7 ;;;- ;2.816 ;;1,398 ;8,812 ;660 ;120 ;- ;;;13,300 ;100 ;31 ;8 ;;2,500 ;76 ;;;;;;;;;;
Stenstorp ;;;;1,984 ;19 ;;100 ;- ;4,725 ;;945 ;15,498 ;155 ;276 ;;186 ;;11,907 ;;38 ;;;;40 ;;;;;;;;;;
Sjögeretad ;;60 ;;3,780 ;15 ;;580 ;- ;7,695 ;- ;1,323 ;19,000 ;;1,225 ;;300 ;;18,900 ;;48 ;;;;41 ;;;;;;;;;;
Satuna ;;;;1.800 ;- ;;;- ;2,400 ;- ;600 ;4,000 ;400 ;200 ;;;- ;9,000 ;;;;;- ;24 ;;;;;;;;;;
forbjörntorp ;;31 ;;189 ;;;48 ;;2,835 ;- ;2,772 ;13.608 ;- ;190 ;;248 ;- ;1,512 ;3,780 ;30 ;- ;600 ;;;;;;;;;;;;
Tunhem ;;;;1,400 ;10 ;;100 ;40 ;4.600 ;- ;2,100 ;13,000 ;- ;500 ;;;- ;15,700 ;;25 ;;;100 ;50 ;;;;;;;;;;
Ugglum ;;;;1,600 ;;;;;2,500 ;;1,200 ;5,000 ;;100 ;;;;8,200 ;;;5 ;150 ;2,600 ;50 ;;;;;;;;;;
Valtorp ;;72 ;;950 ;6 ;;125 ;==== ;2,000 ;- ;800 ;10,000 ;40 ;200 ;;200 ;- ;3,000 ;600 ;20 ;;;50 ;30 ;8 ;;;100 ;;;;;;
Summa Gudhems härad ;- ;535 ;- ;61,161 ;171 ;;3,346 ;88 ;107,112 ;584 ;35,848 ;342,764 ;13,154 ;7,200 ;- ;1.684 ;- ;445,055 ;742,580 ;397 ;47 ;17.850 ;76,550 ;1,087 ;361 ;1,727 ;;4,295 ;2,042 ;3,820 ;4 ;1,328 ;;
Bolum ;- ;80 ;;2,500 ;- ;;240 ;120 ;12,800 ;;4,500 ;29,610 ;7.200 ;1.260 ;- ;480 ;- ;20,000 ;- ;- ;- ;- ;- ;115 ;16 ;140 ;;350 ;250 ;428 ;;160 ;;
Eggby ;;- ;;3,600 ;;;384 ;;11,700 ;;1,950 ;24,800 ;2.000 ;1.200 ;;;;25,200 ;- ;- ;- ;- ;- ;63 ;5 ;100 ;;320 ;;250 ;;;;
Häggum ;;- ;- ;2,800 ;5 ;;175 ;80 ;4,175 ;;690 ;33,600 ;1,000 ;275 ;;;;18.200 ;;;;;;53 ;15 ;88 ;;240 ;280 ;245 ;;;;
;;;;;- ;;350 ;;;;;;;360 ;;;;;;;;;;;;;;;;;;;;
Istrum Lundby ;;100 ;- ;2,500 900 ;- ;;200 ;- - ;6,300 10,000 ;- ;300 3,360 ;13,500 10,000 ;451 ;900 ;- ;500 ;;17,500 2,000 ;;;6 ;1,000 ;4,800 ;49 ;16 ;104 100 ;;225 275 ;60 110 ;150 ;;;;
Skarke ;;150 ;- ;4,000 ;- ;;240 ;40 ;8,750 ;- ;2,250 ;9,200 ;450 ;3.000 ;;450 ;- ;20,250 ;- ;- ;;;;70 58 ;;;;;;300 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;11 ;104 ;;225 ;106 ;280 ;;;;
Skärf ;;- ;;1,850 ;- ;;270 ;- ;5,696 ;- ;1,020 ;12,000 ;- ;480 ;- ;;;14,800 ;6.000 ;- ;;;;48 ;11 ;82 ;;252 ;80 ;235 ;;;;
Stenum ;- ;- ;- ;2.812 ;- ;;360 ;- ;4,704 ;- ;504 ;11.880 ;- ;360 ;- ;;- ;28.120 ;9.300 ;- ;;;;51 ;8 ;120 ;2 ;274 ;155 ;290 ;;;;
Ving ;;;;2.590 ;- ;;200 ;- ;5,800 ;- ;;14.700 ;;120 ;;- ;-- ;20,720 ;1,800 ;- ;;1.000 ;;46 ;;52 ;;200 ;56 ;148 ;;;;
Oglunda ;;;- ;1,500 ;;;150 ;- ;3,000 ;- ;520 ;8.800 ;2.500 ;375 ;;- ;- ;9,000 ;;- ;- ;- ;- ;32 ;2 ;40 ;2 ;120 ;50 ;150 ;- ;40 ;;
Summa Valle härad ;- ;330 ;- ;25,052 ;5 ;;2,569 ;240 ;72,925 ;- ;15,850 ;168,090 ;13,601 ;8,330 ;- ;1,430 ;- ;175,790 ;X 17,100 ;- ;10 ;2,000 ;4,800 ;585 ;92 ;930 ;47 ;2,481 ;1,237 ;2,476 ;- ;839 ;;
Brevik ;- ;50 ;- ;7,750 ;50 ;;;- ;8,500 ;300 ;- ;40,400 ;- ;216 ;- ;- ;- ;60,000 ;- ;- ;33 ;500 ;4,000 ;28 ;;212 ;;425 ;220 ;525 ;5 ;210 ;;
Forsby ;;;;;- ;;700 ;- ;10.200 ;- ;;15,600 ;;320 ;;;;2,550 ;- ;- ;;- ;;;;;;;20 ;160 ;;;;
Fogelas, norra ;;94 ;;11,300 ;;;1,445 ;;17,952 ;;756 ;36,000 ;;360 ;;470 ;- ;67,800 ;- ;;- ;;;;;;15 ;;180 ;900 ;;310 ;;
Fogelas, södra ;;80 ;;8,000 ;;;2,660 ;240 ;36,000 ;180 ;240 ;40,000 ;;252 ;;;;64,000 ;- ;- ;- ;- ;;50 ;10 ;;10 ;;200 ;800 ;;200 ;;
Grefbäck ;;;;11,400 ;;;;- ;12,600 ;;- ;25,200 ;- ;48 ;;;;68,400 ;;;;- ;;;;;;;150 ;400 ;;120 ;;
Hagelberg ;;;;2,000 ;;;250 ;;5,100 ;;;17,080 ;;;;;;2,000 ;;;;;;;;;;300 ;120 ;250 ;- ;100 ;;
Hio landeförsamling ;;35 ;;5,040 ;32 ;;576 ;148 ;16,443 ;252 ;15 ;18.900 ;400 ;240 ;;210 ;;50,400 ;;;60 ;;;46 ;;;;400 ;80 ;900 ;- ;;;
Kyrkefalla ;;;;5.733 ;150 ;;1.764 ;- ;30.240 ;;;91,500 ;;1.600 ;;;;40,131 ;;X 600 ;;;;110 ;;540 ;10 ;1.000 ;340 ;1,400 ;;;;
Kyrketorp Mofalla ;;- ;;5,000 850 ;15 ;;600 250 ;60 ;5,500 2.400 ;200 160 ;150 ;14,400 3,000 ;90 ;252 ;;;;30,000 5,000 ;;;;;;110 ;;160 ;;360 ;;410 ;;;;
Ryd. ;;;;3,100 ;;;;;2,068 ;;2,880 ;4,200 ;;400 ;;;;;;;7.50 ;;;18 ;;;;110 ;;140 ;;;;
;;;;;;;;;;;;;;;;;;3,100 ;;;;;;;;;;;10 ;90 ;;;;
Sköfde landeförsamling ;;;;4.500 ;;;1,050 ;350 ;10.080 ;600 ;210 ;36,000 ;;500 ;;580 ;;32,000 ;;;;;;;;;;450 ;;125 ;;150 ;;
Suntetorp och Sventorp ;;30 ;;3,000 ;25 ;;900 ;- ;14,000 ;- ;180 ;56,000 ;;525 ;;240 ;;18,000 ;;125 ;;;;;;160 ;18 ;575 ;150 ;560 ;;;;
Varola. ;- ;40 ;;1,650 ;20 ;;1.000 ;;21,000 ;- ;12 ;42,000 ;;480 ;;30 ;- ;16,000 ;;50 ;15 ;;3,000 ;;;;;360 ;154 ;348 ;;140 ;;
Versãs ;;;;4,000 ;;;1,500 ;180 ;14,000 ;;;54,000 ;;700 ;;;;40,000 ;;;;;;;;;;;244 ;400 ;;100 ;;
Vâmb ;-- ;;;1,600 ;;;;;3,600 ;- ;the ;7.200 ;;400 ;;;;9,600 ;;;;;;;;;;;;100 ;;50 ;;
Öm, Bjärby och Amundtorp ;;30 ;- ;700 ;- ;;600 ;- ;6,300 ;- ;- ;16,770 ;2.800 ;300 ;;150 ;;5,600 ;;;;;;;;;;;;150 ;;40 ;200 ;
Summa K&kinds härad ;- ;431 ;- ;76,048 ;292 ;13,367 ;;978 ;215.983 ;1,692 ;4,443 ;518,250 ;3,290 ;6.784 ;- ;1,680 ;- ;514,581 ;;775 ;115,50 ;500 ;7.000 ;899 ;127 ;3,137 ;129 ;6,565 ;2,168 ;7,658 ;5 ;2.060 ;;
Acklinga ;;15 ;;2,500 ;6 ;;320 ;- ;6,900 ;- ;280 ;28.900 ;- ;90 ;;;;17,500 ;500 ;;;- ;5,720 ;29 ;;;;;170 ;140 ;;50 ;;
Angarp ;;15 ;;1,514 ;25 ;;120 ;;4.100 ;- ;700 ;12,650 ;332 ;75 ;;;;9.084 ;;;;;;;;173 ;;;175 ;298 ;;;;
Baltak ;;10 ;;1.800 ;5 ;;60 ;- ;3,738 ;;60 ;11,725 ;;100 ;;;;14.400 ;3.000 ;;;- ;;;;85 ;;150 ;75 ;180 ;;;;
Bottnaryd ;;;;1,250 ;;;- ;- ;1,160 ;180 ;120 ;2,619 ;270 ;;- ;;;10,000 ;;;;- ;;;;24 ;;50 ;12 ;;;;;
Biurbäck ;;;;3,456 ;- ;;;;4.908 ;300 ;360 ;12,460 ;800 ;;;;;27,648 ;;;;;;;;100 ;;;;45 ;;;;
Brandstorp ;;;;6.500 ;;;140 ;157 ;5.100 ;270 ;800 ;13.000 ;765 ;130 ;;;;36,000 ;;;;;;;;;;;60 ;200 ;;;;
Daretorp ;;;;3,700 ;25 ;;150 ;;10,200 ;200 ;200 ;22,000 ;280 ;50 ;;;;22,200 ;500 ;75 ;;;;;;210 ;;;200 ;360 ;;;;
Dimbo ;;;;3,000 ;20 ;;240 ;50 ;7.600 ;200 ;4,000 ;36,600 ;350 ;800 ;;150 ;;21,000 ;4.000 ;;;150 ;1.600 ;;;220 ;;;180 ;550 ;;;;
Falköpings landsförsamling ;;;;600 ;;;;;4.000 ;;7,000 ;20.000 ;;150 ;;;;;;100 ;;450 ;21.000 ;;15 ;180 ;;;150 ;;;;;
Fridene ;;10 ;;475 ;- ;;600 ;45 ;4.125 ;- ;240 ;17,500 ;- ;;;;;5,000 ;4,000 ;;;;;;16 ;;;;;;;;;
;;;;;- ;;;;;;;;;45 ;;;;1,900 ;;;;;;;;;;;;;;;;
Fröjered ;;;;2,400 ;;;800 ;250 ;10,000 ;150 ;275 ;60.500 ;120 ;100 ;X 60 ;300 ;;16.800 ;;;;;;;;600 ;10 ;;200 ;500 ;;;;
Gerum ;;;;1,965 ;12 ;;;- ;2,946 ;;630 ;7,360 ;;189 ;;;;11.790 ;;;;;;;;;;;;;;;;
Gustaf Adolf ;;;;9.000 ;;;60 ;;18,200 ;520 ;120 ;42,500 ;1,280 ;80 ;;;;;;;4,80 ;;;;;;;;;195 ;;;;
Habo ;;;;;;;;;;;;;;100 ;;;;45,000 ;;;;;;;;315 ;;;370 ;800 ;;;;
;;24 ;;15,500 ;;;112 ;80 ;2.220 ;300 ;180 ;86,000 ;2,975 ;;;120 ;;124,000 ;50 ;;100 ;10.000 ;51,600 ;;;;20 ;;;;;;;
Hvarf ;;;;3.720 ;;;120 ;;3,100 ;;580 ;19,100 ;;165 ;;;;22,800 ;;;;;;;;465 82 ;;;306 38 ;1,290 ;;;;
Hvaletad ;;31 ;;6,000 ;20 ;;;- ;12,025 ;- ;819 ;25,200 ;- ;248 ;;;;48.000 ;;100 ;;;;;;;;;;;;;;
Hângadala ;;;;5,393 ;9 ;;36 ;- ;8,052 ;- ;707 ;22,533 ;- ;246 ;;;;37,751 ;4,725 ;;9 ;1,700 ;;;12 10 ;180 128 ;;160 ;120 96 ;250 160 ;;;;





