Table: Table_1

Lundby ;34,50 ;;;;2.500 ;;;450 ;488 ;9 ;;;;;;;;;;;1GO ;100 ;;;;;;;;1.700 ;;838 ;;
Skarke ;24,69 ;50 ;;81 ;4,275 ;29 ;1,500 ;1,110 ;1,716 ;66 ;;;;;;3 ;;;450 ;62 ;150 ;15 ;5 ;50 ;170 ;;295 ;40 ;;1,770 ;- ;500 ;2,300 ;
Skärf ;15,81 ;2G ;;66 ;4,360 ;60 ;600 ;300 ;3,400 ;;;;;;;;;;228 ;15 ;50 ;;;100 ;200 ;;150 ;45 ;;712 ;;170 ;2.000 ;
Stenum ;15,88 ;35 ;;53 ;5,130 ;60 ;560 ;1,120 ;3,890 ;- ;;;;;;;;;220 ;10 ;;;;120 ;1.000 ;;195 ;45 ;- ;588 ;- ;;2,080 ;
Ying ;10,13 ;19 ;;30 ;2.055 ;55 ;640 ;360 ;1,000 ;;16 ;;;;;;;;265 ;;;;;100 ;260 ;- ;150 ;;;725 ;;108 ;2.470 ;
Oglunda ;13.56 ;36 ;;14 ;1,730 ;;450 ;650 ;200 ;9 ;19 ;3 ;;;;;;;240 ;20 ;60 ;;;;20 ;-- ;125 ;30 ;- ;GOO ;- ;130 ;1,160 ;
Summa Valle härad ;193,23 ;418 ;;430 ;31,275 ;270 ;12,330 ;5,684 ;15,128 ;III ;234 ;41 ;6 ;203 ;174 ;X 20 ;2 ;1,980 ;3,823 ;324 ;954 ;107 ;10 ;071 ;3,047 ;- ;1,693 ;385 ;10 ;10,385 ;- ;2,910 ;28,310 ;
Bredvik* ....... ;17,88 ;;;88 ;6,300 ;;;;1,000 ;46 ;135 ;;;;;;;410 ;;14 ;18o ;;8 ;;170 ;- ;400 ;;;1,960 ;170 ;;;
Forsby ;;;;19 ;2,250 ;is ;;250 ;485 ;;;;;;;;;320 ;300 ;;60 ;;;200 ;390 ;- ;290 ;140 ;15 ;1,700 ;;;;
Fogelas, norra* ;38,38 ;65 ;;9I ;10,990 ;136 ;3,068 ;1,522 ;6,264 ;- ;40 ;;;;;;;570 ;985 ;14 ;28o ;40 ;;38 ;6:6 ;- ;5"1 ;126 ;;2,400 ;75 ;126 ;6,031 ;
Fogelâs, södra* ;38,31 ;144 ;;90 ;6,343 ;56 ;2,170 ;780 ;3,400 ;2 ;95 ;;;;;;;250 ;700 ;18 ;240 ;;;;155 ;;230 ;8o ;7 ;2,415 ;;120 ;6,050 ;
Gredbäck ;23,31 ;;;;;32 ;2,100 ;1,050 ;;;;;;;;;;;;;;;;;;-- ;372 ;;;;;;4,700 ;
Hagelberg ;;27 ;;32 ;;;860 ;240 ;;ii ;;;;;;;;;305 ;301 ;65 ;;;100 ;160 ;- ;;150 ;- ;;;;2,140 ;
Hjo landsförsamling* ;20,50 ;93 ;;51 ;6,666 ;16 ;2,200 ;2,350 ;2,100 ;;;;;;;;;;830 ;5 ;150 ;to ;;;400 ;- ;300 ;31 ;37 ;1,675 ;63 ;;3,465 ;
Kvrkefalla* ;45 ;225 ;;165 ;23,304 ;45 ;5,782 ;6,920 ;10,557 ;TO ;149 ;;;;;;;;1,928 ;45 ;130 ;;;;1,528 ;- ;964 ;252 ;;5,040 1,100 ;;;18,220 3,600 ;
Kyrketorp Mofalla* ;14,63 10,13 ;29 5Z ;;;3,669 2,800 ;;1,650 ;350 ;1,657 ;6 1- ;44 ;;;;;;;;450 ;49 12 ;200 30 ;;;;500 ;- ;230 'so ;120 12 ;;6ho ;;;1,000 ;
Ryd ;8,88 ;;;32 ;2,300 ;;;100 ;1.612 ;;;;;;;;;;200 ;;;;;;146 ;;;;;480 ;;480 ;760 ;
Sköfde landsförsamling ;24,19 ;108 ;;117 ;2,900 ;12 ;1,882 ;420 ;550 ;50 ;80 ;;;;;;;;GGO ;- ;145 ;5 ;;;150 ;;279 ;180 ;;1,450 ;;;5,200 ;
Suntetorp och Sventorp* ;27,35 ;II2 ;;;7,000 ;35 ;;388 ;;11 ;20 ;;;;;;;;;20 ;100 55 ;4° ;;;1,488 580 ;;;147 ;45 ;3,000 1,990 ;;;11,000 5.800 ;
Varola ;16.25 ;95 ;;;6.237 ;;;;;;;;;;;;;;1.000 ;40 ;150 ;;10 ;300 ;900 ;- ;600 ;200 ;;2,900 ;;;9,000 ;
Versãs ;25,37 ;95 ;;31 ;9.530 ;20 ;3,700 ;1,830 ;3,900 ;;;;;;;;;;;20 ;40 ;;;;;- ;;;- ;GOO ;;;1,800 ;
Vamb ;13 ;36 ;;;1.500 ;20 ;580 ;150 ;750 ;20 ;;;;;;;;;240 ;10 ;16 ;;;100 ;130 148 ;;180 ;100 ;- ;810 ;;;2.100 ;
Om, Bjerby och Amundtorp ;6.13 ;28 ;;;1,903 ;10 ;895 ;114 ;500 ;17 ;;;;;;;;;;;;;;;;;;;;;;;;
Summa K&kinds bärad ;344,31 ;1,339 ;1,073 ;;104,170 ;473 ;36,069 ;17,206 ;45,873 ;186 ;870 ;163 ;34 ;120 ;;;7 ;6.177 ;11,248 ;270 ;2,171 ;200 ;145 ;1,556 ;7,603 ;- ;5,625 ;1,709 ;104 ;30,565 ;566 ;787 ;88,456 ;
Acklinga ;15 ;32 ;;;3,596 ;10 ;989 ;437 ;1,030 ;3 ;8 ;;;;;;;;;4 ;;;;;125 ;;128 180 ;43 ;7 ;1.198 843 ;56 ;G2 143 ;3.800 2,516 ;
Angarp ;11,56 ;60 ;;;;;;;;;;;;;;;;;;;;;;;218 90 ;;198 ;10 ;;620 ;;12 ;2,340 ;
Baltack ;12,25 ;31 ;;;3,610 ;6 ;698 ;332 ;1,290 ;;;;;;;;;;;;;;;;;;;;;;;;873 ;
Bottnar ;16.13 ;46 ;;;;6 ;186 750 ;1,000 ;1,500 ;;;;;;;;;;;;;;;;;;100 ;;;;;32 ;4,003 ;
Biurbäck ........ Brandstorp ....... ;16,84 ;102 ;;36 ;7,810 ;10 ;1,650 ;1,400 ;1,440 ;21 ;;;;;;;;;490 ;;;;;;;;370 ;;;2.180 ;500 GO ;65 ;3,000 4,600 ;
Daretorp ;17,13 ;111 ;;67 ;15,017 ;15 ;1,200 ;1,300 ;3,200 ;;;;;;;;;;440 6GO ;;;;;;400 ;;267 300 ;40 ;;1.890 1,600 ;50 ;42 500 ;6,100 ;
Dimbo ;26,63 ;50 ;;32 ;2,440 ;18 ;1,886 ;196 ;;;;;;;;;;;460 ;;;;;;;;;;;630 ;;756 ;3,456 ;
Falköpings landsförsamling* ;14,50 ;14 ;;15 ;1,900 ;24 ;1,47° ;50 ;- ;;;;;;;;;;;;;;;;;;120 ;;;;;;;
Fridene* ;12,75 ;;;28 ;4,862 ;30 ;;2.120 ;100 ;;;;;;;;;;435 ;;;;;;;;;130 ;;;27 ;35 ;;
Frôjered .... ;17,69 ;;;;11.104 ;;;;6,254 ;;;;;;;;;;231 ;;;;;;;;;;;472 ;;100 ;2,835 ;
Gerum ..... ;9.75 ;26 ;;;1,284 ;2 ;500 ;382 ;;;;;;;;;;;48o ;;;;;;;;;;;1,160 ;136 ;;2,600 ;
Fiskebäck ;23,04 ;140 ;;IOI ;11,445 ;25 ;1,520 ;1,900 ;8,000 ;;;;;;;;;;;;;;;;;;;;;3,900 ;55 ;;;
Haho* ;45,35 ;352 ;;3ii ;26,043 ;6 ;3,750 ;9,165 ;13,000 ;;;;;;;;;;1,537 ;;133 ;;;;;;" ;;;;;53, ;;
Hvarf ........... ...... ........ ;;;;;1,917 ;;718 ;66 ;83 ;;;;;;;;;;8oo ;;;;;;;;;;;2,205 ;;126 ;;
Hvalstad* ............... ....... Hângsdala ;26.75 16 ;;;lc ;;;2,500 1,285 ;219 ;1,000 ;i ;;;;;;;;;307 ;7 ;;;;;;;;;;1.342 ;;101 ;3.219 ;





