Table: Table_1

Bellefors ;20.25 ;54 ;51 ;5,875 ;6 ;1,440 ;;4.420 ;12 ;;;;;14 ;;- ;180 ;;;;;;170 ;434 ;;180 ;260 ;;640 ;- ;;2,550 ;;140 ;
Binneberg ;5,50 ;;;750 ;;825 ;300 ;125 ;;;;;;;;;;;;;;;;;;;;;240 ;;30 ;450 ;;;
Björkäng ;18 ;135 ;34 ;5,047 ;8 ;2,700 ;10 ;1.900 ;;;;;;;;;;;;;;;;;;;640 ;;1,300 ;;;4,000 ;;840 ;
Björsäter med Gullsäters rotar ;28.50 ;94 ;105 ;5,530 ;28 ;2,554 ;60 ;2,888 ;;;X ;2 ;;;;;;;;;;;;;;;400 ;20 ;1,405 ;;200 ;6,500 ;;160 ;
Back ;14,50 ;32 ;42 ;5,000 ;;2,558 ;100 ;1,500 ;;;;;;;;2 ;;;;;;;;;;368 ;700 ;;1,140 ;;40 ;3,990 ;;120 ;
Böja ;8,75 ;45 ;38 ;1,500 ;12 ;720 ;110 ;207 ;;;;;;;;;100 ;;;;;;;;;;126 ;;504 ;;31 ;1,260 ;;31 ;
Karlsborg ;;12 ;;45 ;5 ;36 ;4 ;1,025 ;;;;;;;;;;;;;;;;;;;;;30 ;2 ;;85 ;;;
Ek ;11 ;41 ;43 ;4.608 ;28 ;1,600 ;;2.700 ;;;;;;;;;;;;;;;;;;;;50 ;1,100 ;;90 ;2,600 ;;96 ;
Ekby Ekeskog ;21.03 15,13 ;80 ;;3,471 4.295 ;17 ;1,652 2,265 ;498 ;1,034 ;;;;;;;;;;;;;;;;;;;;;1.210 ;;16 ;4,326 ;;475 ;
;;;;;6 ;;;1,994 ;;;;;;;;;;;;;;;;;;;;;1,500 ;;;4,800 ;;75 ;
Elgaras ;19,81 ;158 ;148 ;16,000 ;15 ;2,020 ;2,400 ;8.480 ;;;;;;;;;;;;;;;;;;;;;2.400 ;;;9,600 ;;50 ;
Flistad ;18,75 ;;;2,180 ;5 ;1,400 ;600 ;175 ;;;;;;;;;;;;;;;;;;;;;1,600 ;;20 ;4,400 ;;160 ;
Finnerödja ;24.96 ;215 ;142 ;;;;;;;;;;;;;;;;;;;;;;;;;;1,700 ;36 ;;4,400 ;;180 ;
Fägre ;36,81 ;137 ;100 ;11.340 ;80 ;6.800 ;200 ;3.400 ;;;;;;;;;;;;;;;;;;;;;3.000 ;;150 ;12,000 ;;1,000 ;
Fredsberg ;42,69 ;210 ;122 ;11,846 ;12 ;5.856 ;180 ;3.600 ;;;;;;;;;;;;;;;;;;;;;2.786 ;;72 ;9,060 ;;250 ;
Frösve ;13,69 ;55 ;57 ;3,637 ;10 ;1,975 ;139 ;1.513 ;;;;;;;;;;;;;;;;;;;;;1.415 ;;162 ;4,815 ;;112 ;
Götlunda ;27,75 ;135 ;;5,400 ;25 ;4,000 ;100 ;1.275 ;;;;;;;;;;;;;;;;;;;;;2.400 ;;;13.500 ;;1,200 ;
Halna ;7,50 ;87 ;121 ;4,000 ;6 ;1,349 ;148 ;2.497 ;;;;;;;;X ;;;;;;;;;;;;;;13 ;6 ;3,520 ;;160 ;
Hjälstad ;17,88 ;38 ;38 ;2.725 ;25 ;1,415 ;360 ;;;;;;;;;;;;;;;;;;;;;;1,134 ;;;4,310 ;;157 ;
Hasle, Berga och Färed ;66,75 ;133 ;155 ;21,196 ;40 ;6,040 ;1,520 ;12,500 ;;;;;;;;;;;;;;;;;;;1.000 ;;2,600 ;;;9,000 ;;300 ;
Hofva med Fagerlid ;56,13 ;307 ;210 ;;;;;;;;;;;;;;;1.440 ;;;;;;;;;;;3.912 ;;113 ;13,482 ;;239 ;
Horn ;18,88 ;93 ;30 ;2,450 ;8 ;1.425 ;100 ;;;;;;;;;;;;;;;;;;;;;;950 ;;120 ;2.800 ;;270 ;
Leksberg ;17,75 ;36 ;;4.251 ;18 ;1,715 ;;2.452 ;;;;;;;;;;;;;;;;;;;;;1.080 ;;10 ;3,310 ;;;
Lyrestad ;43.75 ;234 ;192 ;21,708 ;56 ;2.220 ;490 ;8,400 ;;;;;;;;;;;;;;;;;;;;;;;;7.200 ;;212 ;
Locketorp ;16.50 ;82 ;50 ;8,560 ;50 ;1,700 ;80 ;3.550 ;;;;;;;;;;;;;;;;;;;;X ;;;;4.000 ;;300 ;
Lerdala ;16.44 ;38 ;75 ;3.783 ;50 ;1.278 ;473 ;;;;;;;;;;;;;;;;;;;;;;1.160 ;;200 ;2,500 ;110 ;100 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X ;;;;;
Lastad ;11.44 ;38 ;27 ;1,973 ;3 ;500 ;836 ;;;;;;;;;;;;;;;;;;;;;;441 ;;32 ;1.568 ;;;
;11,25 ;16 ;14 ;1,804 ;34 ;1,100 ;120 ;550 ;;;;;;;;;;;;;;;;;;;504 ;;;;;2.835 ;;126 ;
Mölltorp ;21,13 ;118 ;63 ;;;;;;;;;;;;;;;;;170 ;;;;;;;40 ;X 80 ;1,850 ;X 50 ;;5.600 ;X 100 ;30 ;
Odensaker ;23,63 ;77 ;;2.056 ;15 ;1.450 ;190 ;401 ;;;;;;;;;;;;;;;;;;300 ;189 ;;1,008 ;;63 ;2.520 ;;;
Ransberg ;31,44 ;290 ;135 ;7,000 ;35 ;2,580 ;425 ;590 ;;;;;;;;;;;;160 ;;;;;;460 ;50 ;;2,394 ;126 ;;6,300 ;;63 ;





