Table: Table_1

Medelplana ;- ;- ;;- ;3,318 ;- ;- ;;;- - 882 ;- ;3,800 ;- ;6,200 ;1,500 ;8,375 ;400 ;- ;- ;- ;9,954 ;41,300 ;- ;- ;- ;800 ;12,480 ;- ;85 ;10 ;53 ;6 ;279 ;136 ;847 ;- ;161 ;X 500 ;
Sil ;- ;8 ;;- ;640 ;12 ;- ;;X - ;- 540 ;- ;1.520 ;- ;324 ;7,452 ;- ;120 ;- ;X 24 ;- ;2.888 ;4,200 ;X - ;- ;10 ;- ;- ;- ;36 ;6 ;18 ;2 ;90 ;36 ;144 ;- ;36 ;- ;
Wedum ;- ;40 ;;- ;787 ;23 ;- ;;- ;- 1,269 ;- ;16,000 ;X - ;;33,165 ;- ;X 540 ;- ;280 ;- ;7,870 ;- ;- ;;X 46 ;- ;- ;- ;84 ;16 ;88 ;6 ;303 ;130 ;250 ;- ;150 ;- ;
Westerplana ;- ;X 88 ;;- ;540 ;X 30 ;;;- ;- 130 ;115 ;1,400 ;- ;X 3,440 ;3,650 ;3.570 ;X 550 ;- ;X 475 ;- ;2,000 ;- ;- ;110 ;- ;- ;- ;- ;38 ;4 ;12 ;1 ;68 ;45 ;140 ;- ;50 ;- ;
Wättlösa ;- ;63 ;;- ;630 ;3 ;- ;;- ;- 882 ;- ;3,402 ;- ;;7,560 ;;252 ;- ;189 ;- ;2,520 ;- ;- ;12 ;- ;- ;- ;- ;50 ;14 ;80 ;4 ;120 ;60 ;X 150 ;- ;40 ;;
Österplana ;;50 ;;;1.134 ;- ;- ;;- - ;- - 157 ;- ;3.402 ;- ;X 2.205 ;6.800 ;X 3.150 ;X 472 ;- ;- ;- ;4.536 ;25.200 ;- ;- ;- ;- ;- ;- ;70 ;18 ;50 ;3 ;300 ;100 ;350 ;- ;100 ;25 ;
Summa, Kinne härad b) ;X 48 ;474 ;;;23.423 ;277 ;- ;;- ;8.716 ;450 ;44.893 ;640 ;17.454 ;131,673 ;18,615 ;4.219 ;192 ;1,526 ;- ;107,985 ;91,401 ;869 ;1.221 ;101 ;17,709 ;78.345 ;- ;877 ;175 ;964 ;65 ;2,974 ;1.475 ;4,346 ;5 ;1,250, ;525 ;





