Table: Table_1

Vedum ;;28 ;- ;720 ;12 ;1,800 ;;13,860 ;- ;;26,336 ;;416 ;;224 ;- ;7,200 ;1,000 ;;4 ;100 ;30 ;80 ;;430 ;100 ;400 ;- ;50 ;;
Vesterplana ;- ;80 ;- ;600 ;6 ;408 ;X 80 ;3,980 ;- ;3,470 ;1,550 ;3,430 ;810 ;- ;390 ;- ;4,880 ;465 ;48 ;- ;34 ;8 ;12 ;;74 ;61 ;76 ;- ;39 ;;
Vättlosa ;;50 ;;1,000 ;8 ;1,200 ;- ;3,500 ;- ;360 ;7,000 ;60 ;250 ;;350 ;- ;10,000 ;;30 ;- ;100 ;30 ;120 ;;400 ;100 ;150 ;- ;50 ;- ;
Österplana ;- ;20 ;- ;1,600 ;10 ;240 ;- ;2,500 ;- ;1,200 ;1,000 ;7,500 ;320 ;- ;40 ;- ;11,200 ;- ;30 ;4 ;75 ;8 ;30 ;8 ;200 ;80 ;170 ;- ;20 ;- ;
Summa Kinne härad ;X 8 ;665 ;- ;24,005 ;193 ;16,973 ;465 ;96,480 ;1,250 ;19,179 ;220,474 ;29,729 ;7,172 ;X 70 ;3,090 ;- ;186,407 ;63,525 ;593 ;32 ;1,042 ;244 ;1,104 ;71 ;4,152 ;1,508 ;3,980 ;2 ;1,051 ;- ;
Edsvära ;- ;50 ;- ;7,623 ;;2,672 ;- ;17,199 ;630 ;2,047 ;47,376 ;1,134 ;473 ;- ;252 ;- ;53,361 ;- ;- ;- ;156 ;45 ;70 ;8 ;450 ;100 ;200 ;- ;100 ;- ;
Fyrunga ;- ;728 ;;975 ;10 ;3,138 ;- ;6,312 ;;500 ;18,992 ;1,024 ;600 ;- ;2,184 ;- ;5,850 ;- ;30 ;4 ;120 ;26 ;12 ;3 ;216 ;80 ;280 ;- ;50 ;- ;
Gerum ;- ;145 ;- ;851 ;6 ;1,300 ;;4,800 ;- ;480 ;30,060 ;;297 ;- ;930 ;- ;8,510 ;;- ;50 ;71 ;16 ;64 ;8 ;215 ;55 ;835 ;- ;77 ;- ;
Händene ;- ;21 ;- ;1,848 ;48 ;350 ;- ;10,506 ;- ;;17,380 ;;105 ;- ;105 ;- ;11,088 ;2,000 ;- ;36 ;126 ;6 ;18 ;;300 ;60 ;200 ;- ;48 ;- ;
Härlunda ;;50 ;;1,150 ;;240 ;;8,000 ;- ;325 ;1,900 ;250 ;200 ;;260 ;- ;14,000 ;;- ;;52 ;12 ;86 ;5 ;300 ;200 ;250 ;- ;40 ;- ;
;;157 ;- ;630 ;6 ;;;;;;;;;16 ;1,000 ;- ;8,150 ;- ;;12 ;64 ;12 ;8 ;2 ;150 ;75 ;140 ;- ;20 ;- ;
Härjevad ;2 ;325 ;- ;1,000 ;24 ;1,000 1,560 ;- ;6,000 12,000 ;;1,250 ;16,500 37,000 ;605 ;1,320 2,500 ;X ;1,625 ;- ;6,000 ;- ;60 ;9 ;202 ;60 ;30 ;;350 ;200 ;425 ;- ;175 ;- ;
Jung ;;;;;;;;;100 ;1,250 ;;1,800 ;;- ;100 ;- ;2,500 ;- ;;2 ;27 ;3 ;30 ;;200 ;30 ;60 ;;50 ;;
Marum ;- ;20 550 ;- ;500 ;5 40 ;400 ;- ;4,200 ;;250 ;12,000 ;;180 ;;1,650 ;- ;4,500 ;- ;80 ;- ;125 ;45 ;60 ;;320 ;120 ;250 ;- ;125 ;;
Qvänum Saleby ;- ;700 ;;1,400 3,500 ;40 ;1,900 6,028 ;- ;9,000 ;75 ;1,625 3,900 ;60,500 ;1,800 ;100 5,000 ;;3,500 ;;17,500 ;;;20 ;374 ;60 ;40 ;16 ;802 ;217 ;480 ;;214 ;;
Skara landsförsamling ;- ;40 ;- - ;500 ;;861 ;- ;26,118 3,960 ;- - - ;822 ;100,000 14,956 ;3,250 ;468 ;;240 ;- - ;3,500 ;- ;- ;;61 ;;27 ;;194 ;59 ;118 ;- - ;34 ;;
Skallmeja och 11 mtl af Gerum ;10 ;300 ;- ;200 ;20 ;3,000 ;60 ;3,500 ;- ;2,500 ;16,000 ;400 ;800 ;30 ;900 ;- ;1,000 ;- ;;4 ;130 ;50 ;50 ;;360 ;160 ;450 ;- ;220 ;;
Synnerby Travad, en del ;5 - ;100 65 ;- - ;200 640 ;20 9 ;4,800 700 ;125 ;15,858 3,750 ;- - ;1,600 212 ;64,800 24,640 ;348 ;1,088 280 ;25 - ;800 195 ;- - ;2,000 5,120 ;- - ;60 27 ;20 3 ;120 58 ;75 20 ;40 22 ;;500 165 ;300 30 ;200 105 ;2 ;75 45 ;;
Trässberg. ;- ;150 ;- ;200 ;;1,500 ;- ;6,700 ;;1,500 ;21,800 ;;1,000 ;;500 ;- ;1,500 ;;;- ;125 ;40 ;20 ;;200 ;100 ;240 ;- ;50 ;;
Vinköl ;8 ;90 ;- ;1,250 ;50 ;1,450 ;200 ;18,000 ;300 ;1,200 ;96,000 ;550 ;700 ;40 ;500 ;- ;7,500 ;- ;170 ;25 ;150 ;45 ;110 ;;360 ;150 ;460 ;- ;120 ;;
y&nga ;;1,000 ;- ;5,000 ;40 ;2,500 ;;27,800 ;- ;1,200 ;40,500 ;10,500 ;600 ;;3,500 ;- ;25,000 ;;100 ;;210 ;75 ;180 ;;600 ;200 ;850 ;-- ;300 ;;
Asaka ;10 ;63 ;- ;3,100 ;10 ;660 ;80 ;2,600 ;- ;350 ;25,000 ;360 ;420 ;26 ;200 ;- ;25,000 ;200 ;100 ;30 ;200 ;48 ;200 ;;500 ;72 ;250 ;- ;50 ;;
Ottum ;- ;900 ;- ;350 ;5 ;3,200 ;- ;10,500 ;- ;528 ;55,000 ;5,000 ;1,800 ;;4,500 ;- ;2,436 ;- ;- ;8 ;130 ;44 ;24 ;;220 ;120 ;180 ;- ;55 ;;
Summa Skanings härad ;X 35 ;5,454 ;- ;30,917 ;333 ;37,259 ;465 ;196,303 ;1,105 ;21,539 ;700,404 ;27,021 ;17,931 ;137 ;22,941 ;- ;199,515 ;2,200 ;627 ;223 ;2,501 ;683 ;1,091 ;115 ;6,402 ;2,328 ;5,473 ;2 ;1,848 ;- ;
Bitterna, Vester- ;2 ;35 ;- ;1,920 ;36 ;350 ;50 ;4,480 ;50 ;345 ;23,860 ;2,240 ;95 ;16 ;140 ;- ;11,520 ;108 ;110 ;- ;75 ;10 ;50 ;2 ;169 ;150 ;290 ;- ;58 ;- ;
Bitterna, Öster- ;;;- ;1,600 ;25 ;375 ;100 ;5,580 ;80 ;525 ;33,750 ;900 ;200 ;8 ;380 ;- ;11,200 ;- ;75 ;- ;100 ;15 ;40 ;2 ;220 ;150 ;300 ;- ;75 ;;
Larf ;- ;200 ;- ;4,800 ;40 ;1,200 ;360 ;10,500 ;400 ;1,500 ;126,000 ;1,600 ;520 ;- ;800 ;- ;28,800 ;- ;120 ;- ;250 ;50 ;300 ;10 ;700 ;500 ;600 ;2 ;300 ;;
Längjum med Vessby ;- ;100 ;- ;800 ;12 ;420 ;;2,000 ;;354 ;48,000 ;300 ;350 ;- ;300 ;- ;4,800 ;- ;12 ;- ;100 ;20 ;54 ;5 ;250 ;25 ;150 ;- ;112 ;;
Lundby ;5 ;60 ;- ;3,000 ;15 ;840 ;X 36 ;8,880 ;91 ;630 ;20,900 ;1,200 ;270 ;21 ;345 ;- ;24,750 ;- ;82 ;- ;126 ;18 ;72 ;6 ;264 ;144 ;288 ;- ;144 ;460 ;
Travad, del ;- ;18 ;- ;485 ;6 ;280 ;;1,800 ;24 ;60 ;22,080 ;100 ;120 ;- ;54 ;- ;3,880 ;- ;18 ;- ;52 ;18 ;4 ;;98 ;35 ;128 ;- ;20 ;;
Vedum ;- ;40 ;- ;3,360 ;- ;240 ;- ;8,190 ;- ;300 ;46,600 ;- ;150 ;- ;280 ;- ;23,520 ;- ;- ;- ;120 ;18 ;28 ;5 ;370 ;160 ;320 ;- ;160 ;- ;
Summa Laske härad ;8 ;528 ;- ;15,965 ;134 ;3,705 ;546 ;41,430 ;645 ;3,714 ;320,690 ;6,340 ;1,705 ;45 ;2,200 ;- ;108,470 ;108 ;417 ;- ;823 ;149 ;548 ;31 ;2,071 ;1,164 ;2,076 ;2 ;869 ;460 ;
Floby ;- ;525 ;- ;3,090 ;10 ;90 ;25 ;5,240 ;- ;1,275 ;78,000 ;550 ;270 ;- ;535 ;- ;12,360 ;- ;17 ;- ;130 ;40 ;150 ;;430 ;360 ;225 ;- ;95 ;- ;
Gökhem ;- ;80 ;- ;4,170 ;18 ;135 ;X 30 ;4,800 ;72 ;5,600 ;72,750 ;2,500 ;180 ;- ;160 ;- ;33,360 ;600 ;40 ;10 ;160 ;50 ;180 ;3 ;500 ;100 ;320 ;- ;190 ;;
Göteve ;- ;15 ;- ;620 ;15 ;- ;;6,250 ;- ;2,020 ;16,140 ;- ;80 ;- ;100 ;- ;4.240 ;X 200 ;15 ;5 ;86 ;25 ;80 ;2 ;260 ;60 ;186 ;- ;80 ;- ;
Jäla ;- ;;- ;1,152 ;24 ;- ;90 ;720 ;90 ;720 ;9,600 ;;126 ;- ;- ;- ;9,216 ;- ;- ;25 ;76 ;33 ;120 ;4 ;235 ;200 ;300 ;- ;100 ;- ;
Klefva ;- ;100 ;- ;2,000 ;5 ;60 ;40 ;5,400 ;- ;3,600 ;24,000 ;1,500 ;100 ;- ;512 ;- ;16,000 ;;- ;9 ;100 ;20 ;100 ;5 ;150 ;165 ;300 ;- ;60 ;- ;
Marka ;- ;60 ;- ;2,280 ;- ;;;5,472 ;- ;3,220 ;37,300 ;1,600 ;192 ;- ;;- ;12,040 ;12,000 ;- ;- ;90 ;30 ;90 ;12 ;275 ;150 ;225 ;- ;125 ;;
Sörby ;- ;100 ;- ;1,600 ;- ;;;2,416 ;;800 ;945 ;;;- ;300 ;- ;8,000 ;;- ;;96 ;16 ;96 ;16 ;128 ;64 ;96 ;- ;32 ;;
Trevattna ;- ;15 ;- ;1,200 ;- ;50 ;X 90 ;5,100 ;125 ;225 ;19,250 ;450 ;96 ;- ;- ;- ;8,500 ;- ;- ;15 ;75 ;25 ;75 ;10 ;300 ;170 ;140 ;- ;40 ;;
Ullene ;- ;- ;- - ;1,500 ;- ;- ;;2,400 ;- ;100 ;7,500 ;70 ;50 ;- ;- ;- ;7,500 ;- ;- ;- ;50 ;10 ;50 ;1 ;150 ;125 ;125 ;- ;20 ;- ;
Summa Vilske härad ;- ;895 ;- ;17,612 ;72 ;335 ;275 ;37,798 ;287 ;17,560 ;265,485 ;6,670 ;1,094 ;- ;1,607 ;- ;111,210 ;12,806 ;72 ;64 ;863 ;249 ;941 ;57 ;2,428 ;1,394 ;1,917 ;- ;742 ;- ;
Bjerka ;- ;315 ;- ;12,285 ;- ;- ;- ;8,500 ;1,680 ;;18,900 ;- ;X 300 ;- ;- ;- ;79,191 ;- ;- ;- ;40 ;5 ;137 ;6 ;279 ;60 ;70 ;- ;70 ;- ;
Bjurum ;- ;- ;- ;12,500 ;- ;- ;- ;9,450 ;- ;945 ;26,460 ;- ;480 ;- ;- ;- ;107,500 ;- ;- ;- ;40 ;12 ;120 ;8 ;200 ;100 ;100 ;- ;100 ;;





