Table: Table_1

Hellum ;;300 ;;600 ;;;1,200 ;75 ;5,775 ;;2,100 ;21,000 ;2,450 ;1,000 ;- ;1.800 ;- ;4,200 ;- ;100 ;14 ;;- ;-- ;60 ;;16 ;;200 ;56 ;115 ;;;;
Kjedum ;;128 ;;2,400 ;;;680 ;;7.500 ;60 ;840 ;32,800 ;800 ;400 ;- ;384 ;- ;12,000 ;;160 ;;- ;;;130 ;;24 ;;400 ;150 ;200 ;;;;
Lek&sa ;2 ;23 ;;1.314 ;X 42 ;;310 ;80 ;3,100 ;X 200 ;2,400 ;34.938 ;2,640 ;1,000 ;;161 ;- ;15,360 ;7,200 ;84 ;56 ;- ;;;70 ;;90 ;;27G ;184 ;230 ;;;80 ;
Levene, del ;- ;30 ;;500 ;;;860 ;;2.000 ;;350 ;18,000 ;300 ;400 ;;150 ;- ;3.500 ;;;;;;;;;;;;;;;;;
Long ;- ;400 ;;2.100 ;;;8,000 ;;7.700 ;;3,200 ;34,600 ;1,400 ;1,700 ;;2,000 ;;21,000 ;2,000 ;X 50 ;20 ;700 ;15,000 ;;133 ;83 ;22 ;;270 ;132 ;317 ;;;;
Naum ;;;;3,000 ;;;250 ;;9,450 ;100 ;525 ;51,870 ;1,740 ;580 ;21 ;;- ;24,000 ;;- ;;;;;;;12 ;;360 ;120 ;295 ;;;;
Ryda med Half& ;5 ;800 ;;2,000 ;;;1,620 ;;10500 ;125 ;1,250 ;63000 ;1,650 ;2,000 ;35 ;3,200 ;;16000 ;- ;;;- ;;- ;280 ;35 ;16 ;;475 ;153 ;257 ;;;;
Sandbäck eller Kyrk&s ;2 ;;;570 ;;;30 ;10 ;3,010 ;108 ;80 ;6,680 ;80 ;;12 ;;- ;4,160 ;- ;40 ;10 ;- ;3,100 ;;;;6 ;;90 ;40 ;50 ;;;;
Skarstad ;;940 ;;1,700 ;3 ;;1,025 ;;5010 ;;1,175 ;31,000 ;625 ;4,400 ;- ;6,000 ;- ;12,500 ;;;- ;;10,000 ;- ;110 ;;;;245 ;150 ;312 ;- ;;;
Vara ;;200 ;;800 ;25 ;;1,750 ;- ;8,800 ;- ;500 ;28,000 ;8,000 ;800 ;- ;1,200 ;- ;4,000 ;- ;;;- ;;;12G ;;;;250 ;50 ;250 ;- ;;;
Asaka ;;;X ;2,000 ;70 ;;;;3,200 ;;300 ;16,000 ;250 ;240 ;;60 ;- ;8,000 ;- ;400 ;50 ;;;- ;100 ;;40 ;;;260 ;;;;;
Onum ;3 ;520 ;;2,420 ;10 ;;350 ;80 ;4 100 ;X GO ;950 ;32,000 ;2,000 ;300 ;10 ;2,000 ;- ;9.600 ;- ;25 ;;- ;;- ;168 ;13 ;10 ;;280 ;100 ;150 ;;;;
Barne harad ;15 ;3,411 ;20 ;29,964 ;541 ;- ;11,895 ;417 ;85,695 ;933 ;16,100 ;480,888 ;25,775 ;13,530 ;78 ;17,495 ;- ;209,032 ;21,200 ;1.509 ;206 ;700 ;28,100 ;- ;1,691 ;272 ;321 ;70 ;4,151 ;1,625 ;3,596 ;- ;1,032 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broby ;- ;;- ;320 ;;- ;560 ;- ;3,132 ;- ;144 ;13,400 ;;125 ;;28 ;- ;2,240 ;- ;;- ;- ;- ;- ;30 ;;18 ;;70 ;35 ;100 ;;30 ;;
Hangelösa ;;945 ;- ;3,150 ;16 ;- ;945 ;- ;10.491 ;- ;1,260 ;26,460 ;1,260 ;945 ;- ;3,780 ;;15,750 ;3,150 ;64 ;;;;;150 ;10 ;;;420 ;150 ;400 ;;250 ;;
Hasslosa ;;302 ;;1.121 ;31 ;;3,225 ;;7,572 ;;1,500 ;80,424 ;;1,228 ;;1,981 ;;6,512 ;1,880 ;- ;X 32 ;250 ;7,600 ;;;;16 ;;ane ;82 ;195 ;- ;78 ;;
Husaby ;;200 ;;8,000 ;;;;1,584 80 ;5,442 ;;3,000 ;5,700 ;1,304 ;620 ;10 ;350 ;- ;48,000 ;3,000 ;;;;16,000 ;;120 ;25 ;120 ;;850 ;160 ;550 ;- ;120 ;;
llofby ;2 ;66 ;;1,250 ;X 40 ;;2,170| ;132 ;4,410 ;132 ;1,550 ;51,000 ;930 ;750 ;20 ;330 ;- ;7,500 ;7,000 ;- ;5 ;- ;- ;;100 ;15 ;6 ;;320 ;50 ;200 ;- ;40 ;;





