Table: Table_1

W&nga ;- ;70 ;7,200 ;32 ;- ;5,620 ;- ;16,865 ;- ;1,260 ;48.000 ;10,800 ;1,000 ;- ;210 ;28,800 ;- ;;- ;- ;- ;- ;- ;230 ;40 ;216 ;8 ;650 ;270 ;900 ;- ;300 ;- ;
Ásaka ;- ;25 ;3,000 ;92 ;- ;1,365 ;- ;17,181 ;- ;1,056 ;72,000 ;648 ;576 ;- ;150 ;21,000 ;3,000 ;- ;- ;55 ;X 600 ;3,750 ;- ;110 ;40 ;164 ;9 ;450 ;280 ;500 ;- ;100 ;- ;
Öttum ;20 ;900 ;2,000 ;- ;- ;1,500 ;- ;2,500 ;- ;300 ;22,000 ;4,500 ;420 ;60 ;2,700 ;8,000 ;20 ;- ;- ;- ;- ;- ;- ;115 ;35 ;84 ;5 ;200 ;50 ;250 ;- ;70 ;- ;
Summa ;20 ;5,296 ;33,402 ;507 ;- ;36,362 ;637 ;183,609 ;945 ;20,487 ;644.150 ;31,022 ;12,927 ;60 ;20,090 ;194,262 ;21,920 ;- ;451 ;223 ;X 600 ;49,750 ;- ;2,096 ;438 ;1271 ;103 ;5,237 ;2,307 ;6.849 ;- ;1,951 ;- ;
Laske härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitterna, Wester ;8 ;51 ;860 ;31 ;- ;72 ;X 31 ;867 ;49 ;358 ;15,656 ;430 ;107 ;75 ;385 ;4,443 ;167 ;- ;X 70 ;20 ;-- ;12,000 ;- ;81 ;8 ;89 ;3 ;251 ;80 ;71 ;- ;52 ;- ;
Bitterna, Öster ;- ;12 ;1,008 ;X 35 ;- ;78 ;- ;2,610 ;- ;620 ;17,876 ;1,058 ;50 ;- ;50 ;6,048 ;- ;- ;75 ;16 ;- ;- ;- ;75 ;8 ;77 ;2 ;280 ;125 ;290 ;- ;50 ;- ;
Lengjum och Wessby ;1 ;100 ;140 ;3 ;- ;250 ;X 20 ;1,050 ;40 ;400 ;4,800 ;600 ;100 ;5 ;500 ;820 ;X 30 ;- ;12 ;8 ;- ;- ;- ;120 ;20 ;30 ;4 ;360 ;170 ;350 ;- ;150 ;- ;
Lundby ;- ;60 ;3,550 ;4 ;- ;640 ;- ;4,000 ;- ;1,200 ;45,800 ;3,000 ;420 ;- ;360 ;10,650 ;- ;- ;- ;- ;- ;- ;- ;130 ;32 ;50 ;5 ;330 ;160 ;350 ;- ;150 ;- ;
Larf ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;;- ;;;;;-- ;- ;- ;- ;
Trâfva ;- ;- ;990 ;- ;- ;1,440 ;- ;5,000 ;- ;280 ;34,464 ;- ;960 ;;- ;2,970 ;- ;-- ;- ;- ;- ;- ;- ;135 ;10 ;20 ;4 ;185 ;105 ;133 ;- ;80 ;- ;
Wedum ;- ;- ;2,520 ;63 ;- ;- ;- ;2,520 ;- ;- ;18,900 ;- ;- ;;- ;15.120 ;- ;- ;63 ;- ;- ;- ;- ;160 ;- ;20 ;5 ;320 ;160 ;640 ;- ;10 ;- ;
Summa ;9 ;223 ;9,068 ;X 136 ;- ;2,480 ;X 51 ;16,047 ;89 ;2,858 ;137,496 ;5,088 ;1.637 ;X 80 ;1,295 ;40,051 ;X 197 ;- ;220 ;X 44 ;- ;12,000 ;- ;701 ;78 ;286 ;23 ;1,726 ;X 800 ;1,834 ;- ;492 ;- ;
Wilske hlirad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floby ;- ;- ;2,400 ;- ;- ;72 ;- ;3,600 ;150 ;3,780 ;16,800 ;240 ;180 ;- ;- ;19,200 ;- ;- ;- ;- ;- ;- ;- ;112 ;28 ;112 ;10 ;280 ;112 ;225 ;- ;100 ;- ;
Gökhem ;- ;X 189 ;1,410 ;- ;- ;157 ;X 126 ;4,599 ;- ;12,600 ;73,080 ;6,800 ;630 ;- ;819 ;26,460 ;- ;- ;- ;- ;- ;- ;- ;120 ;35 ;180 ;8 ;350 ;250 ;500 ;- ;200 ;- ;
Göteved ;- ;- ;3,226 ;X 25 ;- ;- ;- ;1,812 ;- ;2,418 ;16,128 ;1,612 ;25 ;- ;- ;16,110 ;- ;- ;X 37 ;- ;- ;- ;- ;96 ;8 ;96 ;4 ;256 ;128 ;256 ;- ;150 ;- ;
Jäla ;- ;- ;200 ;- ;- ;- ;- ;- ;- ;- ;- ;;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;88 ;10 ;80 ;10 ;160 ;100 ;200 ;- ;20 ;- ;
Klefva ;- ;X 100 ;1,800 ;- ;- ;150 ;X 150 ;9,100 ;- ;7,200 ;28,800 ;3,000 ;350 ;- ;X 300 ;16,200 ;X 250 ;- ;- ;- ;- ;10,000 ;- ;130 ;15 ;137 ;5 ;220 ;260 ;400 ;- ;100 ;- ;
Marka ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;;;- ;- ;- ;- ;- ;- ;- ;
Sörby ;- ;- ;63 ;- ;- ;- ;- ;185 ;- ;100 ;GO3 ;- ;- ;- ;- ;369 ;- ;- ;- ;- ;- ;200 ;- ;4 ;,1 ;4 ;3 ;12 ;8 ;12 ;- ;4 ;- ;
Trevattna ;- ;X 1 ;1,300 ;- ;- ;12 ;- ;3,245 ;X 20 ;640 ;11,600 ;620 ;51 ;- ;7 ;7,540 ;- ;- ;- ;- ;- ;12,380 ;- ;58 ;2 ;94 ;2 ;216 ;126 ;223 ;- ;60 ;-- ;
Ullened ;X - ;- ;982 ;- ;- ;- ;- ;148 ;- ;440 ;8,720 ;189 ;95 ;- ;- ;5,892 ;- ;- ;- ;- ;- ;-- ;- ;52 ;5 ;64 ;2 ;148 ;132 ;243 ;- ;35 ;- ;
Summa ;- ;290 ;14,381 ;X 25 ;- ;391 ;276 ;22,689 ;170 ;27,178 ;155,731 ;11,961 ;1,331 ;- ;1,126 ;91,771 ;250 ;- ;37 ;- ;- ;22,580 ;- ;660 ;104 ;767 ;X 44 ;1,642 ;1,116 ;2,059 ;- ;669 ;- ;





