Table: Table_1

Vamb ;- ;;- ;1,600 ;- ;;250 ;3,600 ;- ;250 ;8,500 ;;320 ;- ;;-- ;11,200 ;- ;- ;- ;50 ;5 ;30 ;;130 ;50 ;100 ;- ;50 ;;
Öm, Bjärby och Amundtorp ;- ;30 ;- ;700 ;- ;700 ;;7,360 ;- ;- ;10,000 ;400 ;300 ;- ;120 ;-- ;5,600 ;- ;- ;- ;24 ;2 ;66 ;4 ;165 ;62 ;120 ;- ;40 ;;
Summa K&kinds härad ;10 ;607 ;- ;92,230 ;245 ;15,991 ;1,630 ;214,922 ;1,470 ;5,641 ;498,730 ;1,330 ;7,023 ;50 ;2,620 ;- ;619,130 ;6,640 ;- ;4 ;980 ;133 ;3,159 ;III ;6,974 ;2,395 ;7,365 ;5 ;1,909 ;- ;
Acklinga ;- ;;- ;2,160 ;;720 ;- ;4,860 ;- ;315 ;2,430 ;- ;80 ;- ;- ;- ;12,960 ;400 ;- ;- ;30 ;10 ;120 ;7 ;240 ;180 ;150 ;- ;60 ;- ;
Angarp ;- ;15 ;- ;1,500 ;40 ;2,280 ;- ;9,000 ;- - ;800 ;36,300 ;X 500 ;375 ;- ;75 ;- ;9,000 ;25,000 ;- ;- ;110 ;16 ;220 ;10 ;520 ;275 ;380 ;- ;125 ;- ;
Baltak ;- ;X 20 ;-- ;1,800 ;5 ;50 ;- ;8,750 ;;60 ;11,000 ;;100 ;- ;100 ;- ;14,000 ;- ;- ;- ;26 ;4 ;83 ;6 ;140 ;75 ;180 ;- ;80 ;- ;
Bottnaryd ;- ;;- ;1,200 ;6 ;- ;- ;1,165 ;185 ;100 ;2,600 ;X 285 ;- ;- ;;- ;9,050 ;- ;- ;- ;6 ;1 ;24 ;3 ;53 ;13 ;42 ;- ;20 ;;
Bjurbäck ;- ;;- ;2,736 ;- ;;;4,896 ;320 ;280 ;17,120 ;;;- ;- ;- ;27,860 ;- ;- ;;23 ;8 ;128 ;8 ;311 ;50 ;180 ;- ;36 ;;
Brandatorp ;- ;X 95 ;- ;6,500 ;- ;150 ;200 ;7,680 ;400 ;800 ;15,450 ;880 ;120 ;;;- ;52,000 ;;;;36 ;3 ;220 ;9 ;360 ;210 ;360 ;- ;100 ;;
Daretorp ;3 ;;- ;3,500 ;20 ;150 ;;8,250 ;X 220 ;140 ;22,400 ;300 ;40 ;18 ;100 ;- ;24,055 ;500 ;;;55 ;3 ;230 ;10 ;380 ;190 ;575 ;- ;130 ;;
Dimbo ;- ;20 ;- ;3,000 ;10 ;320 ;50 ;12,800 ;200 ;4,000 ;42,700 ;250 ;800 ;;100 ;- ;24,000 ;4,000 ;- ;- ;64 ;15 ;180 ;6 ;300 ;150 ;400 ;- ;250 ;;
Falköpings landsförsamling ;- ;130 ;- ;600 ;- ;;200 ;4,500 ;- ;5,500 ;16,000 ;;200 ;- ;;- ;5,000 ;3,000 ;- ;- ;50 ;15 ;50 ;6 ;275 ;50 ;30 ;- - ;80 ;;
Fridene ;;12 ;- ;400 ;- ;560 ;30 ;4,000 ;- ;120 ;17,250 ;;42 ;- ;24 ;- ;1,200 ;;;;36 ;;83 ;3 ;205 ;60 ;55 ;- ;25 ;;
Fröjered ;10 ;50 ;- ;2,400 ;- ;600 ;120 ;30,000 ;X 200 ;120 ;40,800 ;200 ;120 ;- ;250 ;- ;;- ;- ;- ;80 ;;600 ;10 ;875 ;;470 ;- ;;;
Gerum ;;;- ;1,335 ;;;- ;3,556 ;;630 ;7,356 ;;189 ;- ;;- ;7,200 11,793 ;- - ;- - ;- - ;31 ;20 8 ;60 ;2 ;100 ;200 50 ;175 ;- - ;150 56 ;;
Gustaf Adolf ;- ;;;9,000 ;30 ;85 ;- ;16,000 ;550 ;200 ;52,000 ;1,700 ;110 ;- ;;- ;65,000 ;;- ;- ;20 ;6 ;320 ;;500 ;400 ;800 ;3 ;200 ;;
Habo. ;;;- ;13,448 ;- ;400 ;150 ;23,760 ;1,000 ;800 ;98,650 ;2,450 ;180 ;- ;- ;- ;107,584 ;300 ;- ;- ;90 ;9 ;460 ;25 ;950 ;350 ;1,365 ;- ;315 ;;
Hvarf ;- ;;- ;3,200 ;;150 ;;4,060 ;;560 ;18,700 ;;290 ;- ;- ;- ;25,600 ;- ;- ;- ;36 ;13 ;82 ;2 ;115 ;40 ;108 ;- ;55 ;;
Hvalstad ;;31 ;- ;6,000 ;20 ;;- ;12,025 ;- ;819 ;25,200 ;- ;X 248 ;- ;;;42,000 ;- ;- ;- ;55 ;12 ;180 ;5 ;230 ;120 ;250 ;- ;160 ;;





