Table: Table_1

Gösslunda ;6 ;645 ;- ;1,840 ;X 85 ;;1,455 ;;6,525 ;;2,650 ;31,854 ;1,150 ;2,800 ;24 ;983 ;- ;5,360 ;;130 ;25 ;;;145 ;;43 ;;254 ;165 ;215 ;;65 ;;
Hjerpãs, Höra och Vedum ;;1,141 ;;2,276 ;43 ;;6,800 ;;16,200 ;350 ;630 ;69,800 ;1,680 ;3,600 ;;9,128 ;- ;10,944 ;22,500 ;108 ;21 ;4,000 ;20.000 ;X 290 ;;;12 ;628 ;200 ;470 ;;160 ;;
Häggesled ;;153 ;- ;421 ;;;153 ;- ;2,297 ;;274 ;16,400 ;676 ;764 ;- ;611 ;- ;1,200 ;400 ;20 ;5 ;;- ;81 ;20 ;;;266 ;61 ;234 ;;36 ;;
Kedum ;;138 ;- ;258 ;5 ;;976 ;;2,179 ;- ;189 ;10,584 ;;693 ;- ;431 ;- ;1,701 ;;15 ;4 ;- ;;64 ;;;;100 ;60 ;116 ;;;;
Lavad ;;28 ;- ;913 ;;;1,536 ;- ;4,320 ;- ;1,176 ;34,140 ;720 ;1,080 ;- ;200 ;- ;6,884 ;800 ;;;;5,000 ;73 ;14 ;;;150 ;90 ;200 ;;40 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Levene, del ;;284 ;- ;1,260 ;;;3,520 ;- ;12,672 ;- ;2,744 ;30,348 ;2,400 ;1,860 ;- ;2,000 ;- ;8,820 ;5,000 ;- ;- ;- ;;110 ;16 ;;;2G0 ;50 ;350 ;;120 ;;
Mellby ;;250 ;- ;550 ;;;2,400 ;- ;10,000 ;- ;1,750 ;18,600 ;;2,400 ;- ;2,000 ;;3,850 ;;_- ;;;;112 ;;;;250 ;116 ;280 ;;100 ;;
Otterstad med Senäte ;- ;550 ;;2,700 ;;;9,200 ;- ;13,200 ;- ;5,850 ;36,300 ;4,200 ;6,880 ;- ;4,400 ;- ;18,900 ;3,000 ;;;;3.600 ;170 ;;120 ;10 ;580 ;220 ;580 ;;160 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rackeby Râda ;X 5 ;450 ;- ;1,005 ;10 ;;6,300 3,200 ;- ;4,800 9,112 ;;6,800 ;23,418 33,432 ;1,400 ;4,500 ;- ;3,150 ;- ;4,020 14,980 ;3,000 ;;42.24 ;240 ;1,620 ;106 ;;;;820 380 ;135 ;120 ;;120 ;;
Skalunda ;;360 ;;2,140 329 ;;;1,200 ;- ;2,000 ;172 ;3,892 2,000 ;6,200 ;426 380 ;2,000 500 ;15 ;1,400 ;;1,550 ;;;;;18,670 2,800 ;135 73 ;;;12 ;140 ;148 80 ;200 140 ;;;;
Slädene ;;300 ;;5,400 ;;;6,000 ;- ;15,000 ;- - ;1,200 ;30,000 ;1,000 ;4,800 ;- - ;2,100 ;- ;50,000 ;;;;;100,000 ;150 ;;;20 ;350 ;400 ;300 ;;100 ;;
Strö ;;1,000 ;;1,800 ;;;3,010 ;;4,640 ;- ;2,800 ;10,200 ;1,200 ;2,400 ;- ;7,000 ;;9,100 ;12,000 ;;14 ;;- ;88 ;;;;240 ;170 ;300 ;;125 ;;
Sunnersberg ;16 ;250 ;;295 ;;;2,600 ;- ;8,870 ;- ;2,575 ;5,000 ;;2,100 ;80 ;1,370 ;====== ;900 ;;;;;;190 ;;;;290 ;140 ;170 ;;;;
Söne ;50 ;700 ;;800 ;50 ;;4,000 ;- ;4,900 ;- ;1,600 ;12,600 ;;4,000 ;150 ;5,600 ;- ;5,600 ;2,000 ;;2 ;;2,800 ;120 ;30 ;;;260 ;180 ;850 ;;150 ;;
Tranum ;4 ;265 ;- ;605 ;;;1,150 ;- ;6,050 ;- ;949 ;33,565 ;1,865 ;2,255 ;12 ;2,075 ;- ;4,670 ;;;;;;01 ;;;;250 ;150 ;750 ;;150 ;;
Tâdene ;;;;793 ;16 ;;1,296 ;;3,400 ;- ;1,554 ;21,060 ;432 ;3,260 ;576 ;5,550 ;- ;;2,000 ;;3,25 ;;6,000 ;56 ;;;;120 ;50 ;170 ;;;;
Ufvered ;;300 ;;1,000 ;;;2,250 ;- ;6,600 ;- ;1,000 ;30,000 ;1,000 ;1,500 ;;1,500 ;- ;6,000 ;30,000 ;;15 ;;15,000 ;170 ;;;;320 ;125 ;300 ;;;;
Vala med Gillstad ;;350 ;;1,200 ;;;1.140 ;;4,825 ;- ;1,020 ;19,608 ;;475 ;- ;1,400 ;- ;4,800 ;- ;30 ;;;9,500 ;172 ;;;;320 ;180 ;330 ;;;;
(saka ;;;;1,800 ;;;3,300 ;;5,250 ;- ;900 ;26,800 ;;500 ;- ;320 ;- ;6,500 ;- ;50 ;;;;;;;;;65 ;184 ;;;;
Orlösa ;;320 ;;4,800 ;;;3,800 ;;4,400 ;- ;3,150 ;17,160 ;6,000 ;7,420 ;- ;2,240 ;- ;43,200 ;- ;;;;2,000 ;165 ;60 ;;;240 ;190 ;320 ;;170 ;;
Kâllands härad ;81 ;7,636 ;;30,684 ;213 ;;64,286 ;;146,740 ;522 ;41,703 ;516,569 ;24,529 ;55,787 ;857 ;53,458 ;- ;208,479 ;80,700 ;557 ;144,49 ;4,240 ;186,490 ;2,651 ;517 ;812 ;112 ;5,878 ;2,978 ;6,579 ;;1,982 ;;
Eling ;- ;- ;;1,669 ;;;252 ;;3,178 ;291 ;375 ;18,666 ;3,969 ;63 ;- ;- ;- ;16,690 ;- ;16 ;- ;- ;- ;100 ;12 ;96 ;;186 ;85 ;;;56 ;;
Essunga ;;;;5,000 ;100 ;;;;8,300 ;55 ;140 ;56,000 ;1,400 ;200 ;15 ;10 ;- ;50,000 ;2,000 ;140 ;- ;- ;- ;175 ;;30 ;;600 ;100 ;450 ;;175 ;;
Foglum ;20 ;;;2,644 ;;;480 ;;3,738 ;40 ;1.484 ;32,200 ;544 ;168 ;8 ;;- ;10,576 ;;210 ;26,20 ;- ;;88 ;17 ;80 ;;250 ;155 ;147 ;;;;
Hällum ;;300 ;;600 ;;;1,050 ;90 ;5,775 ;;2,520 ;21,000 ;2,450 ;1,200 ;- ;1,500 ;;4,200 ;- ;100 ;14 ;;- ;60 ;;16 ;;200 ;56 ;115 ;;;;
Kedum ;;100 ;;2,400 ;80 ;;600 ;;6,750 ;60 ;800 ;38,480 ;600 ;270 ;;400 ;- ;9,600 ;- ;160 ;;;;130 ;16 ;24 ;6 ;400 ;150 ;200 ;;;;
Lekasa ******** ;2 ;;;1,932 ;;;90 ;40 ;3,500 ;100 ;2,400 ;45,976 ;3,080 ;1,000 ;X 20 ;184 ;- ;9,660 ;7,200 ;;156 ;;3,780 ;70 ;15 ;20 ;4 ;476 ;238 ;476 ;;;;
Levene, del ;;;;500 ;;;420 ;;2,800 ;;420 ;15,000 ;300 ;800 ;;300 ;- ;3,500 ;;;;;;44 ;4 ;4 ;;G5 ;25 ;45 ;;;;
Long ;;450 ;;2,800 ;;;1,800 ;;7,600 ;;2,800 ;40,000 ;1,500 ;1,500 ;;1,800 ;- ;20,000 ;- ;;- ;GOO ;12,000 ;130 ;30 ;20 ;8 ;290 ;150 ;300 ;;;;
Naum ;X 4 ;10 ;;3,000 ;102 ;;200 ;80 ;8,300 ;70 ;400 ;24,900 ;1,000 ;400 ;16 ;55 ;- ;15,000 ;- ;400 ;- ;;;91 ;31 ;11 ;6 ;375 ;129 ;300 ;;;;
Ryda med Halfâs ;;1,190 ;;1,500 ;;;2,160 ;;14,400 ;;1,800 ;69,600 ;5,400 ;1,800 ;;7,140 ;- ;10,500 ;- ;32 ;- ;;2,680 ;310 ;55 ;21 ;10 ;550 ;250 ;800 ;;200 ;;
Sandbäck eller Kyrkas ;;;;600 ;;;10 ;8 ;2,160 ;76 ;64 ;7,200 ;76 ;12 ;;;- ;3,000 ;- ;;- ;- ;;36 ;5 ;3 ;;91 ;30 ;50 ;;;;
Skarstad ;- ;925 ;;1,500 ;;;1,200 ;- ;5,075 ;;1,170 ;30,500 ;600 ;4,225 ;- ;5,850 ;- ;11,500 ;- ;;- ;;9,000 ;111 ;35 ;12 ;;160 ;165 ;325 ;;;;
Yara ;;200 ;;800 ;25 ;;1,500 ;- ;7,700 ;;500 ;28,000 ;3,000 ;700 ;- ;200 ;;800 ;;;;;;126 ;10 ;3 ;;250 ;50 ;;;;;
;;;;;;;;;;;;;;;;;- ;;- ;;;;- ;;;;;;;;;;;
Ásaka ;;;;2,100 ;;;45 ;;3,150 ;30 ;220 ;18,000 ;250 ;200 ;- ;;- ;6,800 ;- ;400 ;50 ;;;110 ;50 ;40 ;;265 ;265 ;330 ;;;;
Onum ;3 ;520 ;;2,420 ;;;340 ;24 ;5,000 ;70 ;400 ;24,000 ;1,200 ;850 ;12 ;1,900 ;- ;5,600 ;- ;25 ;;;3,500 ;168 ;13 ;10 ;6 ;300 ;110 ;450 ;;;;
Barne härad ;13 ;3,765 ;- ;29,465 ;515 ;;10,207 ;361 ;87,426 ;792 ;15,493 ;469,522 ;25,369 ;12,388 ;71 ;19,389 ;- ;176,926 ;9,200 ;1,573 ;246,20 ;600 ;30,960 ;1,752 ;323 ;313 ;80 ;4,458 ;1,955 ;3,567 ;;1,136 ;80 ;
Broby ;;;- ;320 ;;;440 ;- ;3,132 ;- ;144 ;13,400 ;;125 ;- ;28 ;- ;1,280 ;;10 ;- ;- ;- ;30 ;4 ;18 ;2 ;70 ;35 ;100 ;;30 ;;
Hangelösa ;;945 ;;3,150 ;16 ;;942 ;- ;10,495 ;- ;1,260 ;27,800 ;1,260 ;945 ;- ;3.780 ;- ;15,750 ;X 3,150 ;64 ;;;;100 ;55 ;40 ;;430 ;160 ;400 ;;260 ;;
Hasslösa ;;305 ;;1,122 ;32 ;;1,500 ;;6,720 ;- ;1,260 ;28,480 ;;800 ;- ;1,830 ;- ;4,488 ;1,800 ;;X 32 ;30) ;6,000 ;125 ;;16 ;;340 ;90 ;200 ;;80 ;;
Husaby ;;200 ;;8,000 ;;;2,112 ;100 ;6,349 ;;3,000 ;9,500 ;1,630 ;744 ;;1,200 ;- ;48,000 ;;;;;;125 ;25 ;120 ;;360 ;160 ;560 ;;120 ;;
Hofby ;20 ;50 ;2 ;1,250 ;30 ;;1,000 ;80 ;4,300 ;X 20 ;1,500 ;35,000 ;750 ;520 ;X 120 ;150 ;12 ;5,000 ;- ;- ;15 ;-- ;12,000 ;100 ;10 ;8 ;;350 ;50 ;200 ;;50 ;;





