Table: Table_1

Sandhem ;42,68 ;115 ;190 ;17,430 ;30 ;2,150 ;4,500 ;10,750 ;;;;;;;;;;344 ;1,007 ;344 ;;;;;;430 ;;;;;;9,887 ;3,150 ;;
Skörstorp ;10,38 ;;12 ;2,200 ;4 ;1,718 ;100 ;;;;;;;;;;;130 ;870 ;10 150 11 200 ;;;;426 88 ;;125 ;;;;;378 1,020 ;8,190 14,130 ;378 189 ;50 ;
Slöta med Faleqvarna ;46,13 ;100 ;;;;2,238 ;;;;;;;;;;;;306 ;1,271 212 ;42 ;;;;80 ;;;;;;;10 ;;;70 ;
Suntack ;9,63 ;19 ;17 ;2,100 ;4 ;601 ;198 ;1,297 ;6 ;;;;;;;;;129 ;;;;;20 ;;;;;;;;;1,898 ;;;
Tiarp ;11,75 ;47 ;;1,500 ;5 ;1,000 ;300 ;195 ;;;;;;;;;;;;30 30 ;;;;500 ;;;;;;;200 ;3,600 ;60 ;200 ;
Utvängstorp ;7,44 ;43 ;;;;;;;;;;;;;;;;;160 ;90 ;;;;;;;;;;;;1,700 ;100 ;;
Welinge ;19,72 ;70 ;85 ;9,396 ;14 ;1,160 ;1,600 ;2,350 ;12 ;;;;;;;;;242 ;;130 ;;;;123 ;;;;;;;;4,920 ;;;
Wistorp ;11.50 ;30 ;23 ;5.508 ;14 ;569 ;869 ;1,488 ;9 ;;;;;;;;;;260 ;56 ;;;;;;;;;;;60 ;2,638 ;274 ;12 ;
Wättack ;9,50 ;14 ;;1,800 ;;600 ;300 ;800 ;;;;;;;;;;;;;;;;;;;;;;;;1,260 ;63 ;;
Yllestad ;21.50 ;52 ;49 ;6,400 ;50 ;810 ;800 ;740 ;;42 ;2 ;;53 ;;46 ;2 ;;200 ;;100 ;;;;;;;;;;;;4,200 ;;;
;;31 ;40 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,140 ;;37 ;
Asaka Asled ;23,50 30,13 ;94 ;107 ;;32 ;1,218 ;390 ;318 ;7 ;72 ;5 ;;;;26 ;1 ;;;725 ;10 90 ;27 ;;120 ;;;140 ;6 ;;;;;5,400 ;120 ;16 ;
Summa, Wartofta härad ;740,22 ;2,267 ;1,756 ;174,469 ;435 ;51,000 ;36,378 ;63,724 ;232 ;1,188 ;211 ;18 ;359 ;;629 ;121 ;9 ;7,141 ;17,753 ;379 4,052 ;323 ;187 ;4,550 ;7,913 ;82 ;6,995 ;838 ;98 ;43,601 ;662 ;7,256 ;183,456 ;8,441 ;1,551 ;
Brismened Börstig ;12.50 13,94 ;54 ;27 ;2,100 ;6 4 ;400 ;740 ;45 1,000 ;;;;;;;;- ;;;453 ;11 100 ;10 ;- ;- 40 ;40 ;- ;;- 82 ;;189 315 ;44 ;132 82 ;945 2,520 ;126 ;;
Grolanda ;19 ;85 ;88 ;;;300 ;;10 ;;;;;20 ;;63 ;;;;135 ;8 80 ;6 ;;;;;30 ;;- ;650 ;100 ;250 ;2,600 ;180 ;;
Kinneved ;30,75 ;80 ;43 ;9,000 ;6 ;1,125 ;1,575 ;;18 ;;;;20 ;;58 ;;;100 ;716 ;4 70 ;;4 ;1,500 ;40 ;10 ;124 ;- ;- ;640 ;;800 ;7,700 ;;;
Smula ;7,63 ;23 ;3 ;900 ;2 ;137 ;334 ;381 ;;;;;2 ;;;;;;;;;;;- ;- ;;- ;. ;96 ;- ;68 ;549 ;25 ;;
W&rkumla ;18.25 ;;16 ;850 ;;801 ;536 ;10 ;;;;;;;10 ;9 ;;39 ;190 ;2 85 ;2 ;2 ;4 ;- ;- ;40 ;- ;- ;280 ;- ;189 ;2,016 ;;;
Asarp ;4,50 ;13 ;;978 ;3 ;55 ;75 ;12 ;;;;;;;;;;;;- ;- ;;;- ;- ;;- ;- ;22 ;3 ;16 ;210 ;15 ;;
Sumina, Frökinds härad ;106,57 ;349 ;165 ;13,828 ;X 24 ;2.318 ;3,260 ;1,458 ;43 ;177 ;3 ;1 ;43 ;;135 ;14 ;I ;229 ;1,494 ;25 335 ;21 ;19 ;1,544 ;80 ;10 ;194 ;82 ;- ;2,192 ;147 ;1,537 ;16,540 ;346 ;73 ;
Amnehärad ;32.19 ;282 ;212 ;12,758 ;15 ;2,647 ;3,670 ;6.426 ;26 ;220 ;;;;;35 ;;;523 ;696 ;24 100 ;3 ;40 ;15 ;245 ;- ;400 ;40 ;-- ;2.340 ;- ;100 ;6,160 ;;600 ;
Beateberg ;16,75 ;48 ;56 ;7,985 ;15 ;2,015 ;1,000 ;3,000 ;;;;;;;;;;400 ;700 ;64 ;15 ;16 ;;400 ;;400 ;3GO ;;1,240 ;;;5,600 ;;;
Berg ;34,44 ;102 ;68 ;4,400 ;38 ;1,335 ;630 ;2,880 ;40 ;;;;;;;;;210 ;390 ;100 ;;;;450 ;;215 ;206 ;;920 ;;410 ;8,800 ;70 ;115 ;
Bellefors ;20,25 ;52 ;51 ;5,875 ;4 ;1,440 ;9 ;4,422 ;10 ;;;;;;;;;165 ;365 ;67 51 ;;8 ;167 ;439 ;;169 ;179 ;;600 ;;;2,394 ;;126 ;
Binneberg ;5,50 ;22 ;;750 ;;300 ;150 ;300 ;;;;;;;;;;75 ;100 ;;;;15 ;;;80 ;90 ;;240 ;;;500 ;50 ;25 ;
Björsäter med Gullsüters rotar ;28,50 ;94 ;105 ;5,530 ;28 ;2,494 ;103 ;2,905 ;G2 ;;;;;;;;;356 ;919 ;48 ;;13 ;104 ;600 ;3 ;356 ;380 ;20 ;1,878 ;;200 ;8,100 ;;160 ;
Back ;14,50 ;32 ;42 ;5,000 ;50 ;2,665 ;100 ;1,500 ;;;;;;;;;;368 ;665 ;;;;357 ;714 ;4 ;368 ;700 ;;1,085 ;;40 ;5,885 ;;260 ;
Böja ;8,75 ;41 ;39 ;950 ;13 ;620 ;110 ;207 ;45 ;;;;;;;;;90 ;140 ;19 ;;;109 ;240 ;- ;90 ;139 ;- ;428 ;- ;32 ;693 ;126 ;56 ;
Carlaborg ;;13 ;;;;32 ;;1,025 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ek ;11 ;40 ;;4,608 ;28 ;1,172 ;150 ;2,700 ;;;;;;;;;;;200 ;;;;;510 ;;140 ;;;;;90 ;1,280 ;;;
Ekby ;21,38 ;80 ;;3,471 ;17 ;1,652 ;498 ;1,804 ;;;;;;;;;;;;;;;50 ;292 ;;;;;1,210 ;;18 ;4,325 ;;;
Ekeskog ;15,13 ;56 ;;4,295 ;;2,265 ;30 ;1,994 ;;;;;;;;;;;;;;;323 ;647 ;;323 ;;;;;;4,800 ;;;
Elgar&s ;19,81 ;1GO ;155 ;16,000 ;15 ;2,020 ;2,480 ;9,000 ;150 ;;;;;;;;;;;;;;;400 ;;;;;;;;9,350 ;;;
Flistad ;18,75 ;89 ;;2,180 ;;1,400 ;600 ;175 ;;;;;;;;;;;;;;;142 ;200 ;;;;;;;;3,055 ;;;
Finnerödja ;24,06 ;215 ;;;;;;;;;;;;;;;;;;;;;;400 ;;;;;;;;4,400 ;;160 ;
Fägred ;36,81 ;143 ;;11,340 ;;1,700 ;300 ;3,510 ;;;;;;;;;;;1,700 ;;;;;1,900 ;;;;;;;;11,800 ;;1,500 ;
Fredsberg ;60,69 ;340 ;;16,893 ;;6,000 ;240 ;3,400 ;;;;;;;;;;1,111 ;2,436 ;;;;;2,136 ;;;;;;;;18,000 ;;430 ;
Fröaved. ;13,69 ;56 ;;3,637 ;;1,975 ;139 ;1,513 ;;;;;;;;;;;;;;;;;;;;;;;162 ;4,815 ;;112 ;
Götlunda ;27,75 ;135 ;;4,000 ;;3,000 ;175 ;;;;;;;;;;;;;;;;;;;;;;;;;3,360 ;;300 ;
;9 ;91 ;;4,000 ;;1,847 ;149 ;2.498 ;;;;;;;;;;;;;;;;;;;;;;;;3,528 ;;;
Hjälstad ;17,13 ;40 ;;2,725 ;;1.415 ;360 ;;;;;;;;;;;;;;;;;;;;;;;;;4,410 ;;157 ;
Hassled, Berga och Färed ;66,75 ;133 ;;21,196 ;;6,040 ;1,520 ;12,500 ;;;;;;;;;;;1.420 ;;;;;;;;;;;;;10,680 ;;200 ;
Hofva med Fagerlid ;56.13 ;331 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,810 ;;220 ;
Horn ;18.88 ;;;2,450 ;;1,100 ;240 ;;;;;;;;;;;;;;;;;;;;;;;;;4,020 ;;60 ;
Leksberg ;17,75 ;36 ;;4,251 ;;1,600 ;181 ;2,452 ;;;;;;;;;;;;;;;;;;;;;;;;3,278 ;;112 ;
Lyrestad ;43,75 ;239 ;;21,708 ;;2,210 ;500 ;8,450 ;;;;;;;;;;;;;;;;;;;;;;;;7,500 ;;215 ;
Locketorp ;16.50 ;82 ;;8,560 ;;1,600 ;80 ;6,050 ;;;;;;;;;;;;;;;;240 ;;;;;;;;3,960 ;;360 ;
Lerdala ;15,81 ;40 ;;3,783 ;;1,268 ;500 ;2,982 ;;;;;;;;;;;350 ;;;;;;;;;;;;300 ;2,250 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;358 ;;160 ;;;1,220 ;;;;;;
Lâstad ;11.44 ;;;1,973 ;;573 ;840 ;555 ;;;;;;;;;;;175 ;;;;;;;;;;;;;1,570 ;;;
Mo ;11,25 ;;;1,804 ;34 ;1,100 ;120 ;550 ;;;;;;;;;;;360 ;;;;;;;;;;;;;2,835 ;;126 ;
Mölltorp ;21,13 ;123 ;;;;;;;;;;;;;;;;;560 ;;;;;;;180 300 ;;;1,600 ;;;5,000 ;;;
Odens&ker ;23,63 ;;;2,056 ;;1,430 ;205 ;406 ;;;;;;;;;;;400 ;;;;;361 ;;280 ;252 ;;950 ;;X ;3.150 ;;;
Ransberg ;31.44 ;287 ;135 ;7,000 ;;2,570 ;425 ;500 ;;;;;;;;;;460 ;650 ;160 ;;90 ;;660 ;;460 ;;;2,394 ;;;6.800 ;;;
Svenneby ;8,88 ;10 ;;2,780 ;;1100 ;600 ;1,060 ;;;;;;;;;;;366 ;;;;;800 ;1,680 ;161 ;332 ;;332 ;;;2,19G ;;150 ;
Säter ;22,81 ;;;4,312 ;30 ;1,157 ;1,085 ;2,040 ;11 ;20 ;;;;;;;;290 ;357 ;;;3 ;;135 ;;270 ;50 ;;1,600 ;;X 220 ;2,950 ;;151 ;





