Table: Table_1

Beateberg ;16,75 ;48 ;56 ;7,985 ;15 ;2.015 ;1,000 ;4,970 ;3 ;15 ;- ;2 ;18 ;68 ;- ;- ;400 ;700 ;20 ;64 ;15 ;16 ;- ;400 ;- ;400 ;378 ;- ;1,512 ;- ;- ;6,615 ;- ;63 ;
Berg ;34,44 ;106 ;63 ;4,470 ;35 ;1,300 ;735 ;2,400 ;41 ;81 ;8 ;1 ;- ;11 ;- ;- ;272 ;480 ;25 ;57 ;- ;- ;- ;140 ;- ;272 ;214 ;- ;1,512 ;- ;441 ;378 ;- ;126 ;
Bellefors ;20,25 ;52 ;51 ;5,875 ;5 ;1512 ;25 ;4,333 ;10 ;30 ;11 ;1 ;- ;14 ;4 ;- ;180 ;390 ;80 ;60 ;10 ;15 ;222 ;405 ;- ;180 ;252 ;- ;630 ;- ;- ;2,331 ;- ;126 ;
Binneberg ;5,50 ;21 ;4 ;732 ;5 ;333 ;129 ;265 ;2 ;12 ;4 ;;5 ;4 ;- ;- ;62 ;88 ;16 ;12 ;1 ;1 ;23 ;68 ;- ;62 ;75 ;- ;315 ;- ;31 ;541 ;- ;50 ;
Björsäter med Gullsä- ters rotar ;28,50 ;92 ;104 ;5,530 ;28 ;2,464 ;133 ;2,905 ;61 ;62 ;20 ;3 ;6 ;12 ;10 ;- ;352 ;900 ;48 ;75 ;20 ;13 ;104 ;600 ;- ;352 ;370 ;30 ;1,360 ;-- ;200 ;8,110 ;- ;160 ;
Bäck ;14,50 ;30 ;37 ;- ;30 ;2,570 ;100 ;1,365 ;- ;- ;- ;- ;- ;- ;- ;- ;357 ;X 665 ;42 ;28 ;11 ;4 ;357 ;714 ;2 ;390 ;600 ;100 ;1,000 ;85 ;- ;5,985 ;- ;168 ;
Böja ;8,75 ;40 ;39 ;950 ;13 ;620 ;110 ;207 ;45 ;28 ;- ;- ;- ;5 ;1 ;- ;90 ;130 ;16 ;44 ;6 ;5 ;109 ;230 ;- ;90 ;138 ;- ;428 ;-- ;31 ;693 ;126 ;56 ;
Carlsborg ;;- ;- ;15 ;0,5 ;10 ;4 ;1,000 ;- ;- ;- ;- ;- ;1 ;- ;- ;1,7 ;2.9 ;- ;0,5 ;- ;- ;- ;3,7 ;- ;1,5 ;- ;- ;9 ;- ;- ;25 ;- ;- ;
Ek ;11 ;28 ;43 ;4,608 ;28 ;1,112 ;200 ;2,700 ;5 ;19 ;3 ;1 ;X 4 ;5 ;2 ;- ;129 ;197 ;19 ;19 ;9 ;4 ;144 ;467 ;- ;134 ;75 ;10 ;575 ;- ;125 ;1.050 ;- ;75 ;
Ekby ;21,38 ;81 ;12 ;3,471 ;16 ;1,648 ;498 ;1,309 ;6 ;73 ;5 ;- ;- ;5 ;2 ;- ;330 ;482 ;135 ;35 ;- ;2 ;50 ;289 ;- ;325 ;478 ;- ;1,222 ;- ;X 28 ;4,284 ;- ;472 ;
Ekeskog ;15,13 ;54 ;24 ;4,295 ;6 ;2,265 ;30 ;1,994 ;6 ;31 ;9 ;1 ;- ;11 ;2 ;1 ;324 ;600 ;25 ;17 ;- ;5 ;323 ;647 ;- ;324 ;117 ;- ;1,500 ;- ;- ;4,800 ;- ;75 ;
Elgaras ;19.81 ;120 ;141 ;12.000 ;10 ;2.990 ;600 ;8,400 ;140 ;131 ;14 ;- ;9 ;5 ;3 ;;400 ;840 ;30 ;90 ;;30 ;300 ;900 ;- ;400 ;13 ;- ;2,397 ;- ;- ;9,600 ;- ;60 ;
Flistad ;18,75 ;88 ;13 ;2,180 ;5 ;1,400 ;600 ;175 ;4 ;25 ;50 ;1 ;10 ;3 ;8 ;;242 ;400 ;150 ;20 ;2 ;2 ;140 ;200 ;- ;242 ;472 ;- ;724 ;- ;31 ;3,055 ;630 ;472 ;
Finnerödja ;24,96 ;214 ;142 ;- ;- ;- ;- ;- ;75 ;126 ;- ;1 ;14 ;139 ;1 ;- ;320 ;540 ;30 ;150 ;10 ;25 ;- ;400 ;- ;200 ;40 ;X 5 ;1,550 ;- ;30 ;4,350 ;- ;160 ;
Fägred ;36,69 ;132 ;74 ;11,340 ;50 ;6.320 ;350 ;3.600 ;10 ;90 ;16 ;3 ;- ;9 ;3 ;1 ;900 ;1,650 ;250 ;170 ;50 ;20 ;580 ;1,800 ;- ;900 ;1,600 ;- ;3,900 ;- ;- ;10,310 ;- ;1,250 ;
Fredsberg ;60,69 ;342 ;192 ;- ;20 ;10,800 ;300 ;3,666 ;;- ;- ;- ;- ;- ;- ;- ;1,520 ;2,900 ;100 ;112 ;40 ;22 ;1,514 ;3,034 ;10 ;1,032 ;1,000 ;300 ;6,000 ;X 300 ;- ;25,294 ;- ;672 ;
Frösved ;13,69 ;54 ;46 ;3,600 ;14 ;1.945 ;139 ;1,502 ;X 30 ;49 ;6 ;2 ;30 ;39 ;6 ;2 ;320 ;486 ;108 ;46 ;8 ;2 ;160 ;480 ;15 ;320 ;200 ;- ;1,350 ;- ;288 ;3,042 ;- ;300 ;
Götlunda ;27,75 ;127 ;82 ;4,000 ;25 ;3,025 ;150 ;800 ;- ;- ;- ;;13 ;100 ;14 ;- ;364 ;728 ;300 ;200 ;5 ;5 ;331 ;728 ;- ;364 ;420 ;. - ;1,260 ;- ;- ;3,360 ;- ;300 ;
Halna ;9 ;90 ;112 ;4,000 ;20 ;1,346 ;150 ;2,484 ;35 ;70 ;26 ;1 ;69 ;73 ;28 ;2 ;251 ;400 ;60 ;70 ;10 ;16 ;- ;289 ;- ;250 ;126 ;- ;1,039 ;12 ;6 ;2,992 ;- ;170 ;
Hjälstad ;17,13 ;28 ;29 ;2,725 ;25 ;1,415 ;360 ;925 ;3 ;19 ;3 ;1 ;- ;- ;2 ;- ;280 ;560 ;40 ;30 ;- ;- ;- ;225 ;- ;280 ;441 ;- ;882 ;- ;- ;4,410 ;- ;157 ;
Hassled, Berga och Färed. ;66,75 ;133 ;155 ;21,196 ;40 ;6,040 ;1,520 ;13.596 ;X 20 ;62 ;14 ;X 5 ;X 99 ;156 ;28 ;5 ;863 ;1,415 ;100 ;150 ;25 ;10 ;200 ;2,414 ;- ;863 ;1,200 ;- ;2,534 ;- ;504 ;10,680 ;- ;200 ;
Hofva och Fagerlid ;56,13 ;374 ;210 ;;- ;;- ;- ;- ;- ;- ;- ;;- ;- ;- ;960 ;1.845 ;55 ;300 ;25 ;30 ;- ;2,000 ;- ;960 ;283 ;- ;4.252 ;- ;94 ;17,010 ;233 ;252 ;
Horn ;18,88 ;60 ;18 ;2,250 ;8 ;1,042 ;200 ;1,000 ;10 ;39 ;9 ;- ;18 ;- ;9 ;- ;152 ;300 ;8 ;9 ;3 ;2 ;200 ;200 ;X 8 ;160 ;233 ;- ;648 ;15 ;18 ;2,709 ;X 655 ;31 ;
Leksberg ;17.75 ;34 ;59 ;4,251 ;18 ;1,585 ;188 ;2,460 ;22 ;20 ;9 ;;- ;- ;5 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;208 ;- ;1.320 ;- ;12 ;2,835 ;- ;157 ;
Lyrestad ;43,75 ;244 ;195 ;21,708 ;56 ;2,159 ;520 ;9,089 ;184 ;189 ;5 ;- ;- ;32 ;2 ;- ;407 ;620 ;47 ;70 ;10 ;12 ;570 ;- ;- ;423 ;240 ;- ;1,890 ;- ;X 56 ;5,670 ;- ;210 ;
Locketorp ;16.50 ;80 ;41 ;8,560 ;50 ;1,510 ;100 ;6,900 ;25 ;37 ;34 ;1 ;15 ;5 ;5 ;- ;210 ;450 ;80 ;120 ;- ;10 ;- ;300 ;X 40 ;300 ;150 ;X 50 ;820 ;- ;- ;4,000 ;- ;240 ;
Lerdala ;15,19 ;44 ;74 ;3,783 ;50 ;1.233 ;500 ;2,000 ;41 ;50 ;5 ;2 ;10 ;8 ;2 ;- ;250 ;350 ;15 ;100 ;15 ;3 ;- ;350 ;- ;150 ;250 ;- ;1,100 ;- ;300 ;2,250 ;400 ;60 ;
Lâstad ;11,44 ;36 ;19 ;1,973 ;3 ;575 ;840 ;555 ;12 ;22 ;2 ;1 ;12 ;27 ;- ;1 ;120 ;175 ;30 ;27 ;1 ;2 ;25 ;75 ;- ;120 ;157 ;- ;441 ;- ;31 ;1,575 ;- ;94 ;
Mo ;11.25 ;16 ;10 ;1,804 ;34 ;1,100 ;120 ;550 ;1 ;6 ;6 ;1 ;- ;2 ;- ;- ;180 ;360 ;20 ;30 ;- ;- ;80 ;250 ;- ;180 ;504 ;- ;346 ;- ;- ;2,835 ;- ;126 ;
Mölltorp ;21,13 ;113 ;65 ;- ;- ;- ;- ;;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- - ;- ;33 ;X 20 ;1,450 ;X 33 ;- ;4,685 ;- ;35 ;





