Table: Table_1

;1. ;36. ;37. ;38. ;39. ;4'0. ;44. ;45. ;46. ;47. ;48. ;49. ;50 ;51 ;52. ;53. ;54. ;55. ;57. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;;
27 ;Levene_(del) ;- ;166 ;- - ;1,118 ;15 ;1,700 ;- ;4,695 ;- ;824 ;23,520 ;1,344 ;894 ;- ;498 ;- ;5,590 ;3,000 ;18 ;- ;2,000 ;12,500 ;140 ;29 ;;9 ;301 ;100 104 ;321 ;- ;137 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 ;Mellby ;;300 ;;1,000 ;12 ;1,200 ;- ;7,000 ;140 ;2,100 ;40,000 ;;800 ;36 ;1,200 ;- ;8,600 ;12,000 ;80 ;;;10,000 ;140 ;30 ;8 ;G ;300 ;115 ;150 ;- ;40 ;;
29 ;Otterstad med Senäte ;12 ;336 ;;4,470 ;10 ;4,384 ;36 ;8,250 ;;5,600 ;37,656 ;- ;1,852 ;96 ;2.016 ;- ;35,760 ;6,000 ;30 ;7 ;3,800 ;25,000 ;187 ;19 ;80 ;20 ;500 ;255 ;490 ;;200 ;;
30 ;Rackeby ;12 ;300 ;;2,800 ;6 ;2,784 ;;8,352 ;;3,000 ;25,400 43,950 ;;420 772 ;25 ;1,500 186 ;- ;12,600 ;;10 ;;;9,000 ;150 ;45 ;16 ;;290 ;100 ;155 ;- ;135 ;;
31 ;Râda Skalunda ;4 ;62 500 ;;1,865 600 ;2 ;3,024 1,650 ;108 35 ;6,048 5,800 ;190 ;4,494 2,800 ;12,000 ;504 ;1,100 ;25 ;2,000 ;;13,085 /3,800 ;7,250 800 ;- ;11 ;- ;19,786 6,000 ;160 65 ;23 12 ;56 22 ;9 2 ;415 ;158 75 ;198 100 ;- ;136 12 ;;
32 33 ;Slädene ;- ;400 ;;5,450 ;;1,680 ;120 ;7,120 ;- - ;1,000 ;32,000 ;1,200 ;1,000 ;- ;800 ;;32,700 ;;;10 ;2,000 ;16,000 ;240 ;150 ;40 ;80 ;120 500 ;200 ;300 ;- - ;200 ;;
34 ;Strö ;;350 ;;1,560 ;30 ;3,080 ;180 ;3,080 ;- ;2,640 ;12,330 ;;882 ;- ;1,050 ;- ;12,480 ;3,600 ;180 ;20 ;- ;11,200 ;70 ;20 ;24 ;5 ;210 ;125 ;300 ;- ;140 ;;
35 36 ;Sunnersberg Söne. ;10 2 ;250 459 ;- ;2,050 1,200 ;70 5 ;6,000 895 ;140 24 ;13,000 5,840 ;40 ;6,500 3,240 ;43,000 22,500 ;400 250 ;1,000 1,047 ;30 8 ;1,200 2,295 ;- - ;12,300 -7,200 ;: ;150 20 ;- - ;- - ;12,500 ;200 97 ;50 28 ;4 14 ;5 G ;400 260 ;150 135 ;200 192 ;- - ;70 60 ;;
37 ;Tranum ;8 ;820 ;;1,650 ;10 ;1,420 ;- ;3,508 ;- ;2,525 ;19,525 ;1,040 ;900 ;32 ;3,300 ;- ;9,300 ;1,200 ;40 ;- ;- ;12,000 ;325 ;20 ;50 ;G ;260 ;140 ;300 ;- ;G5 ;;
38 ;Tâdene ;;190 ;;850 ;;700 ;- ;1,600 ;- ;375 ;10,500 ;265 ;230 ;- ;570 ;- ;6,500 ;12,000 ;;;- ;7,500 ;5G ;13 ;20 ;5 ;176 ;45 ;135 ;- ;50 ;;
39 ;Ufvered ;- ;300 ;;700 ;15 ;600 ;;8,750 ;- ;1,040 ;42,400 ;1,170 ;300 ;- ;900 ;- ;3,500 ;700 ;45 ;10 ;;25,000 ;150 ;50 ;26 ;4 ;300 ;80 ;250 ;- ;100 ;;
40 ;Väla med Gillstad ;- ;60 ;- ;1,200 ;10 ;800 ;40 ;8,160 ;- ;800 ;56,126 ;;40 ;- ;240 ;- ;5,600 ;360 ;70 ;- ;- ;18,000 ;120 ;50 ;20 ;5 ;260 ;100 ;250 ;- ;70 ;;
41 ;Asaka ;;100 ;;800 ;10 ;2,150 ;;7,080 ;;1,000 ;26,200 ;;100 ;- ;400 ;;5,000 ;6,000 ;50 ;- ;- ;10,000 ;112 ;38 ;14 ;G ;230 ;90 ;140 ;- ;100 ;;
42 ;Orslösa ;15 ;450 ;- ;1,950 ;30 ;2,300 ;- ;8,760 ;- ;2,000 ;55,000 ;2,100 ;2,320 ;60 ;2,700 ;- ;15,600 ;960 ;120 ;- ;- ;27,000 ;185 ;50 ;60 ;8 ;385 ;140 ;300 ;- ;180 ;;
;Summa för K &llands härad ;82 ;5,880 ;- ;36,797 ;283 ;43,285 ;683 ;143,010 ;520 ;45,226 ;653,145 ;12,823 ;17,191 ;363 ;24,695 ;- ;218,951 ;57,150 ;916 ;83 ;14,000 ;265,096 ;3,046 ;767 ;590 ;213 ;6,362 ;2,613 ;4,821 ;- ;2,185 ;;
