Table: Table_1

Vad* ;12,75 ;24 ;;;20 ;1.280 ;28o ;310 ;;;;;;;;;;380 ;;;- ;- ;Igo ;285 ;- ;200 ;614 ;;516 ;;;2.370 ;
Väring ;24 ;100 ;60 ;;4 ;1.810 ;50 ;2.336 ;12 ;36 ;;;;;;1 ;400 ;450 ;44 ;48 ;- ;- ;- ;640 ;- ;240 ;725 ;14 ;1.135 ;- ;20 ;2.200 ;
Summa Vadsbo härad ;1,007,00 ;4.660 ;3,179 ;229,922 ;1.055 ;90.644 ;20.779 ;100.745 ;013 ;2.488 ;480 ;42 ;649 ;970 ;328 ;26 ;16,819 ;28,150 ;2,239 ;4,459 ;444 ;570 ;5,735 ;27,543 ;149 ;15,465 ;17,143 ;527 ;66,636 ;689 ;3,101 ;209,873 ;
Summa för landsbygden ;4,713,85 ;18,245 ;12,576 ;1,125,504 ;5,467 ;481,062 ;121,102 ;359,125 ;2,511 ;10,019 ;2,832 ;267 ;2,588 ;4,690 ;1,237 ;109 ;67,102 ;175,295 ;10.250 ;22,387 ;3,330 ;1,619 ;42,177 ;106,853 ;776 ;66,526 ;48,423 ;1,610 ;300,284 ;4.032 ;54,757 ;1,284.678 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;4 ;500 ;34 ;2,435 ;26 ;780 ;8 ;451 ;28 ;;a ;- ;6 ;4 ;1 ;- ;120 ;194 ;4 ;10 ;2 ;- ;- ;350 ;- ;100 ;160 ;- ;82 ;- ;10 ;1,300 ;
Lidkõping ;16 ;110 ;5 ;2.962 ;10 ;937 ;- ;2.014 ;50 ;;;- ;20 ;10 ;- ;- ;213 ;230 ;;15 ;16 ;- ;;437 ;- ;;;- - ;730 ;15 ;75 ;2.034 ;
Skara ;20 ;185 ;- ;3.074 ;53 ;1,880 ;40 ;627 ;77 ;92 ;14 ;2 ;- ;- ;;- ;264 ;487 ;74 ;90 ;29 ;2 ;196 ;460 ;;279 ;250 ;- ;925 ;- ;200 ;2.200 ;
Sköfde ;4 ;64 ;22 ;1,553 ;80 ;535 ;603 ;235 ;8 ;50 ;4 ;- ;2 ;5 ;- ;- ;100 ;214 ;31 ;91 ;27 ;- ;;32 ;30 ;91 ;63 ;- ;590 ;- ;;1,320 ;
Falköping ;20.67 ;22 ;20 ;1.954 ;15 ;1,740 ;150 ;49 ;;;;- ;;;;- ;106 ;710 ;70 ;70 ;70 ;- ;249 ;530 ;- ;100 ;- ;;600 ;;1,500 ;5.172 ;
Hjo ;3.25 ;- ;4 ;1,677 ;3 ;737 ;35 ;200 ;8 ;21 ;8 ;- ;5. ;9 ;- ;- ;120 ;200 ;5 ;140 ;20 ;- ;30 ;130 ;- ;120 ;8 ;10 ;600 ;65 ;- ;1.640 ;
Summa für staderna ;67.92 ;881 ;85 ;13,655 ;187 ;6.609 ;836 ;3,676 ;171 ;210 ;34 ;2 ;33 ;28 ;1 ;- ;923 ;2.035 ;184 ;416 ;104 ;2 ;475 ;1.939 ;30 ;689 ;481 ;10 ;3.477 ;80 ;1.785 ;13.666 ;
Summa für bela länet ;4,781,27 ;19,126 ;12.601 ;1.139,159 ;5,654 ;487,671 ;121.938 ;362,801 ;2,682 ;10,229 ;2,866 ;269 ;2,591 ;4.718 ;1,238 ;109 ;68,025 ;177,330 ;10,434 ;22.803 ;3,494 ;1,621 ;42.652 ;108,792 ;806 ;67.215 ;48.904 ;1,620 ;303.701 ;4,112 ;56,542 ;1,298,344 ;





