Table: Table_1

Saleby Skara landsförsamling ;36.18 11,75 ;218 26 ;;;1.131 ;357 ;18 835 ;;;;;;;;;;318 ;;;;6 ;802 98 ;275 ;34 ;1.267 ;;;4,785 660 ;;650 137 ;20,000 2,491 ;650 ;1,000 ;
Skallmeja och 14 mtl af Gerum ;17,25 ;;;;2,938 ;200 ;;;;;;;;;;;850 ;200 ;;;;240 ;460 ;;;;;850 ;;500 ;5,500 ;100 ;300 ;
Synnerby ;19  ;;;;4.000 ;92 ;1.390 ;;;;;;;;;;1.400 ;50 ;;;;500 ;1.000 ;;;;;1.762 ;;200 ;10,200 ;;136 ;
Travad, del ;9.75 ;39 ;;;2.185 ;14 ;175 ;;;;;;;;;;615 ;;;;4 ;390 ;450 ;;;;;800 ;;50 ;6,125 ;90 ;65 ;
Trässberg ;18,88 ;60 ;;;2.650 ;25 ;50 ;;;;;;;;;;2.400 ;40 ;60 ;;;200 ;500 ;;;;;850 ;;176 ;5.500 ;;200 ;
Vinköl. ;22,56 ;106 ;;;4,140 ;235 ;2.983 ;;;;;;;;;350 ;2,600 ;;200 ;;20 ;240 ;560 ;;;;;1,800 ;;200 ;16,000 ;120 ;110 ;
Yânga ;54,75 ;140 ;;;8.000 ;500 ;4,450 ;;;;;;;;;1.000 ;3,000 ;;200 ;;10 ;1.100 ;2.300 ;;;;;4.550 ;;250 ;13,550 ;3.000 ;150 ;
Ásaka ;24,88 ;98 ;;;3,935 ;340 ;709 ;;;;;;;;;390 ;989 ;;110 ;;10 ;930 ;990 ;;;;;2,000 ;30 ;185 ;9,000 ;120 ;80 ;
Ottum ;14,88 ;75 ;;;3,005 ;10 ;;;;;;;;;;;1,280 ;344 ;125 ;;;376 ;385 ;;;400 ;;1.500 ;;88 ;11,000 ;1.000 ;225 ;
Summa Skânings härad ;367,69 ;1,446 ;1,028 ;586 ;64,079 ;3,423 ;26,194 ;205 ;674 ;358 ;;264 ;380 ;180 ;25 ;7,839 ;24,962 ;1,510 ;1,725 ;318 ;95 ;8,703 ;12,862 ;88 ;8,059 ;6,732 ;120 ;32,117 ;241 ;3,864 ;160,073 ;6.695 ;3,608 ;
Bitterna, Vester- ;14,59 ;62 ;;;931 ;100 ;30 ;;;;;;;3 ;- ;100 ;548 ;6 ;33 ;3 ;5 ;70 ;76 ;2 ;88 ;;;556 ;14 ;84 ;6,053 ;535 ;17 ;
Bitterna, Öster- ;16,81 ;113 ;;;1.680 ;400 ;50 ;;100 ;;;;;;;175 ;860 ;10 ;60 ;;;150 ;250 ;;175 ;;;950 ;;100 ;8.200 ;200 ;25 ;
Larf ;47 ;223 ;110 ;10 ;4.400 ;280 ;1,200 ;55 ;150 ;;;;175 ;80 ;- ;350 ;2,500 ;10 ;200 ;10 ;10 ;350 ;600 ;;400 ;240 ;60 ;1,600 ;100 ;250 ;21,000 ;320 ;130 ;
Längjum med Vessby ;24,88 ;111 ;;20 ;3.735 ;45 ;50 ;;80 ;;;;;;;200 ;2,690 ;75 ;60 ;;5 ;150 ;355 ;;200 ;150 ;;500 ;;120 ;16,000 ;200 ;75 ;
Lundby ;15,50 ;69 ;;16 ;2,200 ;120 ;1,367 ;;;;;;;1 ;;250 ;800 ;10 ;120 ;10 ;3 ;200 ;500 ;;250 ;120 ;6 ;1,000 ;14 ;90 ;6,200 ;300 ;50 ;
Travad. del ;8.81 ;63 ;;15 ;1.417 ;11 ;;;47 ;;;;;;;163 ;525 ;;16 ;2 ;1 ;225 ;310 ;- ;191 ;60 ;;370 ;;25 ;5,550 ;20 ;28 ;
Vedum ;19.88 ;148 ;50 ;16 ;2.000 ;40 ;130 ;4 ;102 ;20 ;;14 ;;1 ;- ;200 ;1.185 ;10 ;80 ;25 ;- ;50 ;270 ;- ;180 ;30 ;;1.170 ;- ;50 ;11,650 ;- ;25 ;
Summa Laske härad ;146,97 ;789 ;297 ;93 ;16,363 ;998 ;2,835 ;81 ;604 ;149 ;7 ;84 ;194 ;86 ;- ;1,438 ;9,108 ;124 ;569 ;54 ;30 ;1,195 ;2,36) ;2 ;1,484 ;715 ;III ;6,146 ;128 ;719 ;74,653 ;1,573 ;350 ;
Floby ;27.94 ;78 ;51 ;10 ;2.567 ;1.613 ;50 ;1 ;53 ;;1 ;;18 ;- ;- ;180 ;1.340 ;30 ;120 ;12 ;5 ;200 ;410 ;- ;;20 ;10 ;675 ;- ;360 ;8.200 ;150 ;40 ;
Gökhem ;34,68 ;115 ;;18 ;3,220 ;100 ;10 ;;65 ;40 ;;10 ;20 ;20 ;- ;265 ;3,230 ;- ;130 ;25 ;3 ;45 ;140 ;- ;270 ;40 ;8 ;1.610 ;18 ;1.200 ;12,750 ;500 ;100 ;
Göteve ;16,18 ;76 ;15 ;16 ;? 1,163 ;1,000 ;20 ;14 ;2 ;;;;;;;129 ;152 ;;610 ;25 ;2 ;15 ;100 ;- ;125 ;- ;-- ;850 ;- ;400 ;5,350 ;- ;10 ;
Jäla ;16.18 ;76 ;42 ;;;;;;;;;;;;;50 ;230 ;11 ;85 ;;4 ;;;- ;50 ;;18 ;144 ;- ;144 ;1,920 ;;18 ;
Klefva ;26.88 ;89 ;36 ;13 ;1.350 ;2,340 ;1,480 ;25 ;68 ;;;16 ;50 ;4 ;1 ;250 ;675 ;30 ;90 ;2 ;1 ;30 ;120 ;- ;210 ;30 ;20 ;1.350 ;- ;900 ;8,000 ;550 ;100 ;
Marka ;19,18 ;44 ;34 ;5 ;2,200 ;1,300 ;;3 ;38 ;;;;13 ;1 ;- ;100 ;850 ;25 ;150 ;35 ;- ;250 ;550 ;- ;240 ;- ;- ;600 ;- ;500 ;4.550 ;200 ;20 ;
Sörby ;15,88 ;44 ;21 ;;? 50 ;19 ;50 ;;;;;;;;;;28 ;;;;- ;;;- ;;- ;- ;;- ;2 ;40 ;;1 ;
Trevattna ;;47 ;46 ;16 ;760 ;2.000 ;800 ;5 ;36 ;;1 ;1 ;19 ;12 ;- ;160 ;400 ;4 ;33 ;8 ;2 ;25 ;125 ;2 ;120 ;;10 ;880 ;36 ;60 ;3,500 ;90 ;24 ;
Ullene ;12.13 ;57 ;27 ;2 ;480 ;278 ;1.720 ;- ;35 ;10 ;- ;;;- ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;50 ;8 ;- ;400 ;2 ;50 ;2,000 ;24 ;10 ;
Summa Vilske härad ;186.35 ;626 ;319 ;81 ;12,220 ;8,650 ;4,130 ;57 ;297 ;63 ;4 ;27 ;122 ;X 37 ;I ;1,140 ;6,905 ;107 ;1,220 ;107 ;17 ;503 ;1,451 ;2 ;1,071 ;104 ;66 ;6,515 ;56 ;3,616 ;46.310 ;1,515 ;323 ;
Bjerka ;19,63 ;58 ;54 ;10 ;1.600 ;950 ;2,656 ;- ;- ;2 ;2 ;5 ;- ;- ;- ;260 ;440 ;- ;300 ;- ;- ;- ;400 ;- ;200 ;- ;- ;1.220 ;240 ;;3,150 ;- ;50 ;
Bjurum ;15,13 ;36 ;- ;;2,300 ;- ;- ;- ;- ;;;;- ;- ;- ;350 ;700 ;30 ;300 ;- ;- ;300 ;400 ;;320 ;- ;- ;1,575 ;- ;189 ;4,410 ;- ;80 ;





