Table: Table_1

Mofalla ;10,13 ;57 ;23 ;2,800 ;2 ;556 ;480 ;1.762 ;4 ;44 ;;;;;;;152 ;108 ;3 ;30 ;;3 ;- ;;--- ;152 ;;-- ;660 ;- ;;1.000 ;
Rvd' ;8,88 ;8 ;30 ;1,750 ;4 ;560 ;100 ;1.096 ;3 ;1 ;;1 ;3 ;2 ;2 ;1 ;88 ;200 ;12 ;60 ;;- ;;140 ;- ;60 ;20 ;- ;409 ;;378 ;1.134 ;
Sköfde landsförsamling ;24,19 ;108 ;117 ;;12 ;1,282 ;;;;;;;;;;;300 ;460 ;17 ;115 ;5 ;;16 ;90 ;- ;279 ;180 ;;1,450 ;25 ;;3,680 ;
Suntetorp och Sventorp ;27,85 ;112 ;118 ;7,000 ;35 ;4,415 ;200 ;2.360 ;11 ;94 ;;2 ;;133 ;;2 ;682 ;1,450 ;20 ;100 ;40 ;5 ;150 ;1,488 ;- ;630 ;170 ;45 ;3,000 ;;23 ;11,000 ;
Varola ;16,25 ;96 ;68 ;6.273 ;30 ;2.395 ;380 ;2,791 ;7 ;;;;;;;;468 ;732 ;15 ;55 ;3 ;;56 ;579 ;- ;473 ;150 ;;1,990 ;- ;5 ;5,795 ;
Versão ;25.50 ;95 ;51 ;9.530 ;20 ;3.700 ;1,830 ;3.980 ;;;;2 ;;;11 ;- ;675 ;1,000 ;40 ;150 ;25 ;10 ;300 ;900 ;- ;600 ;200 ;- ;2,900 ;;;9,000 ;
Vâmb ;13 ;36 ;26 ;1,500 ;20 ;580 ;150 ;750 ;20 ;;;;20 ;;5 ;;100 ;180 ;20 ;40 ;10 ;;20 ;130 ;- ;;;;600 ;;;1.800 ;
Om, Bjerby och Amundtorp ;6,13 ;27 ;24 ;1,903 ;10 ;890 ;114 ;500 ;16 ;;3 ;1 ;3 ;5 ;;;180 ;240 ;10 ;16 ;14 ;2 ;100 ;148 ;;180 ;100 ;;810 ;- ;;2,100 ;
Summa K&kinds härad ;344,44 ;1,341 ;1,125 ;100,756 ;468 ;35,460 ;16,786 ;44,894 ;137 ;788 ;149 ;33 ;115 ;466 ;118 ;7 ;6,198 ;11,095 ;287 ;2,121 ;193 ;116 ;1,573 ;7,746 ;- ;5,945 ;1,709 ;69 ;30.894 ;566 ;684 ;87,325 ;
Acklinga ;15 ;32 ;59 ;3,596 ;10 ;975 ;451 ;1.030 ;3 ;8 ;2 ;;1 ;12 ;4 ;- ;220 ;430 ;3 ;49 ;2 ;3 ;25 ;100 ;- ;143 ;40 ;- ;620 ;X 60 ;60 ;3,769 ;
Agnetorp ;11,56 ;60 ;49 ;11.009 ;7 ;919 ;966 ;;;;;;;;;;188 ;371 ;;36 ;5 ;;;203 ;- ;175 ;32 ;- ;828 ;-- ;140 ;2.452 ;
Baltak ;12,25 ;31 ;33 ;3.610 ;6 ;700 ;330 ;1.290 ;;18 ;;;;1 ;2 ;;125 ;205 ;4 ;60 ;4 ;;20 ;92 ;- ;126 ;10 ;- ;623 ;;12 ;2,346 ;
Bottnaryd ;4 ;11 ;11 ;1,557 ;;186 ;300 ;400 ;;;;;;;;;16 ;90 ;;40 ;- ;;- ;20 ;- ;;- ;;144 ;48 ;32 ;873 ;
Bjurbäck ;16.13 ;46 ;;5,000 ;;750 ;1.000 ;1.500 ;;;;;;;2 ;;142 ;360 ;;100 ;- ;;- ;;- ;100 ;;;894 ;67 ;68 ;4.009 ;
Brandstorp ;16,84 ;102 ;;7,810 ;10 ;1.650 ;1.400 ;1,450 ;;;;;;;;;370 ;500 ;;200 ;5 ;;50 ;290 ;2 ;320 ;10 ;20 ;2.175 ;500 ;60 ;3.000 ;
Daretorp ;17.38 ;113 ;67 ;15,017 ;14 ;1.900 ;1.275 ;3,100 ;;;;;;;;;264 ;436 ;;125 ;;;14 ;89 ;- ;270 ;27 ;;1.663 ;45 ;37 ;4.536 ;
Dimbo ;26,63 ;50 ;32 ;2,440 ;18 ;1.886 ;146 ;340 ;;;;;;;;;260 ;700 ;20 ;70 ;12 ;;125 ;436 ;-- ;260 ;40 ;15 ;1,600 ;50 ;400 ;6,120 ;
Falköpings landssocken ;14.50 ;14 ;15 ;1,900 ;24 ;1,470 ;50 ;;;;;;;;;2 ;1:20 ;460 ;20 ;30 ;20 ;;350 ;350 ;;120 ;;;630 ;;756 ;3.465 ;
Fridene ;12.75 ;50 ;34 ;4.862 ;10 ;1,425 ;492 ;100 ;;;;;;;;;200 ;475 ;;12 ;10 ;;100 ;500 ;- ;150 ;180 ;;570 ;;100 ;2.500 ;
Fröjered ;17,69 ;92 ;28 ;11.115 ;29 ;2.712 ;2.120 ;6,250 ;;;;;;;;2 ;500 ;700 ;25 ;275 ;12 ;12 ;;200 ;;500 ;130 ;13 ;2,186 ;27 ;35 ;5.775 ;
Gerum ;9,75 ;26 ;;1,284 ;9 ;482 ;400 ;;;;;;;;;;18 ;215 ;10 ;39 ;1 ;3 ;400 ;60 ;;78 ;;;491 ;;95 ;1,953 ;
Gustaf Adolf* ;23.04 ;140 ;101 ;11,445 ;25 ;1.520 ;1,900 ;8.000 ;;;;;;;;1 ;220 ;480 ;;180 ;;;;440 ;;220 ;;- ;1,260 ;136 ;;2,600 ;
Habo* ;45,35 ;352 ;329 ;26,043 ;28 ;3,750 ;9.165 ;13,100 ;;;;;;;;;650 ;1,537 ;10 ;837 ;5 ;21 ;;540 ;- ;650 ;30 ;4 ;3,900 ;55 ;;13,400 ;
Hvarf ;12 ;22 ;11 ;1,917 ;6 ;714 ;70 ;83 ;;;;;;;;;90 ;260 ;5 ;130 ;10 ;;100 ;30 ;;90 ;24 ;- ;540 ;- ;;3.550 ;
Hvalstad* ;26.75 ;48 ;31 ;4.000 ;15 ;2.500 ;500 ;1,000 ;;;;;;;;;400 ;800 ;;200 ;70 ;10 ;120 ;500 ;- ;400 ;;- ;2.205 ;- ;126 ;5.040 ;
Hângsdala ;16 ;20 ;17 ;1.964 ;5 ;1.285 ;219 ;;;;;;;17 ;;14 ;214 ;307 ;7 ;107 ;5 ;3 ;15 ;413 ;- ;214 ;6 ;- ;1,342 ;- ;101 ;3,219 ;





